# 7248 stars found using the following parameters:
# sigma=0.50 roundness=0.05 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	1150.189720	30541.806842	     -1.00	   3181.81	   2543.02	      3.18	      2.85	     55.58	     49.86	-13.58	 1.761e+02	    -13.66	1	Gaussian	9990000000.000000	9990000000.000000
2	1	1096.101062	22757.114192	     -1.00	   3530.89	    277.65	      3.33	      3.14	     58.26	     54.98	19.01	 4.444e+02	    -13.63	1	Gaussian	9990000000.000000	9990000000.000000
3	1	1059.680181	22601.568885	     -1.00	   2517.00	   1522.00	      3.19	      3.19	     55.76	     55.76	50.37	 6.493e+02	    -13.54	1	Gaussian	9990000000.000000	9990000000.000000
4	1	1070.218610	20825.078520	     -1.00	   1163.15	   2569.78	      3.44	      3.18	     60.18	     55.75	-32.46	 6.071e+02	    -13.53	1	Gaussian	9990000000.000000	9990000000.000000
5	1	1081.052520	18514.879176	     -1.00	   4601.12	   1238.30	      2.90	      2.44	     50.71	     42.64	-17.54	 3.264e+02	    -12.93	0	Gaussian	9990000000.000000	9990000000.000000
6	1	1085.342329	16240.527027	     -1.00	   1416.42	    472.04	      2.68	      2.52	     46.92	     44.14	16.64	 1.897e+02	    -12.74	0	Gaussian	9990000000.000000	9990000000.000000
7	1	1059.365875	20650.159850	     -1.00	   4040.53	   2360.05	      2.21	      2.21	     38.65	     38.65	-34.87	 4.065e+02	    -12.64	0	Gaussian	9990000000.000000	9990000000.000000
8	1	1090.597529	18164.866651	     -1.00	   5048.14	   2892.42	      2.96	      1.84	     51.74	     32.16	20.45	 2.949e+02	    -12.62	0	Gaussian	9990000000.000000	9990000000.000000
9	1	1110.310990	20286.222847	     -1.00	   2211.81	   2817.96	      2.16	      2.16	     37.89	     37.89	-55.51	 3.952e+02	    -12.58	0	Gaussian	9990000000.000000	9990000000.000000
10	1	1092.269618	19276.320632	     -1.00	   4657.61	   1525.94	      2.50	      1.91	     43.80	     33.35	3.93	 2.419e+02	    -12.54	0	Gaussian	9990000000.000000	9990000000.000000
11	1	1071.462245	18651.412608	     -1.00	   3821.19	   1778.13	      2.13	      2.13	     37.27	     37.27	-65.32	 3.734e+02	    -12.45	0	Gaussian	9990000000.000000	9990000000.000000
12	1	1079.492530	18714.593402	     -1.00	   2276.99	   3013.12	      2.18	      1.98	     38.20	     34.59	-38.11	 2.347e+02	    -12.40	0	Gaussian	9990000000.000000	9990000000.000000
13	1	1094.363355	13119.689268	     -1.00	   4857.46	    602.63	      2.81	      2.15	     49.11	     37.69	-33.47	 2.353e+02	    -12.38	0	Gaussian	9990000000.000000	9990000000.000000
14	1	1096.381281	12940.748827	     -1.00	   5349.77	   3789.18	      2.54	      2.05	     44.51	     35.82	29.86	 2.175e+02	    -12.21	0	Gaussian	9990000000.000000	9990000000.000000
15	1	1091.545544	16191.405972	     -1.00	   3534.93	    805.38	      2.16	      1.92	     37.82	     33.61	-52.94	 2.420e+02	    -12.20	0	Gaussian	9990000000.000000	9990000000.000000
16	1	1071.719275	15674.457828	     -1.00	   3774.68	   3053.20	      2.10	      1.96	     36.82	     34.31	14.44	 1.461e+02	    -12.16	0	Gaussian	9990000000.000000	9990000000.000000
17	1	1058.053606	13336.896958	     -1.00	   4002.23	   3112.55	      2.16	      2.07	     37.82	     36.26	37.19	 1.986e+02	    -12.08	0	Gaussian	9990000000.000000	9990000000.000000
18	1	1073.699564	13140.310647	     -1.00	   2341.76	   1073.09	      2.21	      2.00	     38.66	     35.08	25.54	 1.859e+02	    -12.05	0	Gaussian	9990000000.000000	9990000000.000000
19	1	1085.877539	13107.618952	     -1.00	   3000.24	    517.84	      2.20	      1.87	     38.56	     32.75	-86.05	 2.523e+02	    -11.97	0	Gaussian	9990000000.000000	9990000000.000000
20	1	1063.919459	9495.512217	     -1.00	   2205.95	    822.16	      2.36	      2.36	     41.25	     41.25	-81.28	 1.102e+02	    -11.94	0	Gaussian	9990000000.000000	9990000000.000000
21	1	1054.813852	12679.867187	     -1.00	   3429.81	   2729.37	      2.11	      1.96	     36.98	     34.27	17.49	 2.042e+02	    -11.94	0	Gaussian	9990000000.000000	9990000000.000000
22	1	1064.997331	8241.543980	     -1.00	   1463.37	   1184.99	      2.50	      2.50	     43.76	     43.76	-34.51	 1.050e+02	    -11.92	0	Gaussian	9990000000.000000	9990000000.000000
23	1	1073.810756	17886.473654	     -1.00	   3611.13	   2400.82	      1.93	      1.48	     33.83	     25.97	-52.55	 1.615e+02	    -11.91	0	Gaussian	9990000000.000000	9990000000.000000
24	1	1076.784942	9816.125460	     -1.00	   1997.13	    829.91	      2.27	      2.27	     39.79	     39.79	-23.48	 2.154e+02	    -11.90	0	Gaussian	9990000000.000000	9990000000.000000
25	1	1108.056348	12406.809604	     -1.00	    957.69	   3676.29	      2.23	      1.83	     39.05	     32.08	-50.70	 2.091e+02	    -11.90	0	Gaussian	9990000000.000000	9990000000.000000
26	1	1068.237284	9090.543768	     -1.00	   4265.88	   1343.96	      2.89	      1.89	     50.56	     33.02	-48.63	 1.858e+02	    -11.87	0	Gaussian	9990000000.000000	9990000000.000000
27	1	1075.266461	12404.149699	     -1.00	   4534.80	   2441.77	      2.27	      1.57	     39.65	     27.49	40.35	 1.160e+02	    -11.75	0	Gaussian	9990000000.000000	9990000000.000000
28	1	1060.074194	8396.608873	     -1.00	   2200.62	   2833.34	      2.40	      2.18	     41.97	     38.11	-18.69	 6.976e+01	    -11.74	0	Gaussian	9990000000.000000	9990000000.000000
29	1	1069.293763	12005.251442	     -1.00	   2761.65	   3264.80	      2.04	      1.78	     35.77	     31.10	35.33	 1.471e+02	    -11.73	0	Gaussian	9990000000.000000	9990000000.000000
30	1	1063.615802	6939.488896	     -1.00	   1606.59	    880.24	      2.60	      2.31	     45.56	     40.49	27.77	 1.026e+02	    -11.69	0	Gaussian	9990000000.000000	9990000000.000000
31	1	1080.017355	16711.631248	     -1.00	   3504.74	   2325.16	      1.81	      1.34	     31.64	     23.52	-39.45	 1.623e+02	    -11.66	0	Gaussian	9990000000.000000	9990000000.000000
32	1	1070.840231	8123.011703	     -1.00	   1015.17	   2669.89	      2.51	      1.98	     43.88	     34.66	1.96	 1.270e+02	    -11.65	0	Gaussian	9990000000.000000	9990000000.000000
33	1	1062.561498	6886.978560	     -1.00	   3563.56	    365.06	      2.57	      2.27	     45.01	     39.68	-76.66	 1.263e+02	    -11.64	0	Gaussian	9990000000.000000	9990000000.000000
34	1	1073.053855	7861.110445	     -1.00	   5414.40	   1472.76	      2.72	      1.84	     47.67	     32.20	2.84	 1.176e+02	    -11.62	0	Gaussian	9990000000.000000	9990000000.000000
35	1	1057.754237	6470.083875	     -1.00	   2368.09	    443.79	      2.46	      2.46	     43.06	     43.06	-11.32	 1.020e+02	    -11.62	0	Gaussian	9990000000.000000	9990000000.000000
36	1	1081.629256	8525.506392	     -1.00	    948.79	    977.74	      2.40	      1.83	     41.96	     32.06	39.69	 1.533e+02	    -11.57	0	Gaussian	9990000000.000000	9990000000.000000
37	1	1073.600267	8471.517197	     -1.00	   1812.37	   3533.60	      2.39	      1.78	     41.76	     31.07	-47.41	 1.177e+02	    -11.52	0	Gaussian	9990000000.000000	9990000000.000000
38	1	1068.420714	6582.354169	     -1.00	   5409.05	   1874.19	      2.72	      1.99	     47.66	     34.77	2.63	 1.017e+02	    -11.51	0	Gaussian	9990000000.000000	9990000000.000000
39	1	1058.746487	5815.838471	     -1.00	   1249.55	   1245.47	      2.60	      2.29	     45.46	     40.05	15.90	 9.232e+01	    -11.48	0	Gaussian	9990000000.000000	9990000000.000000
40	1	1077.777438	7982.058420	     -1.00	    936.93	    189.92	      2.27	      1.89	     39.66	     33.13	26.96	 1.518e+02	    -11.47	0	Gaussian	9990000000.000000	9990000000.000000
41	1	1070.574356	6588.407304	     -1.00	    269.98	    385.84	      2.51	      2.02	     43.89	     35.30	-23.30	 1.174e+02	    -11.44	0	Gaussian	9990000000.000000	9990000000.000000
42	1	1062.999807	6617.510587	     -1.00	   4661.27	   3492.51	      2.80	      1.79	     48.96	     31.35	41.87	 9.233e+01	    -11.44	0	Gaussian	9990000000.000000	9990000000.000000
43	1	1059.808677	5967.161980	     -1.00	   1549.89	   1565.49	      2.60	      2.11	     45.55	     36.86	15.42	 7.315e+01	    -11.42	0	Gaussian	9990000000.000000	9990000000.000000
44	1	1062.422779	7944.030386	     -1.00	   2314.14	   1542.77	      2.28	      1.80	     39.86	     31.54	18.38	 1.533e+02	    -11.42	0	Gaussian	9990000000.000000	9990000000.000000
45	1	1062.247668	5732.368534	     -1.00	   4841.51	   3045.38	      2.77	      1.98	     48.57	     34.66	16.18	 7.976e+01	    -11.38	0	Gaussian	9990000000.000000	9990000000.000000
46	1	1065.580419	6206.369173	     -1.00	   5396.43	   2482.09	      2.87	      1.76	     50.23	     30.80	12.83	 1.046e+02	    -11.38	0	Gaussian	9990000000.000000	9990000000.000000
