# 7222 stars found using the following parameters:
# sigma=0.50 roundness=0.05 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	479.445710	798.770063	     -1.00	   3582.93	   1912.48	    263.84	    238.14	   4617.93	   4168.17	48.15	 2.315e+01	    -14.56	0	Gaussian	9990000000.000000	9990000000.000000
2	1	659.499536	618.314106	     -1.00	   2659.28	   2055.69	    241.97	    209.08	   4235.17	   3659.59	82.89	 2.252e+01	    -14.28	0	Gaussian	9990000000.000000	9990000000.000000
3	1	798.805687	472.645440	     -1.00	   3260.63	    828.06	    252.07	    186.97	   4412.00	   3272.47	-54.89	 2.297e+01	    -13.99	0	Gaussian	9990000000.000000	9990000000.000000
4	1	1318.605230	36210.334570	     -1.00	   2546.11	   2517.53	      3.54	      3.01	     61.98	     52.69	39.70	 1.559e+02	    -13.90	1	Gaussian	9990000000.000000	9990000000.000000
5	1	1239.677995	21221.842755	     -1.00	   1976.02	   1428.02	      3.71	      3.51	     64.99	     61.44	14.76	 4.472e+02	    -13.74	1	Gaussian	9990000000.000000	9990000000.000000
6	1	1284.975452	20184.224145	     -1.00	   3108.00	    296.01	      3.66	      3.28	     64.04	     57.42	39.92	 6.380e+02	    -13.60	0	Gaussian	9990000000.000000	9990000000.000000
7	1	1305.913208	18918.388092	     -1.00	    462.79	   2350.83	      3.23	      2.77	     56.51	     48.54	48.00	 5.628e+02	    -13.21	0	Gaussian	9990000000.000000	9990000000.000000
8	1	900.117195	374.672104	     -1.00	   3146.42	    953.14	    133.71	    111.91	   2340.28	   1958.75	43.61	 2.106e+01	    -13.03	0	Gaussian	9990000000.000000	9990000000.000000
9	1	1079.891629	192.820397	     -1.00	   3844.30	   1546.55	    162.92	    117.25	   2851.62	   2052.26	64.79	 3.352e+01	    -13.00	0	Gaussian	9990000000.000000	9990000000.000000
10	1	1090.636263	171.564291	     -1.00	   2505.34	    820.70	    151.44	    110.79	   2650.58	   1939.18	64.67	 2.128e+01	    -12.87	0	Gaussian	9990000000.000000	9990000000.000000
11	1	1124.046137	145.842355	     -1.00	   2829.42	   2505.99	    105.52	     82.46	   1846.87	   1443.26	63.11	 2.104e+01	    -12.81	0	Gaussian	9990000000.000000	9990000000.000000
12	1	1052.969661	216.521747	     -1.00	   3332.36	   2597.53	    111.36	     85.12	   1949.18	   1489.91	43.31	 2.171e+01	    -12.79	0	Gaussian	9990000000.000000	9990000000.000000
13	1	860.688520	417.667821	     -1.00	   2609.32	   1580.14	     84.94	     76.32	   1486.68	   1335.79	38.56	 2.233e+01	    -12.68	0	Gaussian	9990000000.000000	9990000000.000000
14	1	1284.923299	18137.154122	     -1.00	   1532.98	   2702.86	      2.53	      2.20	     44.31	     38.47	-5.34	 2.766e+02	    -12.65	0	Gaussian	9990000000.000000	9990000000.000000
15	1	1292.720218	17825.777325	     -1.00	   4065.98	   1364.19	      2.72	      2.06	     47.61	     36.10	15.01	 2.499e+02	    -12.64	0	Gaussian	9990000000.000000	9990000000.000000
16	1	1276.780622	18598.739341	     -1.00	   3414.14	   2415.90	      2.26	      2.22	     39.64	     38.89	32.30	 2.766e+02	    -12.56	0	Gaussian	9990000000.000000	9990000000.000000
17	1	1292.134683	19215.474804	     -1.00	   3256.30	   1818.24	      2.35	      2.07	     41.16	     36.17	18.26	 2.782e+02	    -12.56	0	Gaussian	9990000000.000000	9990000000.000000
18	1	1178.246367	 97.220493	     -1.00	   3631.79	   2309.82	     90.49	     73.22	   1583.84	   1281.63	-73.28	 2.879e+01	    -12.48	0	Gaussian	9990000000.000000	9990000000.000000
19	1	833.604929	432.251267	     -1.00	   2994.92	   2714.83	     81.90	     62.45	   1433.47	   1093.15	-16.85	 2.382e+01	    -12.45	0	Gaussian	9990000000.000000	9990000000.000000
20	1	1237.559927	13059.957056	     -1.00	   1579.26	   2905.69	      2.72	      2.27	     47.64	     39.81	-7.45	 2.100e+02	    -12.41	0	Gaussian	9990000000.000000	9990000000.000000
21	1	1154.385140	113.060189	     -1.00	   2335.40	   1531.16	    126.56	     78.65	   2215.14	   1376.60	3.42	 2.151e+01	    -12.39	0	Gaussian	9990000000.000000	9990000000.000000
22	1	1020.259894	259.421274	     -1.00	   2717.25	   2099.65	     94.03	     51.66	   1645.86	    904.17	-23.38	 1.969e+01	    -12.38	0	Gaussian	9990000000.000000	9990000000.000000
23	1	1260.279512	13844.061741	     -1.00	   4333.29	   3030.16	      2.36	      2.36	     41.29	     41.29	-13.38	 3.709e+02	    -12.35	0	Gaussian	9990000000.000000	9990000000.000000
24	1	1259.819567	13357.662153	     -1.00	    935.52	    238.95	      2.54	      2.14	     44.38	     37.42	-9.41	 2.521e+02	    -12.29	0	Gaussian	9990000000.000000	9990000000.000000
25	1	1297.126840	15397.370367	     -1.00	   4093.44	   1652.95	      2.51	      1.81	     43.89	     31.67	27.79	 2.450e+02	    -12.25	0	Gaussian	9990000000.000000	9990000000.000000
26	1	1222.111762	 51.345610	     -1.00	   3404.51	    953.09	    173.21	    110.95	   3031.78	   1941.97	46.35	 2.417e+01	    -12.21	0	Gaussian	9990000000.000000	9990000000.000000
27	1	1066.876022	212.423284	     -1.00	   2700.30	   1599.93	     99.24	     63.31	   1737.05	   1108.06	-32.48	 2.329e+01	    -12.18	0	Gaussian	9990000000.000000	9990000000.000000
28	1	1262.332221	6912.796508	     -1.00	   4368.69	    767.17	      3.39	      2.80	     59.29	     49.07	-10.61	 1.907e+02	    -12.18	0	Gaussian	9990000000.000000	9990000000.000000
29	1	1217.187062	 47.101383	     -1.00	   3041.97	   2688.35	    203.10	     88.98	   3554.90	   1557.41	77.66	 2.290e+01	    -12.06	0	Gaussian	9990000000.000000	9990000000.000000
30	1	1122.505508	153.255723	     -1.00	   2920.84	   1139.78	    105.00	     77.64	   1837.85	   1358.97	-79.19	 2.134e+01	    -12.04	0	Gaussian	9990000000.000000	9990000000.000000
31	1	1290.072911	9917.490482	     -1.00	   3064.79	    821.73	      2.58	      2.05	     45.15	     35.92	43.01	 1.719e+02	    -11.94	0	Gaussian	9990000000.000000	9990000000.000000
32	1	1240.792004	9064.569295	     -1.00	   4525.08	   3929.90	      3.28	      1.75	     57.46	     30.62	45.81	 1.599e+02	    -11.93	0	Gaussian	9990000000.000000	9990000000.000000
33	1	1288.191680	15671.247650	     -1.00	   3082.32	   3079.10	      2.13	      1.53	     37.34	     26.80	45.24	 2.588e+02	    -11.91	0	Gaussian	9990000000.000000	9990000000.000000
34	1	1290.823571	13411.533639	     -1.00	   2987.42	   2416.13	      2.18	      1.70	     38.15	     29.84	38.91	 1.779e+02	    -11.88	0	Gaussian	9990000000.000000	9990000000.000000
35	1	1269.192877	7352.684599	     -1.00	   2557.90	    474.38	      2.90	      2.28	     50.82	     39.82	52.97	 1.328e+02	    -11.85	0	Gaussian	9990000000.000000	9990000000.000000
36	1	1263.679707	13541.564011	     -1.00	   3300.15	   3157.28	      2.16	      1.63	     37.76	     28.56	51.30	 1.530e+02	    -11.83	0	Gaussian	9990000000.000000	9990000000.000000
37	1	1159.667536	103.114870	     -1.00	   2206.10	   1318.46	     89.81	     57.38	   1571.96	   1004.39	-55.87	 2.222e+01	    -11.78	0	Gaussian	9990000000.000000	9990000000.000000
38	1	1226.269234	6439.169397	     -1.00	   1519.82	   2717.34	      2.88	      2.32	     50.44	     40.58	-14.65	 1.168e+02	    -11.72	0	Gaussian	9990000000.000000	9990000000.000000
39	1	1158.158954	 98.599339	     -1.00	   4521.97	   1309.98	     99.65	     46.95	   1744.23	    821.73	-88.26	 2.402e+01	    -11.70	0	Gaussian	9990000000.000000	9990000000.000000
40	1	1245.011011	7656.249121	     -1.00	   2047.14	   3201.66	      2.43	      2.26	     42.47	     39.55	29.48	 1.352e+02	    -11.69	0	Gaussian	9990000000.000000	9990000000.000000
41	1	1275.528308	5127.514102	     -1.00	   3732.01	   1433.58	      3.26	      2.50	     57.07	     43.67	-36.44	 1.329e+02	    -11.69	0	Gaussian	9990000000.000000	9990000000.000000
42	1	1257.410352	5822.571390	     -1.00	   1839.83	    957.05	      3.09	      2.26	     54.09	     39.60	44.21	 1.417e+02	    -11.66	0	Gaussian	9990000000.000000	9990000000.000000
43	1	1257.793730	5036.576578	     -1.00	   1723.95	    688.48	      3.30	      2.44	     57.78	     42.75	39.08	 1.282e+02	    -11.66	0	Gaussian	9990000000.000000	9990000000.000000
44	1	1239.064968	4337.959869	     -1.00	   1508.44	    672.25	      3.42	      2.64	     59.79	     46.13	31.77	 1.012e+02	    -11.61	0	Gaussian	9990000000.000000	9990000000.000000
45	1	1223.961063	 50.154733	     -1.00	   2769.28	    886.49	    194.60	     81.91	   3406.17	   1433.65	-64.89	 2.342e+01	    -11.61	0	Gaussian	9990000000.000000	9990000000.000000
46	1	1181.597060	102.039166	     -1.00	   2878.09	   1406.16	     84.95	     39.35	   1486.87	    688.68	51.85	 2.238e+01	    -11.55	0	Gaussian	9990000000.000000	9990000000.000000
47	1	1252.013408	6354.073615	     -1.00	   3886.48	   2542.45	      2.47	      2.32	     43.22	     40.57	12.43	 8.056e+01	    -11.54	0	Gaussian	9990000000.000000	9990000000.000000
48	1	1275.746230	9233.941233	     -1.00	   2773.93	   2726.32	      1.99	      1.94	     34.87	     33.99	61.72	 1.749e+02	    -11.52	0	Gaussian	9990000000.000000	9990000000.000000
49	1	1287.042582	9077.424451	     -1.00	   2889.63	   2330.79	      2.20	      1.78	     38.58	     31.12	38.02	 9.310e+01	    -11.51	0	Gaussian	9990000000.000000	9990000000.000000
50	1	1225.982596	4837.345254	     -1.00	    919.02	    971.15	      3.24	      2.23	     56.70	     39.00	16.82	 1.070e+02	    -11.49	0	Gaussian	9990000000.000000	9990000000.000000
51	1	1234.355630	 43.130198	     -1.00	   3117.09	   1062.96	     66.74	     55.19	   1168.15	    965.92	62.70	 2.293e+01	    -11.49	0	Gaussian	9990000000.000000	9990000000.000000
52	1	1266.453366	5413.610298	     -1.00	   3132.96	    386.81	      2.76	      2.30	     48.26	     40.29	67.26	 1.245e+02	    -11.48	0	Gaussian	9990000000.000000	9990000000.000000
53	1	1232.663757	 49.693839	     -1.00	   2863.95	   1590.32	    112.39	     87.47	   1967.16	   1531.05	82.03	 2.665e+01	    -11.47	0	Gaussian	9990000000.000000	9990000000.000000
54	1	1204.806843	 74.751955	     -1.00	   3447.62	   1701.36	     90.20	     52.11	   1578.72	    912.05	-16.33	 2.203e+01	    -11.42	0	Gaussian	9990000000.000000	9990000000.000000
55	1	1172.683567	114.270643	     -1.00	   2997.07	   1756.12	     40.99	     32.89	    717.39	    575.65	83.80	 2.259e+01	    -11.40	0	Gaussian	9990000000.000000	9990000000.000000
56	1	1255.796516	4604.295051	     -1.00	   4817.37	   1676.43	      3.36	      2.07	     58.78	     36.24	-2.20	 9.203e+01	    -11.40	0	Gaussian	9990000000.000000	9990000000.000000
57	1	1226.383244	 56.096938	     -1.00	   3181.88	   1762.63	    129.33	     42.93	   2263.65	    751.46	55.48	 2.411e+01	    -11.36	0	Gaussian	9990000000.000000	9990000000.000000
58	1	1207.819111	 72.120247	     -1.00	   2599.83	   1431.32	     54.82	     46.94	    959.57	    821.64	15.60	 1.929e+01	    -11.33	0	Gaussian	9990000000.000000	9990000000.000000
59	1	1247.227481	 36.067206	     -1.00	   3389.94	   1887.95	     54.91	     39.67	    961.03	    694.32	-81.14	 2.402e+01	    -11.33	0	Gaussian	9990000000.000000	9990000000.000000
60	1	1253.731433	4905.756368	     -1.00	   4775.08	   2067.50	      3.19	      1.89	     55.85	     33.00	12.01	 9.628e+01	    -11.31	0	Gaussian	9990000000.000000	9990000000.000000
61	1	1253.636783	 17.641374	     -1.00	   3325.66	    886.51	    154.43	     64.80	   2702.96	   1134.23	70.65	 2.260e+01	    -11.28	0	Gaussian	9990000000.000000	9990000000.000000
