# 7988 stars found using the following parameters:
# sigma=0.50 roundness=0.05 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	619.253194	625.052242	     -1.00	   2748.75	   2881.02	    252.83	    196.45	   4425.26	   3438.48	39.42	 2.253e+01	    -14.29	0	Gaussian	9990000000.000000	9990000000.000000
2	1	1265.080256	21416.175995	     -1.00	   2788.04	   2558.36	      4.22	      3.53	     73.89	     61.82	23.22	 6.017e+02	    -13.90	1	Gaussian	9990000000.000000	9990000000.000000
3	1	1278.835103	24988.520554	     -1.00	   2245.73	   1460.91	      3.35	      2.90	     58.67	     50.73	-11.58	 1.979e+02	    -13.65	1	Gaussian	9990000000.000000	9990000000.000000
4	1	1279.415670	20264.434557	     -1.00	   3398.91	    351.02	      3.51	      3.36	     61.48	     58.85	44.49	 6.909e+02	    -13.58	1	Gaussian	9990000000.000000	9990000000.000000
5	1	1239.533887	19603.365915	     -1.00	    742.66	   2347.26	      3.61	      3.19	     63.22	     55.80	10.95	 5.904e+02	    -13.52	0	Gaussian	9990000000.000000	9990000000.000000
6	1	897.245356	376.968124	     -1.00	   3321.06	   1695.18	    202.30	    172.77	   3540.81	   3023.91	46.75	 2.257e+01	    -13.42	0	Gaussian	9990000000.000000	9990000000.000000
7	1	656.057184	618.237921	     -1.00	   3733.45	   1332.53	    135.02	    102.77	   2363.25	   1798.80	54.68	 2.154e+01	    -13.36	0	Gaussian	9990000000.000000	9990000000.000000
8	1	1084.458101	179.347875	     -1.00	   4077.23	   1716.51	    249.34	    154.25	   4364.28	   2699.89	35.27	 2.394e+01	    -13.19	0	Gaussian	9990000000.000000	9990000000.000000
9	1	804.589258	461.775378	     -1.00	   3761.64	   2350.84	    106.93	     92.64	   1871.66	   1621.47	-82.39	 2.167e+01	    -13.04	0	Gaussian	9990000000.000000	9990000000.000000
10	1	757.188430	519.166722	     -1.00	   2905.52	   1467.58	    105.29	     75.45	   1842.89	   1320.68	-48.43	 2.285e+01	    -12.92	0	Gaussian	9990000000.000000	9990000000.000000
11	1	793.899924	482.941662	     -1.00	   3158.61	   1273.10	     94.60	     81.79	   1655.86	   1431.62	-4.72	 2.424e+01	    -12.84	0	Gaussian	9990000000.000000	9990000000.000000
12	1	728.052200	538.432661	     -1.00	   3205.18	    759.15	    120.57	     97.15	   2110.37	   1700.50	-68.45	 1.924e+01	    -12.70	0	Gaussian	9990000000.000000	9990000000.000000
13	1	1286.636893	18559.061465	     -1.00	   4338.71	   1434.86	      2.79	      2.02	     48.85	     35.39	14.80	 2.399e+02	    -12.69	0	Gaussian	9990000000.000000	9990000000.000000
14	1	1067.819216	193.545872	     -1.00	   2325.05	   1454.74	    169.29	     79.20	   2963.13	   1386.16	53.73	 2.370e+01	    -12.67	0	Gaussian	9990000000.000000	9990000000.000000
15	1	1268.557108	18617.443726	     -1.00	   1781.19	   2719.99	      2.59	      2.09	     45.41	     36.53	4.86	 2.309e+02	    -12.64	0	Gaussian	9990000000.000000	9990000000.000000
16	1	1286.869735	20623.588447	     -1.00	   3512.59	   1874.26	      2.48	      1.89	     43.41	     33.04	21.93	 2.558e+02	    -12.60	1	Gaussian	9990000000.000000	9990000000.000000
17	1	1275.467374	18144.907310	     -1.00	   3659.11	   2476.16	      2.51	      1.88	     43.89	     32.97	45.66	 2.339e+02	    -12.47	0	Gaussian	9990000000.000000	9990000000.000000
18	1	1050.647835	220.165247	     -1.00	   3248.48	   1178.35	     94.90	     91.75	   1661.12	   1605.94	-1.29	 2.352e+01	    -12.44	0	Gaussian	9990000000.000000	9990000000.000000
19	1	1255.904426	16483.024984	     -1.00	   1822.80	   2923.02	      2.30	      2.15	     40.28	     37.64	-7.79	 2.102e+02	    -12.41	0	Gaussian	9990000000.000000	9990000000.000000
20	1	949.969722	326.012070	     -1.00	   3329.25	   2218.26	     82.24	     62.62	   1439.49	   1096.06	6.36	 2.129e+01	    -12.41	0	Gaussian	9990000000.000000	9990000000.000000
21	1	1052.496447	207.364258	     -1.00	   4073.31	   2281.88	    118.24	     71.76	   2069.63	   1256.06	-46.43	 1.999e+01	    -12.37	0	Gaussian	9990000000.000000	9990000000.000000
22	1	1178.770274	 96.079654	     -1.00	   3455.08	   1881.42	    126.62	     95.04	   2216.26	   1663.46	55.32	 2.403e+01	    -12.37	0	Gaussian	9990000000.000000	9990000000.000000
