# 393 stars found using the following parameters:
# sigma=1.00 roundness=0.50 radius=5 relax=0 profile=0 minbeta=1.5 max_stars=0 layer=0 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	0	1052.672775	27646.782030	     -1.00	   2426.00	    718.67	      2.21	      2.19	     -1.00	     -1.00	8.42	 3.992e+01	    -12.95	1	Gaussian	9990000000.000000	9990000000.000000
2	0	1047.088704	26009.469910	     -1.00	   4745.10	     54.61	      2.22	      2.20	     -1.00	     -1.00	-65.21	 3.879e+01	    -12.89	1	Gaussian	9990000000.000000	9990000000.000000
3	0	1053.744347	25384.884406	     -1.00	   2888.55	    706.02	      2.21	      2.20	     -1.00	     -1.00	89.93	 3.506e+01	    -12.86	1	Gaussian	9990000000.000000	9990000000.000000
4	0	1050.057570	24887.571312	     -1.00	    464.38	   2679.12	      2.21	      2.20	     -1.00	     -1.00	59.83	 3.721e+01	    -12.84	1	Gaussian	9990000000.000000	9990000000.000000
5	0	1056.097302	24796.597955	     -1.00	   5628.24	    530.03	      2.21	      2.21	     -1.00	     -1.00	84.61	 3.708e+01	    -12.84	1	Gaussian	9990000000.000000	9990000000.000000
6	0	1053.062326	23519.104344	     -1.00	    394.88	    821.98	      2.23	      2.21	     -1.00	     -1.00	-31.07	 3.752e+01	    -12.79	0	Gaussian	9990000000.000000	9990000000.000000
7	0	1053.366760	22490.154953	     -1.00	   4749.17	   3717.30	      2.21	      2.21	     -1.00	     -1.00	35.47	 3.816e+01	    -12.74	0	Gaussian	9990000000.000000	9990000000.000000
8	0	1053.196484	20526.562020	     -1.00	   3496.48	   2900.39	      2.21	      2.21	     -1.00	     -1.00	33.68	 3.496e+01	    -12.64	0	Gaussian	9990000000.000000	9990000000.000000
9	0	1048.351095	20441.128143	     -1.00	   4640.44	    383.47	      2.22	      2.21	     -1.00	     -1.00	-39.03	 3.447e+01	    -12.64	0	Gaussian	9990000000.000000	9990000000.000000
10	0	1053.327155	17951.914242	     -1.00	   2938.05	    902.33	      2.21	      2.19	     -1.00	     -1.00	-26.72	 3.652e+01	    -12.49	0	Gaussian	9990000000.000000	9990000000.000000
11	0	1055.707894	17283.123919	     -1.00	   2461.87	   2011.91	      2.21	      2.20	     -1.00	     -1.00	-42.86	 3.539e+01	    -12.45	0	Gaussian	9990000000.000000	9990000000.000000
12	0	1050.647402	16260.348351	     -1.00	   2309.12	    828.73	      2.21	      2.21	     -1.00	     -1.00	-21.14	 3.352e+01	    -12.39	0	Gaussian	9990000000.000000	9990000000.000000
13	0	1052.863039	16190.454905	     -1.00	     92.09	   1587.36	      2.22	      2.20	     -1.00	     -1.00	-85.36	 3.181e+01	    -12.38	0	Gaussian	9990000000.000000	9990000000.000000
14	0	1054.044489	16047.590967	     -1.00	   5615.03	   3579.41	      2.22	      2.21	     -1.00	     -1.00	87.51	 3.508e+01	    -12.37	0	Gaussian	9990000000.000000	9990000000.000000
15	0	1053.019090	15924.842255	     -1.00	   2331.54	    340.20	      2.21	      2.20	     -1.00	     -1.00	21.72	 3.365e+01	    -12.36	0	Gaussian	9990000000.000000	9990000000.000000
16	0	1053.421218	15837.939112	     -1.00	   4658.67	   1205.74	      2.21	      2.20	     -1.00	     -1.00	-29.15	 3.721e+01	    -12.36	0	Gaussian	9990000000.000000	9990000000.000000
17	0	1059.816278	15021.596313	     -1.00	   4469.98	    679.94	      2.22	      2.20	     -1.00	     -1.00	14.26	 5.443e+01	    -12.30	0	Gaussian	9990000000.000000	9990000000.000000
18	0	1054.411103	14767.905605	     -1.00	    590.84	   1777.12	      2.22	      2.19	     -1.00	     -1.00	-68.31	 3.485e+01	    -12.27	0	Gaussian	9990000000.000000	9990000000.000000
19	0	1051.761648	13653.925655	     -1.00	   3839.29	   2245.22	      2.21	      2.21	     -1.00	     -1.00	52.41	 3.472e+01	    -12.20	0	Gaussian	9990000000.000000	9990000000.000000
20	0	1050.419937	13662.595053	     -1.00	   1043.34	   2239.55	      2.21	      2.21	     -1.00	     -1.00	-63.20	 3.258e+01	    -12.20	0	Gaussian	9990000000.000000	9990000000.000000
21	0	1052.176042	13837.490544	     -1.00	   5836.76	   1543.26	      2.20	      2.20	     -1.00	     -1.00	-14.18	 3.612e+01	    -12.20	0	Gaussian	9990000000.000000	9990000000.000000
22	0	1053.164565	13754.051865	     -1.00	   2913.01	   2763.41	      2.20	      2.19	     -1.00	     -1.00	18.26	 3.541e+01	    -12.19	0	Gaussian	9990000000.000000	9990000000.000000
23	0	1052.371575	13642.567523	     -1.00	   3560.95	   1715.87	      2.21	      2.20	     -1.00	     -1.00	62.40	 3.695e+01	    -12.19	0	Gaussian	9990000000.000000	9990000000.000000
24	0	1056.045793	13133.104789	     -1.00	   3753.02	   1039.38	      2.22	      2.21	     -1.00	     -1.00	55.48	 3.455e+01	    -12.16	0	Gaussian	9990000000.000000	9990000000.000000
25	0	1053.816129	12328.714834	     -1.00	   5357.74	   3337.60	      2.22	      2.19	     -1.00	     -1.00	-23.93	 3.427e+01	    -12.08	0	Gaussian	9990000000.000000	9990000000.000000
26	0	1049.533734	12295.970607	     -1.00	   5418.40	   1355.91	      2.21	      2.20	     -1.00	     -1.00	-48.73	 3.479e+01	    -12.07	0	Gaussian	9990000000.000000	9990000000.000000
27	0	1051.242252	12100.244104	     -1.00	   4509.20	   2593.43	      2.20	      2.20	     -1.00	     -1.00	13.95	 3.767e+01	    -12.06	0	Gaussian	9990000000.000000	9990000000.000000
28	0	1052.331626	12011.174895	     -1.00	   4077.70	   2321.28	      2.20	      2.20	     -1.00	     -1.00	-59.69	 3.416e+01	    -12.05	0	Gaussian	9990000000.000000	9990000000.000000
29	0	1053.849572	11993.876984	     -1.00	   4909.57	   1712.81	      2.19	      2.19	     -1.00	     -1.00	43.26	 3.406e+01	    -12.04	0	Gaussian	9990000000.000000	9990000000.000000
30	0	1053.827418	11660.193416	     -1.00	   1714.07	   1207.35	      2.22	      2.20	     -1.00	     -1.00	-82.76	 3.836e+01	    -12.02	0	Gaussian	9990000000.000000	9990000000.000000
31	0	1051.545983	10852.734664	     -1.00	    507.58	   2369.27	      2.22	      2.19	     -1.00	     -1.00	71.66	 3.369e+01	    -11.94	0	Gaussian	9990000000.000000	9990000000.000000
32	0	1056.901430	10826.675628	     -1.00	   3024.04	   1607.36	      2.20	      2.18	     -1.00	     -1.00	69.46	 3.322e+01	    -11.92	0	Gaussian	9990000000.000000	9990000000.000000
33	0	1051.957489	10514.080791	     -1.00	   2211.00	   3254.70	      2.22	      2.20	     -1.00	     -1.00	-0.33	 3.352e+01	    -11.91	0	Gaussian	9990000000.000000	9990000000.000000
34	0	1054.874608	10523.634512	     -1.00	   2427.79	    835.17	      2.19	      2.19	     -1.00	     -1.00	-76.69	 3.530e+01	    -11.90	0	Gaussian	9990000000.000000	9990000000.000000
35	0	1050.499732	10010.688965	     -1.00	    852.09	   3995.72	      2.22	      2.20	     -1.00	     -1.00	-60.91	 3.448e+01	    -11.86	0	Gaussian	9990000000.000000	9990000000.000000
36	0	1053.654701	9627.860622	     -1.00	   4406.73	   2828.42	      2.21	      2.21	     -1.00	     -1.00	8.75	 3.610e+01	    -11.82	0	Gaussian	9990000000.000000	9990000000.000000
37	0	1052.733617	8937.050327	     -1.00	   3256.11	   2838.02	      2.20	      2.19	     -1.00	     -1.00	19.43	 3.276e+01	    -11.72	0	Gaussian	9990000000.000000	9990000000.000000
38	0	1053.190138	8846.708437	     -1.00	   2069.56	   1441.38	      2.22	      2.18	     -1.00	     -1.00	71.90	 3.434e+01	    -11.71	0	Gaussian	9990000000.000000	9990000000.000000
39	0	1049.696398	8843.292115	     -1.00	   5858.77	    712.19	      2.20	      2.19	     -1.00	     -1.00	1.48	 3.646e+01	    -11.71	0	Gaussian	9990000000.000000	9990000000.000000
40	0	1054.199186	8738.069363	     -1.00	    333.51	    497.42	      2.21	      2.21	     -1.00	     -1.00	-4.65	 3.365e+01	    -11.71	0	Gaussian	9990000000.000000	9990000000.000000
41	0	1050.531908	8706.575401	     -1.00	    589.46	    361.36	      2.22	      2.19	     -1.00	     -1.00	-67.93	 3.125e+01	    -11.70	0	Gaussian	9990000000.000000	9990000000.000000
42	0	1050.718079	8492.333333	     -1.00	   1416.73	   2233.18	      2.23	      2.21	     -1.00	     -1.00	-12.08	 3.135e+01	    -11.69	0	Gaussian	9990000000.000000	9990000000.000000
