# 587 stars found using the following parameters:
# sigma=1.00 roundness=0.50 radius=5 relax=0 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.015918	  0.398703	     -1.00	   2393.10	    648.13	      2.42	      2.35	     -1.00	     -1.00	-81.84	 1.483e-03	     -1.02	1	Gaussian	9990000000.000000	9990000000.000000
2	1	  0.016051	  0.376692	     -1.00	   2880.52	    632.83	      2.34	      2.34	     -1.00	     -1.00	-5.05	 1.189e-03	     -0.93	1	Gaussian	9990000000.000000	9990000000.000000
3	1	  0.015874	  0.350052	     -1.00	    387.62	   2698.83	      2.39	      2.22	     -1.00	     -1.00	69.62	 1.386e-03	     -0.80	0	Gaussian	9990000000.000000	9990000000.000000
4	1	  0.015967	  0.348040	     -1.00	   5681.55	    499.37	      2.37	      2.18	     -1.00	     -1.00	62.11	 1.536e-03	     -0.77	0	Gaussian	9990000000.000000	9990000000.000000
5	1	  0.015870	  0.319212	     -1.00	   4810.46	   3777.93	      2.42	      2.28	     -1.00	     -1.00	-45.59	 1.234e-03	     -0.75	0	Gaussian	9990000000.000000	9990000000.000000
6	1	  0.015901	  0.293611	     -1.00	   3523.99	   2952.60	      2.48	      2.40	     -1.00	     -1.00	-7.44	 1.193e-03	     -0.74	0	Gaussian	9990000000.000000	9990000000.000000
7	1	  0.015980	  0.339521	     -1.00	    333.43	    794.04	      2.25	      2.25	     -1.00	     -1.00	-89.11	 1.352e-03	     -0.72	0	Gaussian	9990000000.000000	9990000000.000000
8	1	  0.015984	  0.308901	     -1.00	   4702.33	    320.49	      2.31	      2.21	     -1.00	     -1.00	32.26	 6.855e-04	     -0.63	0	Gaussian	9990000000.000000	9990000000.000000
9	1	  0.015924	  0.243740	     -1.00	   2426.21	   2011.40	      2.48	      2.48	     -1.00	     -1.00	35.03	 1.239e-03	     -0.57	0	Gaussian	9990000000.000000	9990000000.000000
10	1	  0.015973	  0.259645	     -1.00	   2932.55	    837.42	      2.48	      2.32	     -1.00	     -1.00	-3.95	 1.035e-03	     -0.57	0	Gaussian	9990000000.000000	9990000000.000000
11	1	  0.015914	  0.232733	     -1.00	   2269.46	    763.50	      2.45	      2.39	     -1.00	     -1.00	-7.88	 1.004e-03	     -0.47	0	Gaussian	9990000000.000000	9990000000.000000
12	1	  0.015990	  0.230981	     -1.00	   2297.79	    259.40	      2.40	      2.31	     -1.00	     -1.00	-14.69	 9.110e-04	     -0.41	0	Gaussian	9990000000.000000	9990000000.000000
13	1	  0.016050	  0.232995	     -1.00	   4736.87	   1166.61	      2.33	      2.31	     -1.00	     -1.00	-62.44	 9.463e-04	     -0.38	0	Gaussian	9990000000.000000	9990000000.000000
14	1	  0.016118	  0.220804	     -1.00	   4535.17	    619.11	      2.37	      2.27	     -1.00	     -1.00	39.95	 1.018e-03	     -0.32	0	Gaussian	9990000000.000000	9990000000.000000
15	1	  0.016008	  0.236502	     -1.00	   5666.33	   3610.42	      2.33	      2.16	     -1.00	     -1.00	-35.26	 9.428e-04	     -0.32	0	Gaussian	9990000000.000000	9990000000.000000
16	1	  0.016000	  0.233811	     -1.00	     29.83	   1578.22	      2.31	      2.18	     -1.00	     -1.00	-77.25	 7.503e-04	     -0.32	0	Gaussian	9990000000.000000	9990000000.000000
17	1	  0.015928	  0.194152	     -1.00	   2905.69	   2809.00	      2.46	      2.45	     -1.00	     -1.00	38.27	 9.121e-04	     -0.31	0	Gaussian	9990000000.000000	9990000000.000000
18	1	  0.016007	  0.199525	     -1.00	   3888.24	   2258.90	      2.46	      2.34	     -1.00	     -1.00	-89.60	 8.780e-04	     -0.29	0	Gaussian	9990000000.000000	9990000000.000000
19	1	  0.015977	  0.215170	     -1.00	    505.87	   1768.68	      2.43	      2.18	     -1.00	     -1.00	-85.63	 8.537e-04	     -0.28	0	Gaussian	9990000000.000000	9990000000.000000
20	1	  0.016060	  0.202865	     -1.00	   3593.83	   1696.94	      2.37	      2.36	     -1.00	     -1.00	25.44	 7.768e-04	     -0.27	0	Gaussian	9990000000.000000	9990000000.000000
21	1	  0.015991	  0.204731	     -1.00	    954.40	   2249.39	      2.36	      2.26	     -1.00	     -1.00	85.63	 6.893e-04	     -0.23	0	Gaussian	9990000000.000000	9990000000.000000
22	1	  0.016125	  0.196822	     -1.00	   3794.06	    983.47	      2.36	      2.32	     -1.00	     -1.00	56.79	 5.493e-04	     -0.22	0	Gaussian	9990000000.000000	9990000000.000000
23	1	  0.015991	  0.199268	     -1.00	   5905.99	   1531.45	      2.32	      2.22	     -1.00	     -1.00	76.65	 1.067e-03	     -0.16	0	Gaussian	9990000000.000000	9990000000.000000
24	1	  0.016006	  0.175330	     -1.00	   4138.72	   2338.89	      2.46	      2.31	     -1.00	     -1.00	-86.46	 6.829e-04	     -0.13	0	Gaussian	9990000000.000000	9990000000.000000
25	1	  0.016006	  0.177909	     -1.00	   4586.02	   2623.28	      2.35	      2.35	     -1.00	     -1.00	60.01	 7.312e-04	     -0.11	0	Gaussian	9990000000.000000	9990000000.000000
26	1	  0.015987	  0.166883	     -1.00	   1644.77	   1164.60	      2.39	      2.39	     -1.00	     -1.00	20.95	 7.654e-04	     -0.08	0	Gaussian	9990000000.000000	9990000000.000000
27	1	  0.015983	  0.169027	     -1.00	   4997.00	   1698.53	      2.40	      2.33	     -1.00	     -1.00	87.20	 6.915e-04	     -0.07	0	Gaussian	9990000000.000000	9990000000.000000
28	1	  0.016013	  0.178736	     -1.00	   5425.83	   3376.21	      2.38	      2.18	     -1.00	     -1.00	-68.61	 7.487e-04	     -0.06	0	Gaussian	9990000000.000000	9990000000.000000
29	1	  0.015944	  0.170038	     -1.00	   5500.04	   1333.17	      2.39	      2.27	     -1.00	     -1.00	65.92	 8.632e-04	     -0.05	0	Gaussian	9990000000.000000	9990000000.000000
30	1	  0.016086	  0.156984	     -1.00	   3023.49	   1581.31	      2.47	      2.34	     -1.00	     -1.00	2.26	 7.358e-04	     -0.03	0	Gaussian	9990000000.000000	9990000000.000000
31	1	  0.016042	  0.152911	     -1.00	   2394.13	    769.27	      2.44	      2.31	     -1.00	     -1.00	-1.06	 7.105e-04	      0.03	0	Gaussian	9990000000.000000	9990000000.000000
32	1	  0.016065	  0.158341	     -1.00	   2167.01	   3320.78	      2.32	      2.31	     -1.00	     -1.00	43.68	 5.557e-04	      0.04	0	Gaussian	9990000000.000000	9990000000.000000
33	1	  0.015994	  0.159753	     -1.00	    425.59	   2380.59	      2.38	      2.17	     -1.00	     -1.00	85.02	 6.371e-04	      0.08	0	Gaussian	9990000000.000000	9990000000.000000
34	1	  0.016063	  0.142146	     -1.00	   4477.95	   2870.35	      2.36	      2.33	     -1.00	     -1.00	-29.10	 6.009e-04	      0.13	0	Gaussian	9990000000.000000	9990000000.000000
35	1	  0.015959	  0.125033	     -1.00	   3269.66	   2887.61	      2.48	      2.46	     -1.00	     -1.00	-12.44	 6.821e-04	      0.16	0	Gaussian	9990000000.000000	9990000000.000000
36	1	  0.016015	  0.128373	     -1.00	   2013.64	   1407.78	      2.39	      2.39	     -1.00	     -1.00	28.42	 7.569e-04	      0.20	0	Gaussian	9990000000.000000	9990000000.000000
37	1	  0.016041	  0.127859	     -1.00	   1333.78	   2244.13	      2.32	      2.31	     -1.00	     -1.00	-68.40	 5.405e-04	      0.27	0	Gaussian	9990000000.000000	9990000000.000000
38	1	  0.016017	  0.123310	     -1.00	    286.23	    470.69	      2.37	      2.18	     -1.00	     -1.00	-50.81	 5.973e-04	      0.35	0	Gaussian	9990000000.000000	9990000000.000000
39	1	  0.016067	  0.113065	     -1.00	   3735.22	   3162.10	      2.44	      2.30	     -1.00	     -1.00	-0.45	 5.630e-04	      0.36	0	Gaussian	9990000000.000000	9990000000.000000
40	1	  0.015960	  0.132897	     -1.00	   5906.89	    689.92	      2.29	      2.08	     -1.00	     -1.00	70.40	 5.604e-04	      0.36	0	Gaussian	9990000000.000000	9990000000.000000
41	1	  0.016143	  0.109769	     -1.00	   2258.34	   3060.30	      2.48	      2.33	     -1.00	     -1.00	28.80	 8.317e-04	      0.36	0	Gaussian	9990000000.000000	9990000000.000000
42	1	  0.016064	  0.119286	     -1.00	   1012.81	    329.44	      2.32	      2.21	     -1.00	     -1.00	-24.65	 4.597e-04	      0.39	0	Gaussian	9990000000.000000	9990000000.000000
