# 376 stars found using the following parameters:
# sigma=1.00 roundness=0.50 radius=5 relax=0 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.016062	  0.421874	     -1.00	   2426.00	    718.67	      2.21	      2.19	     -1.00	     -1.00	16.32	 6.097e-04	     -0.91	1	Gaussian	9990000000.000000	9990000000.000000
2	1	  0.015977	  0.396876	     -1.00	   4745.10	     54.61	      2.21	      2.21	     -1.00	     -1.00	-72.06	 5.970e-04	     -0.85	1	Gaussian	9990000000.000000	9990000000.000000
3	1	  0.016079	  0.387392	     -1.00	   2888.55	    706.02	      2.21	      2.21	     -1.00	     -1.00	-59.11	 5.423e-04	     -0.82	1	Gaussian	9990000000.000000	9990000000.000000
4	1	  0.016022	  0.379763	     -1.00	    464.38	   2679.12	      2.21	      2.20	     -1.00	     -1.00	60.22	 5.672e-04	     -0.80	1	Gaussian	9990000000.000000	9990000000.000000
5	1	  0.016114	  0.378385	     -1.00	   5628.24	    530.03	      2.21	      2.21	     -1.00	     -1.00	-87.18	 5.659e-04	     -0.80	1	Gaussian	9990000000.000000	9990000000.000000
6	1	  0.016067	  0.358873	     -1.00	    394.88	    821.98	      2.22	      2.22	     -1.00	     -1.00	-33.04	 5.871e-04	     -0.75	0	Gaussian	9990000000.000000	9990000000.000000
7	1	  0.016072	  0.343187	     -1.00	   4749.17	   3717.30	      2.21	      2.21	     -1.00	     -1.00	30.53	 5.820e-04	     -0.69	0	Gaussian	9990000000.000000	9990000000.000000
8	1	  0.016070	  0.313216	     -1.00	   3496.48	   2900.39	      2.21	      2.21	     -1.00	     -1.00	16.98	 5.330e-04	     -0.60	0	Gaussian	9990000000.000000	9990000000.000000
9	1	  0.015996	  0.311913	     -1.00	   4640.44	    383.47	      2.22	      2.21	     -1.00	     -1.00	-47.15	 5.260e-04	     -0.59	0	Gaussian	9990000000.000000	9990000000.000000
10	1	  0.016072	  0.273932	     -1.00	   2938.05	    902.33	      2.20	      2.20	     -1.00	     -1.00	-46.98	 5.678e-04	     -0.44	0	Gaussian	9990000000.000000	9990000000.000000
11	1	  0.016108	  0.263718	     -1.00	   2461.87	   2011.91	      2.21	      2.20	     -1.00	     -1.00	-40.15	 5.395e-04	     -0.41	0	Gaussian	9990000000.000000	9990000000.000000
12	1	  0.016031	  0.248116	     -1.00	   2309.12	    828.73	      2.21	      2.21	     -1.00	     -1.00	-21.52	 5.114e-04	     -0.35	0	Gaussian	9990000000.000000	9990000000.000000
13	1	  0.016065	  0.247027	     -1.00	     92.09	   1587.36	      2.21	      2.21	     -1.00	     -1.00	-68.89	 4.990e-04	     -0.34	0	Gaussian	9990000000.000000	9990000000.000000
