# 1739 stars found using the following parameters:
# sigma=0.50 roundness=0.05 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.016446	  0.388709	     -1.00	   2409.95	    392.56	      2.54	      2.38	     -1.00	     -1.00	-8.19	 2.557e-03	     -1.06	1	Gaussian	9990000000.000000	9990000000.000000
2	1	  0.016120	  0.327710	     -1.00	   2394.22	    945.80	      2.57	      2.54	     -1.00	     -1.00	-81.81	 2.278e-03	     -0.96	0	Gaussian	9990000000.000000	9990000000.000000
3	1	  0.016188	  0.314216	     -1.00	   4503.34	   2438.29	      2.46	      2.46	     -1.00	     -1.00	3.78	 2.219e-03	     -0.83	0	Gaussian	9990000000.000000	9990000000.000000
4	1	  0.016008	  0.293597	     -1.00	   4101.21	   3688.64	      2.58	      2.46	     -1.00	     -1.00	-60.52	 1.975e-03	     -0.81	0	Gaussian	9990000000.000000	9990000000.000000
5	1	  0.016133	  0.307589	     -1.00	   4952.26	    802.35	      2.51	      2.35	     -1.00	     -1.00	18.84	 2.006e-03	     -0.78	0	Gaussian	9990000000.000000	9990000000.000000
6	1	  0.016032	  0.270384	     -1.00	   2483.22	   2342.96	      2.59	      2.57	     -1.00	     -1.00	12.59	 1.409e-03	     -0.78	0	Gaussian	9990000000.000000	9990000000.000000
7	1	  0.016054	  0.259144	     -1.00	   2651.75	   3129.29	      2.61	      2.53	     -1.00	     -1.00	-5.72	 1.778e-03	     -0.72	0	Gaussian	9990000000.000000	9990000000.000000
8	1	  0.016163	  0.294245	     -1.00	    266.72	    219.39	      2.36	      2.22	     -1.00	     -1.00	-46.30	 1.852e-03	     -0.61	0	Gaussian	9990000000.000000	9990000000.000000
9	1	  0.016078	  0.228485	     -1.00	   3876.21	   3469.85	      2.62	      2.54	     -1.00	     -1.00	-53.51	 1.483e-03	     -0.59	0	Gaussian	9990000000.000000	9990000000.000000
10	1	  0.016096	  0.228750	     -1.00	   2134.39	   2371.44	      2.57	      2.54	     -1.00	     -1.00	18.17	 1.562e-03	     -0.57	0	Gaussian	9990000000.000000	9990000000.000000
11	1	  0.016223	  0.229960	     -1.00	   2288.50	   3882.30	      2.55	      2.46	     -1.00	     -1.00	19.20	 1.742e-03	     -0.53	0	Gaussian	9990000000.000000	9990000000.000000
12	1	  0.015986	  0.208207	     -1.00	   2074.97	   3464.01	      2.65	      2.56	     -1.00	     -1.00	11.08	 7.585e-04	     -0.51	0	Gaussian	9990000000.000000	9990000000.000000
13	1	  0.016058	  0.281160	     -1.00	   6013.48	    272.49	      2.22	      2.05	     -1.00	     -1.00	53.98	 8.363e-04	     -0.41	0	Gaussian	9990000000.000000	9990000000.000000
