# 1563 stars found using the following parameters:
# sigma=0.50 roundness=0.05 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.015854	  0.390165	     -1.00	   2394.24	    945.93	      2.46	      2.40	     -1.00	     -1.00	-19.78	 1.825e-03	     -1.04	1	Gaussian	9990000000.000000	9990000000.000000
2	1	  0.015837	  0.349747	     -1.00	   4503.39	   2438.31	      2.47	      2.40	     -1.00	     -1.00	-80.28	 1.470e-03	     -0.92	0	Gaussian	9990000000.000000	9990000000.000000
3	1	  0.016263	  0.363843	     -1.00	   2409.98	    392.65	      2.37	      2.33	     -1.00	     -1.00	-44.70	 1.674e-03	     -0.90	1	Gaussian	9990000000.000000	9990000000.000000
4	1	  0.015914	  0.369362	     -1.00	   4952.23	    802.22	      2.40	      2.27	     -1.00	     -1.00	35.08	 1.193e-03	     -0.89	1	Gaussian	9990000000.000000	9990000000.000000
5	1	  0.015994	  0.334082	     -1.00	   2483.28	   2343.02	      2.39	      2.39	     -1.00	     -1.00	-51.40	 1.037e-03	     -0.84	0	Gaussian	9990000000.000000	9990000000.000000
6	1	  0.015922	  0.330788	     -1.00	   4101.22	   3688.73	      2.41	      2.35	     -1.00	     -1.00	-46.87	 1.186e-03	     -0.82	0	Gaussian	9990000000.000000	9990000000.000000
7	1	  0.015864	  0.373573	     -1.00	    266.61	    219.29	      2.34	      2.10	     -1.00	     -1.00	-56.75	 1.266e-03	     -0.80	1	Gaussian	9990000000.000000	9990000000.000000
8	1	  0.016065	  0.303885	     -1.00	   2651.78	   3129.31	      2.34	      2.31	     -1.00	     -1.00	12.34	 6.325e-04	     -0.68	0	Gaussian	9990000000.000000	9990000000.000000
9	1	  0.015957	  0.276941	     -1.00	   2074.97	   3463.97	      2.44	      2.28	     -1.00	     -1.00	8.91	 9.156e-04	     -0.61	0	Gaussian	9990000000.000000	9990000000.000000
10	1	  0.016072	  0.270502	     -1.00	   2288.43	   3882.29	      2.39	      2.29	     -1.00	     -1.00	70.79	 9.592e-04	     -0.56	0	Gaussian	9990000000.000000	9990000000.000000
11	1	  0.016052	  0.314778	     -1.00	   6013.40	    272.18	      2.11	      2.11	     -1.00	     -1.00	-75.99	 1.682e-03	     -0.51	0	Gaussian	9990000000.000000	9990000000.000000
12	1	  0.015963	  0.254275	     -1.00	   4929.96	    809.87	      2.41	      2.27	     -1.00	     -1.00	21.74	 8.946e-04	     -0.50	0	Gaussian	9990000000.000000	9990000000.000000
13	1	  0.015821	  0.229910	     -1.00	   3876.24	   3469.96	      2.45	      2.40	     -1.00	     -1.00	-33.50	 9.431e-04	     -0.46	0	Gaussian	9990000000.000000	9990000000.000000
14	1	  0.016147	  0.229603	     -1.00	   2134.40	   2371.48	      2.36	      2.34	     -1.00	     -1.00	41.40	 6.543e-04	     -0.39	0	Gaussian	9990000000.000000	9990000000.000000
15	1	  0.016074	  0.241313	     -1.00	   1249.82	    109.39	      2.27	      2.17	     -1.00	     -1.00	-37.92	 8.033e-04	     -0.32	0	Gaussian	9990000000.000000	9990000000.000000
16	1	  0.015989	  0.217039	     -1.00	    657.39	   1561.27	      2.40	      2.23	     -1.00	     -1.00	-89.19	 7.593e-04	     -0.30	0	Gaussian	9990000000.000000	9990000000.000000
17	1	  0.015938	  0.205107	     -1.00	   5601.40	   1008.76	      2.33	      2.33	     -1.00	     -1.00	5.11	 1.191e-03	     -0.25	0	Gaussian	9990000000.000000	9990000000.000000
18	1	  0.016023	  0.192864	     -1.00	   4005.28	   1311.43	      2.39	      2.37	     -1.00	     -1.00	68.63	 6.996e-04	     -0.23	0	Gaussian	9990000000.000000	9990000000.000000
19	1	  0.016048	  0.189023	     -1.00	   2044.71	   2161.07	      2.37	      2.35	     -1.00	     -1.00	-17.31	 6.820e-04	     -0.19	0	Gaussian	9990000000.000000	9990000000.000000
20	1	  0.016030	  0.197573	     -1.00	    519.97	   2095.17	      2.30	      2.29	     -1.00	     -1.00	-47.71	 1.256e-03	     -0.18	0	Gaussian	9990000000.000000	9990000000.000000
21	1	  0.015985	  0.206287	     -1.00	   5152.18	    621.19	      2.31	      2.18	     -1.00	     -1.00	42.86	 5.090e-04	     -0.18	0	Gaussian	9990000000.000000	9990000000.000000
22	1	  0.016009	  0.202407	     -1.00	    130.63	   2749.82	      2.25	      2.19	     -1.00	     -1.00	52.06	 7.660e-04	     -0.13	0	Gaussian	9990000000.000000	9990000000.000000
23	1	  0.016014	  0.164000	     -1.00	   2326.12	    682.32	      2.43	      2.37	     -1.00	     -1.00	-19.71	 7.522e-04	     -0.07	0	Gaussian	9990000000.000000	9990000000.000000
24	1	  0.015950	  0.163395	     -1.00	   4202.21	   3785.28	      2.44	      2.35	     -1.00	     -1.00	-21.48	 7.558e-04	     -0.07	0	Gaussian	9990000000.000000	9990000000.000000
25	1	  0.016056	  0.158602	     -1.00	   5009.34	   2277.19	      2.44	      2.24	     -1.00	     -1.00	-87.45	 6.451e-04	      0.02	0	Gaussian	9990000000.000000	9990000000.000000
26	1	  0.015954	  0.140173	     -1.00	   3545.80	   2095.53	      2.47	      2.47	     -1.00	     -1.00	87.25	 7.781e-04	      0.03	0	Gaussian	9990000000.000000	9990000000.000000
27	1	  0.015946	  0.146820	     -1.00	   1798.97	   3463.40	      2.45	      2.34	     -1.00	     -1.00	64.52	 5.907e-04	      0.05	0	Gaussian	9990000000.000000	9990000000.000000
28	1	  0.015990	  0.137728	     -1.00	   2731.43	   3565.06	      2.41	      2.36	     -1.00	     -1.00	1.67	 6.306e-04	      0.13	0	Gaussian	9990000000.000000	9990000000.000000
29	1	  0.016084	  0.143056	     -1.00	   4866.89	    393.59	      2.34	      2.22	     -1.00	     -1.00	37.54	 5.563e-04	      0.19	0	Gaussian	9990000000.000000	9990000000.000000
30	1	  0.016015	  0.138947	     -1.00	    576.95	    966.23	      2.28	      2.15	     -1.00	     -1.00	-73.50	 5.870e-04	      0.28	0	Gaussian	9990000000.000000	9990000000.000000
31	1	  0.016025	  0.116139	     -1.00	   3778.03	    703.83	      2.41	      2.41	     -1.00	     -1.00	-27.01	 6.187e-04	      0.29	0	Gaussian	9990000000.000000	9990000000.000000
32	1	  0.016041	  0.130289	     -1.00	     50.01	   2592.49	      2.29	      2.22	     -1.00	     -1.00	35.18	 7.826e-04	      0.31	0	Gaussian	9990000000.000000	9990000000.000000
