# 393 stars found using the following parameters:
# sigma=1.00 roundness=0.50 radius=5 relax=0 profile=0 minbeta=1.5 max_stars=0 layer=0 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	0	1053.841579	27391.197496	     -1.00	   2428.92	   1004.22	      2.21	      2.19	     -1.00	     -1.00	-12.56	 3.836e+01	    -12.94	1	Gaussian	9990000000.000000	9990000000.000000
2	0	1051.757926	26031.252964	     -1.00	   4876.78	    850.09	      2.21	      2.20	     -1.00	     -1.00	70.09	 3.522e+01	    -12.89	1	Gaussian	9990000000.000000	9990000000.000000
3	0	1050.822920	25396.668994	     -1.00	    301.44	    241.99	      2.22	      2.20	     -1.00	     -1.00	-21.73	 3.481e+01	    -12.87	1	Gaussian	9990000000.000000	9990000000.000000
4	0	1069.586534	24786.396791	     -1.00	   2440.10	    471.42	      2.22	      2.21	     -1.00	     -1.00	-68.86	 8.485e+01	    -12.85	1	Gaussian	9990000000.000000	9990000000.000000
5	0	1053.253938	24751.687828	     -1.00	   4428.09	   2416.90	      2.21	      2.20	     -1.00	     -1.00	67.35	 3.750e+01	    -12.84	1	Gaussian	9990000000.000000	9990000000.000000
6	0	1056.756298	23494.414054	     -1.00	   4053.50	   3614.21	      2.20	      2.19	     -1.00	     -1.00	-55.53	 3.370e+01	    -12.77	0	Gaussian	9990000000.000000	9990000000.000000
7	0	1049.898642	22541.199989	     -1.00	   2515.47	   2324.07	      2.22	      2.22	     -1.00	     -1.00	-4.94	 3.355e+01	    -12.75	0	Gaussian	9990000000.000000	9990000000.000000
8	0	1055.495306	20975.722384	     -1.00	   5991.52	    285.05	      2.21	      2.19	     -1.00	     -1.00	-81.07	 3.414e+01	    -12.65	0	Gaussian	9990000000.000000	9990000000.000000
9	0	1050.263159	20173.827301	     -1.00	   2672.75	   3068.30	      2.21	      2.20	     -1.00	     -1.00	5.15	 3.523e+01	    -12.62	0	Gaussian	9990000000.000000	9990000000.000000
10	0	1051.448617	18994.086869	     -1.00	   2121.44	   3393.91	      2.21	      2.20	     -1.00	     -1.00	-23.45	 3.347e+01	    -12.55	0	Gaussian	9990000000.000000	9990000000.000000
11	0	1058.723701	18673.200588	     -1.00	   2321.39	   3799.86	      2.21	      2.20	     -1.00	     -1.00	20.14	 4.180e+01	    -12.53	0	Gaussian	9990000000.000000	9990000000.000000
12	0	1052.768844	17606.034336	     -1.00	   4854.53	    857.96	      2.22	      2.20	     -1.00	     -1.00	24.29	 3.423e+01	    -12.47	0	Gaussian	9990000000.000000	9990000000.000000
13	0	1049.079990	16449.098321	     -1.00	   3834.67	   3398.50	      2.20	      2.20	     -1.00	     -1.00	-27.78	 3.298e+01	    -12.39	0	Gaussian	9990000000.000000	9990000000.000000
14	0	1054.711728	16011.833231	     -1.00	   1306.72	    170.33	      2.20	      2.20	     -1.00	     -1.00	-1.23	 3.305e+01	    -12.35	0	Gaussian	9990000000.000000	9990000000.000000
15	0	1056.595557	15288.214173	     -1.00	   2185.34	   2351.54	      2.22	      2.20	     -1.00	     -1.00	29.71	 3.413e+01	    -12.32	0	Gaussian	9990000000.000000	9990000000.000000
16	0	1052.740008	15121.742693	     -1.00	    743.59	   1577.95	      2.20	      2.20	     -1.00	     -1.00	-2.62	 3.876e+01	    -12.30	0	Gaussian	9990000000.000000	9990000000.000000
17	0	1052.439844	14830.132993	     -1.00	   5528.97	   1037.29	      2.22	      2.20	     -1.00	     -1.00	-71.33	 3.204e+01	    -12.28	0	Gaussian	9990000000.000000	9990000000.000000
18	0	1048.694861	13974.537576	     -1.00	   5081.00	    668.16	      2.21	      2.20	     -1.00	     -1.00	11.48	 3.260e+01	    -12.22	0	Gaussian	9990000000.000000	9990000000.000000
19	0	1054.481218	13767.855917	     -1.00	    605.93	   2092.59	      2.21	      2.20	     -1.00	     -1.00	24.58	 3.305e+01	    -12.20	0	Gaussian	9990000000.000000	9990000000.000000
20	0	1052.341032	13368.963282	     -1.00	    194.41	   2733.78	      2.22	      2.20	     -1.00	     -1.00	24.57	 3.663e+01	    -12.17	0	Gaussian	9990000000.000000	9990000000.000000
21	0	1054.213346	13246.765496	     -1.00	   3952.09	   1350.22	      2.20	      2.19	     -1.00	     -1.00	-12.37	 3.391e+01	    -12.15	0	Gaussian	9990000000.000000	9990000000.000000
22	0	1052.912032	12784.454842	     -1.00	   2100.50	   2153.10	      2.20	      2.20	     -1.00	     -1.00	-33.54	 3.495e+01	    -12.12	0	Gaussian	9990000000.000000	9990000000.000000
23	0	1051.637096	11645.295576	     -1.00	   4152.79	   3710.64	      2.22	      2.19	     -1.00	     -1.00	31.37	 3.460e+01	    -12.02	0	Gaussian	9990000000.000000	9990000000.000000
24	0	1054.385824	11380.200148	     -1.00	   2362.44	    751.13	      2.21	      2.21	     -1.00	     -1.00	20.96	 3.661e+01	    -12.00	0	Gaussian	9990000000.000000	9990000000.000000
25	0	1055.988534	10931.218911	     -1.00	   4921.43	   2265.76	      2.20	      2.19	     -1.00	     -1.00	-0.02	 3.781e+01	    -11.94	0	Gaussian	9990000000.000000	9990000000.000000
26	0	1050.122094	10199.356784	     -1.00	   1855.79	   3396.97	      2.23	      2.22	     -1.00	     -1.00	-7.12	 3.361e+01	    -11.90	0	Gaussian	9990000000.000000	9990000000.000000
27	0	1052.097779	9903.007055	     -1.00	   3515.49	   2091.07	      2.22	      2.19	     -1.00	     -1.00	42.47	 3.521e+01	    -11.84	0	Gaussian	9990000000.000000	9990000000.000000
28	0	1055.593067	9640.897251	     -1.00	   4801.67	    451.46	      2.21	      2.19	     -1.00	     -1.00	-17.57	 3.431e+01	    -11.81	0	Gaussian	9990000000.000000	9990000000.000000
29	0	1052.513982	9558.066974	     -1.00	   2746.68	   3486.81	      2.21	      2.19	     -1.00	     -1.00	-39.71	 3.308e+01	    -11.80	0	Gaussian	9990000000.000000	9990000000.000000
30	0	1049.160625	9249.610500	     -1.00	    651.80	    998.32	      2.22	      2.21	     -1.00	     -1.00	8.39	 3.330e+01	    -11.78	0	Gaussian	9990000000.000000	9990000000.000000
31	0	1052.685438	8979.430535	     -1.00	    111.73	   2580.62	      2.23	      2.19	     -1.00	     -1.00	58.74	 3.548e+01	    -11.74	0	Gaussian	9990000000.000000	9990000000.000000
32	0	1050.455760	8605.197475	     -1.00	   5675.73	   3681.20	      2.22	      2.19	     -1.00	     -1.00	-88.15	 3.508e+01	    -11.69	0	Gaussian	9990000000.000000	9990000000.000000
33	0	1051.864444	7913.853305	     -1.00	   5364.46	   1756.05	      2.24	      2.22	     -1.00	     -1.00	-71.56	 3.408e+01	    -11.63	0	Gaussian	9990000000.000000	9990000000.000000
34	0	1054.655397	8143.031215	     -1.00	   3739.74	    771.53	      2.20	      2.20	     -1.00	     -1.00	-1.40	 3.317e+01	    -11.62	0	Gaussian	9990000000.000000	9990000000.000000
35	0	1057.970711	7959.245708	     -1.00	   5749.96	   2360.56	      2.22	      2.17	     -1.00	     -1.00	-27.79	 3.230e+01	    -11.59	0	Gaussian	9990000000.000000	9990000000.000000
36	0	1049.879452	7692.384312	     -1.00	   5520.24	   2028.64	      2.23	      2.20	     -1.00	     -1.00	10.65	 3.571e+01	    -11.58	0	Gaussian	9990000000.000000	9990000000.000000
37	0	1054.059400	7649.837553	     -1.00	   4208.18	   2934.15	      2.22	      2.22	     -1.00	     -1.00	3.88	 3.408e+01	    -11.57	0	Gaussian	9990000000.000000	9990000000.000000
38	0	1054.467786	7716.533447	     -1.00	    908.72	   2041.22	      2.21	      2.21	     -1.00	     -1.00	-20.84	 3.169e+01	    -11.57	0	Gaussian	9990000000.000000	9990000000.000000
39	0	1052.008733	7352.127802	     -1.00	   5543.11	    630.49	      2.23	      2.20	     -1.00	     -1.00	-18.38	 3.268e+01	    -11.53	0	Gaussian	9990000000.000000	9990000000.000000
40	0	1058.399550	7329.836101	     -1.00	   4434.14	   2404.64	      2.23	      2.19	     -1.00	     -1.00	45.07	 3.201e+01	    -11.52	0	Gaussian	9990000000.000000	9990000000.000000
41	0	1052.496084	6989.448887	     -1.00	   4385.56	   3334.28	      2.20	      2.20	     -1.00	     -1.00	23.44	 3.625e+01	    -11.46	0	Gaussian	9990000000.000000	9990000000.000000
42	0	1053.227098	6808.805219	     -1.00	   5410.55	   3391.96	      2.21	      2.19	     -1.00	     -1.00	-67.28	 3.237e+01	    -11.43	0	Gaussian	9990000000.000000	9990000000.000000
43	0	1057.158970	6689.011512	     -1.00	   3947.49	   1510.04	      2.22	      2.21	     -1.00	     -1.00	69.99	 3.465e+01	    -11.43	0	Gaussian	9990000000.000000	9990000000.000000
44	0	1048.469694	6628.396479	     -1.00	   3141.50	   1234.32	      2.24	      2.20	     -1.00	     -1.00	3.99	 3.032e+01	    -11.42	0	Gaussian	9990000000.000000	9990000000.000000
45	0	1049.242577	6608.711573	     -1.00	   3884.65	    156.37	      2.23	      2.21	     -1.00	     -1.00	-31.21	 3.155e+01	    -11.42	0	Gaussian	9990000000.000000	9990000000.000000
46	0	1054.351869	6652.938422	     -1.00	   1308.32	   1601.25	      2.21	      2.20	     -1.00	     -1.00	34.49	 3.325e+01	    -11.41	0	Gaussian	9990000000.000000	9990000000.000000
47	0	1056.162957	6604.252675	     -1.00	   4548.61	   1838.58	      2.21	      2.19	     -1.00	     -1.00	67.89	 3.272e+01	    -11.40	0	Gaussian	9990000000.000000	9990000000.000000
48	0	1055.196284	6553.141540	     -1.00	   1840.12	    319.39	      2.22	      2.19	     -1.00	     -1.00	-54.09	 3.205e+01	    -11.39	0	Gaussian	9990000000.000000	9990000000.000000
49	0	1050.027153	6525.716026	     -1.00	   4181.06	   2683.93	      2.22	      2.19	     -1.00	     -1.00	-33.73	 3.326e+01	    -11.39	0	Gaussian	9990000000.000000	9990000000.000000
50	0	1056.764565	6388.018739	     -1.00	   2130.13	    622.08	      2.22	      2.18	     -1.00	     -1.00	-6.54	 3.236e+01	    -11.36	0	Gaussian	9990000000.000000	9990000000.000000
51	0	1051.476299	6222.003631	     -1.00	   1560.87	   3522.53	      2.22	      2.21	     -1.00	     -1.00	83.78	 3.349e+01	    -11.35	0	Gaussian	9990000000.000000	9990000000.000000
52	0	1052.909402	6204.945394	     -1.00	   5031.81	   3112.04	      2.23	      2.20	     -1.00	     -1.00	59.40	 3.173e+01	    -11.34	0	Gaussian	9990000000.000000	9990000000.000000
53	0	1051.342524	6319.497573	     -1.00	   5237.28	   3576.24	      2.19	      2.16	     -1.00	     -1.00	3.07	 3.310e+01	    -11.33	0	Gaussian	9990000000.000000	9990000000.000000
54	0	1056.533810	6172.850989	     -1.00	   2001.03	   3622.08	      2.23	      2.17	     -1.00	     -1.00	-15.93	 3.157e+01	    -11.32	0	Gaussian	9990000000.000000	9990000000.000000
55	0	1062.683612	6114.178267	     -1.00	   3845.92	   1158.55	      2.22	      2.18	     -1.00	     -1.00	41.10	 6.380e+01	    -11.32	0	Gaussian	9990000000.000000	9990000000.000000
56	0	1052.788519	6121.744660	     -1.00	   3207.05	     69.87	      2.23	      2.17	     -1.00	     -1.00	-57.02	 3.242e+01	    -11.31	0	Gaussian	9990000000.000000	9990000000.000000
57	0	1051.398235	5769.560949	     -1.00	   5183.71	   3553.94	      2.24	      2.18	     -1.00	     -1.00	-89.70	 3.167e+01	    -11.26	0	Gaussian	9990000000.000000	9990000000.000000
58	0	1053.382927	5748.703205	     -1.00	   1101.72	   3842.65	      2.21	      2.17	     -1.00	     -1.00	75.12	 3.605e+01	    -11.24	0	Gaussian	9990000000.000000	9990000000.000000
