# 12992 stars found using the following parameters:
# sigma=0.50 roundness=0.05 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=0 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	0	1109.038248	20438.131416	     -1.00	   4017.34	   2713.55	      3.78	      3.27	     -1.00	     -1.00	-66.17	 4.724e+02	    -13.64	0	Gaussian	9990000000.000000	9990000000.000000
2	0	1082.084879	20617.517687	     -1.00	   4656.64	    477.53	      3.66	      3.25	     -1.00	     -1.00	29.38	 5.499e+02	    -13.61	0	Gaussian	9990000000.000000	9990000000.000000
3	0	1069.191237	22666.682501	     -1.00	   3469.99	   1615.83	      3.11	      2.71	     -1.00	     -1.00	44.04	 5.283e+02	    -13.34	0	Gaussian	9990000000.000000	9990000000.000000
4	0	1060.987945	22173.953622	     -1.00	   2043.37	   2490.04	      3.28	      2.60	     -1.00	     -1.00	-42.46	 5.239e+02	    -13.33	0	Gaussian	9990000000.000000	9990000000.000000
5	0	1028.506011	26046.560456	     -1.00	    248.93	    550.59	      2.33	      2.03	     -1.00	     -1.00	5.14	 1.815e+01	    -12.86	1	Gaussian	9990000000.000000	9990000000.000000
6	0	1037.422008	25964.255434	     -1.00	   5290.33	   3971.17	      2.34	      2.03	     -1.00	     -1.00	5.01	 1.764e+01	    -12.86	1	Gaussian	9990000000.000000	9990000000.000000
7	0	1041.692305	24261.692246	     -1.00	    700.64	   2873.47	      2.33	      2.01	     -1.00	     -1.00	5.33	 1.978e+01	    -12.77	1	Gaussian	9990000000.000000	9990000000.000000
8	0	1088.898162	19432.589726	     -1.00	   2534.36	    478.85	      2.45	      2.33	     -1.00	     -1.00	75.13	 2.699e+02	    -12.75	0	Gaussian	9990000000.000000	9990000000.000000
9	0	1047.473959	22793.082489	     -1.00	   4842.93	   1886.35	      2.35	      2.03	     -1.00	     -1.00	4.35	 2.135e+01	    -12.72	0	Gaussian	9990000000.000000	9990000000.000000
10	0	1044.064338	22679.046089	     -1.00	   4498.69	   3864.04	      2.18	      2.18	     -1.00	     -1.00	-79.99	 1.530e+02	    -12.71	0	Gaussian	9990000000.000000	9990000000.000000
11	0	1091.330092	21127.586957	     -1.00	   4767.34	   2021.88	      2.45	      2.01	     -1.00	     -1.00	1.04	 2.925e+02	    -12.68	0	Gaussian	9990000000.000000	9990000000.000000
