# 12616 stars found using the following parameters:
# sigma=0.50 roundness=0.05 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=0 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	0	1065.420428	21657.210403	     -1.00	   4440.35	    445.94	      3.51	      3.51	     -1.00	     -1.00	-24.52	 6.827e+02	    -13.70	0	Gaussian	9990000000.000000	9990000000.000000
2	0	1156.176610	21703.256280	     -1.00	   3841.93	   2682.08	      3.16	      3.16	     -1.00	     -1.00	-49.98	 2.216e+02	    -13.61	0	Gaussian	9990000000.000000	9990000000.000000
3	0	1080.480602	21908.157623	     -1.00	   1863.87	   2491.51	      2.98	      2.56	     -1.00	     -1.00	-6.47	 4.162e+02	    -13.20	0	Gaussian	9990000000.000000	9990000000.000000
4	0	1103.695083	21728.448057	     -1.00	   3281.39	   1595.35	      2.95	      2.56	     -1.00	     -1.00	44.00	 2.153e+02	    -13.17	0	Gaussian	9990000000.000000	9990000000.000000
5	0	1021.946445	28068.064511	     -1.00	     92.13	    185.99	      2.34	      2.03	     -1.00	     -1.00	4.16	 1.673e+01	    -12.95	1	Gaussian	9990000000.000000	9990000000.000000
6	0	1053.077906	25958.936710	     -1.00	   3489.21	   2960.04	      2.35	      2.02	     -1.00	     -1.00	5.09	 2.396e+01	    -12.86	1	Gaussian	9990000000.000000	9990000000.000000
7	0	1048.370000	25501.213516	     -1.00	   1981.70	    273.97	      2.18	      2.18	     -1.00	     -1.00	64.10	 1.732e+02	    -12.84	1	Gaussian	9990000000.000000	9990000000.000000
8	0	1053.254062	25265.753807	     -1.00	   1788.00	   1711.06	      2.33	      2.03	     -1.00	     -1.00	6.30	 2.070e+01	    -12.83	1	Gaussian	9990000000.000000	9990000000.000000
9	0	1082.817410	20595.914324	     -1.00	   2325.64	    467.81	      2.56	      2.25	     -1.00	     -1.00	28.49	 2.820e+02	    -12.82	0	Gaussian	9990000000.000000	9990000000.000000
10	0	1040.687217	24916.569662	     -1.00	    807.72	    888.90	      2.34	      2.01	     -1.00	     -1.00	5.05	 3.159e+01	    -12.81	1	Gaussian	9990000000.000000	9990000000.000000
11	0	1115.792693	19828.110355	     -1.00	   1342.57	   3892.70	      2.49	      2.28	     -1.00	     -1.00	-11.30	 3.466e+02	    -12.76	0	Gaussian	9990000000.000000	9990000000.000000
12	0	1104.692098	17804.201804	     -1.00	   5449.97	   1513.77	      2.85	      2.19	     -1.00	     -1.00	17.96	 2.209e+02	    -12.75	0	Gaussian	9990000000.000000	9990000000.000000
13	0	1050.643503	22975.231678	     -1.00	   3955.27	    996.63	      2.35	      2.04	     -1.00	     -1.00	4.92	 2.369e+01	    -12.74	1	Gaussian	9990000000.000000	9990000000.000000
14	0	1084.356408	22208.738071	     -1.00	   4741.57	   2593.73	      2.50	      1.97	     -1.00	     -1.00	23.23	 2.869e+02	    -12.73	0	Gaussian	9990000000.000000	9990000000.000000
15	0	1078.459890	19063.191558	     -1.00	   4573.92	   1981.93	      2.43	      2.10	     -1.00	     -1.00	18.96	 1.948e+02	    -12.61	0	Gaussian	9990000000.000000	9990000000.000000
16	0	1094.244976	18636.957618	     -1.00	   2849.60	   2848.84	      2.50	      2.05	     -1.00	     -1.00	-18.14	 3.939e+02	    -12.58	0	Gaussian	9990000000.000000	9990000000.000000
17	0	1052.691909	19500.145386	     -1.00	   5567.77	   1270.74	      2.33	      2.02	     -1.00	     -1.00	4.43	 3.536e+01	    -12.54	0	Gaussian	9990000000.000000	9990000000.000000
18	0	1040.320798	19247.924807	     -1.00	    521.31	    895.23	      2.33	      2.03	     -1.00	     -1.00	5.44	 1.570e+01	    -12.54	0	Gaussian	9990000000.000000	9990000000.000000
19	0	1046.229285	18998.373459	     -1.00	   1788.55	    630.65	      2.33	      2.04	     -1.00	     -1.00	4.78	 1.644e+01	    -12.52	0	Gaussian	9990000000.000000	9990000000.000000
20	0	1028.235938	18619.691166	     -1.00	   5747.99	    174.22	      2.33	      2.02	     -1.00	     -1.00	4.39	 1.398e+01	    -12.50	0	Gaussian	9990000000.000000	9990000000.000000
21	0	1039.503360	17902.319912	     -1.00	   5758.04	   2972.82	      2.35	      2.02	     -1.00	     -1.00	4.18	 1.671e+01	    -12.46	0	Gaussian	9990000000.000000	9990000000.000000
22	0	1046.815931	17402.166163	     -1.00	   2244.77	    275.10	      2.34	      2.03	     -1.00	     -1.00	5.50	 2.123e+01	    -12.43	0	Gaussian	9990000000.000000	9990000000.000000
