# 7127 stars found using the following parameters:
# sigma=0.50 roundness=0.05 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	1078.455046	20259.521300	     -1.00	   4442.51	    446.38	      3.67	      3.27	     64.23	     57.17	20.63	 3.771e+02	    -13.60	0	Gaussian	9990000000.000000	9990000000.000000
2	1	1155.226727	38298.690781	     -1.00	   3843.58	   2682.42	      2.95	      2.59	     51.71	     45.32	78.12	 2.348e+02	    -13.58	1	Gaussian	9990000000.000000	9990000000.000000
3	1	1098.093716	22014.562748	     -1.00	   3283.34	   1595.49	      2.90	      2.56	     50.72	     44.73	31.34	 2.331e+02	    -13.17	1	Gaussian	9990000000.000000	9990000000.000000
4	1	1086.860059	21651.142852	     -1.00	   1865.72	   2491.50	      2.94	      2.55	     51.41	     44.61	-3.55	 2.997e+02	    -13.16	1	Gaussian	9990000000.000000	9990000000.000000
5	1	1120.335171	21162.275157	     -1.00	   5452.28	   1514.15	      2.76	      1.96	     48.23	     34.22	16.38	 3.064e+02	    -12.78	0	Gaussian	9990000000.000000	9990000000.000000
6	1	1083.232263	19344.513409	     -1.00	   2327.69	    467.92	      2.56	      2.25	     44.89	     39.43	34.91	 2.483e+02	    -12.76	0	Gaussian	9990000000.000000	9990000000.000000
7	1	1096.361103	18288.789501	     -1.00	   1344.28	   3892.46	      2.45	      2.45	     42.90	     42.90	-4.38	 2.923e+02	    -12.74	0	Gaussian	9990000000.000000	9990000000.000000
8	1	1079.448405	19289.973923	     -1.00	   4743.41	   2593.99	      2.56	      2.10	     44.87	     36.80	34.41	 3.151e+02	    -12.68	0	Gaussian	9990000000.000000	9990000000.000000
9	1	1088.469587	19823.522635	     -1.00	   4575.88	   1981.95	      2.45	      1.85	     42.88	     32.32	4.63	 2.415e+02	    -12.52	0	Gaussian	9990000000.000000	9990000000.000000
10	1	1111.293583	20701.180788	     -1.00	   2851.24	   2848.99	      2.29	      1.85	     40.12	     32.37	0.52	 3.863e+02	    -12.49	0	Gaussian	9990000000.000000	9990000000.000000
