# 675 stars found using the following parameters:
# sigma=0.50 roundness=0.05 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=0 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	0	297.861287	50189.459302	     -1.00	   1339.00	    150.00	      2.21	      2.21	     -1.00	     -1.00	85.82	 3.096e+01	    -13.61	1	Gaussian	9990000000.000000	9990000000.000000
2	0	618.645256	48349.533086	     -1.00	    256.03	    359.00	      2.18	      2.18	     -1.00	     -1.00	-83.74	 2.235e+03	    -13.54	1	Gaussian	9990000000.000000	9990000000.000000
3	0	300.775449	47008.601239	     -1.00	   1094.13	   1078.94	      2.22	      2.20	     -1.00	     -1.00	44.93	 2.714e+01	    -13.54	1	Gaussian	9990000000.000000	9990000000.000000
4	0	298.987970	47130.941512	     -1.00	    962.95	   1312.88	      2.21	      2.21	     -1.00	     -1.00	58.99	 3.422e+01	    -13.54	1	Gaussian	9990000000.000000	9990000000.000000
5	0	300.580718	47136.644878	     -1.00	    102.85	   1235.06	      2.21	      2.20	     -1.00	     -1.00	-65.32	 2.623e+01	    -13.53	1	Gaussian	9990000000.000000	9990000000.000000
6	0	299.974683	46982.874967	     -1.00	   1126.12	    681.10	      2.21	      2.20	     -1.00	     -1.00	-33.65	 2.976e+01	    -13.53	1	Gaussian	9990000000.000000	9990000000.000000
7	0	354.078669	46971.408914	     -1.00	   1008.06	    548.93	      2.21	      2.21	     -1.00	     -1.00	-78.67	 3.832e+02	    -13.53	1	Gaussian	9990000000.000000	9990000000.000000
8	0	298.404648	46550.994509	     -1.00	    928.83	    483.00	      2.22	      2.21	     -1.00	     -1.00	-28.50	 3.433e+01	    -13.53	1	Gaussian	9990000000.000000	9990000000.000000
9	0	297.544867	45862.110336	     -1.00	   1147.27	   1132.02	      2.22	      2.21	     -1.00	     -1.00	41.05	 3.208e+01	    -13.52	1	Gaussian	9990000000.000000	9990000000.000000
10	0	298.902323	45983.955982	     -1.00	    258.26	    735.99	      2.21	      2.21	     -1.00	     -1.00	-71.04	 2.798e+01	    -13.51	1	Gaussian	9990000000.000000	9990000000.000000
11	0	299.426138	45391.745010	     -1.00	    373.16	   1095.90	      2.21	      2.21	     -1.00	     -1.00	17.56	 2.654e+01	    -13.50	1	Gaussian	9990000000.000000	9990000000.000000
12	0	298.763485	45312.228099	     -1.00	   1068.13	    325.94	      2.22	      2.20	     -1.00	     -1.00	-35.83	 2.451e+01	    -13.50	1	Gaussian	9990000000.000000	9990000000.000000
13	0	299.804016	44879.167624	     -1.00	    386.29	    777.94	      2.22	      2.20	     -1.00	     -1.00	28.88	 2.279e+01	    -13.49	1	Gaussian	9990000000.000000	9990000000.000000
14	0	299.120918	44699.610590	     -1.00	    657.12	    203.97	      2.21	      2.20	     -1.00	     -1.00	46.20	 3.264e+01	    -13.48	1	Gaussian	9990000000.000000	9990000000.000000
15	0	301.273079	44633.725965	     -1.00	    567.13	    482.86	      2.21	      2.20	     -1.00	     -1.00	12.69	 2.511e+01	    -13.48	1	Gaussian	9990000000.000000	9990000000.000000
16	0	298.744964	44288.621319	     -1.00	   1320.95	   1122.94	      2.22	      2.21	     -1.00	     -1.00	-79.85	 2.343e+01	    -13.48	1	Gaussian	9990000000.000000	9990000000.000000
17	0	297.320599	44352.205107	     -1.00	   1016.73	   1234.00	      2.21	      2.21	     -1.00	     -1.00	89.55	 3.216e+01	    -13.47	1	Gaussian	9990000000.000000	9990000000.000000
18	0	488.519045	45078.280968	     -1.00	    744.77	    393.07	      2.20	      2.18	     -1.00	     -1.00	66.27	 8.797e+02	    -13.47	1	Gaussian	9990000000.000000	9990000000.000000
19	0	299.873784	43908.162705	     -1.00	    483.27	    834.94	      2.22	      2.21	     -1.00	     -1.00	-70.95	 2.376e+01	    -13.47	1	Gaussian	9990000000.000000	9990000000.000000
20	0	301.381199	43798.617115	     -1.00	    790.00	    912.49	      2.21	      2.20	     -1.00	     -1.00	-1.59	 2.966e+01	    -13.46	1	Gaussian	9990000000.000000	9990000000.000000
21	0	299.271067	43205.963747	     -1.00	    889.42	    247.89	      2.21	      2.21	     -1.00	     -1.00	-18.25	 2.588e+01	    -13.45	1	Gaussian	9990000000.000000	9990000000.000000
22	0	299.258486	43287.872261	     -1.00	    664.96	   1221.19	      2.21	      2.20	     -1.00	     -1.00	24.00	 2.269e+01	    -13.45	1	Gaussian	9990000000.000000	9990000000.000000
23	0	299.267211	42995.099193	     -1.00	   1194.99	    455.30	      2.22	      2.21	     -1.00	     -1.00	23.66	 2.664e+01	    -13.45	1	Gaussian	9990000000.000000	9990000000.000000
24	0	345.244880	43201.682189	     -1.00	    231.88	    114.96	      2.21	      2.20	     -1.00	     -1.00	-31.54	 3.778e+02	    -13.44	1	Gaussian	9990000000.000000	9990000000.000000
25	0	300.811500	43132.700629	     -1.00	    398.12	    937.52	      2.21	      2.20	     -1.00	     -1.00	53.79	 3.365e+01	    -13.44	1	Gaussian	9990000000.000000	9990000000.000000
26	0	410.735341	43272.362581	     -1.00	    327.91	    690.05	      2.20	      2.20	     -1.00	     -1.00	65.33	 8.610e+02	    -13.44	1	Gaussian	9990000000.000000	9990000000.000000
27	0	300.091364	42991.204170	     -1.00	    729.43	   1228.13	      2.21	      2.20	     -1.00	     -1.00	76.50	 2.811e+01	    -13.44	1	Gaussian	9990000000.000000	9990000000.000000
28	0	300.699073	42316.516108	     -1.00	    663.34	    787.01	      2.23	      2.21	     -1.00	     -1.00	-18.59	 4.606e+01	    -13.44	1	Gaussian	9990000000.000000	9990000000.000000
