# 675 stars found using the following parameters:
# sigma=0.50 roundness=0.05 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=0 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	0	479.631619	26417.046223	     -1.00	    775.12	   1330.60	      6.61	      2.26	     -1.00	     -1.00	14.97	 2.118e+03	    -14.13	0	Gaussian	9990000000.000000	9990000000.000000
2	0	315.657708	45349.619952	     -1.00	   1336.44	    156.14	      2.42	      2.25	     -1.00	     -1.00	2.20	 2.405e+02	    -13.62	1	Gaussian	9990000000.000000	9990000000.000000
3	0	321.068285	44631.085970	     -1.00	    960.39	   1318.99	      2.35	      2.24	     -1.00	     -1.00	-0.39	 2.037e+02	    -13.56	0	Gaussian	9990000000.000000	9990000000.000000
4	0	316.138987	42991.588020	     -1.00	   1123.54	    687.25	      2.38	      2.27	     -1.00	     -1.00	-2.89	 2.274e+02	    -13.55	0	Gaussian	9990000000.000000	9990000000.000000
5	0	315.445246	42236.320342	     -1.00	   1091.55	   1085.08	      2.42	      2.26	     -1.00	     -1.00	0.53	 2.329e+02	    -13.55	0	Gaussian	9990000000.000000	9990000000.000000
6	0	316.809724	42561.030178	     -1.00	    100.29	   1241.19	      2.42	      2.24	     -1.00	     -1.00	3.95	 2.285e+02	    -13.54	0	Gaussian	9990000000.000000	9990000000.000000
7	0	314.108268	41891.843027	     -1.00	    926.28	    489.14	      2.44	      2.26	     -1.00	     -1.00	5.80	 2.227e+02	    -13.54	0	Gaussian	9990000000.000000	9990000000.000000
8	0	409.010201	42161.564362	     -1.00	   1005.49	    555.07	      2.41	      2.26	     -1.00	     -1.00	0.85	 6.182e+02	    -13.54	0	Gaussian	9990000000.000000	9990000000.000000
9	0	770.392798	43792.200511	     -1.00	    253.46	    365.14	      2.37	      2.20	     -1.00	     -1.00	1.37	 2.444e+03	    -13.53	0	Gaussian	9990000000.000000	9990000000.000000
10	0	313.128543	41337.113070	     -1.00	   1144.69	   1138.16	      2.43	      2.26	     -1.00	     -1.00	-3.50	 2.236e+02	    -13.52	0	Gaussian	9990000000.000000	9990000000.000000
11	0	313.643151	41336.869614	     -1.00	    255.67	    742.12	      2.43	      2.26	     -1.00	     -1.00	-5.33	 2.317e+02	    -13.52	0	Gaussian	9990000000.000000	9990000000.000000
12	0	322.074541	43038.178982	     -1.00	    370.58	   1102.01	      2.34	      2.24	     -1.00	     -1.00	-0.08	 2.038e+02	    -13.52	0	Gaussian	9990000000.000000	9990000000.000000
13	0	312.905151	40735.972926	     -1.00	   1065.55	    332.08	      2.42	      2.26	     -1.00	     -1.00	-4.20	 2.234e+02	    -13.51	0	Gaussian	9990000000.000000	9990000000.000000
14	0	323.415120	42361.677508	     -1.00	    564.55	    488.97	      2.34	      2.23	     -1.00	     -1.00	0.68	 2.013e+02	    -13.50	0	Gaussian	9990000000.000000	9990000000.000000
15	0	311.010824	40050.244038	     -1.00	    383.70	    784.08	      2.44	      2.27	     -1.00	     -1.00	-4.39	 2.202e+02	    -13.50	0	Gaussian	9990000000.000000	9990000000.000000
16	0	313.568008	40321.342604	     -1.00	    654.54	    210.11	      2.42	      2.25	     -1.00	     -1.00	-0.32	 2.313e+02	    -13.49	0	Gaussian	9990000000.000000	9990000000.000000
17	0	312.377712	39767.915948	     -1.00	   1318.39	   1129.08	      2.43	      2.27	     -1.00	     -1.00	3.81	 2.097e+02	    -13.49	0	Gaussian	9990000000.000000	9990000000.000000
18	0	309.065715	39562.264189	     -1.00	   1014.19	   1240.14	      2.45	      2.26	     -1.00	     -1.00	7.24	 2.044e+02	    -13.49	0	Gaussian	9990000000.000000	9990000000.000000
19	0	510.166104	40631.593618	     -1.00	    742.23	    399.20	      2.41	      2.22	     -1.00	     -1.00	7.13	 8.616e+02	    -13.48	0	Gaussian	9990000000.000000	9990000000.000000
20	0	312.572557	39287.354522	     -1.00	    480.69	    841.08	      2.43	      2.27	     -1.00	     -1.00	-7.09	 2.209e+02	    -13.48	0	Gaussian	9990000000.000000	9990000000.000000
21	0	323.017957	41352.143264	     -1.00	    787.44	    918.62	      2.34	      2.24	     -1.00	     -1.00	2.01	 1.986e+02	    -13.48	0	Gaussian	9990000000.000000	9990000000.000000
22	0	316.254918	39949.251553	     -1.00	    662.40	   1227.34	      2.38	      2.26	     -1.00	     -1.00	6.42	 1.994e+02	    -13.47	0	Gaussian	9990000000.000000	9990000000.000000
23	0	318.407146	40112.629933	     -1.00	   1192.43	    461.44	      2.37	      2.26	     -1.00	     -1.00	4.41	 1.973e+02	    -13.46	0	Gaussian	9990000000.000000	9990000000.000000
24	0	322.128897	40765.196716	     -1.00	    395.54	    943.65	      2.34	      2.24	     -1.00	     -1.00	-1.14	 2.031e+02	    -13.46	0	Gaussian	9990000000.000000	9990000000.000000
25	0	306.986497	38076.462869	     -1.00	    886.82	    254.03	      2.46	      2.28	     -1.00	     -1.00	-8.68	 2.005e+02	    -13.46	0	Gaussian	9990000000.000000	9990000000.000000
26	0	312.667046	39153.290585	     -1.00	    937.70	    756.26	      2.40	      2.26	     -1.00	     -1.00	-8.85	 2.118e+02	    -13.45	0	Gaussian	9990000000.000000	9990000000.000000
27	0	320.088106	40109.455010	     -1.00	    545.31	   1333.92	      2.30	      2.30	     -1.00	     -1.00	73.48	 2.168e+02	    -13.45	0	Gaussian	9990000000.000000	9990000000.000000
28	0	319.159160	38019.211231	     -1.00	    660.75	    793.15	      2.45	      2.26	     -1.00	     -1.00	-6.61	 2.204e+02	    -13.44	0	Gaussian	9990000000.000000	9990000000.000000
29	0	297.590280	35578.648660	     -1.00	    726.86	   1234.23	      2.53	      2.33	     -1.00	     -1.00	0.30	 5.912e+01	    -13.44	0	Gaussian	9990000000.000000	9990000000.000000
30	0	461.952464	38774.806768	     -1.00	    229.33	    121.10	      2.41	      2.24	     -1.00	     -1.00	4.54	 1.052e+03	    -13.44	0	Gaussian	9990000000.000000	9990000000.000000
31	0	316.942006	39710.128542	     -1.00	   1191.30	    236.78	      2.36	      2.24	     -1.00	     -1.00	5.08	 1.857e+02	    -13.44	0	Gaussian	9990000000.000000	9990000000.000000
32	0	320.961003	40112.678096	     -1.00	    470.47	    359.91	      2.34	      2.23	     -1.00	     -1.00	1.75	 1.859e+02	    -13.44	0	Gaussian	9990000000.000000	9990000000.000000
33	0	316.089349	39448.204625	     -1.00	   1332.32	    284.76	      2.36	      2.25	     -1.00	     -1.00	4.25	 1.831e+02	    -13.44	0	Gaussian	9990000000.000000	9990000000.000000
34	0	314.202347	38284.797335	     -1.00	    172.75	    938.32	      2.41	      2.26	     -1.00	     -1.00	-9.79	 2.081e+02	    -13.44	0	Gaussian	9990000000.000000	9990000000.000000
35	0	317.917878	39725.582369	     -1.00	   1328.62	   1043.04	      2.35	      2.24	     -1.00	     -1.00	-2.99	 1.943e+02	    -13.44	0	Gaussian	9990000000.000000	9990000000.000000
