# 674 stars found using the following parameters:
# sigma=0.50 roundness=0.05 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=0 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	0	481.005673	26541.090849	     -1.00	    775.10	   1330.60	      6.59	      2.24	     -1.00	     -1.00	14.72	 2.121e+03	    -14.12	0	Gaussian	9990000000.000000	9990000000.000000
2	0	324.604538	47833.074700	     -1.00	   1336.44	    156.10	      2.34	      2.23	     -1.00	     -1.00	0.54	 2.250e+02	    -13.63	1	Gaussian	9990000000.000000	9990000000.000000
3	0	322.816224	44876.161089	     -1.00	    960.39	   1318.99	      2.34	      2.23	     -1.00	     -1.00	-0.26	 2.117e+02	    -13.56	0	Gaussian	9990000000.000000	9990000000.000000
4	0	326.276796	44811.055172	     -1.00	   1091.55	   1085.05	      2.33	      2.23	     -1.00	     -1.00	3.19	 2.181e+02	    -13.56	0	Gaussian	9990000000.000000	9990000000.000000
5	0	325.146561	44702.042235	     -1.00	   1123.54	    687.20	      2.34	      2.22	     -1.00	     -1.00	-0.34	 2.241e+02	    -13.55	0	Gaussian	9990000000.000000	9990000000.000000
6	0	420.025509	44872.258771	     -1.00	   1005.49	    555.03	      2.32	      2.22	     -1.00	     -1.00	0.97	 6.108e+02	    -13.55	0	Gaussian	9990000000.000000	9990000000.000000
7	0	778.258917	46171.123340	     -1.00	    253.46	    365.10	      2.29	      2.19	     -1.00	     -1.00	0.32	 2.446e+03	    -13.55	1	Gaussian	9990000000.000000	9990000000.000000
8	0	318.199360	42763.376153	     -1.00	    100.30	   1241.19	      2.41	      2.23	     -1.00	     -1.00	4.21	 2.413e+02	    -13.54	0	Gaussian	9990000000.000000	9990000000.000000
9	0	315.254774	42052.828910	     -1.00	    926.28	    489.14	      2.43	      2.25	     -1.00	     -1.00	6.07	 2.338e+02	    -13.54	0	Gaussian	9990000000.000000	9990000000.000000
10	0	313.671225	41466.127683	     -1.00	   1144.68	   1138.16	      2.43	      2.25	     -1.00	     -1.00	-3.68	 2.319e+02	    -13.52	0	Gaussian	9990000000.000000	9990000000.000000
11	0	314.924447	41478.755852	     -1.00	    255.67	    742.13	      2.42	      2.25	     -1.00	     -1.00	-5.56	 2.413e+02	    -13.52	0	Gaussian	9990000000.000000	9990000000.000000
12	0	323.436752	43239.702503	     -1.00	    370.58	   1102.01	      2.34	      2.24	     -1.00	     -1.00	-0.22	 2.108e+02	    -13.52	0	Gaussian	9990000000.000000	9990000000.000000
13	0	323.293011	43200.868087	     -1.00	   1065.55	    332.05	      2.34	      2.23	     -1.00	     -1.00	-4.17	 2.080e+02	    -13.52	0	Gaussian	9990000000.000000	9990000000.000000
14	0	322.296910	42634.930189	     -1.00	    654.54	    210.08	      2.33	      2.23	     -1.00	     -1.00	1.26	 2.088e+02	    -13.50	0	Gaussian	9990000000.000000	9990000000.000000
15	0	324.723928	42575.055487	     -1.00	    564.55	    488.97	      2.33	      2.23	     -1.00	     -1.00	0.62	 2.082e+02	    -13.50	0	Gaussian	9990000000.000000	9990000000.000000
16	0	322.347517	42172.449577	     -1.00	   1318.40	   1129.05	      2.34	      2.24	     -1.00	     -1.00	0.91	 1.963e+02	    -13.50	0	Gaussian	9990000000.000000	9990000000.000000
17	0	312.039145	40170.209775	     -1.00	    383.70	    784.08	      2.44	      2.26	     -1.00	     -1.00	-4.64	 2.290e+02	    -13.50	0	Gaussian	9990000000.000000	9990000000.000000
18	0	506.615986	40787.479771	     -1.00	    742.23	    399.20	      2.40	      2.22	     -1.00	     -1.00	7.38	 8.272e+02	    -13.48	0	Gaussian	9990000000.000000	9990000000.000000
19	0	313.868103	39406.593090	     -1.00	    480.69	    841.08	      2.43	      2.27	     -1.00	     -1.00	-7.36	 2.296e+02	    -13.48	0	Gaussian	9990000000.000000	9990000000.000000
20	0	295.798481	36752.862258	     -1.00	   1014.16	   1240.10	      2.53	      2.33	     -1.00	     -1.00	-0.06	 7.693e+01	    -13.48	0	Gaussian	9990000000.000000	9990000000.000000
21	0	326.511585	40572.890226	     -1.00	    787.44	    918.58	      2.39	      2.19	     -1.00	     -1.00	-0.62	 2.395e+02	    -13.45	0	Gaussian	9990000000.000000	9990000000.000000
22	0	469.703915	40949.252104	     -1.00	    229.34	    121.07	      2.33	      2.22	     -1.00	     -1.00	-0.12	 1.049e+03	    -13.45	0	Gaussian	9990000000.000000	9990000000.000000
23	0	321.174273	40280.179342	     -1.00	    545.31	   1333.92	      2.29	      2.29	     -1.00	     -1.00	-85.11	 2.210e+02	    -13.45	0	Gaussian	9990000000.000000	9990000000.000000
24	0	298.166194	35842.212247	     -1.00	    886.85	    254.00	      2.53	      2.33	     -1.00	     -1.00	-0.20	 6.063e+01	    -13.45	0	Gaussian	9990000000.000000	9990000000.000000
25	0	321.841989	39990.728605	     -1.00	    662.40	   1227.32	      2.40	      2.20	     -1.00	     -1.00	2.56	 2.289e+02	    -13.45	0	Gaussian	9990000000.000000	9990000000.000000
26	0	321.879904	40194.742257	     -1.00	    772.38	    534.18	      2.35	      2.23	     -1.00	     -1.00	-0.70	 1.926e+02	    -13.45	0	Gaussian	9990000000.000000	9990000000.000000
27	0	323.914622	39933.944575	     -1.00	   1192.43	    461.41	      2.40	      2.20	     -1.00	     -1.00	1.25	 2.307e+02	    -13.44	0	Gaussian	9990000000.000000	9990000000.000000
28	0	297.575028	35578.648657	     -1.00	    726.86	   1234.23	      2.53	      2.33	     -1.00	     -1.00	0.30	 5.893e+01	    -13.44	0	Gaussian	9990000000.000000	9990000000.000000
29	0	318.006185	39869.199097	     -1.00	   1191.30	    236.78	      2.35	      2.24	     -1.00	     -1.00	5.31	 1.917e+02	    -13.44	0	Gaussian	9990000000.000000	9990000000.000000
30	0	324.819751	39867.450757	     -1.00	    395.54	    943.61	      2.39	      2.20	     -1.00	     -1.00	0.61	 2.453e+02	    -13.44	0	Gaussian	9990000000.000000	9990000000.000000
31	0	589.768855	41069.315281	     -1.00	    325.36	    696.15	      2.31	      2.21	     -1.00	     -1.00	1.06	 1.729e+03	    -13.44	0	Gaussian	9990000000.000000	9990000000.000000
32	0	317.342350	39242.605831	     -1.00	    937.70	    756.24	      2.41	      2.21	     -1.00	     -1.00	-4.02	 2.340e+02	    -13.44	0	Gaussian	9990000000.000000	9990000000.000000
33	0	322.141571	40328.421729	     -1.00	    470.47	    359.91	      2.33	      2.23	     -1.00	     -1.00	1.90	 1.930e+02	    -13.44	0	Gaussian	9990000000.000000	9990000000.000000
34	0	317.032774	39605.629774	     -1.00	   1332.32	    284.76	      2.35	      2.25	     -1.00	     -1.00	4.42	 1.890e+02	    -13.44	0	Gaussian	9990000000.000000	9990000000.000000
35	0	304.927005	35180.010141	     -1.00	    660.77	    793.12	      2.54	      2.34	     -1.00	     -1.00	-0.76	 8.667e+01	    -13.44	0	Gaussian	9990000000.000000	9990000000.000000
36	0	321.393854	39843.276097	     -1.00	    502.42	    828.83	      2.33	      2.24	     -1.00	     -1.00	2.67	 1.873e+02	    -13.43	0	Gaussian	9990000000.000000	9990000000.000000
37	0	320.580017	39671.293574	     -1.00	    773.56	    735.68	      2.34	      2.24	     -1.00	     -1.00	-2.51	 2.027e+02	    -13.43	0	Gaussian	9990000000.000000	9990000000.000000
38	0	321.588103	39855.509871	     -1.00	    621.52	    342.96	      2.33	      2.23	     -1.00	     -1.00	0.54	 1.921e+02	    -13.43	0	Gaussian	9990000000.000000	9990000000.000000
39	0	311.167324	37845.147581	     -1.00	   1328.63	   1043.08	      2.42	      2.26	     -1.00	     -1.00	-6.17	 2.286e+02	    -13.43	0	Gaussian	9990000000.000000	9990000000.000000
40	0	377.524499	39365.543050	     -1.00	    898.28	    785.82	      2.36	      2.23	     -1.00	     -1.00	4.49	 4.805e+02	    -13.43	0	Gaussian	9990000000.000000	9990000000.000000
41	0	299.176378	34867.587578	     -1.00	    172.78	    938.28	      2.54	      2.33	     -1.00	     -1.00	-0.20	 6.349e+01	    -13.42	0	Gaussian	9990000000.000000	9990000000.000000
