# 675 stars found using the following parameters:
# sigma=0.50 roundness=0.05 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=0 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	0	297.861287	50189.459302	     -1.00	   1336.00	    156.00	      2.21	      2.21	     -1.00	     -1.00	85.82	 3.096e+01	    -13.61	1	Gaussian	9990000000.000000	9990000000.000000
2	0	618.645256	48349.533086	     -1.00	    253.03	    365.00	      2.18	      2.18	     -1.00	     -1.00	-83.74	 2.235e+03	    -13.54	1	Gaussian	9990000000.000000	9990000000.000000
3	0	300.775449	47008.601239	     -1.00	   1091.13	   1084.94	      2.22	      2.20	     -1.00	     -1.00	44.93	 2.714e+01	    -13.54	1	Gaussian	9990000000.000000	9990000000.000000
4	0	298.987970	47130.941512	     -1.00	    959.95	   1318.88	      2.21	      2.21	     -1.00	     -1.00	58.99	 3.422e+01	    -13.54	1	Gaussian	9990000000.000000	9990000000.000000
5	0	300.580718	47136.644878	     -1.00	     99.85	   1241.06	      2.21	      2.20	     -1.00	     -1.00	-65.32	 2.623e+01	    -13.53	1	Gaussian	9990000000.000000	9990000000.000000
6	0	299.974683	46982.874967	     -1.00	   1123.12	    687.10	      2.21	      2.20	     -1.00	     -1.00	-33.65	 2.976e+01	    -13.53	1	Gaussian	9990000000.000000	9990000000.000000
7	0	354.078669	46971.408914	     -1.00	   1005.06	    554.93	      2.21	      2.21	     -1.00	     -1.00	-78.67	 3.832e+02	    -13.53	1	Gaussian	9990000000.000000	9990000000.000000
8	0	298.404648	46550.994509	     -1.00	    925.83	    489.00	      2.22	      2.21	     -1.00	     -1.00	-28.50	 3.433e+01	    -13.53	1	Gaussian	9990000000.000000	9990000000.000000
9	0	297.544867	45862.110336	     -1.00	   1144.27	   1138.02	      2.22	      2.21	     -1.00	     -1.00	41.05	 3.208e+01	    -13.52	1	Gaussian	9990000000.000000	9990000000.000000
10	0	298.902323	45983.955982	     -1.00	    255.26	    741.99	      2.21	      2.21	     -1.00	     -1.00	-71.04	 2.798e+01	    -13.51	1	Gaussian	9990000000.000000	9990000000.000000
