# 675 stars found using the following parameters:
# sigma=0.50 roundness=0.05 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=0 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	0	296.142036	49740.370754	     -1.00	   1336.44	    156.12	      2.23	      2.21	     -1.00	     -1.00	0.56	 1.097e+02	    -13.61	1	Gaussian	9990000000.000000	9990000000.000000
2	0	299.613459	46620.644737	     -1.00	   1091.57	   1085.07	      2.23	      2.21	     -1.00	     -1.00	21.68	 9.192e+01	    -13.54	1	Gaussian	9990000000.000000	9990000000.000000
3	0	297.393504	46743.779101	     -1.00	    960.38	   1319.01	      2.23	      2.20	     -1.00	     -1.00	-6.42	 1.020e+02	    -13.54	1	Gaussian	9990000000.000000	9990000000.000000
4	0	299.235368	46741.520937	     -1.00	    100.28	   1241.18	      2.22	      2.21	     -1.00	     -1.00	-25.84	 9.180e+01	    -13.54	1	Gaussian	9990000000.000000	9990000000.000000
5	0	298.090818	46564.498517	     -1.00	   1123.56	    687.22	      2.23	      2.21	     -1.00	     -1.00	-4.34	 8.667e+01	    -13.54	1	Gaussian	9990000000.000000	9990000000.000000
6	0	298.206875	46222.012311	     -1.00	    926.27	    489.13	      2.23	      2.22	     -1.00	     -1.00	-3.09	 8.889e+01	    -13.53	1	Gaussian	9990000000.000000	9990000000.000000
7	0	754.201066	47874.754650	     -1.00	    253.46	    365.12	      2.20	      2.17	     -1.00	     -1.00	0.12	 2.589e+03	    -13.53	1	Gaussian	9990000000.000000	9990000000.000000
8	0	391.029186	46571.280891	     -1.00	   1005.50	    555.05	      2.22	      2.20	     -1.00	     -1.00	5.92	 6.305e+02	    -13.53	1	Gaussian	9990000000.000000	9990000000.000000
9	0	296.782441	45539.595597	     -1.00	   1144.71	   1138.15	      2.23	      2.22	     -1.00	     -1.00	24.19	 8.561e+01	    -13.52	1	Gaussian	9990000000.000000	9990000000.000000
10	0	298.386778	45658.577515	     -1.00	    255.70	    742.11	      2.22	      2.22	     -1.00	     -1.00	-15.03	 7.278e+01	    -13.52	1	Gaussian	9990000000.000000	9990000000.000000
11	0	298.735341	45052.176222	     -1.00	    370.60	   1102.02	      2.23	      2.21	     -1.00	     -1.00	3.73	 8.550e+01	    -13.50	0	Gaussian	9990000000.000000	9990000000.000000
12	0	297.570470	44946.424310	     -1.00	   1065.57	    332.07	      2.24	      2.21	     -1.00	     -1.00	-19.78	 8.825e+01	    -13.50	0	Gaussian	9990000000.000000	9990000000.000000
