# 1145 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002183	  0.156892	     -1.00	    502.32	    200.78	      2.43	      2.40	     42.51	     42.04	33.42	 1.885e-03	     -0.04	0	Gaussian	309.887710	40.579877
2	1	  0.001848	  0.118849	     -1.00	    549.27	    683.36	      2.50	      2.40	     43.74	     41.96	36.48	 9.196e-04	      0.23	0	Gaussian	309.347386	38.328193
3	1	  0.001740	  0.103320	     -1.00	    414.64	    511.18	      2.52	      2.38	     44.10	     41.62	33.00	 7.366e-04	      0.39	0	Gaussian	310.250543	39.082408
4	1	  0.001896	  0.072838	     -1.00	    501.73	    614.35	      2.56	      2.47	     44.86	     43.17	-17.71	 1.425e-03	      0.71	0	Gaussian	309.668322	38.633800
5	1	  0.001716	  0.079280	     -1.00	    708.67	    107.53	      2.43	      2.29	     42.62	     40.05	13.39	 4.372e-04	      0.75	0	Gaussian	308.649149	41.098741
6	1	  0.001655	  0.065083	     -1.00	    461.30	     64.91	      2.43	      2.43	     42.45	     42.45	-35.09	 2.314e-04	      0.91	0	Gaussian	310.220790	41.202637
7	1	  0.001703	  0.052118	     -1.00	    133.57	    439.12	      2.49	      2.39	     43.50	     41.82	76.08	 4.437e-04	      1.14	0	Gaussian	311.997253	39.287213
8	1	  0.001629	  0.047108	     -1.00	    545.88	    732.08	      2.52	      2.51	     44.06	     43.95	-20.53	 2.894e-04	      1.18	0	Gaussian	309.343465	38.098213
9	1	  0.001703	  0.045799	     -1.00	    776.70	     32.98	      2.52	      2.44	     44.08	     42.76	26.83	 2.274e-04	      1.24	0	Gaussian	308.255484	41.474034
10	1	  0.001661	  0.040159	     -1.00	     81.62	    523.56	      2.51	      2.39	     43.96	     41.77	34.79	 3.256e-04	      1.41	0	Gaussian	312.251130	38.864706
11	1	  0.001652	  0.040982	     -1.00	    104.55	    328.26	      2.46	      2.33	     43.14	     40.71	48.12	 3.130e-04	      1.43	0	Gaussian	312.251669	39.791293
12	1	  0.001785	  0.035916	     -1.00	    666.54	    794.21	      2.50	      2.39	     43.69	     41.75	35.41	 4.270e-04	      1.54	0	Gaussian	308.594120	37.850041
13	1	  0.001634	  0.033473	     -1.00	    532.15	    767.29	      2.60	      2.42	     45.42	     42.39	27.71	 2.616e-04	      1.56	0	Gaussian	309.407895	37.927837
14	1	  0.001656	  0.028754	     -1.00	    307.00	    420.65	      2.59	      2.43	     45.32	     42.52	22.23	 1.981e-04	      1.72	0	Gaussian	310.957670	39.459413
15	1	  0.001604	  0.030592	     -1.00	    126.96	     91.14	      2.50	      2.35	     43.73	     41.11	43.18	 1.099e-04	      1.73	0	Gaussian	312.285972	40.915374
16	1	  0.001624	  0.029070	     -1.00	    601.86	     36.73	      2.50	      2.39	     43.79	     41.80	28.94	 1.198e-04	      1.76	0	Gaussian	309.354636	41.393492
17	1	  0.001652	  0.028395	     -1.00	    633.80	    113.32	      2.45	      2.39	     42.85	     41.81	56.67	 2.041e-04	      1.81	0	Gaussian	309.115034	41.044263
18	1	  0.001634	  0.025052	     -1.00	    461.10	    665.90	      2.60	      2.51	     45.52	     43.99	61.47	 1.840e-04	      1.82	0	Gaussian	309.885172	38.375463
19	1	  0.001610	  0.023598	     -1.00	    705.52	    640.90	      2.61	      2.47	     45.68	     43.28	31.64	 1.517e-04	      1.91	0	Gaussian	308.427595	38.583432
20	1	  0.001614	  0.022935	     -1.00	    619.02	    231.92	      2.59	      2.48	     45.31	     43.45	55.67	 1.293e-04	      1.94	0	Gaussian	309.147602	40.479209
21	1	  0.001589	  0.023407	     -1.00	     85.98	    433.18	      2.51	      2.50	     43.91	     43.79	12.12	 1.567e-04	      1.95	0	Gaussian	312.289175	39.289964
22	1	  0.001686	  0.024153	     -1.00	    756.32	    498.24	      2.55	      2.34	     44.57	     41.00	19.30	 2.913e-04	      1.97	0	Gaussian	308.180788	39.271628
23	1	  0.001608	  0.023648	     -1.00	    749.07	    371.39	      2.54	      2.37	     44.46	     41.52	17.08	 1.661e-04	      1.98	0	Gaussian	308.279421	39.867232
24	1	  0.001644	  0.023588	     -1.00	    435.49	    577.37	      2.50	      2.35	     43.68	     41.17	62.57	 2.264e-04	      2.01	0	Gaussian	310.087414	38.780400
25	1	  0.001639	  0.022879	     -1.00	    369.44	    686.74	      2.52	      2.38	     44.11	     41.65	60.35	 1.810e-04	      2.01	0	Gaussian	310.422318	38.239174
26	1	  0.001610	  0.021948	     -1.00	    537.13	    423.00	      2.50	      2.50	     43.82	     43.79	-63.72	 1.421e-04	      2.02	0	Gaussian	309.553741	39.547447
