# 704 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	 -0.000117	  0.002242	     -1.00	    168.21	    119.11	     48.12	     29.13	    842.21	    509.80	9.18	 5.275e-04	     -0.71	0	Gaussian	318.055710	51.759305
2	1	  0.002018	  0.224598	     -1.00	    580.01	    481.48	      2.70	      2.53	     47.31	     44.36	44.01	 1.589e-03	     -0.60	1	Gaussian	314.624462	50.461826
3	1	  0.001892	  0.170141	     -1.00	    658.08	    435.45	      2.68	      2.53	     46.99	     44.21	37.94	 1.186e-03	     -0.29	0	Gaussian	314.105614	50.728297
4	1	 -0.000958	  0.002889	     -1.00	    321.78	    128.60	     78.50	     23.68	   1373.93	    414.40	3.78	 3.979e-04	     -0.28	0	Gaussian	316.918900	51.856703
5	1	  0.001772	  0.147196	     -1.00	    612.16	    762.09	      2.57	      2.54	     44.99	     44.38	12.03	 7.363e-04	     -0.09	0	Gaussian	314.107557	49.196111
6	1	  0.001746	  0.095602	     -1.00	    409.42	    476.79	      2.61	      2.61	     45.66	     45.66	0.43	 7.909e-04	      0.33	0	Gaussian	315.858817	50.352259
7	1	  0.001828	  0.089430	     -1.00	    675.54	    362.34	      2.69	      2.49	     47.07	     43.65	44.66	 7.790e-04	      0.42	0	Gaussian	314.052461	51.074746
8	1	  0.001781	  0.050468	     -1.00	     50.58	    200.34	      2.78	      2.62	     48.72	     45.79	37.26	 5.464e-04	      0.95	0	Gaussian	318.794334	51.281143
9	1	  0.001745	  0.057340	     -1.00	    710.18	    703.22	      2.60	      2.46	     45.49	     43.04	27.04	 4.165e-04	      0.96	0	Gaussian	313.467651	49.533593
10	1	  0.001763	  0.057752	     -1.00	    792.61	    688.48	      2.51	      2.41	     43.88	     42.15	22.56	 4.946e-04	      1.01	0	Gaussian	312.891473	49.654230
11	1	  0.001701	  0.038925	     -1.00	    314.04	    187.76	      2.87	      2.65	     50.21	     46.34	42.20	 3.674e-04	      1.19	0	Gaussian	316.900223	51.583199
12	1	  0.001682	  0.034439	     -1.00	    257.67	    572.37	      2.73	      2.56	     47.73	     44.80	46.97	 2.862e-04	      1.42	0	Gaussian	316.826191	49.790306
13	1	  0.001712	  0.030382	     -1.00	     57.93	    173.29	      2.82	      2.66	     49.40	     46.53	40.78	 3.250e-04	      1.47	0	Gaussian	318.779830	51.409716
14	1	  0.001629	  0.027567	     -1.00	     53.02	    633.24	      2.86	      2.62	     50.07	     45.78	34.44	 2.276e-04	      1.58	0	Gaussian	318.184219	49.329577
15	1	  0.001661	  0.027835	     -1.00	    338.90	    227.51	      2.81	      2.58	     49.14	     45.08	42.99	 2.676e-04	      1.60	0	Gaussian	316.668656	51.425261
16	1	  0.001689	  0.026748	     -1.00	    210.69	    768.43	      2.76	      2.51	     48.29	     43.89	42.70	 2.471e-04	      1.69	0	Gaussian	316.916807	48.855152
17	1	  0.001641	  0.025454	     -1.00	    138.90	    414.27	      2.80	      2.59	     48.98	     45.26	40.31	 2.173e-04	      1.70	0	Gaussian	317.869527	50.401985
18	1	  0.001710	  0.024826	     -1.00	    420.18	    636.13	      2.65	      2.65	     46.42	     46.41	-49.24	 3.540e-04	      1.76	0	Gaussian	315.600761	49.632847
19	1	  0.001609	  0.023621	     -1.00	    386.95	    377.93	      2.79	      2.61	     48.86	     45.72	67.00	 2.123e-04	      1.77	0	Gaussian	316.136528	50.783960
20	1	  0.001656	  0.023033	     -1.00	    317.80	    205.40	      2.84	      2.61	     49.74	     45.74	37.03	 1.978e-04	      1.78	0	Gaussian	316.850397	51.506904
21	1	  0.001623	  0.021925	     -1.00	     64.61	    706.25	      2.80	      2.59	     48.93	     45.27	41.90	 1.709e-04	      1.86	0	Gaussian	318.008104	49.008545
22	1	  0.001630	  0.023042	     -1.00	    724.63	    490.90	      2.66	      2.56	     46.64	     44.73	30.68	 1.703e-04	      1.88	0	Gaussian	313.566371	50.519651
23	1	  0.001682	  0.022675	     -1.00	    319.42	    750.36	      2.69	      2.52	     47.00	     44.11	41.72	 2.052e-04	      1.90	0	Gaussian	316.180359	49.028913
24	1	  0.001687	  0.019128	     -1.00	    353.76	    710.44	      2.76	      2.55	     48.23	     44.68	38.34	 1.775e-04	      2.04	0	Gaussian	315.985459	49.239669
25	1	  0.001636	  0.018408	     -1.00	    354.22	    487.16	      2.71	      2.65	     47.44	     46.42	74.36	 1.675e-04	      2.06	0	Gaussian	316.242215	50.259965
26	1	  0.001626	  0.018507	     -1.00	     21.25	    788.72	      2.74	      2.59	     47.92	     45.33	62.95	 1.596e-04	      2.07	0	Gaussian	318.199596	48.592909
27	1	  0.001620	  0.018690	     -1.00	    374.53	    444.64	      2.71	      2.53	     47.50	     44.28	47.57	 1.820e-04	      2.09	0	Gaussian	316.146959	50.470329
28	1	  0.001684	  0.017561	     -1.00	    428.59	    381.46	      2.70	      2.61	     47.34	     45.61	54.75	 3.212e-04	      2.13	0	Gaussian	315.831211	50.801841
29	1	  0.002255	  0.020459	     -1.00	    787.79	    678.51	      2.42	      2.30	     42.44	     40.27	17.14	 2.269e-03	      2.22	0	Gaussian	312.935012	49.697245
