# 935 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.003827	  0.728138	     -1.00	    736.26	    631.79	      2.93	      2.55	     51.30	     44.71	35.17	 7.653e-03	     -1.98	1	Gaussian	323.494999	45.591240
2	1	  0.002103	  0.106745	     -1.00	    555.76	    783.48	      2.94	      2.53	     51.46	     44.24	32.85	 1.294e-03	      0.12	0	Gaussian	324.365853	44.696341
3	1	  0.001913	  0.090485	     -1.00	    775.78	    583.54	      2.89	      2.53	     50.67	     44.26	30.36	 9.992e-04	      0.31	0	Gaussian	323.324434	45.854069
4	1	  0.002055	  0.086146	     -1.00	    441.63	    510.37	      2.91	      2.55	     50.92	     44.71	31.64	 1.115e-03	      0.35	0	Gaussian	325.534244	45.765618
5	1	  0.002005	  0.073974	     -1.00	    647.23	    656.37	      2.92	      2.54	     51.08	     44.40	32.00	 9.562e-04	      0.52	0	Gaussian	324.010883	45.374625
6	1	  0.001927	  0.067043	     -1.00	    423.41	    255.77	      2.88	      2.65	     50.47	     46.39	36.11	 8.574e-04	      0.59	0	Gaussian	326.105129	46.863091
7	1	  0.001742	  0.035555	     -1.00	    582.68	    148.64	      2.84	      2.58	     49.79	     45.16	33.60	 4.932e-04	      1.32	0	Gaussian	325.292449	47.545270
8	1	  0.001706	  0.028045	     -1.00	     69.20	     73.88	      3.03	      2.90	     53.05	     50.83	30.21	 3.805e-04	      1.38	0	Gaussian	328.650533	47.155973
9	1	  0.001713	  0.028575	     -1.00	    573.12	    455.77	      2.99	      2.58	     52.33	     45.17	27.75	 3.709e-04	      1.51	0	Gaussian	324.811713	46.175493
10	1	  0.001740	  0.028211	     -1.00	    129.02	    739.53	      2.98	      2.60	     52.16	     45.47	34.45	 4.049e-04	      1.52	0	Gaussian	327.017728	44.344446
11	1	  0.001783	  0.028233	     -1.00	     14.76	    681.93	      2.91	      2.64	     50.94	     46.13	33.37	 4.717e-04	      1.53	0	Gaussian	327.800157	44.441000
12	1	  0.001761	  0.028009	     -1.00	     71.50	    110.53	      2.82	      2.49	     49.31	     43.57	17.59	 3.979e-04	      1.63	0	Gaussian	328.562985	47.001350
13	1	  0.001720	  0.025743	     -1.00	    618.26	    237.21	      2.86	      2.65	     50.02	     46.37	30.07	 3.838e-04	      1.64	0	Gaussian	324.907701	47.200717
14	1	  0.001669	  0.023816	     -1.00	    219.70	    434.35	      3.04	      2.64	     53.18	     46.20	30.02	 2.960e-04	      1.66	0	Gaussian	327.033161	45.804352
15	1	  0.001835	  0.023773	     -1.00	    779.93	    307.87	      2.93	      2.57	     51.31	     44.91	35.06	 4.128e-04	      1.73	0	Gaussian	323.751845	47.089974
16	1	  0.001793	  0.020967	     -1.00	    744.84	    543.69	      2.94	      2.54	     51.55	     44.50	32.30	 3.990e-04	      1.87	0	Gaussian	323.584368	45.995492
17	1	  0.001726	  0.018388	     -1.00	    307.39	    470.56	      2.89	      2.54	     50.55	     44.38	23.30	 3.909e-04	      2.04	0	Gaussian	326.431035	45.764338
18	1	  0.001716	  0.017233	     -1.00	    261.36	    195.86	      2.93	      2.60	     51.27	     45.57	26.35	 2.781e-04	      2.06	0	Gaussian	327.226797	46.903172
19	1	  0.001684	  0.014031	     -1.00	    174.76	    113.77	      3.01	      2.71	     52.69	     47.47	31.10	 1.888e-04	      2.21	0	Gaussian	327.921583	47.137088
20	1	  0.001581	  0.005673	     -1.00	     71.55	    594.75	      4.50	      4.50	     78.80	     78.79	10.81	 3.032e-04	      2.21	0	Gaussian	327.626299	44.899760
21	1	  0.001629	  0.013396	     -1.00	    607.97	    442.07	      2.94	      2.73	     51.50	     47.86	52.26	 1.739e-04	      2.29	0	Gaussian	324.616614	46.280216
22	1	  0.001614	  0.013601	     -1.00	    276.23	    218.30	      2.95	      2.66	     51.58	     46.60	34.09	 1.706e-04	      2.29	0	Gaussian	327.091961	46.826070
23	1	  0.001681	  0.014369	     -1.00	    713.07	    358.51	      2.90	      2.54	     50.83	     44.45	26.07	 2.460e-04	      2.30	0	Gaussian	324.094080	46.782454
24	1	  0.001680	  0.013914	     -1.00	    109.84	    308.66	      2.87	      2.54	     50.25	     44.54	70.22	 3.647e-04	      2.34	0	Gaussian	327.939773	46.199045
25	1	  0.001657	  0.013027	     -1.00	    384.03	    314.59	      2.93	      2.65	     51.30	     46.42	23.94	 2.043e-04	      2.35	0	Gaussian	326.243079	46.552017
26	1	  0.001713	  0.012947	     -1.00	    693.79	    134.39	      2.93	      2.64	     51.27	     46.28	24.88	 2.268e-04	      2.36	0	Gaussian	324.604525	47.751881
27	1	  0.001612	  0.010882	     -1.00	    318.33	    574.33	      3.13	      2.83	     54.73	     49.60	36.75	 1.519e-04	      2.40	0	Gaussian	326.176914	45.322379
28	1	  0.001641	  0.010827	     -1.00	    314.23	    749.98	      3.25	      2.70	     56.83	     47.33	35.35	 1.672e-04	      2.42	0	Gaussian	325.890956	44.542133
29	1	  0.001632	  0.011640	     -1.00	    512.57	    700.10	      3.02	      2.65	     52.95	     46.46	26.16	 1.427e-04	      2.43	0	Gaussian	324.770095	45.014514
30	1	  0.001615	  0.011676	     -1.00	    275.83	    464.75	      3.00	      2.64	     52.54	     46.17	34.47	 1.582e-04	      2.45	0	Gaussian	326.634697	45.747422
31	1	  0.001753	  0.012420	     -1.00	    179.46	    610.53	      2.89	      2.58	     50.58	     45.24	26.34	 4.535e-04	      2.45	0	Gaussian	326.951489	44.978044
32	1	  0.001713	  0.010890	     -1.00	    717.10	    396.71	      3.02	      2.73	     52.90	     47.77	51.39	 2.776e-04	      2.48	0	Gaussian	324.003981	46.617423
33	1	  0.001699	  0.012074	     -1.00	    311.49	    793.68	      2.85	      2.59	     49.84	     45.26	21.75	 2.310e-04	      2.50	0	Gaussian	325.831234	44.345414
34	1	  0.001618	  0.011261	     -1.00	    602.37	     90.23	      2.88	      2.59	     50.40	     45.35	30.55	 1.525e-04	      2.54	0	Gaussian	325.271763	47.828234
35	1	  0.001657	  0.008876	     -1.00	     29.06	    671.50	      3.30	      2.85	     57.74	     49.82	26.02	 1.977e-04	      2.56	0	Gaussian	327.735158	44.506243
36	1	  0.001650	  0.010441	     -1.00	    466.73	    402.96	      2.91	      2.71	     50.95	     47.35	53.25	 1.837e-04	      2.57	0	Gaussian	325.568727	46.272529
37	1	  0.001662	  0.011227	     -1.00	    727.32	    213.58	      2.86	      2.56	     50.07	     44.79	35.08	 1.426e-04	      2.58	0	Gaussian	324.250532	47.443733
38	1	  0.001659	  0.009684	     -1.00	    355.17	    697.83	      3.08	      2.73	     53.92	     47.81	35.25	 2.573e-04	      2.59	0	Gaussian	325.734601	44.825372
39	1	  0.001622	  0.010660	     -1.00	    659.96	    352.94	      2.76	      2.75	     48.34	     48.09	47.31	 1.688e-04	      2.59	0	Gaussian	324.441213	46.741046
40	1	  0.001614	  0.010809	     -1.00	    725.48	    741.53	      2.92	      2.57	     51.09	     44.99	23.79	 1.314e-04	      2.60	0	Gaussian	323.385884	45.086960
41	1	  0.001616	  0.009728	     -1.00	    291.59	    612.87	      3.02	      2.74	     52.79	     47.95	35.65	 1.280e-04	      2.60	0	Gaussian	326.270420	45.117392
42	1	  0.001615	  0.010198	     -1.00	    200.48	    112.81	      2.93	      2.67	     51.23	     46.82	25.83	 1.382e-04	      2.61	0	Gaussian	327.764400	47.178093
43	1	  0.001578	  0.009136	     -1.00	    548.17	    426.92	      3.04	      2.80	     53.25	     49.05	31.21	 1.066e-04	      2.64	0	Gaussian	325.017946	46.271661
44	1	  0.001586	  0.009750	     -1.00	    471.06	    226.81	      2.97	      2.67	     51.91	     46.71	26.61	 1.185e-04	      2.64	0	Gaussian	325.858839	47.053975
45	1	  0.001610	  0.008833	     -1.00	     57.56	    150.19	      3.10	      2.80	     54.31	     48.98	27.57	 1.052e-04	      2.65	0	Gaussian	328.568973	46.809831
46	1	  0.001615	  0.009862	     -1.00	    501.85	    218.48	      2.93	      2.63	     51.21	     46.04	35.04	 1.287e-04	      2.66	0	Gaussian	325.679809	47.131466
47	1	  0.001765	  0.009010	     -1.00	    392.94	    783.05	      3.03	      2.72	     53.07	     47.53	73.46	 4.979e-04	      2.69	0	Gaussian	325.358342	44.496260
48	1	  0.001701	  0.009435	     -1.00	    435.67	    266.76	      2.91	      2.65	     50.97	     46.40	37.07	 2.263e-04	      2.71	0	Gaussian	326.008266	46.831210
49	1	  0.001677	  0.007174	     -1.00	    309.51	    249.67	      3.59	      2.83	     62.83	     49.58	70.79	 2.356e-04	      2.71	0	Gaussian	326.826393	46.735159
50	1	  0.001750	  0.009488	     -1.00	    315.99	    450.47	      2.97	      2.56	     51.91	     44.80	25.10	 6.783e-04	      2.72	0	Gaussian	326.414982	45.864091
51	1	  0.001725	  0.008627	     -1.00	    312.42	    440.91	      3.10	      2.62	     54.29	     45.92	17.18	 5.481e-04	      2.74	0	Gaussian	326.454320	45.901273
52	1	  0.001555	  0.000237	     -1.00	    506.13	    468.76	     29.34	     16.36	    513.61	    286.37	49.38	 1.059e-04	      2.75	0	Gaussian	325.207347	46.032695
53	1	  0.001628	  0.008842	     -1.00	    402.67	    341.64	      2.95	      2.65	     51.69	     46.33	24.33	 1.347e-04	      2.77	0	Gaussian	326.077729	46.458124
54	1	  0.001639	  0.007616	     -1.00	    212.41	    643.91	      3.24	      2.77	     56.79	     48.56	5.13	 1.527e-04	      2.78	0	Gaussian	326.692683	44.875786
55	1	  0.001614	  0.008591	     -1.00	    687.54	    559.15	      2.99	      2.64	     52.36	     46.12	30.77	 9.600e-05	      2.79	0	Gaussian	323.919591	45.857360
56	1	  0.001571	  0.008492	     -1.00	    634.33	    325.71	      2.97	      2.64	     52.05	     46.18	39.03	 9.767e-05	      2.80	0	Gaussian	324.650853	46.829532
57	1	  0.001630	  0.008431	     -1.00	    572.23	    436.33	      2.97	      2.69	     51.95	     47.02	28.48	 1.369e-04	      2.81	0	Gaussian	324.850891	46.260602
58	1	  0.001576	  0.007445	     -1.00	     66.52	    750.93	      3.19	      2.79	     55.80	     48.77	39.83	 9.655e-05	      2.81	0	Gaussian	327.367104	44.210249
59	1	  0.001693	  0.008267	     -1.00	    158.36	    309.82	      3.02	      2.58	     52.91	     45.20	17.42	 3.724e-04	      2.84	0	Gaussian	327.642159	46.262581
60	1	  0.001657	  0.007992	     -1.00	    729.84	    581.45	      2.97	      2.56	     52.04	     44.81	25.17	 2.820e-04	      2.90	0	Gaussian	323.617169	45.808747
61	1	  0.001597	  0.007126	     -1.00	    258.27	    406.21	      3.02	      2.80	     52.93	     49.05	10.94	 1.357e-04	      2.93	0	Gaussian	326.850003	45.980176
62	1	  0.001571	  0.007206	     -1.00	    245.21	    443.68	      3.12	      2.63	     54.65	     45.97	22.47	 9.219e-05	      2.94	0	Gaussian	326.860362	45.798341
63	1	  0.001814	  0.007786	     -1.00	    262.49	    595.10	      2.84	      2.65	     49.73	     46.37	3.76	 7.409e-04	      2.95	0	Gaussian	326.478663	45.157035
64	1	  0.001650	  0.007854	     -1.00	    440.68	    559.59	      2.87	      2.57	     50.25	     45.07	24.83	 1.210e-04	      2.97	0	Gaussian	325.453705	45.546801
65	1	  0.001650	  0.007269	     -1.00	    341.81	    277.14	      2.85	      2.77	     49.85	     48.47	46.45	 1.653e-04	      2.97	0	Gaussian	326.574564	46.659129
66	1	  0.001593	  0.006778	     -1.00	    328.58	    320.08	      3.11	      2.68	     54.40	     46.98	30.07	 9.515e-05	      2.98	0	Gaussian	326.576924	46.453081
67	1	  0.001609	  0.007042	     -1.00	    708.96	    555.59	      3.05	      2.62	     53.32	     45.79	29.51	 9.708e-05	      2.99	0	Gaussian	323.790893	45.899198
68	1	  0.001626	  0.006589	     -1.00	    141.25	    786.85	      3.21	      2.65	     56.24	     46.35	20.41	 1.284e-04	      2.99	0	Gaussian	326.859678	44.153035
69	1	  0.001720	  0.006968	     -1.00	    254.80	    604.42	      3.06	      2.58	     53.58	     45.18	23.61	 6.728e-04	      3.01	0	Gaussian	326.508391	45.105844
70	1	  0.001657	  0.006738	     -1.00	    420.97	    667.64	      2.96	      2.71	     51.74	     47.40	33.53	 1.690e-04	      3.05	0	Gaussian	325.386597	45.043299
71	1	  0.001580	  0.006092	     -1.00	     27.99	    262.63	      3.09	      2.79	     54.07	     48.78	34.40	 1.028e-04	      3.06	0	Gaussian	328.525608	46.281068
72	1	  0.001613	  0.006043	     -1.00	     46.72	    194.81	      3.06	      2.84	     53.64	     49.73	-0.81	 1.157e-04	      3.07	0	Gaussian	328.546225	46.601335
73	1	  0.001622	  0.004273	     -1.00	    755.66	    398.48	      3.69	      3.25	     64.55	     56.86	-61.53	 1.165e-04	      3.09	0	Gaussian	323.755582	46.656715
74	1	  0.001634	  0.005744	     -1.00	    504.81	    659.97	      3.27	      2.69	     57.24	     47.13	29.26	 1.339e-04	      3.10	0	Gaussian	324.885824	45.183206
75	1	  0.001582	  0.005908	     -1.00	     86.68	    713.83	      2.96	      2.86	     51.82	     50.14	30.46	 1.070e-04	      3.11	0	Gaussian	327.315810	44.399964
76	1	  0.001689	  0.006716	     -1.00	    772.59	      5.29	      2.90	      2.55	     50.70	     44.70	33.57	 1.381e-04	      3.12	0	Gaussian	324.319511	48.422701
77	1	  0.001610	  0.006070	     -1.00	    591.60	    731.72	      3.01	      2.74	     52.62	     48.00	15.99	 9.411e-05	      3.13	0	Gaussian	324.231067	44.970859
78	1	  0.001655	  0.005326	     -1.00	    693.54	    215.12	      3.09	      3.04	     54.09	     53.27	-38.14	 1.162e-04	      3.13	0	Gaussian	324.464971	47.394393
79	1	  0.001706	  0.006653	     -1.00	    794.51	    126.94	      2.75	      2.67	     48.17	     46.65	58.78	 1.326e-04	      3.14	0	Gaussian	323.964857	47.911880
80	1	  0.001636	  0.004421	     -1.00	    700.65	     96.43	      3.91	      2.80	     68.50	     49.00	-6.04	 7.517e-05	      3.16	0	Gaussian	324.627110	47.928379
81	1	  0.001610	  0.005593	     -1.00	    135.30	    685.28	      3.07	      2.84	     53.72	     49.72	25.00	 1.035e-04	      3.16	0	Gaussian	327.079137	44.590770
82	1	  0.001559	  0.002674	     -1.00	    598.02	    353.63	      5.44	      3.23	     95.27	     56.58	64.31	 8.491e-05	      3.18	0	Gaussian	324.832159	46.659753
83	1	  0.001595	  0.005287	     -1.00	    468.88	    620.80	      3.02	      2.96	     52.78	     51.73	34.24	 8.509e-05	      3.19	0	Gaussian	325.173900	45.311760
84	1	  0.001554	  0.000530	     -1.00	    479.45	    635.00	     21.13	      5.33	    369.88	     93.31	-18.96	 8.262e-05	      3.19	0	Gaussian	325.084465	45.262142
85	1	  0.001607	  0.005332	     -1.00	    209.90	    473.36	      3.17	      2.75	     55.45	     48.10	26.12	 1.261e-04	      3.20	0	Gaussian	327.020307	45.620270
86	1	  0.001667	  0.006030	     -1.00	    778.63	    330.39	      2.97	      2.60	     51.99	     45.48	23.66	 2.001e-04	      3.20	0	Gaussian	323.722423	46.988113
87	1	  0.001593	  0.004629	     -1.00	    513.51	    413.78	      3.20	      3.17	     56.04	     55.42	77.73	 1.125e-04	      3.20	0	Gaussian	325.257724	46.285387
88	1	  0.001721	  0.006013	     -1.00	    402.56	    614.75	      2.95	      2.62	     51.67	     45.80	12.72	 3.244e-04	      3.20	0	Gaussian	325.591125	45.253785
89	1	  0.001692	  0.005782	     -1.00	    626.36	    469.01	      3.05	      2.61	     53.33	     45.74	33.45	 3.260e-04	      3.21	0	Gaussian	324.455057	46.183564
90	1	  0.001605	  0.005666	     -1.00	    624.26	    506.18	      2.96	      2.79	     51.84	     48.80	22.88	 8.413e-05	      3.21	0	Gaussian	324.405186	46.015677
91	1	  0.001574	  0.005604	     -1.00	    412.07	    172.67	      2.99	      2.67	     52.37	     46.73	24.15	 1.238e-04	      3.24	0	Gaussian	326.329766	47.212140
92	1	  0.001624	  0.005070	     -1.00	     88.71	    220.35	      3.21	      2.74	     56.16	     48.03	24.14	 1.054e-04	      3.24	0	Gaussian	328.240268	46.551745
93	1	  0.001610	  0.004517	     -1.00	    322.40	    482.14	      3.14	      3.05	     54.97	     53.47	19.15	 8.472e-05	      3.27	0	Gaussian	326.318112	45.733458
94	1	  0.001611	  0.005180	     -1.00	    478.07	    752.89	      3.11	      2.63	     54.40	     46.10	31.78	 9.417e-05	      3.29	0	Gaussian	324.892140	44.736910
95	1	  0.001654	  0.005166	     -1.00	    606.11	    782.33	      2.97	      2.78	     51.92	     48.58	30.20	 1.683e-04	      3.29	0	Gaussian	324.058578	44.762439
96	1	  0.001615	  0.005107	     -1.00	     91.72	    678.90	      2.93	      2.73	     51.34	     47.77	23.12	 1.047e-04	      3.33	0	Gaussian	327.350132	44.559686
97	1	  0.001612	  0.005070	     -1.00	    600.84	    683.80	      2.95	      2.79	     51.58	     48.83	21.27	 1.540e-04	      3.33	0	Gaussian	324.253328	45.195838
98	1	  0.001598	  0.004836	     -1.00	    671.98	    456.92	      3.20	      2.64	     55.96	     46.15	35.97	 1.343e-04	      3.34	0	Gaussian	324.188305	46.293883
99	1	  0.001667	  0.004850	     -1.00	    240.86	    522.41	      3.11	      2.67	     54.48	     46.65	21.72	 1.261e-04	      3.35	0	Gaussian	326.741941	45.447322
100	1	  0.001631	  0.005114	     -1.00	    713.01	    635.84	      3.03	      2.58	     52.97	     45.15	30.74	 1.551e-04	      3.36	0	Gaussian	323.634063	45.545454
101	1	  0.001574	  0.004860	     -1.00	    656.49	    607.35	      3.04	      2.69	     53.23	     47.10	24.83	 6.404e-05	      3.37	0	Gaussian	324.034139	45.604591
102	1	  0.001606	  0.004778	     -1.00	    742.70	     66.26	      3.00	      2.80	     52.47	     49.01	33.80	 7.032e-05	      3.37	0	Gaussian	324.407387	48.115307
103	1	  0.001587	  0.004414	     -1.00	     13.72	    498.17	      3.23	      2.71	     56.61	     47.38	22.96	 8.659e-05	      3.40	0	Gaussian	328.153632	45.239639
104	1	  0.001647	  0.004760	     -1.00	    370.60	    316.87	      2.98	      2.64	     52.22	     46.24	28.57	 9.203e-05	      3.42	0	Gaussian	326.322344	46.523985
105	1	  0.001612	  0.004252	     -1.00	    607.62	    629.07	      3.27	      2.73	     57.19	     47.71	27.53	 7.927e-05	      3.42	0	Gaussian	324.302398	45.448087
106	1	  0.001596	  0.003655	     -1.00	    740.87	    769.80	      3.29	      3.14	     57.60	     54.90	39.68	 7.411e-05	      3.42	0	Gaussian	323.245179	44.978133
107	1	  0.001659	  0.004316	     -1.00	    735.45	    155.67	      3.12	      2.76	     54.63	     48.23	6.52	 1.140e-04	      3.44	0	Gaussian	324.298293	47.710602
108	1	  0.001608	  0.001673	     -1.00	    306.97	    306.04	      6.65	      3.33	    116.48	     58.30	-37.64	 1.922e-04	      3.45	0	Gaussian	326.736708	46.485142
