# 1151 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002800	  0.951819	     -1.00	    652.19	    310.13	      3.56	      3.24	     62.40	     56.67	19.55	 6.519e-03	     -2.74	1	Gaussian	305.557942	40.257788
2	1	  0.001688	  0.232100	     -1.00	    418.14	    684.84	      2.57	      2.43	     45.03	     42.58	27.53	 1.139e-03	     -0.54	0	Gaussian	306.891816	38.440097
3	1	  0.001603	  0.153971	     -1.00	    637.09	    147.34	      2.52	      2.35	     44.07	     41.11	6.39	 5.882e-04	     -0.03	0	Gaussian	305.688350	41.025839
4	1	  0.002160	  0.135448	     -1.00	    726.66	    493.29	      2.56	      2.43	     44.79	     42.61	34.43	 1.521e-03	      0.05	0	Gaussian	305.063063	39.403322
5	1	  0.001762	  0.128560	     -1.00	     10.40	    682.46	      2.44	      2.34	     42.62	     40.90	27.21	 8.976e-04	      0.20	0	Gaussian	309.347606	38.328137
6	1	  0.001568	  0.105922	     -1.00	    665.82	    125.89	      2.59	      2.34	     45.32	     40.93	5.22	 2.642e-04	      0.35	0	Gaussian	305.512572	41.132323
7	1	  0.001726	  0.083609	     -1.00	    614.92	    530.16	      3.06	      2.43	     53.61	     42.56	17.84	 8.281e-04	      0.38	0	Gaussian	305.738748	39.211111
8	1	  0.001734	  0.094392	     -1.00	    777.39	    579.26	      2.59	      2.44	     45.39	     42.63	16.76	 6.859e-04	      0.43	0	Gaussian	304.739246	39.004186
9	1	  0.001655	  0.101045	     -1.00	    499.47	    273.39	      2.44	      2.30	     42.77	     40.17	12.82	 7.321e-04	      0.48	0	Gaussian	306.515659	40.402032
10	1	  0.001571	  0.079155	     -1.00	    167.73	    106.69	      2.47	      2.37	     43.22	     41.48	29.11	 3.472e-04	      0.70	0	Gaussian	308.649193	41.098737
11	1	  0.001578	  0.073823	     -1.00	    547.45	    327.97	      2.52	      2.42	     44.09	     42.28	16.18	 3.339e-04	      0.73	0	Gaussian	306.202914	40.153946
12	1	  0.001559	  0.056313	     -1.00	    757.43	    127.29	      2.91	      2.46	     50.87	     43.02	-42.67	 9.113e-04	      0.85	0	Gaussian	304.936210	41.139322
13	1	  0.001658	  0.059557	     -1.00	    392.55	    495.01	      2.56	      2.41	     44.75	     42.22	24.21	 9.989e-04	      0.95	0	Gaussian	307.106954	39.329311
14	1	  0.002782	  0.057550	     -1.00	    613.23	    202.82	      2.55	      2.50	     44.66	     43.80	25.59	 4.047e-03	      0.95	0	Gaussian	305.824935	40.758872
15	1	  0.002263	  0.061789	     -1.00	    463.59	    463.28	      2.48	      2.35	     43.45	     41.05	23.39	 3.209e-03	      0.97	0	Gaussian	306.681903	39.496225
16	1	  0.001575	  0.047328	     -1.00	    777.58	    732.88	      2.66	      2.55	     46.53	     44.68	40.93	 3.076e-04	      1.10	0	Gaussian	304.714906	38.279648
17	1	  0.001564	  0.050142	     -1.00	      7.20	    731.15	      2.56	      2.38	     44.78	     41.64	24.52	 4.965e-04	      1.15	0	Gaussian	309.343519	38.098136
18	1	  0.001592	  0.048272	     -1.00	    235.45	     32.00	      2.51	      2.40	     43.89	     42.03	18.05	 2.565e-04	      1.20	0	Gaussian	308.255435	41.473954
19	1	  0.001582	  0.040101	     -1.00	    771.34	    522.04	      2.68	      2.53	     46.86	     44.28	26.99	 1.994e-04	      1.28	0	Gaussian	304.785035	39.273596
20	1	  0.001948	  0.043832	     -1.00	    738.19	    718.38	      2.58	      2.39	     45.13	     41.78	21.22	 1.493e-03	      1.29	0	Gaussian	304.954378	38.342708
21	1	  0.001486	  0.038647	     -1.00	    325.30	    746.30	      2.72	      2.43	     47.61	     42.52	55.95	 3.029e-04	      1.35	0	Gaussian	307.430512	38.127160
22	1	  0.001503	  0.040073	     -1.00	    517.37	    402.77	      2.56	      2.46	     44.85	     43.10	27.66	 2.219e-04	      1.36	0	Gaussian	306.368668	39.794001
23	1	  0.001563	  0.040906	     -1.00	    322.10	    241.83	      2.44	      2.42	     42.76	     42.35	5.64	 2.679e-04	      1.40	0	Gaussian	307.629320	40.507126
24	1	  0.001590	  0.037356	     -1.00	    696.71	    735.38	      2.61	      2.45	     45.71	     42.87	31.26	 4.455e-04	      1.42	0	Gaussian	305.201063	38.256557
25	1	  0.001529	  0.041272	     -1.00	    302.78	    166.39	      2.46	      2.35	     43.12	     41.08	6.94	 2.315e-04	      1.42	0	Gaussian	307.778255	40.858461
26	1	  0.001487	  0.037990	     -1.00	    277.86	    359.29	      2.55	      2.41	     44.67	     42.20	28.91	 2.107e-04	      1.44	0	Gaussian	307.859243	39.939272
27	1	  0.001464	  0.037743	     -1.00	    300.01	    257.47	      2.55	      2.40	     44.59	     42.02	17.49	 1.440e-04	      1.46	0	Gaussian	307.760887	40.426907
28	1	  0.001619	  0.033445	     -1.00	    765.23	    757.71	      2.66	      2.53	     46.59	     44.37	18.06	 3.078e-04	      1.48	0	Gaussian	304.785388	38.161092
29	1	  0.001560	  0.034966	     -1.00	    127.90	    792.79	      2.59	      2.49	     45.30	     43.52	38.82	 2.762e-04	      1.48	0	Gaussian	308.594386	37.850084
30	1	  0.003014	  0.042331	     -1.00	    621.08	    194.30	      2.37	      2.25	     41.45	     39.35	17.74	 5.613e-03	      1.48	0	Gaussian	305.777826	40.800634
31	1	  0.001506	  0.012153	     -1.00	    343.79	    573.28	      7.23	      2.54	    126.59	     44.42	-25.16	 7.573e-04	      1.49	0	Gaussian	307.378066	38.947350
32	1	  0.001868	  0.038419	     -1.00	    497.36	     66.82	      2.46	      2.35	     43.02	     41.18	31.67	 9.712e-04	      1.50	0	Gaussian	306.589200	41.379457
33	1	  0.001599	  0.036561	     -1.00	    439.14	    412.47	      2.55	      2.35	     44.63	     41.15	7.67	 3.446e-04	      1.51	0	Gaussian	306.847370	39.730562
34	1	  0.001527	  0.035308	     -1.00	    472.24	    283.60	      2.47	      2.41	     43.27	     42.19	16.49	 1.730e-04	      1.55	0	Gaussian	306.681901	40.347610
35	1	  0.001597	  0.032668	     -1.00	    636.66	    767.39	      2.57	      2.43	     44.96	     42.58	26.73	 3.747e-04	      1.59	0	Gaussian	305.555668	38.095998
36	1	  0.001706	  0.031780	     -1.00	    688.61	    570.76	      2.64	      2.41	     46.15	     42.19	29.57	 5.471e-04	      1.60	0	Gaussian	305.281039	39.031750
37	1	  0.001512	  0.025137	     -1.00	    552.32	    579.49	      3.10	      2.57	     54.30	     45.02	69.84	 5.644e-04	      1.61	0	Gaussian	306.108417	38.966395
38	1	  0.001501	  0.032762	     -1.00	    774.71	     74.53	      2.60	      2.34	     45.52	     40.88	5.95	 1.583e-04	      1.62	0	Gaussian	304.836274	41.391513
39	1	  0.001463	  0.030893	     -1.00	    573.14	    458.50	      2.60	      2.41	     45.52	     42.16	13.73	 1.832e-04	      1.65	0	Gaussian	306.011307	39.541872
40	1	  0.001518	  0.031933	     -1.00	    514.38	     76.62	      2.50	      2.38	     43.78	     41.71	7.10	 2.429e-04	      1.67	0	Gaussian	306.478947	41.336800
41	1	  0.001504	  0.031391	     -1.00	     60.81	     36.34	      2.46	      2.33	     43.01	     40.75	18.78	 1.349e-04	      1.73	0	Gaussian	309.354600	41.393346
42	1	  0.001619	  0.030035	     -1.00	    518.35	    338.43	      2.49	      2.41	     43.50	     42.16	20.53	 5.913e-04	      1.73	0	Gaussian	306.380307	40.098457
43	1	  0.001487	  0.027916	     -1.00	    329.31	    208.80	      2.52	      2.48	     44.17	     43.45	34.78	 1.946e-04	      1.76	0	Gaussian	307.596623	40.665318
44	1	  0.001524	  0.029570	     -1.00	     92.96	    112.71	      2.47	      2.34	     43.30	     41.00	20.81	 1.521e-04	      1.78	0	Gaussian	309.115100	41.044298
45	1	  0.001482	  0.027779	     -1.00	    405.10	    162.99	      2.48	      2.44	     43.33	     42.66	41.75	 1.083e-04	      1.80	0	Gaussian	307.138952	40.902170
46	1	  0.001518	  0.024949	     -1.00	    751.96	    636.30	      2.65	      2.48	     46.43	     43.36	13.42	 2.061e-04	      1.83	0	Gaussian	304.884653	38.731675
47	1	  0.001461	  0.025927	     -1.00	    480.20	    598.48	      2.60	      2.41	     45.53	     42.24	14.40	 1.936e-04	      1.84	0	Gaussian	306.541570	38.861644
48	1	  0.001467	  0.026739	     -1.00	    693.65	    196.78	      2.53	      2.38	     44.32	     41.68	12.76	 1.467e-04	      1.85	0	Gaussian	305.323271	40.801021
49	1	  0.001651	  0.027721	     -1.00	    420.29	    225.39	      2.44	      2.31	     42.68	     40.37	16.15	 4.987e-04	      1.88	0	Gaussian	307.023366	40.610691
50	1	  0.001499	  0.025898	     -1.00	    166.36	    639.55	      2.51	      2.39	     43.93	     41.77	27.12	 2.111e-04	      1.89	0	Gaussian	308.427667	38.583292
51	1	  0.001522	  0.024195	     -1.00	    216.62	    496.85	      2.60	      2.42	     45.47	     42.29	31.79	 1.526e-04	      1.91	0	Gaussian	308.180955	39.271598
52	1	  0.001520	  0.025821	     -1.00	     78.58	    231.29	      2.46	      2.38	     43.11	     41.71	63.61	 2.204e-04	      1.91	0	Gaussian	309.147709	40.479017
53	1	  0.001496	  0.024345	     -1.00	    753.75	     29.44	      2.58	      2.36	     45.21	     41.39	3.50	 1.544e-04	      1.94	0	Gaussian	304.976559	41.602398
54	1	  0.001467	  0.023548	     -1.00	    208.94	    370.16	      2.54	      2.46	     44.45	     43.00	-85.76	 1.592e-04	      1.94	0	Gaussian	308.279612	39.867139
55	1	  0.001543	  0.022620	     -1.00	    635.04	    212.94	      2.49	      2.49	     43.64	     43.50	51.57	 1.936e-04	      1.99	0	Gaussian	305.686245	40.714870
56	1	  0.001504	  0.023186	     -1.00	    362.40	    330.39	      2.50	      2.36	     43.72	     41.35	20.57	 1.635e-04	      2.03	0	Gaussian	307.347623	40.099309
57	1	  0.001462	  0.019026	     -1.00	    214.89	    244.42	      2.88	      2.46	     50.46	     43.11	-40.77	 1.620e-04	      2.04	0	Gaussian	308.295047	40.463013
58	1	  0.001595	  0.019207	     -1.00	    726.50	    613.89	      2.77	      2.52	     48.55	     44.11	24.97	 3.824e-04	      2.04	0	Gaussian	305.042803	38.833846
59	1	  0.001749	  0.021277	     -1.00	    394.07	    698.13	      2.54	      2.44	     44.50	     42.76	29.04	 7.349e-04	      2.06	0	Gaussian	307.032792	38.371663
60	1	  0.001542	  0.021641	     -1.00	    214.43	    212.53	      2.46	      2.44	     43.11	     42.71	30.35	 3.898e-04	      2.07	0	Gaussian	308.311264	40.613605
61	1	  0.001474	  0.020077	     -1.00	    663.20	    156.73	      2.52	      2.40	     44.15	     42.04	7.95	 1.079e-04	      2.15	0	Gaussian	305.522426	40.985809
62	1	  0.001474	  0.018158	     -1.00	     68.98	    693.58	      2.64	      2.45	     46.17	     42.92	19.05	 1.135e-04	      2.19	0	Gaussian	308.990574	38.296646
63	1	  0.001579	  0.018279	     -1.00	    359.16	      6.16	      2.51	      2.41	     43.97	     42.19	11.14	 2.731e-04	      2.25	0	Gaussian	307.483195	41.632522
64	1	  0.001459	  0.018456	     -1.00	    575.58	    145.49	      2.52	      2.36	     44.05	     41.29	5.89	 1.096e-04	      2.27	0	Gaussian	306.075017	41.023223
65	1	  0.001474	  0.018048	     -1.00	    528.53	    355.53	      2.54	      2.37	     44.44	     41.46	14.28	 1.306e-04	      2.28	0	Gaussian	306.312643	40.019696
66	1	  0.001621	  0.017044	     -1.00	    337.54	    644.94	      2.56	      2.45	     44.89	     42.95	47.99	 6.009e-04	      2.29	0	Gaussian	307.391428	38.607855
67	1	  0.001475	  0.016480	     -1.00	    160.75	    616.67	      2.56	      2.44	     44.83	     42.69	27.78	 1.282e-04	      2.34	0	Gaussian	308.471082	38.689259
68	1	  0.001552	  0.016746	     -1.00	    771.29	    180.71	      2.53	      2.41	     44.30	     42.11	8.58	 3.196e-04	      2.35	0	Gaussian	304.840238	40.888114
69	1	  0.001584	  0.015439	     -1.00	    593.03	    586.86	      2.59	      2.53	     45.27	     44.27	12.89	 3.903e-04	      2.35	0	Gaussian	305.859100	38.939420
70	1	  0.001488	  0.015637	     -1.00	    616.74	     44.27	      2.61	      2.47	     45.60	     43.25	-8.73	 1.405e-04	      2.36	0	Gaussian	305.840837	41.510478
71	1	  0.001440	  0.015905	     -1.00	    690.91	    113.61	      2.59	      2.40	     45.33	     41.99	6.99	 6.514e-05	      2.38	0	Gaussian	305.357335	41.194490
72	1	  0.001614	  0.015541	     -1.00	    510.74	    356.90	      2.56	      2.47	     44.80	     43.20	-18.10	 4.024e-04	      2.38	0	Gaussian	306.422191	40.009445
73	1	  0.001445	  0.014081	     -1.00	    570.82	    788.88	      2.67	      2.61	     46.71	     45.71	5.22	 1.523e-04	      2.38	0	Gaussian	305.945738	37.982857
74	1	  0.001480	  0.016622	     -1.00	     65.40	    502.54	      2.50	      2.36	     43.68	     41.37	23.42	 1.283e-04	      2.39	0	Gaussian	309.100166	39.194754
75	1	  0.001705	  0.017320	     -1.00	     33.95	    370.45	      2.45	      2.29	     42.87	     40.16	20.09	 8.377e-04	      2.39	0	Gaussian	309.355773	39.806049
76	1	  0.001583	  0.012360	     -1.00	    223.95	     65.29	      3.16	      2.46	     55.26	     43.14	-20.68	 2.998e-04	      2.40	0	Gaussian	308.313880	41.312863
77	1	  0.001461	  0.014794	     -1.00	    621.61	    759.75	      2.64	      2.45	     46.21	     42.86	23.31	 1.460e-04	      2.41	0	Gaussian	305.647646	38.129371
78	1	  0.001479	  0.012388	     -1.00	    550.78	    745.36	      2.79	      2.77	     48.80	     48.49	-18.91	 1.904e-04	      2.41	0	Gaussian	306.076493	38.183930
79	1	  0.002088	  0.011844	     -1.00	    572.58	    680.58	      3.27	      2.42	     57.31	     42.32	-25.22	 1.420e-03	      2.43	0	Gaussian	305.960851	38.493493
80	1	  0.001481	  0.014898	     -1.00	    537.25	    149.01	      2.57	      2.44	     45.06	     42.69	6.69	 7.762e-05	      2.43	0	Gaussian	306.314632	40.998821
81	1	  0.001497	  0.014708	     -1.00	    279.23	    111.56	      2.71	      2.38	     47.38	     41.64	-6.69	 2.073e-04	      2.43	0	Gaussian	307.947240	41.110924
82	1	  0.001486	  0.013696	     -1.00	    686.79	    448.23	      2.72	      2.52	     47.66	     44.10	-7.97	 1.620e-04	      2.44	0	Gaussian	305.315926	39.610280
83	1	  0.001602	  0.015393	     -1.00	    645.40	    544.53	      2.52	      2.40	     44.09	     42.06	7.99	 4.118e-04	      2.44	0	Gaussian	305.549597	39.148603
84	1	  0.001491	  0.014973	     -1.00	    345.29	    272.84	      2.52	      2.47	     44.04	     43.29	-88.43	 1.172e-04	      2.44	0	Gaussian	307.473937	40.366825
