# 438 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	 -0.000800	  0.002552	     -1.00	    412.93	    384.00	    103.31	     25.11	   1808.23	    439.44	-1.91	 3.639e-04	     -0.30	0	Gaussian	288.589519	33.512303
2	1	  0.002096	  0.109205	     -1.00	     30.16	    427.98	      2.69	      2.69	     47.16	     47.16	38.43	 1.820e-03	      0.12	0	Gaussian	290.636871	33.516009
3	1	  0.002151	  0.110716	     -1.00	     67.61	     51.48	      2.84	      2.46	     49.66	     43.08	-37.02	 1.664e-03	      0.14	0	Gaussian	290.136542	35.184614
4	1	  0.001915	  0.076019	     -1.00	    617.27	    110.36	      3.09	      2.73	     54.01	     47.81	-27.08	 1.261e-03	      0.35	0	Gaussian	287.265422	34.599198
5	1	  0.001964	  0.073121	     -1.00	    197.49	    438.48	      3.04	      2.67	     53.22	     46.70	-39.27	 1.195e-03	      0.43	0	Gaussian	289.762917	33.386370
6	1	  0.001809	  0.059239	     -1.00	    625.56	     73.28	      3.08	      2.74	     53.84	     47.92	-32.35	 9.970e-04	      0.62	0	Gaussian	287.185283	34.757715
7	1	  0.001845	  0.060060	     -1.00	    227.99	    756.46	      2.99	      2.48	     52.32	     43.37	-28.41	 1.001e-03	      0.74	0	Gaussian	289.862621	31.963773
8	1	  0.001951	  0.059394	     -1.00	    177.38	    731.71	      2.93	      2.49	     51.28	     43.60	-39.69	 9.692e-04	      0.77	0	Gaussian	290.103897	32.096993
9	1	  0.001645	  0.039982	     -1.00	    696.48	    146.19	      3.09	      2.77	     54.16	     48.45	-40.50	 5.262e-04	      1.03	0	Gaussian	286.888273	34.390117
10	1	  0.001735	  0.039081	     -1.00	    367.54	    153.08	      2.96	      2.75	     51.77	     48.18	-39.83	 5.564e-04	      1.11	0	Gaussian	288.619786	34.562584
11	1	  0.001691	  0.045940	     -1.00	    316.44	    483.38	      2.81	      2.42	     49.20	     42.28	-37.20	 7.252e-04	      1.13	0	Gaussian	289.178804	33.125285
12	1	  0.001635	  0.032303	     -1.00	    109.43	    608.26	      3.02	      2.52	     52.84	     44.12	-40.60	 4.679e-04	      1.39	0	Gaussian	290.359938	32.675559
13	1	  0.001621	  0.031759	     -1.00	    205.37	    312.31	      2.95	      2.56	     51.70	     44.83	-39.58	 4.565e-04	      1.41	0	Gaussian	289.616512	33.943796
14	1	  0.001612	  0.029523	     -1.00	    392.88	    228.50	      2.90	      2.64	     50.78	     46.13	-33.04	 4.339e-04	      1.48	0	Gaussian	288.554448	34.212697
15	1	  0.001612	  0.028873	     -1.00	    481.56	    180.06	      2.89	      2.62	     50.57	     45.90	-55.19	 3.836e-04	      1.51	0	Gaussian	288.043703	34.375137
16	1	  0.001559	  0.026467	     -1.00	     20.25	    531.14	      2.98	      2.58	     52.21	     45.14	-40.17	 3.845e-04	      1.59	0	Gaussian	290.768208	33.060349
17	1	  0.001794	  0.026116	     -1.00	    425.28	    164.46	      2.88	      2.52	     50.39	     44.12	-29.23	 7.854e-04	      1.67	0	Gaussian	288.325234	34.478031
18	1	  0.001571	  0.021095	     -1.00	     79.78	    113.77	      2.82	      2.69	     49.32	     47.02	-54.42	 3.021e-04	      1.86	0	Gaussian	290.122013	34.898272
19	1	  0.001526	  0.020445	     -1.00	    112.70	    138.39	      2.90	      2.50	     50.75	     43.81	-48.23	 2.739e-04	      1.94	0	Gaussian	289.965316	34.770383
20	1	  0.001682	  0.018810	     -1.00	    395.04	     70.70	      2.99	      2.62	     52.37	     45.88	-29.61	 4.066e-04	      1.94	0	Gaussian	288.398591	34.912922
21	1	  0.001512	  0.015776	     -1.00	    337.47	     54.01	      2.89	      2.89	     50.66	     50.62	-53.29	 2.512e-04	      2.06	0	Gaussian	288.689543	35.021588
22	1	  0.001536	  0.014623	     -1.00	    382.11	    369.42	      3.15	      2.72	     55.19	     47.62	-47.21	 2.709e-04	      2.11	0	Gaussian	288.737241	33.594075
23	1	  0.001539	  0.015729	     -1.00	    697.91	    300.49	      3.00	      2.60	     52.44	     45.54	-37.49	 2.377e-04	      2.14	0	Gaussian	287.034879	33.710798
24	1	  0.001544	  0.014850	     -1.00	    756.56	    132.54	      2.91	      2.64	     50.86	     46.23	-38.03	 2.108e-04	      2.22	0	Gaussian	286.562723	34.410716
25	1	  0.001580	  0.015571	     -1.00	     56.32	    252.68	      2.88	      2.51	     50.36	     43.98	-37.17	 2.693e-04	      2.24	0	Gaussian	290.360167	34.287373
26	1	  0.001519	  0.015434	     -1.00	    198.88	    129.59	      2.75	      2.60	     48.19	     45.47	-23.90	 2.279e-04	      2.25	0	Gaussian	289.496213	34.763121
27	1	  0.001518	  0.013591	     -1.00	    151.42	     34.26	      3.04	      2.68	     53.13	     46.84	-51.37	 2.481e-04	      2.26	0	Gaussian	289.669595	35.216415
28	1	  0.001504	  0.013166	     -1.00	    763.13	    306.10	      3.02	      2.71	     52.93	     47.43	-57.65	 2.036e-04	      2.27	0	Gaussian	286.705300	33.644905
29	1	  0.001517	  0.012048	     -1.00	    560.38	    283.15	      2.93	      2.92	     51.22	     51.18	22.19	 2.266e-04	      2.32	0	Gaussian	287.729428	33.871801
30	1	  0.001498	  0.013382	     -1.00	    116.76	    269.88	      2.80	      2.76	     49.04	     48.32	-17.86	 2.067e-04	      2.32	0	Gaussian	290.051561	34.179506
31	1	  0.001462	  0.011918	     -1.00	    154.36	    465.10	      3.16	      2.60	     55.39	     45.45	-47.86	 1.802e-04	      2.38	0	Gaussian	290.011104	33.289790
32	1	  0.001499	  0.013191	     -1.00	     99.60	    515.31	      2.90	      2.49	     50.71	     43.61	-32.45	 1.935e-04	      2.42	0	Gaussian	290.338676	33.093302
33	1	  0.001558	  0.011805	     -1.00	    408.39	    183.51	      3.00	      2.66	     52.53	     46.57	-39.63	 3.301e-04	      2.43	0	Gaussian	288.431816	34.403416
34	1	  0.001521	  0.011004	     -1.00	    746.14	    218.87	      2.91	      2.90	     50.99	     50.79	-8.02	 2.026e-04	      2.44	0	Gaussian	286.704604	34.038334
35	1	  0.001510	  0.011918	     -1.00	    211.27	    268.85	      2.98	      2.60	     52.25	     45.44	-45.35	 1.517e-04	      2.45	0	Gaussian	289.548691	34.134375
36	1	  0.001510	  0.010923	     -1.00	    132.05	    410.97	      2.81	      2.77	     49.14	     48.57	-28.19	 1.788e-04	      2.54	0	Gaussian	290.084906	33.541939
37	1	  0.001478	  0.011696	     -1.00	    282.30	    750.41	      2.90	      2.43	     50.83	     42.61	-39.55	 1.784e-04	      2.57	0	Gaussian	289.578576	31.964164
38	1	  0.001479	  0.010213	     -1.00	     93.53	    732.00	      3.03	      2.66	     52.97	     46.59	-35.55	 1.561e-04	      2.58	0	Gaussian	290.538120	32.134538
39	1	  0.001486	  0.010436	     -1.00	    324.80	    742.52	      3.00	      2.47	     52.59	     43.19	-20.17	 1.811e-04	      2.65	0	Gaussian	289.354078	31.977907
40	1	  0.001600	  0.009947	     -1.00	    362.41	    353.81	      2.91	      2.55	     50.88	     44.67	-26.02	 3.115e-04	      2.69	0	Gaussian	288.826386	33.674159
41	1	  0.001563	  0.010034	     -1.00	    140.88	     74.71	      2.73	      2.57	     47.83	     45.05	-47.77	 1.962e-04	      2.73	0	Gaussian	289.760649	35.040755
42	1	  0.001537	  0.009508	     -1.00	    460.07	     19.43	      2.90	      2.57	     50.70	     44.95	-43.16	 2.288e-04	      2.74	0	Gaussian	288.005364	35.101346
43	1	  0.001499	  0.008929	     -1.00	    742.43	    142.58	      2.94	      2.56	     51.48	     44.86	-20.78	 1.619e-04	      2.79	0	Gaussian	286.646214	34.375933
44	1	  0.001545	  0.006594	     -1.00	    428.00	     94.03	      3.13	      3.12	     54.75	     54.68	19.01	 2.381e-04	      2.84	0	Gaussian	288.245546	34.789290
45	1	  0.001514	  0.008433	     -1.00	     76.98	     98.79	      2.75	      2.68	     48.12	     46.87	-18.95	 1.374e-04	      2.88	0	Gaussian	290.124802	34.967039
46	1	  0.001480	  0.007695	     -1.00	    664.81	    315.65	      3.02	      2.66	     52.86	     46.52	-35.42	 1.253e-04	      2.89	0	Gaussian	287.220281	33.664838
47	1	  0.001485	  0.006744	     -1.00	    506.19	    328.13	      3.19	      2.81	     55.77	     49.23	-34.68	 1.198e-04	      2.90	0	Gaussian	288.053338	33.705594
48	1	  0.001484	  0.007280	     -1.00	    649.48	     93.17	      2.92	      2.75	     51.07	     48.10	80.90	 1.280e-04	      2.95	0	Gaussian	287.079984	34.654387
49	1	  0.001453	  0.007390	     -1.00	     82.24	    214.49	      3.00	      2.60	     52.54	     45.47	-43.01	 1.113e-04	      2.96	0	Gaussian	290.190811	34.445234
