# 760 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	 -0.001102	  0.002866	     -1.00	    693.45	    222.94	    108.68	     32.13	   1902.30	    562.45	2.76	 3.255e-04	     -0.79	0	Gaussian	310.009025	52.022177
2	1	  0.002231	  0.303862	     -1.00	    588.51	    577.51	      2.49	      2.38	     43.53	     41.65	38.81	 2.676e-03	     -0.77	0	Gaussian	310.551297	50.340043
3	1	 -0.001061	  0.002803	     -1.00	    719.92	    225.07	    108.85	     32.31	   1905.25	    565.54	3.73	 3.128e-04	     -0.76	0	Gaussian	309.807329	52.023601
4	1	  0.001850	  0.224692	     -1.00	     40.96	    480.98	      2.77	      2.56	     48.45	     44.88	34.19	 1.548e-03	     -0.64	0	Gaussian	314.624298	50.461921
5	1	 -0.000619	  0.002444	     -1.00	    263.27	    191.90	     76.10	     29.41	   1331.89	    514.74	1.70	 3.266e-04	     -0.63	0	Gaussian	313.273264	51.934537
6	1	  0.001814	  0.181144	     -1.00	    118.76	    434.72	      2.67	      2.48	     46.74	     43.40	43.76	 1.489e-03	     -0.33	0	Gaussian	314.105688	50.728403
7	1	  0.001671	  0.153777	     -1.00	     74.01	    761.20	      2.60	      2.48	     45.51	     43.49	26.48	 7.660e-04	     -0.13	0	Gaussian	314.107210	49.196090
8	1	  0.001794	  0.125206	     -1.00	    406.63	    216.25	      2.59	      2.59	     45.32	     45.32	-12.47	 1.139e-03	      0.05	0	Gaussian	312.176368	51.909631
9	1	 -0.000228	  0.002267	     -1.00	    575.21	    212.06	     32.95	     20.32	    576.66	    355.65	3.55	 3.870e-04	      0.09	0	Gaussian	310.910276	52.017825
10	1	  0.001680	  0.089968	     -1.00	    135.99	    361.64	      2.74	      2.53	     47.89	     44.30	40.50	 6.584e-04	      0.38	0	Gaussian	314.052344	51.074863
11	1	  0.001672	  0.083838	     -1.00	    362.18	    340.68	      2.57	      2.56	     45.04	     44.81	81.91	 7.213e-04	      0.51	0	Gaussian	312.401943	51.313876
12	1	  0.001705	  0.089500	     -1.00	    332.24	    594.65	      2.55	      2.42	     44.65	     42.28	20.76	 6.939e-04	      0.51	0	Gaussian	312.405809	50.127415
13	1	  0.001572	  0.065743	     -1.00	    315.67	    312.10	      2.64	      2.64	     46.14	     46.13	-39.01	 5.202e-04	      0.71	0	Gaussian	312.772212	51.417378
14	1	  0.001617	  0.058285	     -1.00	    171.69	    702.06	      2.61	      2.49	     45.77	     43.57	30.39	 3.990e-04	      0.92	0	Gaussian	313.467505	49.533586
15	1	  0.001674	  0.056171	     -1.00	    254.02	    687.07	      2.54	      2.54	     44.50	     44.47	-68.69	 7.451e-04	      0.96	0	Gaussian	312.891063	49.654147
16	1	  0.001581	  0.053169	     -1.00	    763.12	    686.09	      2.51	      2.48	     44.00	     43.45	1.95	 4.171e-04	      1.06	0	Gaussian	309.208942	49.909713
17	1	  0.001617	  0.053077	     -1.00	    477.28	    493.48	      2.57	      2.42	     44.95	     42.38	30.64	 4.428e-04	      1.07	0	Gaussian	311.428031	50.673918
18	1	  0.001529	  0.041246	     -1.00	    351.04	    454.75	      2.68	      2.52	     46.90	     44.07	21.63	 2.629e-04	      1.25	0	Gaussian	312.386816	50.783193
19	1	  0.001589	  0.038102	     -1.00	    756.25	    232.08	      2.58	      2.45	     45.19	     42.91	73.57	 3.076e-04	      1.41	0	Gaussian	309.527949	52.006211
20	1	  0.001594	  0.027687	     -1.00	    377.52	    628.75	      2.53	      2.49	     44.22	     43.56	67.56	 2.812e-04	      1.77	0	Gaussian	312.049432	49.995515
21	1	  0.001533	  0.027913	     -1.00	    783.62	    476.50	      2.51	      2.46	     44.02	     43.00	37.80	 2.289e-04	      1.77	0	Gaussian	309.177729	50.889596
22	1	  0.001520	  0.024556	     -1.00	    452.43	    246.95	      2.64	      2.61	     46.16	     45.68	81.02	 2.198e-04	      1.80	0	Gaussian	311.807126	51.794534
23	1	  0.001531	  0.025307	     -1.00	    572.06	    401.74	      2.59	      2.56	     45.30	     44.78	23.63	 1.990e-04	      1.80	0	Gaussian	310.795797	51.144274
24	1	  0.001511	  0.024704	     -1.00	    185.47	    489.92	      2.58	      2.53	     45.16	     44.36	47.68	 1.857e-04	      1.84	0	Gaussian	313.566044	50.519658
25	1	  0.001527	  0.021683	     -1.00	    376.89	    521.37	      2.80	      2.63	     49.03	     45.98	9.11	 3.254e-04	      1.86	0	Gaussian	312.141629	50.490993
26	1	  0.001610	  0.022428	     -1.00	    414.02	    465.81	      2.65	      2.50	     46.38	     43.68	47.57	 4.511e-04	      1.94	0	Gaussian	311.914782	50.767770
27	1	  0.001539	  0.020923	     -1.00	    583.04	    428.62	      2.63	      2.52	     45.95	     44.12	12.05	 2.225e-04	      2.01	0	Gaussian	310.695254	51.025584
28	1	  0.001517	  0.021760	     -1.00	    389.53	    761.32	      2.52	      2.47	     44.07	     43.23	30.87	 1.502e-04	      2.04	0	Gaussian	311.857273	49.388145
29	1	  0.002201	  0.020536	     -1.00	    249.18	    677.13	      2.42	      2.36	     42.36	     41.29	27.47	 2.543e-03	      2.19	0	Gaussian	312.934565	49.697168
30	1	  0.002012	  0.018968	     -1.00	    241.97	    678.19	      2.53	      2.43	     44.36	     42.46	24.61	 2.075e-03	      2.19	0	Gaussian	312.985381	49.687868
31	1	  0.001535	  0.016060	     -1.00	    758.14	    349.74	      2.62	      2.61	     45.81	     45.69	43.08	 1.697e-04	      2.26	0	Gaussian	309.442088	51.465270
32	1	  0.001540	  0.014719	     -1.00	    546.95	    272.81	      2.71	      2.56	     47.45	     44.81	42.95	 1.776e-04	      2.34	0	Gaussian	311.077799	51.725141
