# 792 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.003544	  0.580525	     -1.00	    678.11	    575.58	      2.68	      2.54	     46.86	     44.49	39.86	 6.334e-03	     -1.63	0	Gaussian	294.110126	50.222563
2	1	  0.001929	  0.179037	     -1.00	    486.05	    532.55	      4.20	      2.62	     73.52	     45.89	-47.24	 2.884e-03	     -0.87	0	Gaussian	295.456965	50.520135
3	1	 -0.000712	  0.002595	     -1.00	    189.81	    227.76	     90.65	     27.07	   1586.65	    473.81	0.34	 4.307e-04	     -0.57	0	Gaussian	297.467380	52.043990
4	1	  0.002257	  0.190733	     -1.00	    727.40	    347.42	      2.66	      2.45	     46.63	     42.95	52.34	 2.299e-03	     -0.38	0	Gaussian	293.582955	51.234354
5	1	 -0.000643	  0.002447	     -1.00	    337.84	    214.37	     47.12	     22.31	    824.70	    390.44	-2.30	 3.810e-04	     -0.03	0	Gaussian	296.354863	52.044825
6	1	  0.001858	  0.087894	     -1.00	    645.78	    783.73	      2.74	      2.60	     47.96	     45.50	37.80	 9.539e-04	      0.37	0	Gaussian	294.485826	49.285216
7	1	  0.001792	  0.087227	     -1.00	    695.42	    569.98	      2.60	      2.57	     45.45	     44.93	12.86	 9.233e-04	      0.45	0	Gaussian	293.982746	50.238378
8	1	  0.001664	  0.073602	     -1.00	    332.17	    658.33	      2.63	      2.60	     46.06	     45.45	51.49	 7.427e-04	      0.61	0	Gaussian	296.635091	50.009902
9	1	  0.001561	  0.042923	     -1.00	    184.79	    737.16	      2.70	      2.68	     47.26	     46.86	-88.28	 3.958e-04	      1.13	0	Gaussian	297.728736	49.700250
10	1	  0.001667	  0.042832	     -1.00	    596.09	    363.83	      2.70	      2.57	     47.27	     45.03	37.33	 4.512e-04	      1.18	0	Gaussian	294.548113	51.235226
11	1	  0.001583	  0.035284	     -1.00	    426.22	    698.81	      2.62	      2.61	     45.78	     45.75	-2.80	 3.637e-04	      1.41	0	Gaussian	295.984473	49.783181
12	1	  0.001523	  0.029494	     -1.00	     34.19	    505.26	      2.62	      2.62	     45.83	     45.83	15.55	 3.058e-04	      1.60	0	Gaussian	298.732620	50.819517
13	1	  0.001548	  0.027379	     -1.00	    509.27	    561.11	      2.64	      2.58	     46.29	     45.09	0.02	 3.039e-04	      1.69	0	Gaussian	295.307809	50.377764
14	1	  0.001565	  0.026285	     -1.00	    151.27	    533.20	      2.67	      2.62	     46.76	     45.81	46.46	 2.854e-04	      1.70	0	Gaussian	297.886142	50.654343
15	1	  0.002127	  0.027969	     -1.00	    665.44	    582.19	      2.57	      2.47	     44.94	     43.29	66.91	 1.765e-03	      1.74	0	Gaussian	294.205124	50.199390
16	1	  0.001508	  0.024153	     -1.00	    180.69	    595.85	      2.64	      2.64	     46.27	     46.19	43.47	 2.154e-04	      1.80	0	Gaussian	297.698436	50.355172
17	1	  0.001525	  0.021506	     -1.00	    509.86	    709.48	      2.74	      2.71	     48.00	     47.43	27.00	 2.237e-04	      1.85	0	Gaussian	295.396116	49.695411
18	1	  0.001617	  0.021295	     -1.00	    321.17	    298.25	      2.77	      2.57	     48.41	     44.97	33.92	 3.620e-04	      1.91	0	Gaussian	296.524969	51.668900
19	1	  0.001612	  0.023214	     -1.00	    149.49	    507.60	      2.54	      2.53	     44.51	     44.31	9.99	 3.579e-04	      1.92	0	Gaussian	297.888507	50.772986
20	1	  0.001574	  0.021979	     -1.00	    569.53	    395.77	      2.61	      2.56	     45.75	     44.83	76.07	 2.570e-04	      1.95	0	Gaussian	294.763515	51.103815
21	1	  0.001526	  0.021076	     -1.00	    411.73	    421.13	      2.69	      2.56	     47.01	     44.87	54.43	 2.236e-04	      1.96	0	Gaussian	295.928702	51.066070
22	1	  0.001543	  0.022197	     -1.00	    697.23	    327.33	      2.64	      2.48	     46.29	     43.42	47.91	 2.412e-04	      1.96	0	Gaussian	293.785981	51.343765
23	1	  0.001526	  0.022256	     -1.00	    116.49	    244.30	      2.56	      2.54	     44.79	     44.47	12.06	 2.284e-04	      1.96	0	Gaussian	298.023706	51.994288
24	1	  0.001599	  0.019735	     -1.00	    402.50	    458.63	      2.72	      2.69	     47.57	     47.02	-29.00	 5.208e-04	      1.97	0	Gaussian	296.017837	50.898395
25	1	  0.001515	  0.020004	     -1.00	     71.04	    430.36	      2.61	      2.57	     45.67	     45.01	3.68	 1.852e-04	      2.04	0	Gaussian	298.434596	51.154072
26	1	  0.001499	  0.017873	     -1.00	    145.48	    563.83	      2.67	      2.62	     46.65	     45.78	53.80	 1.653e-04	      2.12	0	Gaussian	297.940900	50.514924
27	1	  0.001555	  0.015777	     -1.00	    716.14	    482.16	      2.75	      2.70	     48.16	     47.19	26.47	 2.149e-04	      2.19	0	Gaussian	293.768735	50.627535
28	1	  0.001587	  0.016454	     -1.00	    307.22	    580.26	      2.72	      2.62	     47.52	     45.78	71.89	 2.484e-04	      2.20	0	Gaussian	296.774944	50.379907
29	1	  0.001509	  0.017784	     -1.00	     88.49	    766.32	      2.57	      2.52	     45.07	     44.05	-0.97	 1.680e-04	      2.21	0	Gaussian	298.430312	49.595416
30	1	  0.001496	  0.015678	     -1.00	    259.70	    253.78	      2.89	      2.51	     50.61	     43.91	31.36	 1.473e-04	      2.22	0	Gaussian	296.958111	51.897869
31	1	  0.001521	  0.015589	     -1.00	    494.83	    647.37	      2.65	      2.63	     46.38	     45.97	31.84	 1.816e-04	      2.27	0	Gaussian	295.464862	49.988452
32	1	  0.001544	  0.017012	     -1.00	    561.25	    236.70	      2.56	      2.50	     44.82	     43.81	10.47	 2.082e-04	      2.27	0	Gaussian	294.713531	51.833061
33	1	  0.001608	  0.014297	     -1.00	    269.90	    375.87	      2.68	      2.60	     46.93	     45.52	38.18	 3.520e-04	      2.36	0	Gaussian	296.944162	51.334559
34	1	  0.001509	  0.008354	     -1.00	    387.83	    410.70	      4.27	      2.70	     74.82	     47.20	-16.76	 1.618e-04	      2.40	0	Gaussian	296.097300	51.124772
35	1	  0.001516	  0.013469	     -1.00	    378.27	    486.36	      2.59	      2.54	     45.30	     44.48	33.32	 1.482e-04	      2.50	0	Gaussian	296.209790	50.781917
36	1	  0.001527	  0.012005	     -1.00	    109.12	    454.58	      2.66	      2.60	     46.54	     45.46	-12.35	 1.444e-04	      2.57	0	Gaussian	298.163229	51.030602
