# 941 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002693	  0.758820	     -1.00	    375.53	    181.74	      2.77	      2.46	     48.41	     43.05	51.34	 4.391e-03	     -1.92	0	Gaussian	314.293326	41.167153
2	1	  0.001769	  0.150761	     -1.00	    395.70	    353.54	      2.51	      2.30	     43.97	     40.20	35.04	 8.849e-04	      0.02	0	Gaussian	314.628922	41.939925
3	1	  0.001902	  0.113696	     -1.00	    619.54	    332.36	      2.61	      2.40	     45.65	     42.01	57.23	 1.421e-03	      0.23	0	Gaussian	315.967132	41.627504
4	1	  0.001656	  0.111033	     -1.00	    414.06	    440.84	      2.54	      2.30	     44.47	     40.29	38.37	 4.219e-04	      0.33	0	Gaussian	314.852580	42.324452
5	1	  0.001722	  0.090010	     -1.00	    524.31	     14.18	      2.59	      2.33	     45.35	     40.81	30.87	 5.607e-04	      0.53	0	Gaussian	314.982546	40.260303
6	1	  0.001658	  0.092906	     -1.00	    283.26	     63.46	      2.49	      2.30	     43.52	     40.25	40.80	 5.880e-04	      0.55	0	Gaussian	313.593005	40.703097
7	1	  0.001607	  0.092505	     -1.00	    178.86	    413.28	      2.47	      2.30	     43.25	     40.30	31.79	 2.703e-04	      0.56	0	Gaussian	313.360285	42.410271
8	1	  0.001619	  0.084490	     -1.00	    275.42	    509.39	      2.33	      2.31	     40.82	     40.48	51.44	 5.752e-04	      0.72	0	Gaussian	314.078150	42.768617
9	1	  0.001571	  0.075879	     -1.00	    243.84	    645.29	      2.53	      2.35	     44.23	     41.19	44.78	 2.316e-04	      0.73	0	Gaussian	314.048180	43.424335
10	1	  0.001601	  0.078651	     -1.00	    217.53	    627.71	      2.35	      2.33	     41.11	     40.84	86.28	 4.325e-04	      0.78	0	Gaussian	313.860387	43.367071
11	1	  0.001609	  0.067130	     -1.00	    246.72	    448.53	      2.46	      2.31	     42.99	     40.41	54.31	 3.051e-04	      0.91	0	Gaussian	313.824943	42.513547
12	1	  0.001624	  0.061986	     -1.00	    475.55	    156.67	      2.48	      2.27	     43.42	     39.79	44.51	 3.818e-04	      1.00	0	Gaussian	314.868140	40.960127
13	1	  0.001565	  0.057709	     -1.00	    232.37	    746.27	      2.41	      2.34	     42.27	     40.98	-35.70	 3.828e-04	      1.08	0	Gaussian	314.101770	43.900513
14	1	  0.001646	  0.053285	     -1.00	    568.94	    101.24	      2.58	      2.33	     45.21	     40.74	40.44	 2.671e-04	      1.10	0	Gaussian	315.359331	40.617785
15	1	  0.001619	  0.052695	     -1.00	    418.18	    231.57	      2.43	      2.33	     42.61	     40.85	55.13	 3.403e-04	      1.18	0	Gaussian	314.613941	41.357704
16	1	  0.001632	  0.053005	     -1.00	     72.29	    387.65	      2.39	      2.31	     41.89	     40.38	44.24	 3.622e-04	      1.20	0	Gaussian	312.665960	42.381954
17	1	  0.001623	  0.047177	     -1.00	    363.27	    292.69	      2.53	      2.36	     44.24	     41.38	39.97	 4.043e-04	      1.24	0	Gaussian	314.354360	41.689521
