# 1034 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.003327	  1.075201	     -1.00	    612.25	    423.73	      3.43	      3.21	     60.10	     56.18	2.94	 1.077e-02	     -2.82	1	Gaussian	296.244898	45.130523
2	1	  0.002269	  0.388496	     -1.00	    457.77	    512.26	      2.65	      2.47	     46.44	     43.15	-2.42	 2.798e-03	     -1.15	0	Gaussian	295.209037	45.525232
3	1	  0.002204	  0.322682	     -1.00	    291.31	    341.18	      2.78	      2.45	     48.61	     42.94	2.53	 2.262e-03	     -0.99	0	Gaussian	294.156385	44.693765
4	1	  0.002081	  0.118823	     -1.00	    413.15	    606.24	      2.67	      2.52	     46.81	     44.15	-5.29	 1.423e-03	      0.10	0	Gaussian	294.892754	45.957067
5	1	  0.001712	  0.092606	     -1.00	    210.89	    184.85	      2.77	      2.56	     48.56	     44.78	6.52	 7.940e-04	      0.32	0	Gaussian	293.682660	43.945448
6	1	  0.001717	  0.081419	     -1.00	    278.91	    130.44	      2.76	      2.55	     48.33	     44.55	5.42	 6.249e-04	      0.47	0	Gaussian	294.134176	43.705786
7	1	  0.001719	  0.071925	     -1.00	     63.86	    666.13	      2.69	      2.67	     47.15	     46.78	4.13	 6.186e-04	      0.58	0	Gaussian	292.552667	46.147701
8	1	  0.001660	  0.061365	     -1.00	    649.51	    711.82	      2.66	      2.47	     46.48	     43.21	0.92	 4.320e-04	      0.85	0	Gaussian	296.463572	46.484656
9	1	  0.001637	  0.057493	     -1.00	    392.53	    281.80	      2.68	      2.57	     46.92	     44.90	10.50	 4.912e-04	      0.87	0	Gaussian	294.829220	44.435427
10	1	  0.001673	  0.058813	     -1.00	    763.82	    261.30	      2.70	      2.48	     47.30	     43.38	-7.62	 5.397e-04	      0.88	0	Gaussian	297.253499	44.377527
11	1	  0.001643	  0.059852	     -1.00	    674.97	    255.95	      2.56	      2.56	     44.83	     44.78	-29.33	 5.110e-04	      0.88	0	Gaussian	296.672973	44.347876
12	1	  0.001685	  0.056509	     -1.00	     96.39	    703.48	      2.72	      2.49	     47.55	     43.61	-1.67	 6.003e-04	      0.91	0	Gaussian	292.753459	46.331537
13	1	  0.001653	  0.051049	     -1.00	    445.72	    355.43	      2.74	      2.42	     48.01	     42.43	-0.55	 4.694e-04	      1.04	0	Gaussian	295.160538	44.788972
14	1	  0.001589	  0.044164	     -1.00	    296.00	    577.19	      2.80	      2.63	     48.99	     46.01	-1.69	 3.799e-04	      1.08	0	Gaussian	294.121288	45.797225
15	1	  0.001682	  0.044843	     -1.00	    237.65	    723.99	      2.78	      2.58	     48.57	     45.19	-0.50	 4.065e-04	      1.10	0	Gaussian	293.688371	46.467372
16	1	  0.001631	  0.046634	     -1.00	    602.07	    380.86	      2.59	      2.58	     45.30	     45.09	-49.54	 3.707e-04	      1.13	0	Gaussian	296.182744	44.928349
17	1	  0.001725	  0.044577	     -1.00	    636.31	    387.54	      2.68	      2.41	     46.92	     42.11	0.50	 8.128e-04	      1.22	0	Gaussian	296.407596	44.962917
18	1	  0.001601	  0.041161	     -1.00	    663.40	    551.67	      2.67	      2.39	     46.77	     41.84	-1.33	 3.136e-04	      1.31	0	Gaussian	296.571878	45.735368
19	1	  0.001588	  0.035355	     -1.00	    172.66	    635.76	      2.78	      2.63	     48.73	     45.99	2.43	 3.583e-04	      1.33	0	Gaussian	293.285019	46.039084
20	1	  0.001548	  0.036074	     -1.00	    661.08	    302.25	      2.66	      2.49	     46.54	     43.63	-11.80	 2.639e-04	      1.42	0	Gaussian	296.578280	44.564424
21	1	  0.001565	  0.031539	     -1.00	    460.95	    695.83	      2.74	      2.67	     47.93	     46.65	23.28	 2.680e-04	      1.46	0	Gaussian	295.193898	46.384251
22	1	  0.001553	  0.028671	     -1.00	    449.03	    299.64	      2.78	      2.53	     48.68	     44.22	0.99	 2.316e-04	      1.60	0	Gaussian	295.193119	44.528130
23	1	  0.001593	  0.028928	     -1.00	     34.17	    354.50	      2.76	      2.50	     48.24	     43.75	1.70	 3.051e-04	      1.62	0	Gaussian	292.485252	44.689252
24	1	  0.001596	  0.025394	     -1.00	    382.41	    154.84	      2.90	      2.69	     50.80	     47.04	7.88	 2.648e-04	      1.62	0	Gaussian	294.792111	43.839116
