# 950 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002265	  0.715737	     -1.00	    413.14	    583.11	      2.81	      2.52	     49.17	     44.06	50.96	 2.900e-03	     -1.90	1	Gaussian	314.293717	41.167347
2	1	  0.001392	  0.135482	     -1.00	    397.08	    410.89	      2.62	      2.42	     45.80	     42.42	50.33	 4.139e-04	      0.03	0	Gaussian	314.629251	41.939931
3	1	  0.001601	  0.109327	     -1.00	    173.22	    426.64	      2.63	      2.44	     46.12	     42.76	58.84	 1.324e-03	      0.25	0	Gaussian	315.967443	41.627511
4	1	  0.001401	  0.108121	     -1.00	    380.85	    323.16	      2.52	      2.32	     44.07	     40.56	36.19	 4.587e-04	      0.36	0	Gaussian	314.852777	42.324487
5	1	  0.001441	  0.086329	     -1.00	    260.68	    746.96	      2.61	      2.36	     45.64	     41.39	39.71	 5.186e-04	      0.55	0	Gaussian	314.983216	40.260439
6	1	  0.001363	  0.090726	     -1.00	    615.02	    356.44	      2.46	      2.32	     43.04	     40.61	41.48	 4.181e-04	      0.58	0	Gaussian	313.360357	42.410169
7	1	  0.001412	  0.092638	     -1.00	    502.42	    703.62	      2.41	      2.31	     42.13	     40.51	62.56	 6.237e-04	      0.58	0	Gaussian	313.593532	40.703253
8	1	  0.001303	  0.075346	     -1.00	    520.88	    257.98	      2.51	      2.38	     43.99	     41.67	50.31	 2.800e-04	      0.73	0	Gaussian	314.078312	42.768534
9	1	  0.001315	  0.074884	     -1.00	    555.69	    122.80	      2.50	      2.35	     43.73	     41.14	44.42	 3.792e-04	      0.76	0	Gaussian	314.048207	43.424343
10	1	  0.001316	  0.072815	     -1.00	    581.56	    141.03	      2.42	      2.39	     42.42	     41.88	-56.57	 3.505e-04	      0.80	0	Gaussian	313.860304	43.367038
11	1	  0.001332	  0.063221	     -1.00	    548.10	    319.50	      2.52	      2.34	     44.13	     41.04	36.01	 2.500e-04	      0.93	0	Gaussian	313.825037	42.513606
12	1	  0.001359	  0.057482	     -1.00	    312.69	    605.70	      2.56	      2.33	     44.85	     40.82	39.62	 4.464e-04	      1.02	0	Gaussian	314.868787	40.960367
13	1	  0.001325	  0.053797	     -1.00	    443.85	    778.85	      2.47	      2.45	     43.23	     42.94	27.07	 3.308e-04	      1.08	0	Gaussian	313.847104	40.300250
14	1	  0.001286	  0.055965	     -1.00	    569.60	     22.10	      2.40	      2.40	     42.06	     42.06	44.62	 2.754e-04	      1.09	0	Gaussian	314.101527	43.900446
15	1	  0.001356	  0.051100	     -1.00	    218.21	    658.86	      2.60	      2.35	     45.55	     41.21	45.47	 2.416e-04	      1.12	0	Gaussian	315.359939	40.617884
16	1	  0.001332	  0.049103	     -1.00	    371.76	    532.27	      2.46	      2.43	     43.04	     42.49	-66.43	 3.435e-04	      1.20	0	Gaussian	314.614281	41.357835
17	1	  0.001351	  0.049062	     -1.00	    720.86	    384.59	      2.48	      2.36	     43.47	     41.22	34.84	 3.065e-04	      1.22	0	Gaussian	312.665988	42.382125
18	1	  0.001345	  0.046763	     -1.00	    428.04	    472.49	      2.53	      2.34	     44.29	     40.95	36.20	 2.903e-04	      1.26	0	Gaussian	314.354535	41.689675
19	1	  0.001590	  0.046045	     -1.00	    507.83	    227.01	      2.51	      2.36	     43.92	     41.36	35.81	 9.942e-04	      1.27	0	Gaussian	314.202492	42.897237
20	1	  0.001258	  0.041984	     -1.00	    460.89	    315.09	      2.48	      2.44	     43.46	     42.70	42.71	 1.901e-04	      1.35	0	Gaussian	314.370876	42.445067
21	1	  0.001302	  0.039081	     -1.00	    770.27	    528.58	      2.49	      2.39	     43.66	     41.89	19.03	 2.029e-04	      1.45	0	Gaussian	312.179779	41.763090
22	1	  0.001298	  0.036936	     -1.00	    545.80	    637.45	      2.56	      2.33	     44.73	     40.84	24.98	 1.899e-04	      1.51	0	Gaussian	313.417012	41.049712
