# 1021 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002839	  1.043821	     -1.00	    209.29	    502.13	      3.47	      3.22	     60.75	     56.28	2.60	 8.562e-03	     -2.80	1	Gaussian	296.243716	45.130384
2	1	  0.001908	  0.350262	     -1.00	    366.38	    417.09	      2.72	      2.64	     47.57	     46.21	0.79	 2.409e-03	     -1.14	0	Gaussian	295.208066	45.525068
3	1	  0.002004	  0.317847	     -1.00	    529.14	    592.50	      2.66	      2.56	     46.49	     44.84	7.45	 3.065e-03	     -0.97	0	Gaussian	294.155561	44.693571
4	1	  0.001784	  0.111874	     -1.00	    413.43	    323.95	      2.72	      2.59	     47.56	     45.27	0.07	 1.354e-03	      0.13	0	Gaussian	294.891926	45.956899
5	1	  0.001446	  0.089816	     -1.00	    605.92	    751.07	      2.68	      2.67	     46.82	     46.79	72.54	 8.899e-04	      0.34	0	Gaussian	293.682135	43.945281
6	1	  0.001447	  0.070929	     -1.00	    765.22	    272.18	      2.73	      2.67	     47.70	     46.65	21.45	 6.303e-04	      0.58	0	Gaussian	292.552770	46.147625
7	1	  0.001475	  0.070166	     -1.00	    767.49	     99.76	      2.68	      2.58	     46.92	     45.14	6.36	 7.968e-04	      0.65	0	Gaussian	292.494709	46.946504
8	1	  0.001429	  0.061573	     -1.00	    179.02	    212.54	      2.64	      2.41	     46.25	     42.27	0.88	 5.664e-04	      0.88	0	Gaussian	296.462144	46.484548
9	1	  0.001376	  0.056333	     -1.00	    426.15	    649.57	      2.74	      2.53	     47.93	     44.27	4.39	 5.687e-04	      0.89	0	Gaussian	294.828256	44.435333
10	1	  0.001386	  0.057026	     -1.00	    142.26	    668.76	      2.73	      2.49	     47.73	     43.50	-3.59	 5.486e-04	      0.90	0	Gaussian	296.671756	44.347815
11	1	  0.001405	  0.056250	     -1.00	     53.28	    661.32	      2.70	      2.53	     47.29	     44.33	-6.94	 5.017e-04	      0.90	0	Gaussian	297.252316	44.377295
12	1	  0.001392	  0.051227	     -1.00	    733.50	    233.93	      2.74	      2.71	     47.87	     47.50	51.20	 4.883e-04	      0.91	0	Gaussian	292.753493	46.331692
13	1	  0.001388	  0.050497	     -1.00	    374.60	    574.55	      2.71	      2.44	     47.39	     42.70	-1.33	 4.717e-04	      1.06	0	Gaussian	295.159628	44.788799
14	1	  0.001330	  0.044526	     -1.00	    530.20	    355.82	      2.73	      2.61	     47.86	     45.73	-4.16	 3.893e-04	      1.11	0	Gaussian	294.120748	45.797162
15	1	  0.001354	  0.043518	     -1.00	    292.92	     57.09	      2.69	      2.69	     47.16	     47.01	-68.30	 3.390e-04	      1.12	0	Gaussian	295.695852	47.208160
16	1	  0.001418	  0.043857	     -1.00	    592.33	    210.05	      2.75	      2.60	     48.10	     45.45	-31.53	 4.210e-04	      1.12	0	Gaussian	293.687999	46.467425
17	1	  0.001386	  0.045964	     -1.00	    218.44	    545.35	      2.67	      2.46	     46.79	     43.05	0.78	 4.077e-04	      1.17	0	Gaussian	296.181528	44.928176
18	1	  0.001411	  0.040449	     -1.00	    184.29	    537.82	      2.76	      2.52	     48.31	     44.13	10.23	 6.050e-04	      1.24	0	Gaussian	296.406212	44.962823
19	1	  0.001319	  0.037292	     -1.00	    341.82	     30.92	      2.74	      2.68	     48.04	     46.86	7.77	 2.735e-04	      1.27	0	Gaussian	295.362334	47.327528
20	1	  0.001325	  0.038922	     -1.00	    161.16	    372.72	      2.62	      2.55	     45.87	     44.71	0.12	 3.156e-04	      1.32	0	Gaussian	296.570452	45.735236
21	1	  0.001319	  0.035116	     -1.00	    655.36	    300.01	      2.71	      2.67	     47.39	     46.68	14.83	 3.358e-04	      1.35	0	Gaussian	293.284674	46.039155
22	1	  0.001296	  0.036414	     -1.00	    157.33	    622.71	      2.66	      2.42	     46.59	     42.31	2.49	 2.793e-04	      1.44	0	Gaussian	296.577102	44.564276
23	1	  0.001433	  0.034225	     -1.00	    271.60	     49.59	      2.70	      2.48	     47.34	     43.48	-17.76	 5.325e-04	      1.46	0	Gaussian	295.841233	47.243911
24	1	  0.001294	  0.030698	     -1.00	    367.72	    233.01	      2.73	      2.72	     47.72	     47.61	-5.48	 2.672e-04	      1.47	0	Gaussian	295.192834	46.384214
25	1	  0.001307	  0.027445	     -1.00	    787.35	    585.25	      2.76	      2.65	     48.34	     46.33	7.57	 3.106e-04	      1.61	0	Gaussian	292.485167	44.689082
26	1	  0.001283	  0.028167	     -1.00	    369.91	    630.37	      2.77	      2.53	     48.50	     44.35	1.88	 2.287e-04	      1.62	0	Gaussian	295.192165	44.527969
27	1	  0.001326	  0.024368	     -1.00	    433.14	    777.04	      2.94	      2.73	     51.46	     47.73	5.53	 2.415e-04	      1.64	0	Gaussian	294.791386	43.839026
