# 941 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002693	  0.759942	     -1.00	    375.53	    181.74	      2.76	      2.46	     48.38	     43.00	51.63	 4.330e-03	     -1.92	0	Gaussian	314.293225	41.167010
2	1	  0.001764	  0.150799	     -1.00	    395.70	    353.54	      2.52	      2.29	     44.03	     40.17	34.76	 8.765e-04	      0.01	0	Gaussian	314.628913	41.939838
3	1	  0.001892	  0.113530	     -1.00	    619.54	    332.35	      2.62	      2.39	     45.94	     41.89	58.82	 1.418e-03	      0.23	0	Gaussian	315.967062	41.627362
4	1	  0.001659	  0.110987	     -1.00	    414.06	    440.84	      2.51	      2.32	     44.00	     40.67	42.02	 4.372e-04	      0.34	0	Gaussian	314.852639	42.324399
5	1	  0.001718	  0.090049	     -1.00	    524.31	     14.18	      2.59	      2.33	     45.36	     40.78	30.43	 5.619e-04	      0.53	0	Gaussian	314.982316	40.260062
6	1	  0.001653	  0.092654	     -1.00	    283.26	     63.46	      2.49	      2.30	     43.60	     40.26	40.76	 5.950e-04	      0.55	0	Gaussian	313.592837	40.702920
7	1	  0.001602	  0.092369	     -1.00	    178.86	    413.28	      2.47	      2.30	     43.25	     40.34	31.47	 2.738e-04	      0.56	0	Gaussian	313.360399	42.410265
8	1	  0.001614	  0.084559	     -1.00	    275.42	    509.39	      2.33	      2.31	     40.85	     40.41	41.66	 5.697e-04	      0.72	0	Gaussian	314.078289	42.768625
9	1	  0.001566	  0.075703	     -1.00	    243.84	    645.29	      2.53	      2.36	     44.24	     41.22	44.63	 2.303e-04	      0.73	0	Gaussian	314.048420	43.424405
10	1	  0.001605	  0.078698	     -1.00	    217.53	    627.71	      2.34	      2.33	     40.88	     40.84	-87.63	 4.462e-04	      0.78	0	Gaussian	313.860636	43.367132
11	1	  0.001605	  0.067215	     -1.00	    246.72	    448.53	      2.45	      2.31	     42.91	     40.42	56.04	 3.021e-04	      0.91	0	Gaussian	313.825057	42.513544
12	1	  0.001617	  0.062074	     -1.00	    475.54	    156.67	      2.49	      2.27	     43.58	     39.73	42.56	 3.701e-04	      1.00	0	Gaussian	314.867966	40.959950
13	1	  0.001560	  0.057705	     -1.00	    232.37	    746.27	      2.42	      2.34	     42.28	     40.94	-41.54	 3.905e-04	      1.08	0	Gaussian	314.102093	43.900629
14	1	  0.001621	  0.053156	     -1.00	    568.94	    101.24	      2.56	      2.35	     44.78	     41.16	40.12	 2.531e-04	      1.10	0	Gaussian	315.359150	40.617589
15	1	  0.001614	  0.052614	     -1.00	    418.18	    231.57	      2.44	      2.34	     42.65	     40.89	55.22	 3.405e-04	      1.18	0	Gaussian	314.613857	41.357568
16	1	  0.001627	  0.052991	     -1.00	     72.29	    387.65	      2.40	      2.30	     41.99	     40.33	43.74	 3.631e-04	      1.20	0	Gaussian	312.666104	42.381973
17	1	  0.001618	  0.047174	     -1.00	    363.26	    292.69	      2.53	      2.37	     44.24	     41.43	40.63	 4.057e-04	      1.24	0	Gaussian	314.354317	41.689416
18	1	  0.001864	  0.049128	     -1.00	    289.27	    540.03	      2.48	      2.31	     43.36	     40.41	40.04	 1.016e-03	      1.24	0	Gaussian	314.202755	42.897348
19	1	  0.001530	  0.044096	     -1.00	    334.12	    450.84	      2.54	      2.35	     44.46	     41.13	49.03	 1.421e-04	      1.31	0	Gaussian	314.370836	42.444959
20	1	  0.001550	  0.040612	     -1.00	     19.42	    244.94	      2.43	      2.42	     42.60	     42.29	-21.85	 1.708e-04	      1.42	0	Gaussian	312.179763	41.762764
21	1	  0.001583	  0.040083	     -1.00	    241.39	    130.65	      2.44	      2.29	     42.63	     40.13	54.55	 2.565e-04	      1.49	0	Gaussian	313.416336	41.049340
22	1	  0.001564	  0.039569	     -1.00	    269.34	    250.41	      2.41	      2.30	     42.16	     40.18	74.51	 2.429e-04	      1.51	0	Gaussian	313.727419	41.578451
23	1	  0.001532	  0.035485	     -1.00	    423.07	    746.82	      2.52	      2.38	     44.12	     41.64	37.49	 1.427e-04	      1.54	0	Gaussian	315.309507	43.721737
24	1	  0.001567	  0.031059	     -1.00	    410.77	    572.14	      2.50	      2.49	     43.71	     43.55	63.86	 1.776e-04	      1.65	0	Gaussian	315.001708	42.931331
25	1	  0.001600	  0.031154	     -1.00	    194.12	    714.77	      2.48	      2.39	     43.49	     41.81	38.37	 3.131e-04	      1.70	0	Gaussian	313.819653	43.790130
26	1	  0.001542	  0.032673	     -1.00	     67.46	     70.61	      2.42	      2.30	     42.37	     40.18	38.54	 2.224e-04	      1.72	0	Gaussian	312.287826	40.915242
27	1	  0.001521	  0.029915	     -1.00	    161.91	    317.06	      2.44	      2.38	     42.76	     41.61	54.30	 1.357e-04	      1.76	0	Gaussian	313.143170	41.979582
28	1	  0.001594	  0.026610	     -1.00	    601.97	     41.18	      2.65	      2.46	     46.37	     43.07	32.60	 3.498e-04	      1.77	0	Gaussian	315.479321	40.310832
29	1	  0.001521	  0.028310	     -1.00	    533.30	    742.54	      2.51	      2.35	     43.97	     41.14	44.72	 1.949e-04	      1.81	0	Gaussian	315.995538	43.591863
30	1	  0.001525	  0.026746	     -1.00	    449.06	     94.51	      2.52	      2.34	     44.04	     40.95	59.35	 1.691e-04	      1.87	0	Gaussian	314.631001	40.698569
31	1	  0.001529	  0.022228	     -1.00	    659.77	     38.91	      2.74	      2.56	     47.95	     44.82	5.57	 1.593e-04	      1.89	0	Gaussian	315.819954	40.244886
32	1	  0.001595	  0.026723	     -1.00	     70.62	    684.23	      2.48	      2.34	     43.47	     40.90	16.75	 2.648e-04	      1.89	0	Gaussian	312.996437	43.757721
33	1	  0.001564	  0.024924	     -1.00	    387.50	    596.22	      2.52	      2.34	     44.09	     41.01	54.33	 1.223e-04	      1.94	0	Gaussian	314.887932	43.064282
34	1	  0.001532	  0.022202	     -1.00	      9.28	    233.12	      2.43	      2.33	     42.45	     40.70	42.70	 7.110e-05	      2.12	0	Gaussian	312.104161	41.715934
