# 1034 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.003326	  1.074576	     -1.00	    612.25	    423.73	      3.43	      3.21	     60.08	     56.17	2.55	 1.075e-02	     -2.82	1	Gaussian	296.245177	45.130813
2	1	  0.002267	  0.388043	     -1.00	    457.77	    512.26	      2.65	      2.46	     46.42	     43.14	-2.84	 2.885e-03	     -1.15	0	Gaussian	295.209140	45.525405
3	1	  0.002198	  0.322528	     -1.00	    291.31	    341.18	      2.77	      2.46	     48.50	     43.05	2.55	 2.265e-03	     -0.99	0	Gaussian	294.156124	44.693670
4	1	  0.002077	  0.118908	     -1.00	    413.15	    606.24	      2.67	      2.52	     46.75	     44.12	-4.64	 1.428e-03	      0.10	0	Gaussian	294.892901	45.957239
5	1	  0.001707	  0.092768	     -1.00	    210.89	    184.85	      2.77	      2.56	     48.49	     44.78	6.21	 7.962e-04	      0.32	0	Gaussian	293.682163	43.945188
6	1	  0.001711	  0.081360	     -1.00	    278.91	    130.44	      2.76	      2.55	     48.38	     44.58	6.06	 6.241e-04	      0.47	0	Gaussian	294.133768	43.705581
7	1	  0.001707	  0.071819	     -1.00	     63.86	    666.13	      2.70	      2.67	     47.31	     46.79	8.86	 6.065e-04	      0.58	0	Gaussian	292.552216	46.147419
8	1	  0.001656	  0.061330	     -1.00	    649.51	    711.82	      2.65	      2.47	     46.47	     43.24	1.33	 4.344e-04	      0.85	0	Gaussian	296.464133	46.485099
9	1	  0.001632	  0.057499	     -1.00	    392.53	    281.80	      2.68	      2.57	     46.94	     44.91	10.74	 4.936e-04	      0.87	0	Gaussian	294.829074	44.435425
10	1	  0.001668	  0.058772	     -1.00	    763.82	    261.30	      2.70	      2.48	     47.28	     43.45	-7.11	 5.417e-04	      0.87	0	Gaussian	297.253807	44.377850
11	1	  0.001641	  0.059867	     -1.00	    674.97	    255.95	      2.59	      2.53	     45.27	     44.28	29.61	 5.006e-04	      0.88	0	Gaussian	296.673157	44.348129
12	1	  0.001680	  0.056397	     -1.00	     96.39	    703.48	      2.72	      2.49	     47.60	     43.63	-1.26	 6.027e-04	      0.91	0	Gaussian	292.753094	46.331296
13	1	  0.001648	  0.051070	     -1.00	    445.72	    355.43	      2.74	      2.42	     48.01	     42.42	-0.58	 4.709e-04	      1.04	0	Gaussian	295.160534	44.789064
14	1	  0.001582	  0.043656	     -1.00	    296.01	    577.19	      2.81	      2.65	     49.17	     46.34	0.10	 3.591e-04	      1.09	0	Gaussian	294.121258	45.797211
15	1	  0.001679	  0.044881	     -1.00	    237.65	    723.99	      2.75	      2.60	     48.11	     45.48	3.60	 4.069e-04	      1.10	0	Gaussian	293.688306	46.467359
16	1	  0.001626	  0.046622	     -1.00	    602.07	    380.86	      2.59	      2.57	     45.38	     45.06	-60.53	 3.713e-04	      1.13	0	Gaussian	296.182976	44.928607
17	1	  0.001720	  0.044597	     -1.00	    636.32	    387.54	      2.68	      2.40	     46.89	     42.08	0.55	 8.075e-04	      1.22	0	Gaussian	296.407867	44.963206
18	1	  0.001597	  0.041148	     -1.00	    663.40	    551.66	      2.67	      2.39	     46.79	     41.87	-1.21	 3.167e-04	      1.31	0	Gaussian	296.572309	45.735742
19	1	  0.001583	  0.035375	     -1.00	    172.66	    635.76	      2.78	      2.63	     48.70	     45.99	3.13	 3.591e-04	      1.33	0	Gaussian	293.284767	46.038937
20	1	  0.001544	  0.036160	     -1.00	    661.08	    302.25	      2.65	      2.49	     46.47	     43.61	-12.27	 2.632e-04	      1.42	0	Gaussian	296.578509	44.564693
21	1	  0.001560	  0.031561	     -1.00	    460.95	    695.82	      2.74	      2.66	     47.89	     46.62	23.53	 2.689e-04	      1.46	0	Gaussian	295.194175	46.384505
22	1	  0.001548	  0.028674	     -1.00	    449.03	    299.64	      2.78	      2.53	     48.65	     44.25	0.91	 2.304e-04	      1.60	0	Gaussian	295.193081	44.528195
23	1	  0.001588	  0.028974	     -1.00	     34.17	    354.50	      2.75	      2.50	     48.10	     43.79	1.52	 3.061e-04	      1.62	0	Gaussian	292.484554	44.688788
24	1	  0.001590	  0.025383	     -1.00	    382.41	    154.84	      2.91	      2.69	     50.88	     47.06	8.07	 2.630e-04	      1.62	0	Gaussian	294.791861	43.839049
25	1	  0.001859	  0.026558	     -1.00	    129.60	     79.05	      2.74	      2.71	     47.93	     47.43	-23.03	 1.110e-03	      1.63	0	Gaussian	293.198023	43.431542
26	1	  0.001567	  0.024003	     -1.00	    169.35	     95.22	      2.83	      2.72	     49.53	     47.67	18.83	 2.206e-04	      1.70	0	Gaussian	293.445170	43.516762
27	1	  0.001527	  0.024423	     -1.00	    482.41	    132.20	      2.79	      2.54	     48.83	     44.44	5.73	 1.967e-04	      1.77	0	Gaussian	295.439967	43.747892
28	1	  0.001607	  0.024322	     -1.00	    509.72	    189.71	      2.73	      2.55	     47.81	     44.59	3.68	 2.606e-04	      1.79	0	Gaussian	295.606682	44.021182
29	1	  0.001574	  0.024415	     -1.00	    160.44	    694.75	      2.71	      2.53	     47.41	     44.25	5.90	 2.506e-04	      1.81	0	Gaussian	293.182620	46.310030
30	1	  0.001516	  0.023280	     -1.00	    298.81	     33.33	      2.78	      2.51	     48.58	     43.97	6.97	 1.963e-04	      1.84	0	Gaussian	294.286525	43.255192
31	1	  0.001544	  0.021610	     -1.00	    356.79	    592.92	      2.79	      2.65	     48.81	     46.33	1.33	 1.787e-04	      1.85	0	Gaussian	294.520668	45.883916
32	1	  0.001979	  0.018130	     -1.00	    264.67	    714.07	      3.39	      2.58	     59.33	     45.19	-18.20	 1.197e-03	      1.86	0	Gaussian	293.872302	46.428064
33	1	  0.001692	  0.023386	     -1.00	    670.22	    131.55	      2.71	      2.39	     47.46	     41.75	-0.12	 6.581e-04	      1.92	0	Gaussian	296.652124	43.763127
34	1	  0.001591	  0.021442	     -1.00	    759.97	    387.36	      2.79	      2.46	     48.83	     43.02	4.55	 2.124e-04	      1.95	0	Gaussian	297.224180	44.970430
35	1	  0.001547	  0.017846	     -1.00	    141.56	    388.99	      2.88	      2.68	     50.48	     46.88	5.11	 1.787e-04	      2.02	0	Gaussian	293.167148	44.880516
36	1	  0.001664	  0.019958	     -1.00	    267.68	    748.51	      2.73	      2.53	     47.70	     44.28	-1.46	 2.393e-04	      2.02	0	Gaussian	293.881943	46.589273
37	1	  0.001629	  0.018455	     -1.00	     35.60	     27.49	      2.87	      2.55	     50.21	     44.59	4.09	 3.105e-04	      2.05	0	Gaussian	292.622494	43.166169
