# 945 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002080	  0.724672	     -1.00	    381.49	    180.09	      2.81	      2.50	     49.20	     43.79	50.88	 2.658e-03	     -1.90	1	Gaussian	314.292977	41.166852
2	1	  0.001267	  0.146537	     -1.00	    396.89	    352.71	      2.54	      2.31	     44.53	     40.50	41.67	 7.125e-04	      0.02	0	Gaussian	314.628581	41.939637
3	1	  0.001398	  0.105058	     -1.00	    623.13	    338.03	      2.62	      2.58	     45.88	     45.09	-71.78	 1.423e-03	      0.24	0	Gaussian	315.967341	41.627278
4	1	  0.001180	  0.103002	     -1.00	    412.90	    440.73	      2.62	      2.38	     45.79	     41.74	43.66	 3.574e-04	      0.34	0	Gaussian	314.852335	42.324372
5	1	  0.001308	  0.087772	     -1.00	    536.18	     16.41	      2.58	      2.35	     45.16	     41.08	47.41	 6.962e-04	      0.55	0	Gaussian	314.982498	40.259627
6	1	  0.001130	  0.083983	     -1.00	    291.94	     59.00	      2.61	      2.40	     45.65	     41.94	42.34	 3.018e-04	      0.56	0	Gaussian	313.592208	40.702627
7	1	  0.001134	  0.085630	     -1.00	    176.88	    406.20	      2.55	      2.37	     44.62	     41.54	38.12	 2.082e-04	      0.58	0	Gaussian	313.359188	42.410159
8	1	  0.001145	  0.082570	     -1.00	    271.37	    505.33	      2.41	      2.28	     42.24	     39.95	40.64	 5.016e-04	      0.72	0	Gaussian	314.077774	42.768770
9	1	  0.001127	  0.074946	     -1.00	    235.71	    640.46	      2.52	      2.34	     44.02	     40.94	31.43	 3.545e-04	      0.75	0	Gaussian	314.047716	43.424494
10	1	  0.001126	  0.073642	     -1.00	    209.74	    622.07	      2.40	      2.40	     41.92	     41.92	1.65	 3.045e-04	      0.80	0	Gaussian	313.859866	43.367259
11	1	  0.001158	  0.067593	     -1.00	    244.21	    443.50	      2.39	      2.33	     41.82	     40.78	85.95	 4.217e-04	      0.93	0	Gaussian	313.824352	42.513468
12	1	  0.001119	  0.055836	     -1.00	    482.95	    157.83	      2.56	      2.43	     44.74	     42.56	33.19	 2.790e-04	      1.01	0	Gaussian	314.867913	40.959778
13	1	  0.001098	  0.056259	     -1.00	    221.35	    741.24	      2.39	      2.39	     41.86	     41.81	21.02	 2.746e-04	      1.09	0	Gaussian	314.101598	43.900767
14	1	  0.001164	  0.051328	     -1.00	    578.66	    104.87	      2.60	      2.37	     45.49	     41.56	49.77	 3.096e-04	      1.11	0	Gaussian	315.359171	40.617044
15	1	  0.001122	  0.047464	     -1.00	    423.01	    231.22	      2.61	      2.39	     45.67	     41.78	51.08	 1.722e-04	      1.19	0	Gaussian	314.613646	41.357431
16	1	  0.001181	  0.052591	     -1.00	     70.39	    377.47	      2.39	      2.27	     41.79	     39.72	43.46	 4.089e-04	      1.23	0	Gaussian	312.664260	42.382057
17	1	  0.001126	  0.046004	     -1.00	    365.93	    290.87	      2.59	      2.34	     45.31	     40.95	55.70	 1.729e-04	      1.25	0	Gaussian	314.353763	41.689423
18	1	  0.001423	  0.050916	     -1.00	    284.41	    536.40	      2.34	      2.27	     41.01	     39.78	-85.77	 1.072e-03	      1.28	0	Gaussian	314.202059	42.897411
19	1	  0.001084	  0.043584	     -1.00	    332.14	    448.40	      2.52	      2.34	     44.05	     41.02	43.99	 2.247e-04	      1.34	0	Gaussian	314.370505	42.444951
20	1	  0.001109	  0.043716	     -1.00	     21.32	    233.17	      2.38	      2.26	     41.58	     39.54	38.49	 2.045e-04	      1.44	0	Gaussian	312.177870	41.762925
21	1	  0.001109	  0.036903	     -1.00	    247.85	    125.12	      2.44	      2.43	     42.79	     42.50	54.50	 2.059e-04	      1.51	0	Gaussian	313.415429	41.049313
22	1	  0.001098	  0.037235	     -1.00	    272.57	    245.77	      2.41	      2.41	     42.21	     42.21	-45.69	 2.329e-04	      1.52	0	Gaussian	313.726533	41.578213
23	1	  0.001092	  0.035720	     -1.00	    413.35	    747.59	      2.47	      2.36	     43.24	     41.34	-78.26	 2.579e-04	      1.56	0	Gaussian	315.309624	43.721977
24	1	  0.001109	  0.030145	     -1.00	    405.89	    572.19	      2.56	      2.46	     44.83	     43.01	37.11	 1.417e-04	      1.67	0	Gaussian	315.001597	42.931422
25	1	  0.001141	  0.032888	     -1.00	    183.72	    708.52	      2.40	      2.30	     41.98	     40.25	38.20	 3.020e-04	      1.72	0	Gaussian	313.818841	43.790199
26	1	  0.001075	  0.031505	     -1.00	     74.60	     60.16	      2.43	      2.37	     42.46	     41.55	-49.77	 2.230e-04	      1.72	0	Gaussian	312.286299	40.915498
27	1	  0.001087	  0.031146	     -1.00	    162.55	    309.44	      2.41	      2.27	     42.26	     39.66	48.94	 2.041e-04	      1.78	0	Gaussian	313.141802	41.979626
28	1	  0.001138	  0.027208	     -1.00	    613.69	     45.62	      2.64	      2.36	     46.16	     41.23	28.71	 3.135e-04	      1.80	0	Gaussian	315.479515	40.310283
29	1	  0.001064	  0.027780	     -1.00	    524.53	    746.64	      2.51	      2.38	     44.01	     41.59	46.96	 1.858e-04	      1.81	0	Gaussian	315.995718	43.592117
30	1	  0.001075	  0.021781	     -1.00	    672.06	     45.00	      2.65	      2.65	     46.45	     46.44	-42.93	 1.746e-04	      1.90	0	Gaussian	315.820273	40.244422
31	1	  0.001067	  0.024429	     -1.00	    458.04	     94.77	      2.53	      2.47	     44.29	     43.27	38.29	 1.592e-04	      1.90	0	Gaussian	314.630892	40.698203
32	1	  0.001137	  0.024934	     -1.00	     60.38	    674.19	      2.48	      2.47	     43.37	     43.29	-84.98	 2.533e-04	      1.91	0	Gaussian	312.995128	43.757630
33	1	  0.001110	  0.024398	     -1.00	    381.76	    595.60	      2.53	      2.34	     44.27	     40.91	43.54	 1.258e-04	      1.97	0	Gaussian	314.887666	43.064349
34	1	  0.001079	  0.021434	     -1.00	     11.45	    221.05	      2.44	      2.35	     42.70	     41.06	59.66	 7.638e-05	      2.14	0	Gaussian	312.102138	41.716096
35	1	  0.001099	  0.019260	     -1.00	    689.23	    217.53	      2.66	      2.39	     46.63	     41.75	34.63	 1.559e-04	      2.14	0	Gaussian	316.177745	41.007280
36	1	  0.001078	  0.018908	     -1.00	    608.46	    514.10	      2.61	      2.36	     45.74	     41.37	51.61	 1.455e-04	      2.20	0	Gaussian	316.147606	42.442142
37	1	  0.001075	  0.019654	     -1.00	    365.10	    641.62	      2.48	      2.38	     43.34	     41.69	54.66	 1.264e-04	      2.20	0	Gaussian	314.852506	43.292245
38	1	  0.001104	  0.018769	     -1.00	    392.56	    707.31	      2.62	      2.34	     45.81	     40.99	47.03	 1.437e-04	      2.21	0	Gaussian	315.120053	43.561640
39	1	  0.001054	  0.017747	     -1.00	    121.84	    546.23	      2.52	      2.40	     44.03	     42.03	42.17	 4.884e-05	      2.29	0	Gaussian	313.207445	43.108347
40	1	  0.001072	  0.018065	     -1.00	    270.92	     97.70	      2.53	      2.31	     44.26	     40.38	39.71	 9.512e-05	      2.31	0	Gaussian	313.517751	40.900790
41	1	  0.001079	  0.016883	     -1.00	    554.54	     36.58	      2.57	      2.36	     44.93	     41.24	45.32	 1.527e-04	      2.34	0	Gaussian	315.119085	40.332124
42	1	  0.001081	  0.015911	     -1.00	    613.53	    525.81	      2.62	      2.40	     45.87	     41.96	38.67	 1.692e-04	      2.36	0	Gaussian	316.196231	42.489462
43	1	  0.001057	  0.017619	     -1.00	     69.90	    108.53	      2.45	      2.28	     42.92	     39.93	54.47	 8.938e-05	      2.38	0	Gaussian	312.318188	41.142868
44	1	  0.001082	  0.016570	     -1.00	    428.58	    132.48	      2.55	      2.29	     44.55	     40.13	32.66	 1.174e-04	      2.39	0	Gaussian	314.508336	40.900829
45	1	  0.001073	  0.015380	     -1.00	    477.73	     56.82	      2.62	      2.38	     45.93	     41.65	50.00	 1.124e-04	      2.41	0	Gaussian	314.694533	40.504640
46	1	  0.001056	  0.017246	     -1.00	    146.52	    442.62	      2.40	      2.31	     41.97	     40.48	73.65	 9.262e-05	      2.41	0	Gaussian	313.220935	42.607645
47	1	  0.001050	  0.014965	     -1.00	    593.26	    255.42	      2.63	      2.33	     45.96	     40.83	34.62	 1.207e-04	      2.45	0	Gaussian	315.665926	41.285355
48	1	  0.001139	  0.013344	     -1.00	    750.09	    225.75	      2.73	      2.55	     47.87	     44.62	28.79	 3.477e-04	      2.45	0	Gaussian	316.548566	40.976014
49	1	  0.001080	  0.015421	     -1.00	    419.43	    294.34	      2.54	      2.34	     44.46	     40.93	55.57	 9.722e-05	      2.46	0	Gaussian	314.681550	41.649360
50	1	  0.001118	  0.014763	     -1.00	    257.67	    581.07	      2.52	      2.40	     44.10	     42.00	54.45	 2.221e-04	      2.49	0	Gaussian	314.100000	43.129729
51	1	  0.001074	  0.014066	     -1.00	    420.26	    707.65	      2.55	      2.44	     44.57	     42.73	45.54	 9.322e-05	      2.51	0	Gaussian	315.292109	43.532602
52	1	  0.001089	  0.015752	     -1.00	     85.53	    434.73	      2.40	      2.30	     41.96	     40.22	77.27	 1.060e-04	      2.52	0	Gaussian	312.832902	42.631162
53	1	  0.001045	  0.015243	     -1.00	    133.03	    412.00	      2.39	      2.38	     41.89	     41.68	60.94	 6.938e-05	      2.52	0	Gaussian	313.096648	42.480173
54	1	  0.001144	  0.012765	     -1.00	    763.77	    774.27	      2.71	      2.53	     47.38	     44.24	56.43	 1.948e-04	      2.52	0	Gaussian	317.503383	43.433868
55	1	  0.001070	  0.014174	     -1.00	    205.40	    660.74	      2.45	      2.39	     42.96	     41.77	70.76	 2.579e-04	      2.57	0	Gaussian	313.887219	43.548879
56	1	  0.001122	  0.014134	     -1.00	    373.28	    200.63	      2.48	      2.36	     43.35	     41.26	-85.28	 1.353e-04	      2.57	0	Gaussian	314.272203	41.269225
57	1	  0.001051	  0.012441	     -1.00	    544.75	    111.86	      2.69	      2.43	     47.04	     42.47	43.80	 8.355e-05	      2.59	0	Gaussian	315.168921	40.684997
58	1	  0.001053	  0.013769	     -1.00	    171.85	    468.56	      2.50	      2.36	     43.76	     41.24	44.51	 7.095e-05	      2.60	0	Gaussian	313.412583	42.701585
59	1	  0.001111	  0.014713	     -1.00	     13.59	    421.56	      2.36	      2.28	     41.33	     39.93	33.69	 1.608e-04	      2.62	0	Gaussian	312.369210	42.639440
60	1	  0.001054	  0.011624	     -1.00	    578.66	    778.03	      2.59	      2.56	     45.41	     44.89	44.71	 8.321e-05	      2.64	0	Gaussian	316.378290	43.671689
61	1	  0.001104	  0.011087	     -1.00	    489.51	    309.82	      2.62	      2.62	     45.91	     45.90	-40.99	 2.577e-04	      2.66	0	Gaussian	315.125545	41.645392
62	1	  0.001095	  0.012395	     -1.00	    249.14	    185.10	      2.48	      2.46	     43.38	     43.14	76.07	 2.010e-04	      2.66	0	Gaussian	313.503017	41.323289
63	1	  0.001106	  0.012049	     -1.00	    279.21	     57.06	      2.59	      2.43	     45.25	     42.51	41.63	 1.270e-04	      2.66	0	Gaussian	313.513493	40.706253
64	1	  0.001086	  0.011414	     -1.00	    595.11	    342.22	      2.69	      2.48	     47.13	     43.34	23.92	 1.061e-04	      2.67	0	Gaussian	315.806246	41.677466
65	1	  0.001068	  0.010438	     -1.00	    714.62	    495.48	      2.81	      2.46	     49.12	     42.99	26.10	 9.894e-05	      2.72	0	Gaussian	316.757019	42.235763
66	1	  0.001059	  0.012425	     -1.00	    235.21	    487.74	      2.41	      2.40	     42.22	     42.02	52.96	 9.358e-05	      2.72	0	Gaussian	313.830241	42.725446
67	1	  0.001106	  0.010450	     -1.00	    713.35	    257.70	      2.74	      2.50	     48.04	     43.71	34.44	 1.198e-04	      2.73	0	Gaussian	316.380957	41.162054
