# 1033 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002225	  0.776271	     -1.00	    610.16	    429.75	      4.67	      3.15	     81.79	     55.16	-1.13	 6.711e-03	     -2.78	0	Gaussian	296.246217	45.131127
2	1	  0.001419	  0.230174	     -1.00	    454.67	    513.18	      4.28	      2.55	     74.84	     44.58	-1.04	 4.054e-03	     -1.13	0	Gaussian	295.211895	45.525706
3	1	  0.001424	  0.187679	     -1.00	    294.80	    338.28	      4.52	      2.53	     79.03	     44.34	1.94	 4.241e-03	     -0.97	0	Gaussian	294.160046	44.693916
4	1	  0.001331	  0.071643	     -1.00	    407.73	    605.26	      4.52	      2.51	     79.17	     44.01	-2.60	 1.434e-03	      0.09	0	Gaussian	294.895687	45.957541
5	1	  0.001138	  0.051866	     -1.00	    219.79	    180.68	      4.75	      2.64	     83.14	     46.17	3.37	 1.208e-03	      0.33	0	Gaussian	293.687020	43.945408
6	1	  0.001211	  0.049453	     -1.00	    288.69	    128.57	      4.39	      2.52	     76.76	     44.09	3.59	 1.190e-03	      0.52	0	Gaussian	294.138389	43.705703
7	1	  0.001161	  0.041572	     -1.00	     60.47	    654.28	      4.76	      2.57	     83.28	     45.05	-2.10	 1.202e-03	      0.60	0	Gaussian	292.558236	46.147491
8	1	  0.001215	  0.041629	     -1.00	    638.88	    717.37	      3.92	      2.41	     68.54	     42.20	-3.50	 7.336e-04	      0.88	0	Gaussian	296.465585	46.485617
9	1	  0.001125	  0.034627	     -1.00	    396.70	    282.27	      4.42	      2.54	     77.36	     44.52	2.41	 6.806e-04	      0.89	0	Gaussian	294.832246	44.435773
10	1	  0.001140	  0.039324	     -1.00	    677.39	    264.76	      3.92	      2.52	     68.55	     44.06	2.08	 5.733e-04	      0.89	0	Gaussian	296.675421	44.348361
11	1	  0.001165	  0.040157	     -1.00	    765.37	    272.65	      3.86	      2.49	     67.56	     43.50	1.14	 5.193e-04	      0.90	0	Gaussian	297.255705	44.378005
12	1	  0.001143	  0.030657	     -1.00	     91.55	    692.37	      4.80	      2.56	     84.03	     44.85	-2.76	 7.947e-04	      0.93	0	Gaussian	292.758808	46.331498
13	1	  0.001142	  0.029255	     -1.00	    447.22	    356.97	      4.44	      2.59	     77.77	     45.27	1.07	 5.763e-04	      1.05	0	Gaussian	295.163161	44.789376
