# 942 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.001842	  0.761360	     -1.00	    375.54	    181.74	      2.76	      2.46	     48.37	     42.99	52.22	 4.367e-03	     -1.92	0	Gaussian	314.293303	41.167044
2	1	  0.000912	  0.150649	     -1.00	    395.70	    353.54	      2.52	      2.30	     44.09	     40.28	34.64	 8.920e-04	      0.01	0	Gaussian	314.628997	41.939868
3	1	  0.001036	  0.114102	     -1.00	    619.56	    332.35	      2.63	      2.39	     45.98	     41.91	58.67	 1.414e-03	      0.22	0	Gaussian	315.967163	41.627311
4	1	  0.000798	  0.110989	     -1.00	    414.07	    440.84	      2.54	      2.31	     44.43	     40.37	37.29	 4.181e-04	      0.33	0	Gaussian	314.852705	42.324437
5	1	  0.000849	  0.090270	     -1.00	    524.31	     14.18	      2.59	      2.33	     45.38	     40.79	30.48	 4.866e-04	      0.52	0	Gaussian	314.982376	40.260034
6	1	  0.000805	  0.093030	     -1.00	    283.27	     63.46	      2.49	      2.30	     43.51	     40.19	40.74	 5.882e-04	      0.55	0	Gaussian	313.592940	40.702985
7	1	  0.000751	  0.092669	     -1.00	    178.86	    413.27	      2.47	      2.30	     43.23	     40.28	30.70	 2.698e-04	      0.56	0	Gaussian	313.360452	42.410353
8	1	  0.000764	  0.084491	     -1.00	    275.43	    509.39	      2.33	      2.31	     40.83	     40.51	27.07	 5.911e-04	      0.72	0	Gaussian	314.078352	42.768696
9	1	  0.000714	  0.075707	     -1.00	    243.85	    645.29	      2.53	      2.36	     44.20	     41.31	44.13	 2.243e-04	      0.73	0	Gaussian	314.048472	43.424454
10	1	  0.000754	  0.078876	     -1.00	    217.53	    627.71	      2.34	      2.33	     40.93	     40.83	-80.67	 4.472e-04	      0.78	0	Gaussian	313.860685	43.367196
11	1	  0.000753	  0.067123	     -1.00	    246.73	    448.53	      2.46	      2.31	     43.00	     40.44	55.14	 3.033e-04	      0.91	0	Gaussian	313.825122	42.513621
12	1	  0.000766	  0.062348	     -1.00	    475.55	    156.67	      2.50	      2.26	     43.69	     39.56	41.61	 3.860e-04	      1.00	0	Gaussian	314.868054	40.959943
13	1	  0.000709	  0.057902	     -1.00	    232.38	    746.27	      2.41	      2.35	     42.14	     41.15	-14.63	 3.664e-04	      1.08	0	Gaussian	314.102117	43.900676
14	1	  0.000790	  0.053353	     -1.00	    568.94	    101.24	      2.59	      2.32	     45.36	     40.62	41.44	 2.673e-04	      1.10	0	Gaussian	315.359205	40.617533
15	1	  0.000764	  0.052694	     -1.00	    418.19	    231.57	      2.44	      2.33	     42.68	     40.82	55.74	 3.433e-04	      1.18	0	Gaussian	314.613939	41.357594
16	1	  0.000776	  0.053190	     -1.00	     72.30	    387.65	      2.39	      2.31	     41.88	     40.35	47.52	 3.623e-04	      1.20	0	Gaussian	312.666143	42.382089
17	1	  0.000767	  0.047144	     -1.00	    363.27	    292.69	      2.53	      2.37	     44.30	     41.46	41.08	 4.073e-04	      1.24	0	Gaussian	314.354406	41.689457
18	1	  0.001012	  0.048627	     -1.00	    289.27	    540.02	      2.48	      2.32	     43.45	     40.55	37.32	 1.018e-03	      1.25	0	Gaussian	314.202794	42.897376
19	1	  0.000679	  0.043885	     -1.00	    334.14	    450.84	      2.52	      2.38	     44.03	     41.63	55.05	 1.465e-04	      1.32	0	Gaussian	314.370947	42.445016
20	1	  0.000698	  0.040592	     -1.00	     19.43	    244.93	      2.47	      2.39	     43.28	     41.75	63.16	 1.297e-04	      1.42	0	Gaussian	312.179835	41.762899
21	1	  0.000732	  0.040242	     -1.00	    241.40	    130.65	      2.43	      2.29	     42.60	     40.02	55.39	 2.596e-04	      1.49	0	Gaussian	313.416415	41.049417
22	1	  0.000714	  0.039567	     -1.00	    269.35	    250.41	      2.40	      2.30	     42.08	     40.22	89.88	 2.712e-04	      1.51	0	Gaussian	313.727538	41.578506
23	1	  0.000682	  0.035453	     -1.00	    423.08	    746.82	      2.53	      2.37	     44.25	     41.51	39.21	 1.404e-04	      1.55	0	Gaussian	315.309555	43.721748
24	1	  0.000714	  0.030973	     -1.00	    410.78	    572.14	      2.56	      2.45	     44.77	     42.80	39.96	 1.459e-04	      1.65	0	Gaussian	315.001775	42.931361
25	1	  0.000749	  0.031202	     -1.00	    194.13	    714.76	      2.50	      2.36	     43.83	     41.38	46.87	 3.085e-04	      1.70	0	Gaussian	313.819704	43.790182
26	1	  0.000692	  0.032735	     -1.00	     67.47	     70.61	      2.41	      2.30	     42.24	     40.23	40.02	 2.312e-04	      1.72	0	Gaussian	312.287902	40.915389
