# 1033 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002486	  1.074993	     -1.00	    612.25	    423.73	      3.44	      3.21	     60.13	     56.15	2.12	 1.078e-02	     -2.82	1	Gaussian	296.244973	45.130795
2	1	  0.001418	  0.388299	     -1.00	    457.77	    512.26	      2.65	      2.47	     46.38	     43.20	-2.78	 2.891e-03	     -1.15	0	Gaussian	295.208986	45.525361
3	1	  0.001350	  0.323242	     -1.00	    291.31	    341.18	      2.77	      2.46	     48.56	     42.99	2.59	 2.269e-03	     -0.99	0	Gaussian	294.156019	44.693609
4	1	  0.001226	  0.118790	     -1.00	    413.15	    606.24	      2.67	      2.52	     46.77	     44.13	-5.03	 1.423e-03	      0.11	0	Gaussian	294.892750	45.957176
5	1	  0.000857	  0.092849	     -1.00	    210.89	    184.85	      2.77	      2.56	     48.51	     44.81	6.29	 7.924e-04	      0.32	0	Gaussian	293.682105	43.945117
6	1	  0.000861	  0.081509	     -1.00	    278.91	    130.44	      2.76	      2.55	     48.37	     44.59	5.50	 6.194e-04	      0.47	0	Gaussian	294.133703	43.705535
7	1	  0.000862	  0.071827	     -1.00	     63.86	    666.12	      2.69	      2.68	     47.17	     46.85	3.45	 6.106e-04	      0.58	0	Gaussian	292.552232	46.147331
8	1	  0.000815	  0.062796	     -1.00	    649.51	    711.81	      2.62	      2.45	     45.84	     42.80	-0.37	 4.789e-04	      0.85	0	Gaussian	296.463903	46.485015
9	1	  0.000782	  0.057415	     -1.00	    392.53	    281.80	      2.68	      2.57	     46.96	     44.91	10.65	 4.946e-04	      0.87	0	Gaussian	294.828965	44.435383
10	1	  0.000818	  0.058784	     -1.00	    763.82	    261.29	      2.70	      2.48	     47.29	     43.42	-7.97	 5.418e-04	      0.87	0	Gaussian	297.253591	44.377863
11	1	  0.000788	  0.060125	     -1.00	    674.97	    255.95	      2.65	      2.47	     46.41	     43.15	5.05	 4.569e-04	      0.88	0	Gaussian	296.673000	44.348147
12	1	  0.000829	  0.056578	     -1.00	     96.39	    703.48	      2.72	      2.48	     47.64	     43.48	-1.79	 5.966e-04	      0.91	0	Gaussian	292.753101	46.331240
13	1	  0.000798	  0.051108	     -1.00	    445.72	    355.42	      2.75	      2.42	     48.05	     42.41	-0.66	 4.724e-04	      1.04	0	Gaussian	295.160381	44.789024
14	1	  0.000730	  0.043707	     -1.00	    296.01	    577.18	      2.81	      2.65	     49.21	     46.40	-0.84	 3.607e-04	      1.08	0	Gaussian	294.121153	45.797146
15	1	  0.000829	  0.044910	     -1.00	    237.65	    723.99	      2.75	      2.60	     48.19	     45.45	2.18	 4.091e-04	      1.10	0	Gaussian	293.688214	46.467307
16	1	  0.000775	  0.046691	     -1.00	    602.07	    380.86	      2.60	      2.58	     45.43	     45.07	-49.09	 3.671e-04	      1.13	0	Gaussian	296.182785	44.928583
17	1	  0.000869	  0.044593	     -1.00	    636.31	    387.54	      2.67	      2.41	     46.81	     42.23	0.30	 8.043e-04	      1.22	0	Gaussian	296.407639	44.963184
18	1	  0.000746	  0.041083	     -1.00	    663.41	    551.66	      2.68	      2.39	     46.90	     41.79	-1.56	 3.162e-04	      1.31	0	Gaussian	296.572112	45.735709
19	1	  0.000733	  0.035429	     -1.00	    172.66	    635.76	      2.78	      2.63	     48.67	     45.95	1.77	 3.601e-04	      1.33	0	Gaussian	293.284712	46.038875
20	1	  0.000693	  0.036163	     -1.00	    661.08	    302.25	      2.66	      2.49	     46.55	     43.64	-12.00	 2.632e-04	      1.41	0	Gaussian	296.578314	44.564688
21	1	  0.000704	  0.031556	     -1.00	    460.95	    695.82	      2.76	      2.67	     48.27	     46.76	-1.21	 2.641e-04	      1.45	0	Gaussian	295.194007	46.384420
22	1	  0.000697	  0.028634	     -1.00	    449.03	    299.64	      2.78	      2.53	     48.68	     44.28	0.80	 2.300e-04	      1.60	0	Gaussian	295.192940	44.528168
23	1	  0.000736	  0.028860	     -1.00	     34.17	    354.50	      2.76	      2.51	     48.27	     43.97	1.82	 3.008e-04	      1.61	0	Gaussian	292.484572	44.688702
24	1	  0.000741	  0.025393	     -1.00	    382.41	    154.84	      2.90	      2.69	     50.80	     47.07	7.72	 2.645e-04	      1.62	0	Gaussian	294.791758	43.839012
25	1	  0.001009	  0.026609	     -1.00	    129.60	     79.05	      2.75	      2.70	     48.14	     47.34	-20.76	 1.111e-03	      1.62	0	Gaussian	293.198012	43.431462
26	1	  0.000717	  0.023980	     -1.00	    169.35	     95.22	      2.83	      2.73	     49.58	     47.70	18.93	 2.188e-04	      1.70	0	Gaussian	293.445142	43.516690
27	1	  0.000676	  0.024386	     -1.00	    482.41	    132.20	      2.79	      2.54	     48.86	     44.51	5.52	 1.955e-04	      1.77	0	Gaussian	295.439825	43.747877
28	1	  0.000757	  0.024338	     -1.00	    509.72	    189.71	      2.72	      2.55	     47.64	     44.64	2.26	 2.590e-04	      1.79	0	Gaussian	295.606547	44.021167
29	1	  0.000722	  0.024350	     -1.00	    160.44	    694.75	      2.72	      2.53	     47.53	     44.32	5.23	 2.496e-04	      1.80	0	Gaussian	293.182582	46.309977
30	1	  0.000665	  0.023283	     -1.00	    298.80	     33.33	      2.78	      2.51	     48.67	     43.99	6.86	 1.942e-04	      1.84	0	Gaussian	294.286439	43.255133
31	1	  0.000693	  0.021619	     -1.00	    356.79	    592.92	      2.79	      2.65	     48.83	     46.37	1.31	 1.771e-04	      1.85	0	Gaussian	294.520537	45.883856
32	1	  0.001154	  0.018850	     -1.00	    264.71	    714.06	      3.04	      2.64	     53.20	     46.22	-26.21	 1.202e-03	      1.91	0	Gaussian	293.872449	46.427968
33	1	  0.000842	  0.023323	     -1.00	    670.22	    131.55	      2.72	      2.39	     47.59	     41.75	-0.11	 6.584e-04	      1.91	0	Gaussian	296.651933	43.763142
34	1	  0.000741	  0.021412	     -1.00	    759.97	    387.36	      2.79	      2.46	     48.92	     43.05	5.39	 2.141e-04	      1.94	0	Gaussian	297.223941	44.970447
35	1	  0.000696	  0.017792	     -1.00	    141.56	    388.98	      2.89	      2.68	     50.60	     46.93	5.21	 1.772e-04	      2.02	0	Gaussian	293.167118	44.880438
36	1	  0.000813	  0.020025	     -1.00	    267.67	    748.51	      2.72	      2.53	     47.58	     44.30	-2.08	 2.389e-04	      2.02	0	Gaussian	293.881855	46.589216
37	1	  0.000778	  0.018405	     -1.00	     35.59	     27.49	      2.88	      2.55	     50.38	     44.58	4.01	 3.115e-04	      2.04	0	Gaussian	292.622508	43.166058
38	1	  0.000695	  0.019307	     -1.00	    255.18	    501.68	      2.72	      2.50	     47.55	     43.75	-5.43	 1.806e-04	      2.07	0	Gaussian	293.873467	45.435164
39	1	  0.000869	  0.019155	     -1.00	    610.93	    608.37	      2.72	      2.49	     47.56	     43.52	-5.95	 1.029e-03	      2.08	0	Gaussian	296.215063	45.996397
40	1	  0.000713	  0.019948	     -1.00	    626.57	    233.40	      2.63	      2.43	     46.06	     42.52	2.80	 1.900e-04	      2.10	0	Gaussian	296.359400	44.238529
41	1	  0.000697	  0.017522	     -1.00	    657.20	    170.90	      2.72	      2.60	     47.55	     45.46	11.41	 1.304e-04	      2.13	0	Gaussian	296.564350	43.947230
42	1	  0.000781	  0.017099	     -1.00	    621.41	    741.05	      2.71	      2.56	     47.38	     44.80	-88.32	 3.672e-04	      2.17	0	Gaussian	296.270493	46.618918
43	1	  0.000769	  0.016200	     -1.00	     62.28	    171.41	      2.86	      2.57	     50.04	     45.03	-1.68	 2.501e-04	      2.17	0	Gaussian	292.736624	43.844227
44	1	  0.000766	  0.017310	     -1.00	    578.96	     16.95	      2.72	      2.52	     47.68	     44.04	14.79	 3.715e-04	      2.18	0	Gaussian	296.076543	43.217642
45	1	  0.000724	  0.016587	     -1.00	    329.19	    453.34	      2.73	      2.55	     47.72	     44.72	10.16	 1.844e-04	      2.21	0	Gaussian	294.373723	45.225923
46	1	  0.000716	  0.017303	     -1.00	    759.49	    366.63	      2.72	      2.40	     47.65	     41.93	3.72	 1.785e-04	      2.23	0	Gaussian	297.221523	44.872978
47	1	  0.000692	  0.014591	     -1.00	    211.80	    428.38	      2.81	      2.56	     49.27	     44.87	3.83	 1.554e-04	      2.31	0	Gaussian	293.611619	45.082520
48	1	  0.000655	  0.014779	     -1.00	    733.48	    432.00	      2.70	      2.55	     47.25	     44.58	-8.03	 1.329e-04	      2.34	0	Gaussian	297.046745	45.178909
49	1	  0.000667	  0.014982	     -1.00	    503.28	    727.54	      2.74	      2.51	     47.94	     43.89	-7.58	 1.365e-04	      2.34	0	Gaussian	295.473335	46.539694
50	1	  0.000812	  0.013946	     -1.00	     50.47	    279.40	      2.82	      2.57	     49.31	     45.03	4.01	 4.277e-04	      2.36	0	Gaussian	292.619439	44.343931
