# 1098 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.003378	  0.852515	     -1.00	    613.67	    792.38	      2.75	      2.55	     48.19	     44.57	26.67	 4.842e-03	     -2.08	0	Gaussian	316.232852	43.928090
2	1	  0.002725	  0.816282	     -1.00	    343.36	    188.52	      2.76	      2.54	     48.32	     44.41	18.03	 3.634e-03	     -2.03	0	Gaussian	314.293300	41.167327
3	1	  0.001952	  0.430642	     -1.00	     41.71	    790.82	      2.59	      2.39	     45.40	     41.78	12.05	 1.074e-03	     -1.20	0	Gaussian	312.521443	44.060283
4	1	  0.001745	  0.158846	     -1.00	    388.63	    354.97	      2.59	      2.42	     45.36	     42.32	17.93	 4.482e-04	     -0.13	0	Gaussian	314.628884	41.940029
5	1	  0.001920	  0.117976	     -1.00	    606.56	    301.01	      2.65	      2.54	     46.42	     44.41	34.45	 1.325e-03	      0.11	0	Gaussian	315.966982	41.627576
6	1	  0.001731	  0.121872	     -1.00	    419.63	    438.39	      2.54	      2.38	     44.46	     41.71	14.64	 6.733e-04	      0.19	0	Gaussian	314.852497	42.324678
7	1	  0.001713	  0.095181	     -1.00	    183.28	    445.91	      2.59	      2.49	     45.30	     43.64	29.76	 6.925e-04	      0.39	0	Gaussian	313.359891	42.410363
8	1	  0.001662	  0.098183	     -1.00	    234.74	     85.48	      2.55	      2.41	     44.67	     42.15	5.59	 3.834e-04	      0.41	0	Gaussian	313.592620	40.703178
9	1	  0.001624	  0.087247	     -1.00	    292.81	    526.44	      2.58	      2.36	     45.14	     41.35	6.14	 2.694e-04	      0.55	0	Gaussian	314.077855	42.768740
10	1	  0.001609	  0.083342	     -1.00	    281.72	    665.16	      2.56	      2.44	     44.73	     42.69	30.03	 2.563e-04	      0.58	0	Gaussian	314.048147	43.424499
11	1	  0.001625	  0.080996	     -1.00	    253.12	    651.69	      2.58	      2.42	     45.17	     42.28	12.11	 3.172e-04	      0.61	0	Gaussian	313.860222	43.367206
12	1	  0.001637	  0.072375	     -1.00	    255.51	    470.65	      2.56	      2.38	     44.82	     41.63	10.86	 2.782e-04	      0.76	0	Gaussian	313.824702	42.513601
