# 7003 stars found using the following parameters:
# sigma=0.50 roundness=0.05 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	1086.511395	16913.555425	     -1.00	   3907.27	    375.98	      3.78	      3.18	     66.17	     55.73	10.83	 3.887e+02	    -13.66	0	Gaussian	9990000000.000000	9990000000.000000
2	1	1145.186715	25614.185219	     -1.00	   3405.57	   2616.09	      3.24	      2.84	     56.72	     49.67	-2.96	 1.619e+02	    -13.60	1	Gaussian	9990000000.000000	9990000000.000000
3	1	1063.903186	20591.236234	     -1.00	   1406.52	   2507.19	      3.36	      3.05	     58.74	     53.38	-13.60	 4.990e+02	    -13.45	0	Gaussian	9990000000.000000	9990000000.000000
4	1	1075.685207	21396.106510	     -1.00	   2809.50	   1553.90	      3.17	      2.89	     55.46	     50.67	20.90	 4.009e+02	    -13.37	1	Gaussian	9990000000.000000	9990000000.000000
5	1	1076.166093	17131.832364	     -1.00	   1795.98	    447.91	      2.70	      2.56	     47.33	     44.87	27.31	 1.849e+02	    -12.82	0	Gaussian	9990000000.000000	9990000000.000000
6	1	1107.330861	21150.432665	     -1.00	   4924.38	   1402.24	      2.70	      2.07	     47.34	     36.29	12.60	 3.058e+02	    -12.82	1	Gaussian	9990000000.000000	9990000000.000000
7	1	1097.236273	21495.113614	     -1.00	   2422.30	   2824.38	      2.21	      2.14	     38.62	     37.45	66.87	 2.647e+02	    -12.65	1	Gaussian	9990000000.000000	9990000000.000000
8	1	1130.480166	19285.599751	     -1.00	    913.37	   3949.15	      2.43	      2.05	     42.54	     35.81	-10.91	 3.590e+02	    -12.59	0	Gaussian	9990000000.000000	9990000000.000000
9	1	1101.310662	18186.779215	     -1.00	   4962.70	   1694.89	      2.65	      1.89	     46.45	     33.17	6.28	 2.528e+02	    -12.54	0	Gaussian	9990000000.000000	9990000000.000000
10	1	1092.443719	16945.893357	     -1.00	   5275.09	   3099.14	      2.72	      1.97	     47.66	     34.52	11.45	 2.445e+02	    -12.53	0	Gaussian	9990000000.000000	9990000000.000000
11	1	1072.912488	19196.288157	     -1.00	   4281.83	   2491.21	      2.13	      2.13	     37.30	     37.30	-10.60	 2.380e+02	    -12.49	0	Gaussian	9990000000.000000	9990000000.000000
