# 7083 stars found using the following parameters:
# sigma=0.50 roundness=0.05 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	1070.452784	20541.176237	     -1.00	   4121.36	    402.59	      3.59	      3.31	     62.75	     57.95	3.55	 5.659e+02	    -13.60	0	Gaussian	9990000000.000000	9990000000.000000
2	1	1157.367974	37268.383433	     -1.00	   3581.57	   2640.48	      2.89	      2.72	     50.61	     47.58	13.95	 2.303e+02	    -13.55	1	Gaussian	9990000000.000000	9990000000.000000
3	1	1077.409960	21444.150255	     -1.00	   1592.93	   2498.64	      3.08	      2.88	     53.84	     50.43	2.52	 4.668e+02	    -13.33	0	Gaussian	9990000000.000000	9990000000.000000
4	1	1093.489295	21660.749034	     -1.00	   3000.40	   1568.72	      3.06	      2.69	     53.61	     47.08	25.81	 3.138e+02	    -13.26	1	Gaussian	9990000000.000000	9990000000.000000
5	1	1113.498381	20789.898846	     -1.00	   5134.24	   1444.95	      2.88	      2.03	     50.42	     35.47	-6.12	 3.285e+02	    -12.85	0	Gaussian	9990000000.000000	9990000000.000000
6	1	1075.898272	16531.032259	     -1.00	   2011.56	    454.61	      2.90	      2.30	     50.69	     40.22	42.16	 2.446e+02	    -12.74	0	Gaussian	9990000000.000000	9990000000.000000
7	1	1070.104471	21793.903976	     -1.00	   4466.36	   2530.23	      2.40	      2.02	     41.98	     35.42	12.86	 2.448e+02	    -12.70	1	Gaussian	9990000000.000000	9990000000.000000
8	1	1114.382624	15908.502508	     -1.00	   1088.86	   3923.46	      2.56	      2.47	     44.73	     43.24	-75.57	 2.907e+02	    -12.64	0	Gaussian	9990000000.000000	9990000000.000000
9	1	1075.641462	20554.923255	     -1.00	   4289.23	   1927.10	      2.33	      1.99	     40.86	     34.92	20.56	 2.449e+02	    -12.59	0	Gaussian	9990000000.000000	9990000000.000000
10	1	1117.901740	21672.861347	     -1.00	   2595.38	   2831.90	      2.41	      1.73	     42.21	     30.27	-0.62	 3.257e+02	    -12.53	1	Gaussian	9990000000.000000	9990000000.000000
11	1	1097.281829	14990.988054	     -1.00	   5468.25	   3160.51	      2.74	      2.09	     47.93	     36.63	19.31	 3.037e+02	    -12.47	0	Gaussian	9990000000.000000	9990000000.000000
12	1	1069.880855	19387.717306	     -1.00	   2644.49	   3031.99	      2.35	      1.83	     41.16	     32.00	-10.12	 2.872e+02	    -12.44	0	Gaussian	9990000000.000000	9990000000.000000
13	1	1094.985049	16219.867303	     -1.00	   5168.69	   1740.08	      2.69	      1.86	     47.14	     32.56	6.13	 1.974e+02	    -12.41	0	Gaussian	9990000000.000000	9990000000.000000
14	1	1074.061091	17686.229658	     -1.00	   4141.84	   3205.24	      2.17	      1.95	     38.06	     34.19	47.16	 2.191e+02	    -12.33	0	Gaussian	9990000000.000000	9990000000.000000
15	1	1099.867110	14732.933809	     -1.00	   5455.17	    821.83	      2.55	      1.90	     44.59	     33.23	12.50	 2.062e+02	    -12.27	0	Gaussian	9990000000.000000	9990000000.000000
16	1	1091.012118	16159.994781	     -1.00	   4079.81	    930.26	      2.24	      1.78	     39.26	     31.22	-45.34	 2.092e+02	    -12.16	0	Gaussian	9990000000.000000	9990000000.000000
17	1	1084.832618	16879.692784	     -1.00	   4369.25	   3286.04	      2.17	      1.65	     37.90	     28.89	38.45	 2.167e+02	    -12.09	0	Gaussian	9990000000.000000	9990000000.000000
18	1	1095.752966	13521.588500	     -1.00	   1311.55	   3570.98	      2.18	      2.01	     38.21	     35.15	23.30	 2.412e+02	    -12.07	0	Gaussian	9990000000.000000	9990000000.000000
19	1	1062.214802	12567.792567	     -1.00	   2864.77	   1110.53	      2.25	      2.07	     39.45	     36.24	25.09	 1.702e+02	    -12.06	0	Gaussian	9990000000.000000	9990000000.000000
20	1	1110.682507	12650.041197	     -1.00	    316.88	   1117.99	      2.19	      1.97	     38.38	     34.48	21.76	 2.430e+02	    -11.98	0	Gaussian	9990000000.000000	9990000000.000000
21	1	1072.064401	16747.576297	     -1.00	   4025.89	   2534.63	      2.08	      1.53	     36.39	     26.84	59.53	 1.780e+02	    -11.95	0	Gaussian	9990000000.000000	9990000000.000000
22	1	1071.536156	10978.723871	     -1.00	   1995.62	   1158.17	      2.42	      1.98	     42.38	     34.71	32.42	 1.330e+02	    -11.94	0	Gaussian	9990000000.000000	9990000000.000000
23	1	1136.400127	14857.955310	     -1.00	    229.80	   1342.20	      2.11	      1.68	     36.90	     29.35	-39.50	 3.099e+02	    -11.94	0	Gaussian	9990000000.000000	9990000000.000000
24	1	1084.550392	12790.206022	     -1.00	   3566.71	    605.85	      2.14	      1.88	     37.39	     32.91	54.44	 2.046e+02	    -11.91	0	Gaussian	9990000000.000000	9990000000.000000
25	1	1067.693579	11132.210870	     -1.00	   2752.11	    852.52	      2.23	      2.03	     38.97	     35.54	56.06	 1.603e+02	    -11.89	0	Gaussian	9990000000.000000	9990000000.000000
26	1	1074.814281	16738.254351	     -1.00	   3106.13	   3325.69	      1.89	      1.59	     33.01	     27.85	-53.09	 1.973e+02	    -11.89	0	Gaussian	9990000000.000000	9990000000.000000
27	1	1064.084244	6447.216527	     -1.00	   4779.54	   1525.38	      3.28	      2.37	     57.49	     41.45	-37.18	 1.087e+02	    -11.89	0	Gaussian	9990000000.000000	9990000000.000000
28	1	1064.160385	8150.612263	     -1.00	   1517.42	    919.12	      2.57	      2.34	     44.99	     40.92	9.91	 8.941e+01	    -11.86	0	Gaussian	9990000000.000000	9990000000.000000
29	1	1073.646625	8483.736713	     -1.00	   2546.49	    845.78	      2.62	      2.17	     45.78	     38.01	43.41	 9.558e+01	    -11.84	0	Gaussian	9990000000.000000	9990000000.000000
30	1	1084.934599	15826.996078	     -1.00	   2583.23	   2846.24	      1.95	      1.53	     34.14	     26.85	37.91	 1.731e+02	    -11.82	0	Gaussian	9990000000.000000	9990000000.000000
31	1	1095.504010	9629.662314	     -1.00	    924.46	    299.23	      2.29	      2.12	     40.05	     37.16	5.24	 1.665e+02	    -11.81	0	Gaussian	9990000000.000000	9990000000.000000
32	1	1085.631416	19079.231665	     -1.00	   3816.89	   2848.99	      1.89	      1.26	     33.08	     22.10	-43.73	 1.977e+02	    -11.78	0	Gaussian	9990000000.000000	9990000000.000000
33	1	1063.960764	8308.750366	     -1.00	   4968.20	   2655.93	      2.83	      1.89	     49.49	     33.07	14.96	 1.223e+02	    -11.75	0	Gaussian	9990000000.000000	9990000000.000000
34	1	1063.738518	7671.186838	     -1.00	   2160.70	    868.30	      2.56	      2.18	     44.74	     38.17	39.07	 1.410e+02	    -11.71	0	Gaussian	9990000000.000000	9990000000.000000
35	1	1067.709181	7648.183904	     -1.00	   4146.91	    492.22	      2.37	      2.30	     41.45	     40.33	-46.32	 1.140e+02	    -11.69	0	Gaussian	9990000000.000000	9990000000.000000
36	1	1082.309562	11135.699784	     -1.00	   1946.92	   4007.92	      2.27	      1.63	     39.72	     28.46	47.93	 1.713e+02	    -11.67	0	Gaussian	9990000000.000000	9990000000.000000
37	1	1060.541750	8322.618669	     -1.00	   2149.33	   3507.59	      2.22	      2.22	     38.87	     38.87	-20.17	 1.490e+02	    -11.67	0	Gaussian	9990000000.000000	9990000000.000000
