# 6913 stars found using the following parameters:
# sigma=0.50 roundness=0.05 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	1133.203391	19820.795886	     -1.00	   3581.53	   2640.60	      2.75	      2.69	     48.07	     47.08	80.83	 2.594e+02	    -13.05	0	Gaussian	9990000000.000000	9990000000.000000
2	1	1087.498665	18881.877402	     -1.00	   4121.34	    402.65	      2.75	      2.65	     48.13	     46.33	-77.89	 2.932e+02	    -12.98	0	Gaussian	9990000000.000000	9990000000.000000
3	1	1093.248547	22092.901233	     -1.00	   1592.85	   2498.72	      2.31	      2.26	     40.48	     39.50	22.56	 2.890e+02	    -12.79	0	Gaussian	9990000000.000000	9990000000.000000
4	1	1108.226199	23158.369316	     -1.00	   3000.45	   1568.77	      2.28	      2.16	     39.85	     37.74	39.04	 2.199e+02	    -12.77	0	Gaussian	9990000000.000000	9990000000.000000
5	1	1070.311608	14650.243879	     -1.00	   5134.21	   1444.96	      2.31	      2.31	     40.43	     40.43	-72.15	 2.694e+02	    -12.37	0	Gaussian	9990000000.000000	9990000000.000000
6	1	1066.015690	17077.735453	     -1.00	   2011.59	    454.67	      2.30	      1.92	     40.29	     33.65	40.70	 1.401e+02	    -12.33	0	Gaussian	9990000000.000000	9990000000.000000
7	1	1100.274931	13818.403124	     -1.00	   1088.84	   3923.48	      2.16	      2.10	     37.75	     36.76	-69.87	 2.422e+02	    -12.13	0	Gaussian	9990000000.000000	9990000000.000000
8	1	1038.751553	12036.098801	     -1.00	   4466.35	   2530.25	      2.33	      2.07	     40.78	     36.30	19.45	 1.178e+02	    -12.05	0	Gaussian	9990000000.000000	9990000000.000000
9	1	1049.056826	13048.419602	     -1.00	   4289.25	   1927.10	      2.23	      1.94	     39.09	     33.88	29.21	 1.166e+02	    -12.01	0	Gaussian	9990000000.000000	9990000000.000000
10	1	1073.148721	14091.168438	     -1.00	   2595.45	   2831.91	      2.28	      1.74	     39.99	     30.53	-3.17	 2.214e+02	    -12.01	0	Gaussian	9990000000.000000	9990000000.000000
11	1	1069.424266	11831.202365	     -1.00	   5468.19	   3160.49	      2.67	      1.78	     46.68	     31.10	12.46	 3.494e+02	    -12.01	0	Gaussian	9990000000.000000	9990000000.000000
12	1	1068.889838	12590.495415	     -1.00	   5168.67	   1740.08	      2.43	      1.79	     42.55	     31.27	6.86	 1.421e+02	    -11.98	0	Gaussian	9990000000.000000	9990000000.000000
13	1	1041.943653	12402.094061	     -1.00	   2644.57	   3031.90	      2.20	      1.86	     38.46	     32.53	-8.65	 1.376e+02	    -11.90	0	Gaussian	9990000000.000000	9990000000.000000
14	1	1065.288322	11458.062784	     -1.00	   5455.15	    821.79	      2.42	      1.78	     42.43	     31.19	17.83	 1.768e+02	    -11.87	0	Gaussian	9990000000.000000	9990000000.000000
15	1	1049.059514	11311.082989	     -1.00	   4141.83	   3205.27	      2.10	      1.93	     36.75	     33.70	46.05	 1.044e+02	    -11.79	0	Gaussian	9990000000.000000	9990000000.000000
