# 7083 stars found using the following parameters:
# sigma=0.50 roundness=0.05 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	1069.416061	20567.472925	     -1.00	   4121.36	    402.59	      3.58	      3.31	     62.68	     57.89	3.56	 5.671e+02	    -13.60	0	Gaussian	9990000000.000000	9990000000.000000
2	1	1156.613502	37645.189903	     -1.00	   3581.57	   2640.48	      2.88	      2.71	     50.44	     47.44	13.99	 2.294e+02	    -13.54	1	Gaussian	9990000000.000000	9990000000.000000
3	1	1076.028350	21473.306467	     -1.00	   1592.93	   2498.64	      3.07	      2.88	     53.79	     50.38	2.49	 4.676e+02	    -13.33	0	Gaussian	9990000000.000000	9990000000.000000
4	1	1092.145064	21693.161150	     -1.00	   3000.40	   1568.72	      3.06	      2.69	     53.55	     47.03	25.84	 3.144e+02	    -13.26	1	Gaussian	9990000000.000000	9990000000.000000
5	1	1112.324355	20822.950380	     -1.00	   5134.24	   1444.95	      2.88	      2.02	     50.37	     35.43	-6.11	 3.285e+02	    -12.85	0	Gaussian	9990000000.000000	9990000000.000000
6	1	1074.881216	16560.368160	     -1.00	   2011.56	    454.61	      2.89	      2.30	     50.64	     40.17	42.17	 2.449e+02	    -12.74	0	Gaussian	9990000000.000000	9990000000.000000
7	1	1068.695170	21826.698747	     -1.00	   4466.36	   2530.23	      2.40	      2.02	     41.94	     35.38	12.86	 2.451e+02	    -12.70	1	Gaussian	9990000000.000000	9990000000.000000
8	1	1113.457186	15937.106741	     -1.00	   1088.86	   3923.46	      2.55	      2.47	     44.69	     43.18	-75.62	 2.909e+02	    -12.64	0	Gaussian	9990000000.000000	9990000000.000000
9	1	1074.191456	20589.125601	     -1.00	   4289.23	   1927.10	      2.33	      1.99	     40.82	     34.88	20.55	 2.450e+02	    -12.59	0	Gaussian	9990000000.000000	9990000000.000000
10	1	1116.354694	21712.557963	     -1.00	   2595.38	   2831.90	      2.41	      1.73	     42.17	     30.23	-0.62	 3.264e+02	    -12.53	1	Gaussian	9990000000.000000	9990000000.000000
11	1	1096.393105	15020.404387	     -1.00	   5468.25	   3160.51	      2.74	      2.09	     47.88	     36.58	19.32	 3.037e+02	    -12.47	0	Gaussian	9990000000.000000	9990000000.000000
