# 1616 stars found using the following parameters:
# sigma=0.50 roundness=0.05 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	1093.765817	32039.013554	     -1.00	   3581.52	   2640.47	      2.87	      2.80	     50.17	     49.00	33.66	 9.629e+02	    -13.66	0	Gaussian	9990000000.000000	9990000000.000000
2	1	1088.449709	32200.301084	     -1.00	   4121.24	    402.52	      2.91	      2.55	     50.99	     44.58	-56.44	 1.120e+03	    -13.58	0	Gaussian	9990000000.000000	9990000000.000000
3	1	1099.379652	38506.575375	     -1.00	   1592.82	   2498.64	      2.23	      2.16	     39.06	     37.81	88.91	 8.952e+02	    -13.31	0	Gaussian	9990000000.000000	9990000000.000000
4	1	1100.754121	42691.185053	     -1.00	   3000.37	   1568.68	      2.18	      1.91	     38.13	     33.49	38.27	 4.420e+02	    -13.26	1	Gaussian	9990000000.000000	9990000000.000000
5	1	1120.488882	41849.149228	     -1.00	   5134.20	   1444.97	      2.15	      1.37	     37.58	     24.05	-9.58	 3.863e+02	    -12.86	0	Gaussian	9990000000.000000	9990000000.000000
6	1	1056.782772	45479.905117	     -1.00	   4466.36	   2530.21	      1.65	      1.46	     28.87	     25.51	18.91	 2.340e+02	    -12.73	1	Gaussian	9990000000.000000	9990000000.000000
7	1	1085.339304	33082.834100	     -1.00	   2011.54	    454.61	      2.18	      1.52	     38.09	     26.53	46.71	 2.573e+02	    -12.73	0	Gaussian	9990000000.000000	9990000000.000000
8	1	1051.623217	45945.032470	     -1.00	   4289.20	   1927.10	      1.59	      1.39	     27.81	     24.36	19.69	 2.934e+02	    -12.65	1	Gaussian	9990000000.000000	9990000000.000000
9	1	1094.422939	50978.076200	     -1.00	   2595.40	   2831.99	      1.67	      1.17	     29.18	     20.47	-0.18	 5.132e+02	    -12.61	1	Gaussian	9990000000.000000	9990000000.000000
10	1	1146.720505	31829.565524	     -1.00	   1088.83	   3923.40	      1.90	      1.59	     33.34	     27.87	-67.91	 4.724e+02	    -12.60	0	Gaussian	9990000000.000000	9990000000.000000
