# 1100 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.003897	  0.801357	     -1.00	    400.12	    181.95	      2.80	      2.58	     48.98	     45.08	35.19	 2.733e-03	     -2.04	1	Gaussian	314.295871	41.165801
2	1	  0.003405	  0.561166	     -1.00	     52.66	    786.16	      2.61	      2.41	     45.73	     42.25	34.65	 1.587e-03	     -1.51	0	Gaussian	313.314449	44.385435
3	1	  0.003070	  0.165065	     -1.00	    401.11	    353.61	      2.57	      2.36	     45.05	     41.39	25.19	 6.766e-04	     -0.14	0	Gaussian	314.631379	41.938386
4	1	  0.003246	  0.121097	     -1.00	    622.73	    357.20	      2.65	      2.50	     46.31	     43.75	41.67	 1.360e-03	      0.10	0	Gaussian	315.968607	41.626288
5	1	  0.003049	  0.123470	     -1.00	    409.56	    441.74	      2.56	      2.35	     44.73	     41.10	29.48	 5.954e-04	      0.19	0	Gaussian	314.854838	42.322893
6	1	  0.002978	  0.098213	     -1.00	    181.57	    388.82	      2.61	      2.41	     45.77	     42.22	29.27	 2.650e-04	      0.38	0	Gaussian	313.363014	42.408494
7	1	  0.002960	  0.096648	     -1.00	    322.48	     55.05	      2.58	      2.46	     45.23	     43.00	28.23	 3.095e-04	      0.39	0	Gaussian	313.595541	40.701705
8	1	  0.003112	  0.096087	     -1.00	    564.21	     33.19	      2.60	      2.44	     45.50	     42.68	18.05	 6.785e-04	      0.40	0	Gaussian	314.984484	40.259251
9	1	  0.002987	  0.089868	     -1.00	    278.87	    785.24	      2.60	      2.42	     45.43	     42.35	38.30	 2.487e-04	      0.49	0	Gaussian	314.734387	44.058808
10	1	  0.002934	  0.086782	     -1.00	    265.94	    494.29	      2.58	      2.41	     45.15	     42.19	17.73	 2.461e-04	      0.53	0	Gaussian	314.080729	42.766932
11	1	  0.002923	  0.083441	     -1.00	    220.05	    625.08	      2.61	      2.41	     45.71	     42.18	27.50	 2.619e-04	      0.56	0	Gaussian	314.051089	43.422594
12	1	  0.002930	  0.079522	     -1.00	    196.07	    604.86	      2.62	      2.45	     45.83	     42.97	27.31	 1.618e-04	      0.59	0	Gaussian	313.863078	43.365339
13	1	  0.002962	  0.071019	     -1.00	    244.43	    431.07	      2.61	      2.40	     45.76	     42.04	32.77	 2.040e-04	      0.74	0	Gaussian	313.827660	42.511834
