# 927 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.004944	  0.698621	     -1.00	    610.81	    447.21	      6.72	      3.42	    117.64	     59.84	-1.36	 1.281e-02	     -3.15	1	Gaussian	296.241415	45.131928
2	1	  0.003245	  0.162696	     -1.00	    444.81	    518.81	      7.24	      2.74	    126.78	     47.90	-3.64	 3.873e-03	     -1.41	0	Gaussian	295.205612	45.526564
3	1	  0.003182	  0.131241	     -1.00	    296.17	    328.86	      7.62	      2.77	    133.39	     48.45	-0.39	 3.381e-03	     -1.24	0	Gaussian	294.154284	44.694481
4	1	  0.003077	  0.053319	     -1.00	    389.49	    608.06	      7.27	      2.74	    127.33	     47.96	-6.37	 1.273e-03	     -0.20	0	Gaussian	294.892384	45.958174
5	1	  0.003155	  0.042806	     -1.00	    233.20	    163.16	      6.66	      2.73	    116.57	     47.74	3.43	 1.294e-03	      0.14	0	Gaussian	293.684422	43.945758
6	1	  0.003056	  0.035563	     -1.00	    307.90	    116.23	      7.14	      2.75	    125.05	     48.06	3.71	 9.421e-04	      0.25	0	Gaussian	294.133869	43.706084
7	1	  0.003278	  0.033315	     -1.00	     29.41	    629.65	      6.13	      2.66	    107.36	     46.57	-6.49	 1.635e-03	      0.53	0	Gaussian	292.555249	46.147885
8	1	  0.002954	  0.026455	     -1.00	    405.43	    280.64	      6.92	      2.71	    121.16	     47.51	0.71	 6.146e-04	      0.62	0	Gaussian	294.828042	44.436130
9	1	  0.003093	  0.029398	     -1.00	    615.75	    739.83	      6.33	      2.67	    110.77	     46.68	-7.20	 7.454e-04	      0.62	0	Gaussian	296.460325	46.486761
10	1	  0.002957	  0.031247	     -1.00	    693.35	    286.20	      5.76	      2.74	    100.89	     47.96	0.82	 5.737e-04	      0.63	0	Gaussian	296.671148	44.348732
11	1	  0.003008	  0.032807	     -1.00	    782.34	    301.43	      5.44	      2.71	     95.24	     47.44	0.88	 5.518e-04	      0.65	0	Gaussian	297.252175	44.378347
12	1	  0.003053	  0.021299	     -1.00	     57.73	    670.81	      8.02	      2.74	    140.40	     47.92	-7.44	 1.185e-03	      0.69	0	Gaussian	292.753470	46.332210
13	1	  0.003001	  0.022363	     -1.00	    450.57	    360.34	      6.92	      2.74	    121.15	     48.01	-1.09	 5.692e-04	      0.79	0	Gaussian	295.157886	44.790029
14	1	  0.002933	  0.018243	     -1.00	    274.00	    566.08	      7.90	      2.82	    138.34	     49.43	-5.08	 5.063e-04	      0.84	0	Gaussian	294.118986	45.798434
15	1	  0.003034	  0.018917	     -1.00	    198.43	    706.91	      7.80	      2.73	    136.52	     47.77	-7.55	 8.154e-04	      0.85	0	Gaussian	293.687604	46.468460
16	1	  0.002941	  0.023093	     -1.00	    605.64	    403.15	      6.23	      2.72	    108.98	     47.68	-0.86	 4.691e-04	      0.88	0	Gaussian	296.180734	44.929532
17	1	  0.003123	  0.022361	     -1.00	    639.39	    413.63	      6.01	      2.64	    105.20	     46.25	-1.41	 8.403e-04	      0.99	0	Gaussian	296.405365	44.964146
18	1	  0.002942	  0.011395	     -1.00	    161.43	     48.03	     10.38	      3.01	    181.64	     52.61	0.75	 6.871e-04	      1.03	0	Gaussian	293.191072	43.432912
19	1	  0.002912	  0.019876	     -1.00	    647.95	    580.94	      6.27	      2.71	    109.77	     47.47	-4.33	 3.843e-04	      1.04	0	Gaussian	296.568757	45.737037
20	1	  0.002986	  0.015652	     -1.00	    142.91	    611.21	      7.32	      2.71	    128.16	     47.52	-6.29	 6.787e-04	      1.13	0	Gaussian	293.285866	46.039802
21	1	  0.002983	  0.009014	     -1.00	    225.46	    700.03	      9.99	      3.35	    174.84	     58.61	-4.75	 4.365e-04	      1.17	0	Gaussian	293.862039	46.430021
