# 1070 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.004237	  0.770857	     -1.00	    611.09	    447.46	      5.68	      3.44	     99.42	     60.20	5.14	 7.478e-03	     -3.08	1	Gaussian	296.244364	45.130966
2	1	  0.002925	  0.190724	     -1.00	    444.90	    519.14	      5.80	      2.73	    101.53	     47.76	3.59	 2.763e-03	     -1.34	0	Gaussian	295.208937	45.525290
3	1	  0.002782	  0.157270	     -1.00	    295.93	    329.17	      6.30	      2.72	    110.35	     47.64	5.92	 3.299e-03	     -1.21	0	Gaussian	294.155212	44.693538
4	1	  0.002781	  0.061937	     -1.00	    389.16	    608.51	      6.10	      2.70	    106.69	     47.17	1.25	 1.250e-03	     -0.16	0	Gaussian	294.894026	45.957052
5	1	  0.002650	  0.048694	     -1.00	    232.65	    163.42	      6.15	      2.75	    107.63	     48.12	7.76	 1.070e-03	      0.08	0	Gaussian	293.682765	43.945184
6	1	  0.002706	  0.040212	     -1.00	    307.61	    116.43	      6.31	      2.73	    110.51	     47.78	7.87	 8.940e-04	      0.26	0	Gaussian	294.133107	43.705548
7	1	  0.002653	  0.039496	     -1.00	     28.09	    630.32	      6.20	      2.71	    108.60	     47.45	2.88	 1.098e-03	      0.31	0	Gaussian	292.553692	46.146532
8	1	  0.002649	  0.027559	     -1.00	     56.88	    671.48	      6.58	      2.73	    115.16	     47.72	1.93	 7.730e-04	      0.63	0	Gaussian	292.755056	46.330730
9	1	  0.002645	  0.029051	     -1.00	    405.22	    280.89	      5.98	      2.74	    104.66	     47.96	6.70	 6.031e-04	      0.67	0	Gaussian	294.828228	44.435459
10	1	  0.002660	  0.031426	     -1.00	    693.69	    286.40	      5.41	      2.74	     94.76	     48.04	5.47	 4.096e-04	      0.69	0	Gaussian	296.673176	44.348302
11	1	  0.002826	  0.032818	     -1.00	    616.04	    740.18	      5.34	      2.66	     93.41	     46.60	-0.22	 6.607e-04	      0.69	0	Gaussian	296.465235	46.485144
12	1	  0.002690	  0.033138	     -1.00	    782.86	    301.62	      5.14	      2.70	     89.88	     47.22	4.54	 3.800e-04	      0.71	0	Gaussian	297.254907	44.377950
13	1	  0.002663	  0.023551	     -1.00	    197.79	    707.54	      6.39	      2.75	    111.78	     48.15	1.44	 5.973e-04	      0.82	0	Gaussian	293.689621	46.467088
14	1	  0.002687	  0.025663	     -1.00	    450.63	    360.59	      5.85	      2.68	    102.43	     46.93	5.28	 4.722e-04	      0.85	0	Gaussian	295.159930	44.789030
15	1	  0.002635	  0.022940	     -1.00	    273.70	    566.52	      6.32	      2.75	    110.69	     48.06	3.07	 5.204e-04	      0.86	0	Gaussian	294.121371	45.797009
16	1	  0.002664	  0.025783	     -1.00	    605.91	    403.41	      5.34	      2.68	     93.47	     46.92	5.46	 3.446e-04	      0.95	0	Gaussian	296.183484	44.928718
