# 1181 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002727	  0.160450	     -1.00	    662.77	    499.91	      2.53	      2.39	     44.29	     41.86	8.95	 4.731e-04	     -0.10	1	Gaussian	310.012308	43.457926
2	1	  0.003309	  0.124291	     -1.00	     45.37	    251.23	      2.79	      2.43	     48.76	     42.47	17.54	 2.788e-03	      0.05	0	Gaussian	305.734234	42.983802
3	1	  0.002691	  0.102559	     -1.00	    409.64	    378.09	      2.51	      2.48	     43.86	     43.45	-1.43	 4.821e-04	      0.35	0	Gaussian	308.219073	43.191178
4	1	  0.002718	  0.100216	     -1.00	    515.55	     95.79	      2.55	      2.40	     44.70	     42.01	31.99	 4.783e-04	      0.39	0	Gaussian	308.453151	41.772224
5	1	  0.002877	  0.105644	     -1.00	    550.57	    661.40	      2.45	      2.30	     42.93	     40.29	9.08	 8.066e-04	      0.43	0	Gaussian	309.565803	44.331957
6	1	  0.002777	  0.093830	     -1.00	    340.02	    792.47	      2.58	      2.35	     45.22	     41.20	2.99	 4.019e-04	      0.47	0	Gaussian	308.416276	45.174735
7	1	  0.002727	  0.089576	     -1.00	    566.46	    133.98	      2.55	      2.40	     44.68	     41.96	24.97	 3.777e-04	      0.52	0	Gaussian	308.825758	41.890320
8	1	  0.002655	  0.079125	     -1.00	    708.80	    247.87	      2.52	      2.40	     44.11	     41.94	6.34	 3.160e-04	      0.67	0	Gaussian	309.886616	42.246813
9	1	  0.002737	  0.073121	     -1.00	    157.00	    193.33	      2.71	      2.40	     47.47	     42.04	15.95	 4.297e-04	      0.67	0	Gaussian	306.359666	42.605216
10	1	  0.002631	  0.065871	     -1.00	    618.40	    355.10	      2.53	      2.41	     44.30	     42.27	22.45	 2.079e-04	      0.85	0	Gaussian	309.496552	42.846593
11	1	  0.003080	  0.059124	     -1.00	    188.59	     50.15	      2.72	      2.40	     47.62	     42.04	21.61	 1.157e-03	      0.90	0	Gaussian	306.361778	41.910563
12	1	  0.002642	  0.058878	     -1.00	    269.92	    588.81	      2.64	      2.44	     46.13	     42.71	5.73	 2.071e-04	      0.92	0	Gaussian	307.646912	44.314551
13	1	  0.002633	  0.061483	     -1.00	    472.67	    113.53	      2.55	      2.37	     44.62	     41.50	17.88	 3.211e-04	      0.94	0	Gaussian	308.214554	41.901904
14	1	  0.002650	  0.056529	     -1.00	    588.37	    378.81	      2.53	      2.39	     44.23	     41.86	12.81	 2.496e-04	      1.03	0	Gaussian	309.346229	42.990757
15	1	  0.002628	  0.052585	     -1.00	    266.16	     94.34	      2.67	      2.38	     46.67	     41.74	18.54	 2.203e-04	      1.05	0	Gaussian	306.905013	42.035474
16	1	  0.002609	  0.051108	     -1.00	    436.18	    649.07	      2.59	      2.43	     45.32	     42.60	8.89	 1.355e-04	      1.09	0	Gaussian	308.810927	44.408003
17	1	  0.002751	  0.055534	     -1.00	    453.34	    425.36	      2.49	      2.32	     43.54	     40.58	12.18	 3.814e-04	      1.10	0	Gaussian	308.568192	43.359992
18	1	  0.002747	  0.053398	     -1.00	    500.38	     27.40	      2.54	      2.34	     44.52	     41.01	22.50	 3.668e-04	      1.11	0	Gaussian	308.257347	41.474089
19	1	  0.002619	  0.044137	     -1.00	    561.53	     95.21	      2.53	      2.53	     44.36	     44.36	-46.78	 2.566e-04	      1.23	0	Gaussian	308.736036	41.717507
20	1	  0.002696	  0.040239	     -1.00	     13.37	    615.48	      2.78	      2.39	     48.59	     41.86	1.61	 2.922e-04	      1.30	0	Gaussian	306.025198	44.700822
21	1	  0.002673	  0.038190	     -1.00	    200.60	    320.11	      2.70	      2.44	     47.21	     42.76	13.70	 1.895e-04	      1.36	0	Gaussian	306.811371	43.147182
22	1	  0.002607	  0.043212	     -1.00	    783.83	    328.47	      2.49	      2.34	     43.66	     40.91	15.59	 1.866e-04	      1.36	0	Gaussian	310.484841	42.524912
23	1	  0.002612	  0.039729	     -1.00	    308.68	    413.13	      2.59	      2.43	     45.41	     42.48	41.72	 2.017e-04	      1.37	0	Gaussian	307.632017	43.462979
24	1	  0.002651	  0.037804	     -1.00	    217.68	    304.22	      2.66	      2.45	     46.59	     42.85	21.64	 1.562e-04	      1.39	0	Gaussian	306.896938	43.056102
25	1	  0.002616	  0.038648	     -1.00	    317.95	    744.34	      2.60	      2.42	     45.49	     42.30	4.36	 1.489e-04	      1.40	0	Gaussian	308.196714	44.978097
26	1	  0.002704	  0.037052	     -1.00	    230.87	    408.22	      2.69	      2.43	     47.02	     42.61	10.94	 2.612e-04	      1.40	0	Gaussian	307.129854	43.522857
27	1	  0.002683	  0.037264	     -1.00	    301.40	     96.77	      2.62	      2.38	     45.89	     41.58	28.24	 3.265e-04	      1.45	0	Gaussian	307.127544	42.009840
28	1	  0.002747	  0.035887	     -1.00	    670.33	    200.14	      2.59	      2.41	     45.38	     42.18	29.86	 5.390e-04	      1.48	0	Gaussian	309.571680	42.073598
29	1	  0.002724	  0.030636	     -1.00	    267.59	    774.15	      2.66	      2.52	     46.47	     44.12	0.49	 3.987e-04	      1.58	0	Gaussian	307.914925	45.170159
30	1	  0.002604	  0.029414	     -1.00	    169.41	    104.08	      2.79	      2.49	     48.80	     43.51	18.50	 9.986e-05	      1.59	0	Gaussian	306.315567	42.179590
31	1	  0.002612	  0.031988	     -1.00	    673.04	     52.79	      2.53	      2.42	     44.21	     42.37	66.18	 1.851e-04	      1.63	0	Gaussian	309.355852	41.393454
32	1	  0.002603	  0.030672	     -1.00	    360.71	    785.12	      2.58	      2.44	     45.19	     42.69	24.42	 1.347e-04	      1.65	0	Gaussian	308.539460	45.117881
33	1	  0.002612	  0.031724	     -1.00	    724.87	    513.14	      2.47	      2.45	     43.30	     42.94	5.36	 1.199e-04	      1.65	0	Gaussian	310.426274	43.442824
34	1	  0.002684	  0.029172	     -1.00	    532.55	    148.66	      2.53	      2.36	     44.36	     41.31	25.59	 3.684e-04	      1.76	0	Gaussian	308.638415	41.996536
35	1	  0.002666	  0.026903	     -1.00	    167.20	    731.09	      2.64	      2.44	     46.24	     42.74	-3.63	 1.874e-04	      1.76	0	Gaussian	307.194064	45.078793
36	1	  0.002713	  0.026977	     -1.00	    215.02	    273.31	      2.65	      2.41	     46.45	     42.16	0.39	 2.314e-04	      1.77	0	Gaussian	306.836285	42.915980
37	1	  0.002676	  0.020221	     -1.00	    536.71	    765.29	      3.51	      2.38	     61.47	     41.64	11.71	 5.981e-04	      1.79	0	Gaussian	309.649158	44.824168
38	1	  0.002800	  0.025297	     -1.00	    323.88	    168.23	      2.63	      2.41	     46.03	     42.26	20.10	 8.649e-04	      1.85	0	Gaussian	307.369628	42.316212
39	1	  0.002581	  0.023800	     -1.00	    468.86	    766.78	      2.54	      2.43	     44.52	     42.54	10.69	 1.296e-04	      1.94	0	Gaussian	309.212494	44.910497
40	1	  0.002600	  0.024298	     -1.00	    587.91	    295.42	      2.56	      2.37	     44.79	     41.42	16.23	 9.746e-05	      1.94	0	Gaussian	309.210689	42.608109
41	1	  0.002929	  0.022589	     -1.00	     57.28	    779.36	      2.69	      2.35	     47.07	     41.14	0.39	 1.169e-03	      1.98	0	Gaussian	306.544988	45.413764
42	1	  0.002616	  0.022364	     -1.00	    235.66	    618.21	      2.63	      2.42	     46.07	     42.35	8.77	 1.061e-04	      1.98	0	Gaussian	307.470013	44.486603
43	1	  0.002625	  0.021206	     -1.00	    152.95	    511.08	      2.57	      2.56	     45.02	     44.80	-9.80	 1.392e-04	      2.00	0	Gaussian	306.779777	44.078630
44	1	  0.002629	  0.019846	     -1.00	     29.63	     86.40	      2.88	      2.44	     50.35	     42.74	15.76	 1.476e-04	      2.00	0	Gaussian	305.418946	42.235007
45	1	  0.002615	  0.021051	     -1.00	    131.96	    223.91	      2.59	      2.54	     45.39	     44.49	23.59	 1.665e-04	      2.00	0	Gaussian	306.243975	42.771878
46	1	  0.002622	  0.021837	     -1.00	    599.99	    770.09	      2.50	      2.49	     43.69	     43.66	-56.43	 1.226e-04	      2.03	0	Gaussian	310.065742	44.770463
47	1	  0.002647	  0.021065	     -1.00	    700.12	    592.42	      2.55	      2.41	     44.59	     42.22	15.65	 3.472e-04	      2.08	0	Gaussian	310.404175	43.835942
48	1	  0.002644	  0.019266	     -1.00	    374.05	     31.82	      2.69	      2.44	     47.16	     42.72	21.24	 2.131e-04	      2.11	0	Gaussian	307.485204	41.632623
49	1	  0.002583	  0.019623	     -1.00	    654.25	    694.02	      2.51	      2.51	     44.02	     44.02	89.36	 7.808e-05	      2.13	0	Gaussian	310.284857	44.356755
50	1	  0.002671	  0.010844	     -1.00	    514.73	    330.10	      4.68	      2.44	     81.85	     42.76	-16.71	 4.538e-04	      2.13	0	Gaussian	308.806956	42.851978
51	1	  0.002654	  0.017932	     -1.00	    172.67	    214.24	      2.76	      2.45	     48.39	     42.82	16.58	 1.253e-04	      2.16	0	Gaussian	306.486946	42.686096
52	1	  0.002587	  0.017795	     -1.00	    607.95	    561.35	      2.68	      2.42	     46.96	     42.27	19.65	 8.172e-05	      2.21	0	Gaussian	309.766851	43.805253
