# 1094 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002967	  0.639583	     -1.00	    415.00	    607.43	      2.71	      2.48	     47.35	     43.35	30.26	 2.613e-03	     -1.72	1	Gaussian	314.292725	41.167131
2	1	  0.002438	  0.339302	     -1.00	    753.84	     29.28	      2.48	      2.38	     43.45	     41.70	10.83	 8.057e-04	     -0.89	0	Gaussian	312.520761	44.059748
3	1	  0.002245	  0.121855	     -1.00	    381.59	    439.06	      2.55	      2.40	     44.64	     42.02	34.71	 3.510e-04	      0.18	0	Gaussian	314.628285	41.939751
4	1	  0.002392	  0.096822	     -1.00	    163.40	    477.62	      2.54	      2.41	     44.52	     42.11	53.62	 1.117e-03	      0.43	0	Gaussian	315.966623	41.627497
5	1	  0.002216	  0.093403	     -1.00	    356.64	    354.15	      2.50	      2.37	     43.70	     41.43	31.43	 3.845e-04	      0.51	0	Gaussian	314.851926	42.324261
6	1	  0.002190	  0.079573	     -1.00	    590.44	    362.77	      2.40	      2.40	     42.03	     41.99	-20.18	 3.526e-04	      0.71	0	Gaussian	313.359039	42.410021
7	1	  0.002257	  0.074766	     -1.00	    282.01	    784.73	      2.47	      2.47	     43.22	     43.20	-41.06	 5.189e-04	      0.72	0	Gaussian	314.981997	40.260258
8	1	  0.002198	  0.077620	     -1.00	    515.26	    717.34	      2.50	      2.34	     43.70	     40.97	31.61	 4.392e-04	      0.72	0	Gaussian	313.591883	40.702986
9	1	  0.002175	  0.067916	     -1.00	    487.67	    275.32	      2.45	      2.39	     42.84	     41.79	21.75	 3.633e-04	      0.87	0	Gaussian	314.077218	42.768233
10	1	  0.002141	  0.064371	     -1.00	    508.01	    138.25	      2.51	      2.42	     43.95	     42.34	27.71	 1.597e-04	      0.88	0	Gaussian	314.047414	43.423919
11	1	  0.002192	  0.066598	     -1.00	    535.36	    153.52	      2.39	      2.34	     41.89	     41.01	19.90	 3.921e-04	      0.93	0	Gaussian	313.859330	43.366766
12	1	  0.002174	  0.056085	     -1.00	    520.73	    333.27	      2.47	      2.40	     43.24	     41.95	40.73	 2.590e-04	      1.06	0	Gaussian	313.824035	42.513204
13	1	  0.002163	  0.047931	     -1.00	    318.65	    640.03	      2.48	      2.48	     43.49	     43.49	-48.43	 2.326e-04	      1.18	0	Gaussian	314.867509	40.960109
14	1	  0.002152	  0.049892	     -1.00	    511.34	     37.37	      2.44	      2.35	     42.63	     41.11	18.27	 2.862e-04	      1.23	0	Gaussian	314.100915	43.900068
15	1	  0.002199	  0.044449	     -1.00	    231.32	    702.13	      2.55	      2.38	     44.65	     41.63	41.59	 2.607e-04	      1.29	0	Gaussian	315.358690	40.617626
16	1	  0.002236	  0.044495	     -1.00	    697.65	    379.66	      2.46	      2.35	     43.01	     41.17	26.10	 4.011e-04	      1.34	0	Gaussian	312.664275	42.381847
17	1	  0.002178	  0.044027	     -1.00	    369.16	    561.47	      2.47	      2.34	     43.21	     40.94	26.14	 2.177e-04	      1.35	0	Gaussian	314.613037	41.357653
18	1	  0.002141	  0.042415	     -1.00	    768.56	    265.01	      2.45	      2.45	     42.88	     42.87	6.11	 1.235e-04	      1.35	0	Gaussian	312.279881	42.954639
19	1	  0.002382	  0.042063	     -1.00	    471.64	    246.08	      2.43	      2.40	     42.59	     42.07	-24.12	 8.895e-04	      1.39	0	Gaussian	314.201495	42.897059
20	1	  0.002189	  0.041405	     -1.00	    418.34	    496.67	      2.46	      2.36	     43.03	     41.23	30.79	 2.355e-04	      1.42	0	Gaussian	314.353419	41.689527
21	1	  0.002122	  0.037838	     -1.00	    434.51	    337.90	      2.44	      2.43	     42.68	     42.45	89.89	 1.389e-04	      1.49	0	Gaussian	314.369841	42.444837
22	1	  0.002148	  0.035528	     -1.00	    761.21	    516.91	      2.50	      2.41	     43.69	     42.18	25.30	 1.145e-04	      1.54	0	Gaussian	312.177735	41.762816
23	1	  0.002155	  0.033129	     -1.00	    551.19	    647.51	      2.50	      2.34	     43.82	     40.89	18.53	 1.623e-04	      1.65	0	Gaussian	313.415281	41.049588
24	1	  0.002131	  0.032351	     -1.00	    514.18	    531.18	      2.50	      2.38	     43.71	     41.59	37.53	 1.429e-04	      1.66	0	Gaussian	313.726201	41.578374
25	1	  0.002127	  0.030162	     -1.00	    323.61	     52.26	      2.47	      2.42	     43.26	     42.27	43.63	 1.337e-04	      1.73	0	Gaussian	315.308908	43.721377
26	1	  0.002148	  0.027775	     -1.00	    362.61	    791.76	      2.55	      2.41	     44.67	     42.19	38.25	 1.367e-04	      1.78	0	Gaussian	314.481773	40.272686
27	1	  0.002142	  0.027449	     -1.00	    349.51	    224.02	      2.50	      2.42	     43.80	     42.32	61.66	 9.347e-05	      1.81	0	Gaussian	315.000960	42.931084
28	1	  0.002185	  0.028319	     -1.00	    551.50	     65.46	      2.43	      2.34	     42.50	     41.01	15.97	 2.874e-04	      1.85	0	Gaussian	313.818539	43.789561
29	1	  0.002129	  0.028291	     -1.00	    727.55	    693.44	      2.43	      2.33	     42.49	     40.74	28.65	 1.778e-04	      1.86	0	Gaussian	312.286278	40.915558
30	1	  0.002121	  0.026042	     -1.00	    614.79	    456.69	      2.49	      2.36	     43.51	     41.32	30.94	 1.156e-04	      1.91	0	Gaussian	313.141769	41.979544
31	1	  0.002141	  0.022784	     -1.00	    203.63	    764.03	      2.60	      2.44	     45.57	     42.69	40.93	 1.236e-04	      1.96	0	Gaussian	315.479076	40.311006
32	1	  0.002169	  0.023511	     -1.00	     56.63	      8.80	      2.54	      2.37	     44.44	     41.50	35.91	 1.271e-04	      1.99	0	Gaussian	317.072443	43.747853
33	1	  0.002112	  0.024451	     -1.00	    215.67	     65.39	      2.45	      2.36	     42.96	     41.26	23.64	 1.448e-04	      1.99	0	Gaussian	315.995096	43.591651
34	1	  0.002180	  0.022575	     -1.00	    675.75	     85.73	      2.49	      2.42	     43.54	     42.34	3.71	 2.211e-04	      2.03	0	Gaussian	312.994878	43.757064
35	1	  0.002122	  0.022155	     -1.00	    349.61	    699.47	      2.46	      2.35	     43.08	     41.13	51.13	 1.425e-04	      2.10	0	Gaussian	314.630504	40.698659
36	1	  0.002119	  0.019936	     -1.00	    147.10	    770.72	      2.57	      2.50	     44.91	     43.76	28.83	 9.931e-05	      2.10	0	Gaussian	315.819793	40.245143
37	1	  0.002153	  0.022089	     -1.00	    370.48	    198.35	      2.43	      2.33	     42.55	     40.73	33.63	 1.246e-04	      2.12	0	Gaussian	314.887174	43.063965
38	1	  0.002146	  0.019678	     -1.00	    786.90	    193.83	      2.51	      2.43	     44.01	     42.52	37.13	 1.223e-04	      2.16	0	Gaussian	312.204079	43.298520
39	1	  0.002128	  0.018557	     -1.00	    772.17	    527.83	      2.46	      2.41	     43.14	     42.21	18.02	 9.451e-05	      2.25	0	Gaussian	312.102077	41.716025
40	1	  0.002172	  0.019011	     -1.00	    777.38	    413.32	      2.43	      2.36	     42.52	     41.24	27.50	 2.143e-04	      2.27	0	Gaussian	312.135492	42.258623
41	1	  0.002127	  0.016210	     -1.00	    112.13	    603.01	      2.58	      2.48	     45.14	     43.42	64.11	 9.889e-05	      2.32	0	Gaussian	316.177059	41.007708
42	1	  0.002114	  0.016516	     -1.00	    381.81	    151.23	      2.49	      2.45	     43.65	     42.89	12.36	 7.112e-05	      2.35	0	Gaussian	314.851942	43.291839
43	1	  0.002146	  0.016178	     -1.00	    348.09	     89.59	      2.62	      2.39	     45.94	     41.82	29.78	 1.104e-04	      2.35	0	Gaussian	315.119482	43.561146
44	1	  0.002114	  0.015341	     -1.00	    158.94	    303.05	      2.57	      2.49	     44.93	     43.60	39.70	 8.470e-05	      2.39	0	Gaussian	316.146755	42.442035
45	1	  0.002108	  0.016182	     -1.00	    629.30	    218.71	      2.45	      2.43	     42.90	     42.54	17.37	 7.536e-05	      2.40	0	Gaussian	313.207167	43.107940
46	1	  0.002109	  0.015244	     -1.00	    116.09	     10.54	      2.57	      2.40	     44.90	     42.03	26.03	 9.065e-05	      2.43	0	Gaussian	316.687560	43.781424
47	1	  0.002115	  0.014624	     -1.00	    531.60	    676.99	      2.50	      2.49	     43.83	     43.53	30.30	 7.136e-05	      2.47	0	Gaussian	313.517602	40.901068
48	1	  0.002093	  0.014134	     -1.00	    726.96	    645.16	      2.50	      2.48	     43.80	     43.47	34.74	 6.269e-05	      2.50	0	Gaussian	312.318240	41.142951
49	1	  0.002114	  0.014002	     -1.00	    262.02	    766.78	      2.53	      2.46	     44.23	     42.99	72.08	 1.175e-04	      2.51	0	Gaussian	315.118614	40.332799
50	1	  0.002101	  0.014540	     -1.00	    616.24	    323.57	      2.46	      2.37	     43.13	     41.44	12.16	 7.215e-05	      2.54	0	Gaussian	313.220678	42.607453
51	1	  0.002222	  0.013953	     -1.00	      5.83	    735.41	      2.56	      2.37	     44.83	     41.42	20.19	 2.458e-04	      2.55	0	Gaussian	316.713522	40.319201
52	1	  0.002123	  0.014282	     -1.00	    374.25	    659.28	      2.53	      2.33	     44.25	     40.72	24.18	 8.926e-05	      2.56	0	Gaussian	314.507884	40.901130
53	1	  0.002163	  0.013506	     -1.00	    152.75	    292.06	      2.49	      2.48	     43.52	     43.38	-60.32	 4.003e-04	      2.56	0	Gaussian	316.195634	42.489432
54	1	  0.002128	  0.013541	     -1.00	    334.49	    738.85	      2.47	      2.44	     43.18	     42.69	30.60	 8.107e-05	      2.58	0	Gaussian	314.694226	40.505339
55	1	  0.002119	  0.012591	     -1.00	    365.93	    498.96	      2.54	      2.48	     44.44	     43.37	32.47	 5.167e-05	      2.61	0	Gaussian	314.680896	41.649482
56	1	  0.002162	  0.013043	     -1.00	    492.94	    199.18	      2.47	      2.47	     43.18	     43.15	-75.13	 1.929e-04	      2.61	0	Gaussian	314.099553	43.129206
57	1	  0.002128	  0.013208	     -1.00	    676.71	    324.75	      2.50	      2.39	     43.78	     41.84	23.77	 6.723e-05	      2.62	0	Gaussian	312.832915	42.631036
58	1	  0.002093	  0.012856	     -1.00	    201.17	    555.65	      2.54	      2.40	     44.41	     42.08	19.04	 6.282e-05	      2.62	0	Gaussian	315.665132	41.285680
59	1	  0.002101	  0.013344	     -1.00	    632.69	    352.36	      2.45	      2.38	     42.86	     41.68	16.02	 7.993e-05	      2.64	0	Gaussian	313.096443	42.479857
60	1	  0.002162	  0.012655	     -1.00	     52.32	    601.34	      2.55	      2.35	     44.64	     41.18	29.81	 2.564e-04	      2.66	0	Gaussian	316.547947	40.976436
61	1	  0.002122	  0.012494	     -1.00	    321.15	     92.30	      2.52	      2.40	     44.09	     42.02	33.43	 6.356e-05	      2.67	0	Gaussian	315.291318	43.532093
62	1	  0.002143	  0.012100	     -1.00	    748.56	    330.01	      2.45	      2.45	     42.94	     42.93	-81.44	 1.381e-04	      2.71	0	Gaussian	312.369198	42.639114
63	1	  0.002122	  0.011849	     -1.00	    535.44	    114.91	      2.48	      2.48	     43.46	     43.44	17.60	 3.089e-04	      2.71	0	Gaussian	313.886903	43.548424
64	1	  0.002120	  0.011703	     -1.00	    776.36	     31.16	      2.52	      2.46	     44.03	     43.07	52.05	 7.081e-05	      2.72	0	Gaussian	312.371819	44.061069
65	1	  0.002113	  0.011804	     -1.00	    793.70	    171.94	      2.51	      2.41	     43.94	     42.14	-34.29	 6.900e-05	      2.72	0	Gaussian	312.173029	43.404793
66	1	  0.002104	  0.011824	     -1.00	    588.66	    300.72	      2.51	      2.39	     43.87	     41.88	30.50	 6.575e-05	      2.74	0	Gaussian	313.412657	42.701375
67	1	  0.002161	  0.012146	     -1.00	    420.80	    586.33	      2.46	      2.36	     43.12	     41.27	21.40	 1.071e-04	      2.74	0	Gaussian	314.271924	41.269440
68	1	  0.002105	  0.011164	     -1.00	    263.48	    691.70	      2.53	      2.39	     44.34	     41.89	52.83	 6.828e-05	      2.79	0	Gaussian	315.168639	40.685613
69	1	  0.002102	  0.010745	     -1.00	    135.61	     10.13	      2.56	      2.46	     44.74	     43.07	72.77	 6.163e-05	      2.79	0	Gaussian	316.562024	43.796735
70	1	  0.002131	  0.009478	     -1.00	    296.12	    491.16	      2.64	      2.62	     46.29	     45.91	-48.73	 1.855e-04	      2.81	0	Gaussian	315.124862	41.645562
71	1	  0.002157	  0.011627	     -1.00	    543.54	    588.52	      2.45	      2.31	     42.87	     40.51	27.21	 1.963e-04	      2.82	0	Gaussian	313.502700	41.323439
72	1	  0.002143	  0.010253	     -1.00	    527.88	    717.91	      2.56	      2.49	     44.76	     43.56	23.42	 9.612e-05	      2.82	0	Gaussian	313.513232	40.706657
