# 1047 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.004681	  1.027112	     -1.00	    190.57	    510.18	      3.50	      3.35	     61.20	     58.70	54.87	 1.139e-02	     -2.84	1	Gaussian	296.243581	45.130985
2	1	  0.003084	  0.326751	     -1.00	    339.83	    408.35	      2.70	      2.62	     47.30	     45.79	-3.35	 3.072e-03	     -1.04	0	Gaussian	295.208223	45.525416
3	1	  0.003010	  0.290531	     -1.00	    522.67	    566.29	      2.63	      2.63	     46.06	     46.06	-37.62	 2.818e-03	     -0.89	0	Gaussian	294.155695	44.693773
4	1	  0.002717	  0.107275	     -1.00	    377.40	    310.17	      2.62	      2.61	     45.94	     45.64	0.30	 1.427e-03	      0.20	0	Gaussian	294.892115	45.957200
5	1	  0.002374	  0.083630	     -1.00	    617.12	    716.75	      2.77	      2.63	     48.52	     46.08	-2.78	 9.654e-04	      0.40	0	Gaussian	293.681953	43.945573
6	1	  0.002341	  0.072749	     -1.00	    552.41	    777.16	      2.69	      2.69	     47.02	     47.01	-4.11	 7.068e-04	      0.56	0	Gaussian	294.133601	43.705757
7	1	  0.002360	  0.069794	     -1.00	    727.21	    220.25	      2.67	      2.63	     46.75	     46.04	18.44	 7.284e-04	      0.64	0	Gaussian	292.552905	46.147374
8	1	  0.002372	  0.065116	     -1.00	    711.16	     47.44	      2.70	      2.66	     47.35	     46.49	0.27	 8.294e-04	      0.69	0	Gaussian	292.494714	46.945937
9	1	  0.002292	  0.052765	     -1.00	    129.36	    224.23	      2.67	      2.60	     46.66	     45.44	4.81	 5.239e-04	      0.96	0	Gaussian	296.462753	46.485147
10	1	  0.002271	  0.051506	     -1.00	    424.77	    634.40	      2.72	      2.61	     47.55	     45.61	1.14	 5.645e-04	      0.96	0	Gaussian	294.828327	44.435615
11	1	  0.002306	  0.050835	     -1.00	    691.06	    185.43	      2.70	      2.63	     47.18	     46.04	-6.35	 5.876e-04	      0.97	0	Gaussian	292.753679	46.331355
12	1	  0.002263	  0.048374	     -1.00	    140.65	    683.84	      2.79	      2.65	     48.87	     46.30	-0.56	 4.532e-04	      0.98	0	Gaussian	296.671938	44.348243
13	1	  0.002271	  0.048280	     -1.00	     50.30	    685.84	      2.77	      2.67	     48.49	     46.78	-9.39	 4.426e-04	      0.98	0	Gaussian	297.252577	44.377896
14	1	  0.002264	  0.042377	     -1.00	    364.82	    564.86	      2.72	      2.71	     47.55	     47.36	-17.54	 4.577e-04	      1.13	0	Gaussian	295.159675	44.789222
15	1	  0.002291	  0.040229	     -1.00	    545.83	    176.87	      2.77	      2.70	     48.47	     47.31	-29.73	 4.122e-04	      1.17	0	Gaussian	293.688367	46.467447
16	1	  0.002263	  0.042039	     -1.00	    227.61	     56.62	      2.63	      2.61	     46.01	     45.77	8.89	 4.429e-04	      1.21	0	Gaussian	295.696194	47.208569
17	1	  0.002252	  0.041908	     -1.00	    498.60	    329.43	      2.67	      2.59	     46.81	     45.25	-11.74	 4.707e-04	      1.21	0	Gaussian	294.120990	45.797266
18	1	  0.002272	  0.041376	     -1.00	    204.33	    552.40	      2.65	      2.53	     46.43	     44.21	1.84	 4.303e-04	      1.26	0	Gaussian	296.181635	44.928650
19	1	  0.002281	  0.037318	     -1.00	    169.12	    548.54	      2.73	      2.56	     47.73	     44.80	0.35	 4.804e-04	      1.32	0	Gaussian	296.406395	44.963320
20	1	  0.002218	  0.034830	     -1.00	    274.10	     25.16	      2.70	      2.65	     47.22	     46.42	19.22	 3.295e-04	      1.38	0	Gaussian	295.362656	47.327739
21	1	  0.002192	  0.031874	     -1.00	    619.10	    260.04	      2.80	      2.74	     49.04	     47.94	-10.52	 3.489e-04	      1.39	0	Gaussian	293.284888	46.039059
22	1	  0.002206	  0.033398	     -1.00	    128.35	    386.11	      2.70	      2.66	     47.24	     46.62	12.69	 2.843e-04	      1.41	0	Gaussian	296.570837	45.735818
23	1	  0.002165	  0.030018	     -1.00	    150.96	    636.26	      2.74	      2.63	     47.96	     46.00	7.40	 2.726e-04	      1.53	0	Gaussian	296.577265	44.564609
24	1	  0.002294	  0.029522	     -1.00	    205.34	     51.47	      2.76	      2.63	     48.23	     46.07	-40.67	 5.177e-04	      1.54	0	Gaussian	295.841620	47.244279
25	1	  0.002194	  0.028783	     -1.00	    321.64	    224.24	      2.67	      2.66	     46.79	     46.63	-12.27	 3.205e-04	      1.58	0	Gaussian	295.193210	46.384521
26	1	  0.002186	  0.026733	     -1.00	    782.95	    531.32	      2.76	      2.66	     48.23	     46.58	-12.83	 3.132e-04	      1.63	0	Gaussian	292.485245	44.689078
27	1	  0.002215	  0.027186	     -1.00	    774.77	     19.60	      2.66	      2.62	     46.49	     45.82	18.19	 3.044e-04	      1.67	0	Gaussian	292.053784	47.026131
