# 1179 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002488	  0.153835	     -1.00	    637.07	     44.40	      2.71	      2.47	     47.40	     43.17	-0.38	 1.192e-03	     -0.17	0	Gaussian	299.833222	45.771998
2	1	  0.002324	  0.163951	     -1.00	     16.45	    107.34	      2.57	      2.38	     44.96	     41.70	-2.70	 9.937e-04	     -0.14	0	Gaussian	304.001080	45.578535
3	1	  0.002262	  0.116058	     -1.00	    107.35	    572.55	      2.61	      2.39	     45.70	     41.86	3.57	 7.857e-04	      0.21	0	Gaussian	303.427011	43.378772
4	1	  0.002327	  0.088691	     -1.00	    733.60	    788.07	      2.79	      2.62	     48.87	     45.95	8.33	 6.419e-04	      0.33	0	Gaussian	299.482406	42.260538
5	1	  0.002178	  0.052453	     -1.00	    333.62	    778.63	      2.72	      2.47	     47.52	     43.16	7.50	 3.117e-04	      1.00	0	Gaussian	302.003694	42.384874
6	1	  0.002160	  0.055145	     -1.00	     43.13	     72.70	      2.65	      2.39	     46.45	     41.92	-2.04	 2.883e-04	      1.00	0	Gaussian	303.820157	45.740499
7	1	  0.002179	  0.050233	     -1.00	    563.51	    401.19	      2.71	      2.50	     47.50	     43.72	4.04	 2.966e-04	      1.03	0	Gaussian	300.436503	44.118628
8	1	  0.002267	  0.049481	     -1.00	     41.50	    441.64	      2.61	      2.38	     45.76	     41.61	0.99	 4.363e-04	      1.15	0	Gaussian	303.847748	44.000214
9	1	  0.002185	  0.041737	     -1.00	     39.33	    412.44	      2.64	      2.41	     46.23	     42.25	-7.94	 3.310e-04	      1.31	0	Gaussian	303.860728	44.138196
10	1	  0.002189	  0.036764	     -1.00	    239.67	    449.88	      2.70	      2.50	     47.34	     43.77	7.66	 2.975e-04	      1.37	0	Gaussian	302.554266	43.946028
11	1	  0.002154	  0.034959	     -1.00	    595.12	    628.55	      2.81	      2.51	     49.14	     43.87	4.74	 2.681e-04	      1.39	0	Gaussian	300.303645	43.043550
12	1	  0.002158	  0.035084	     -1.00	    333.70	    190.82	      2.70	      2.51	     47.24	     43.99	-0.96	 1.911e-04	      1.42	0	Gaussian	301.891495	45.153006
13	1	  0.002161	  0.035391	     -1.00	    548.83	    112.55	      2.70	      2.47	     47.25	     43.18	1.11	 2.557e-04	      1.43	0	Gaussian	300.443103	45.476406
14	1	  0.002162	  0.031749	     -1.00	    226.81	    308.02	      2.70	      2.50	     47.32	     43.72	0.50	 1.910e-04	      1.54	0	Gaussian	302.618371	44.616107
15	1	  0.002192	  0.028556	     -1.00	    237.18	    222.79	      2.72	      2.46	     47.58	     43.11	-1.21	 2.233e-04	      1.66	0	Gaussian	302.537473	45.016303
16	1	  0.002136	  0.028331	     -1.00	    118.40	    480.87	      2.70	      2.51	     47.22	     43.91	3.10	 1.539e-04	      1.66	0	Gaussian	303.348077	43.810839
17	1	  0.002136	  0.024919	     -1.00	    750.66	    357.91	      2.80	      2.63	     49.03	     46.02	10.41	 1.853e-04	      1.70	0	Gaussian	299.207759	44.270969
18	1	  0.002147	  0.028062	     -1.00	    217.59	    630.41	      2.70	      2.44	     47.22	     42.66	4.06	 1.981e-04	      1.70	0	Gaussian	302.721777	43.096977
19	1	  0.002109	  0.025728	     -1.00	    299.95	    182.73	      2.68	      2.51	     46.95	     43.92	-10.73	 1.521e-04	      1.77	0	Gaussian	302.114095	45.196294
20	1	  0.002213	  0.023821	     -1.00	    709.62	    336.61	      2.83	      2.54	     49.56	     44.53	18.42	 2.813e-04	      1.78	0	Gaussian	299.465532	44.382954
21	1	  0.002140	  0.024178	     -1.00	    587.63	    589.78	      2.76	      2.55	     48.27	     44.68	7.98	 1.586e-04	      1.79	0	Gaussian	300.339410	43.227400
22	1	  0.002157	  0.023901	     -1.00	    581.73	    369.37	      2.73	      2.50	     47.75	     43.73	1.97	 1.788e-04	      1.83	0	Gaussian	300.308145	44.263665
23	1	  0.002376	  0.026834	     -1.00	     35.54	    788.50	      2.56	      2.36	     44.81	     41.26	7.83	 1.108e-03	      1.84	0	Gaussian	303.900428	42.361864
24	1	  0.002129	  0.025312	     -1.00	     61.82	    223.64	      2.62	      2.41	     45.85	     42.16	5.38	 1.387e-04	      1.85	0	Gaussian	303.702825	45.027995
25	1	  0.002112	  0.022806	     -1.00	     57.70	    676.00	      2.66	      2.61	     46.52	     45.66	-75.60	 1.978e-04	      1.86	0	Gaussian	303.753686	42.892623
26	1	  0.002129	  0.022783	     -1.00	    136.36	    687.36	      2.68	      2.43	     46.85	     42.46	5.10	 1.637e-04	      1.94	0	Gaussian	303.249574	42.834895
27	1	  0.002167	  0.020659	     -1.00	    328.40	    731.87	      2.77	      2.55	     48.45	     44.63	10.65	 2.081e-04	      1.95	0	Gaussian	302.028418	42.605898
28	1	  0.002126	  0.021289	     -1.00	    310.12	    108.77	      2.71	      2.49	     47.41	     43.62	0.66	 1.451e-04	      1.97	0	Gaussian	302.032630	45.542570
29	1	  0.002124	  0.020300	     -1.00	    390.82	    219.97	      2.77	      2.54	     48.49	     44.43	-0.47	 1.059e-04	      1.98	0	Gaussian	301.519299	45.006111
30	1	  0.002159	  0.022340	     -1.00	     75.67	    258.53	      2.65	      2.42	     46.31	     42.36	1.26	 1.513e-04	      1.98	0	Gaussian	303.612897	44.862656
31	1	  0.002116	  0.021019	     -1.00	    315.30	    176.32	      2.73	      2.46	     47.76	     43.05	-6.61	 1.371e-04	      2.00	0	Gaussian	302.010916	45.224089
32	1	  0.002108	  0.019721	     -1.00	    436.10	    258.69	      2.75	      2.53	     48.15	     44.28	8.53	 1.367e-04	      2.02	0	Gaussian	301.229749	44.815554
33	1	  0.002147	  0.019776	     -1.00	    263.33	    747.27	      2.80	      2.47	     49.09	     43.26	5.63	 2.073e-04	      2.03	0	Gaussian	302.445303	42.541128
34	1	  0.002138	  0.020318	     -1.00	    223.68	    125.51	      2.67	      2.43	     46.79	     42.62	-6.18	 1.666e-04	      2.07	0	Gaussian	302.613255	45.475903
35	1	  0.002146	  0.020392	     -1.00	    316.69	     11.55	      2.66	      2.42	     46.59	     42.44	-3.80	 2.406e-04	      2.07	0	Gaussian	301.969770	45.998339
36	1	  0.002133	  0.017475	     -1.00	     31.57	    516.04	      2.83	      2.48	     49.53	     43.41	6.31	 8.417e-05	      2.14	0	Gaussian	303.915589	43.649199
37	1	  0.002119	  0.017825	     -1.00	    235.96	    555.19	      2.67	      2.57	     46.74	     44.92	42.60	 1.325e-04	      2.15	0	Gaussian	302.593202	43.449917
38	1	  0.002287	  0.017455	     -1.00	    340.23	    434.10	      2.70	      2.54	     47.21	     44.40	-16.23	 7.476e-04	      2.18	0	Gaussian	301.896454	44.007055
39	1	  0.002147	  0.016851	     -1.00	    322.42	    311.02	      2.75	      2.55	     48.13	     44.55	-0.90	 1.228e-04	      2.18	0	Gaussian	301.989344	44.589190
40	1	  0.002121	  0.016921	     -1.00	     73.34	     97.89	      2.67	      2.49	     46.80	     43.62	-1.20	 1.095e-04	      2.23	0	Gaussian	303.618243	45.620043
41	1	  0.002124	  0.017115	     -1.00	    203.45	     99.51	      2.69	      2.46	     47.04	     43.01	-5.07	 1.307e-04	      2.23	0	Gaussian	302.745119	45.600675
42	1	  0.002235	  0.016137	     -1.00	    332.13	    450.83	      2.69	      2.58	     47.09	     45.24	0.69	 4.693e-04	      2.24	0	Gaussian	301.952422	43.929453
43	1	  0.002148	  0.016778	     -1.00	    389.39	    627.43	      2.72	      2.46	     47.59	     43.03	4.81	 1.558e-04	      2.24	0	Gaussian	301.618311	43.089001
44	1	  0.002134	  0.015799	     -1.00	    501.07	      6.19	      2.69	      2.59	     47.11	     45.35	10.39	 1.474e-04	      2.26	0	Gaussian	300.729360	45.986507
45	1	  0.002114	  0.015863	     -1.00	    185.70	     75.53	      2.73	      2.44	     47.81	     42.65	3.33	 1.235e-04	      2.31	0	Gaussian	302.861162	45.715488
46	1	  0.002097	  0.014420	     -1.00	    206.04	    601.95	      2.66	      2.66	     46.56	     46.55	81.78	 9.985e-05	      2.34	0	Gaussian	302.792534	43.232368
