# 776 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002099	  0.055104	     -1.00	     74.69	    485.96	      2.76	      2.68	     48.37	     46.90	-44.37	 6.967e-04	      0.84	1	Gaussian	291.485044	44.926908
2	1	  0.002051	  0.042885	     -1.00	     67.60	    469.04	      2.79	      2.79	     48.83	     48.75	-80.76	 5.704e-04	      1.06	0	Gaussian	291.504798	45.009951
3	1	  0.002359	  0.040608	     -1.00	    147.15	    467.72	      2.70	      2.70	     47.34	     47.29	-1.60	 1.224e-03	      1.18	0	Gaussian	291.014731	44.930373
4	1	  0.001988	  0.034612	     -1.00	    302.20	    406.77	      2.73	      2.73	     47.84	     47.83	-19.23	 4.666e-04	      1.33	0	Gaussian	289.979696	45.028246
5	1	  0.001984	  0.030071	     -1.00	    458.96	    296.48	      2.71	      2.71	     47.49	     47.47	88.65	 4.364e-04	      1.50	0	Gaussian	288.859700	45.330527
6	1	  0.001951	  0.029003	     -1.00	     70.64	    148.16	      2.74	      2.74	     48.01	     48.01	-17.30	 3.816e-04	      1.52	0	Gaussian	291.022592	46.434225
7	1	  0.001952	  0.020596	     -1.00	    350.41	     38.82	      2.74	      2.73	     47.97	     47.83	56.44	 2.787e-04	      1.89	0	Gaussian	289.109934	46.590784
8	1	  0.001895	  0.017303	     -1.00	    678.87	    565.80	      2.82	      2.81	     49.40	     49.19	-86.23	 2.400e-04	      2.02	0	Gaussian	287.986034	43.885187
9	1	  0.001954	  0.018385	     -1.00	    117.30	    170.17	      2.71	      2.70	     47.39	     47.33	78.62	 2.557e-04	      2.05	0	Gaussian	290.762988	46.284539
10	1	  0.001921	  0.016844	     -1.00	    486.20	    325.66	      2.77	      2.72	     48.47	     47.60	-10.79	 2.401e-04	      2.11	0	Gaussian	288.742195	45.169809
11	1	  0.001888	  0.016137	     -1.00	    336.34	     84.43	      2.75	      2.66	     48.08	     46.50	58.71	 2.190e-04	      2.19	0	Gaussian	289.269990	46.407925
12	1	  0.001886	  0.013800	     -1.00	    360.37	     74.32	      2.69	      2.66	     47.07	     46.62	34.79	 1.861e-04	      2.38	0	Gaussian	289.105572	46.423261
13	1	  0.001870	  0.010562	     -1.00	    344.43	    544.75	      3.05	      2.91	     53.42	     51.00	-84.03	 1.711e-04	      2.43	0	Gaussian	289.932440	44.369819
14	1	  0.001909	  0.012115	     -1.00	    482.26	    223.95	      2.74	      2.73	     47.91	     47.82	-19.47	 1.629e-04	      2.47	0	Gaussian	288.602526	45.620124
15	1	  0.001854	  0.010913	     -1.00	    664.85	    604.66	      2.80	      2.74	     49.02	     47.93	11.99	 1.423e-04	      2.55	0	Gaussian	288.130056	43.732076
16	1	  0.001910	  0.010763	     -1.00	    608.82	    562.72	      2.79	      2.75	     48.77	     48.10	24.66	 1.454e-04	      2.57	0	Gaussian	288.391050	43.983066
17	1	  0.001849	  0.010568	     -1.00	    216.69	    684.82	      2.79	      2.79	     48.91	     48.75	44.79	 1.362e-04	      2.58	0	Gaussian	290.903972	43.888319
18	1	  0.001869	  0.010341	     -1.00	    129.45	    436.71	      2.88	      2.74	     50.36	     48.01	71.58	 1.493e-04	      2.58	0	Gaussian	291.078515	45.087616
19	1	  0.001896	  0.009956	     -1.00	    363.22	    497.40	      2.79	      2.74	     48.79	     48.00	14.97	 1.681e-04	      2.66	0	Gaussian	289.748284	44.557945
20	1	  0.001834	  0.008338	     -1.00	    167.96	    522.76	      2.97	      2.80	     51.95	     49.09	72.24	 1.210e-04	      2.76	0	Gaussian	290.966894	44.662787
21	1	  0.002150	  0.009301	     -1.00	    433.61	    430.59	      2.73	      2.63	     47.70	     46.09	22.81	 9.594e-04	      2.81	0	Gaussian	289.223165	44.771221
22	1	  0.001854	  0.008819	     -1.00	    252.88	    292.33	      2.77	      2.70	     48.51	     47.30	-20.43	 1.150e-04	      2.81	0	Gaussian	290.107357	45.590442
23	1	  0.001864	  0.007200	     -1.00	     97.91	    386.93	      2.98	      2.98	     52.16	     52.16	-9.05	 1.324e-04	      2.85	0	Gaussian	291.201034	45.343456
24	1	  0.001856	  0.007846	     -1.00	    664.99	     22.02	      2.91	      2.74	     50.93	     47.88	71.56	 1.000e-04	      2.86	0	Gaussian	287.161636	46.268196
25	1	  0.001887	  0.008198	     -1.00	    313.78	     49.63	      2.78	      2.75	     48.70	     48.13	24.81	 1.591e-04	      2.87	0	Gaussian	289.353987	46.587601
26	1	  0.001846	  0.007348	     -1.00	    181.92	    366.39	      2.78	      2.73	     48.74	     47.74	-11.42	 9.364e-05	      2.98	0	Gaussian	290.653813	45.342520
27	1	  0.001887	  0.006755	     -1.00	    622.99	    155.26	      2.79	      2.78	     48.79	     48.73	-37.11	 1.181e-04	      3.05	0	Gaussian	287.641359	45.744620
28	1	  0.001856	  0.006604	     -1.00	    631.97	    115.61	      2.83	      2.81	     49.48	     49.18	42.86	 1.090e-04	      3.06	0	Gaussian	287.520520	45.905355
29	1	  0.001823	  0.005893	     -1.00	    423.12	    565.10	      2.88	      2.87	     50.38	     50.21	47.70	 7.800e-05	      3.16	0	Gaussian	289.492727	44.190282
30	1	  0.001835	  0.006371	     -1.00	    681.58	    196.42	      2.73	      2.70	     47.70	     47.29	0.63	 8.983e-05	      3.18	0	Gaussian	287.360589	45.491317
31	1	  0.001859	  0.006126	     -1.00	     15.21	    142.42	      2.74	      2.70	     48.04	     47.27	1.13	 9.515e-05	      3.22	0	Gaussian	291.363034	46.520842
32	1	  0.001853	  0.005794	     -1.00	    364.58	     60.21	      2.78	      2.78	     48.66	     48.65	-1.76	 9.080e-05	      3.23	0	Gaussian	289.056895	46.479996
33	1	  0.001851	  0.005490	     -1.00	    572.57	    406.20	      2.80	      2.79	     48.93	     48.84	2.02	 9.139e-05	      3.27	0	Gaussian	288.355129	44.712546
34	1	  0.001834	  0.005221	     -1.00	    150.47	    431.90	      2.88	      2.88	     50.41	     50.35	-61.32	 7.030e-05	      3.27	0	Gaussian	290.942638	45.086133
35	1	  0.001837	  0.005104	     -1.00	    604.72	    380.86	      2.95	      2.87	     51.62	     50.32	88.27	 7.356e-05	      3.27	0	Gaussian	288.123320	44.784194
36	1	  0.001883	  0.005600	     -1.00	    127.64	    495.56	      2.78	      2.75	     48.64	     48.16	7.21	 1.521e-04	      3.28	0	Gaussian	291.174014	44.827459
37	1	  0.001836	  0.005411	     -1.00	    159.98	    253.31	      2.86	      2.74	     49.98	     48.04	-29.24	 7.640e-05	      3.29	0	Gaussian	290.621444	45.868393
38	1	  0.001834	  0.004998	     -1.00	    215.92	    156.11	      2.96	      2.89	     51.80	     50.54	-53.40	 7.201e-05	      3.31	0	Gaussian	290.127533	46.234428
39	1	  0.001835	  0.005150	     -1.00	    423.44	    115.07	      2.84	      2.83	     49.63	     49.61	-0.32	 7.828e-05	      3.33	0	Gaussian	288.784015	46.168261
40	1	  0.001839	  0.004806	     -1.00	     66.47	    582.57	      2.88	      2.81	     50.48	     49.24	-11.83	 7.429e-05	      3.39	0	Gaussian	291.670517	44.503896
41	1	  0.001881	  0.004352	     -1.00	    230.88	    251.28	      3.03	      2.92	     53.02	     51.18	75.71	 2.137e-04	      3.40	0	Gaussian	290.180278	45.797031
42	1	  0.001833	  0.004601	     -1.00	    531.02	     50.14	      2.90	      2.84	     50.82	     49.67	-64.51	 7.105e-05	      3.41	0	Gaussian	288.020602	46.318005
43	1	  0.001824	  0.004404	     -1.00	    501.80	    490.97	      2.93	      2.93	     51.20	     51.20	84.17	 5.820e-05	      3.43	0	Gaussian	288.910141	44.425342
44	1	  0.001843	  0.004595	     -1.00	     81.52	    525.57	      2.85	      2.82	     49.94	     49.29	-14.94	 8.387e-05	      3.45	0	Gaussian	291.498876	44.742817
45	1	  0.001835	  0.004624	     -1.00	    654.43	    241.55	      2.78	      2.78	     48.72	     48.67	-12.40	 6.872e-05	      3.46	0	Gaussian	287.598239	45.329730
46	1	  0.001835	  0.004224	     -1.00	     37.80	    659.14	      2.94	      2.90	     51.46	     50.79	-24.51	 7.189e-05	      3.49	0	Gaussian	291.950661	44.190787
47	1	  0.001840	  0.004445	     -1.00	    338.00	    142.36	      2.79	      2.79	     48.81	     48.76	-18.17	 8.246e-05	      3.50	0	Gaussian	289.351854	46.151715
48	1	  0.001846	  0.004086	     -1.00	    624.94	    530.01	      2.97	      2.92	     51.94	     51.13	-53.62	 8.106e-05	      3.50	0	Gaussian	288.244288	44.107059
49	1	  0.001822	  0.004041	     -1.00	    313.85	    601.72	      2.93	      2.88	     51.36	     50.49	14.84	 5.421e-05	      3.53	0	Gaussian	290.200495	44.151675
50	1	  0.001849	  0.004125	     -1.00	    568.72	    354.63	      2.91	      2.82	     50.92	     49.32	-19.47	 7.232e-05	      3.55	0	Gaussian	288.294850	44.942904
51	1	  0.001836	  0.004070	     -1.00	    501.94	    102.78	      2.89	      2.84	     50.53	     49.68	45.38	 6.573e-05	      3.56	0	Gaussian	288.285074	46.125171
52	1	  0.001871	  0.003943	     -1.00	    421.70	    693.93	      2.89	      2.89	     50.65	     50.63	-10.03	 6.900e-05	      3.58	0	Gaussian	289.695446	43.622405
53	1	  0.001815	  0.002855	     -1.00	    236.10	     93.02	      3.79	      3.01	     66.37	     52.64	-2.20	 7.002e-05	      3.58	0	Gaussian	289.904699	46.489007
54	1	  0.001855	  0.003540	     -1.00	    226.91	    434.40	      3.00	      3.00	     52.46	     52.44	-2.89	 8.574e-05	      3.61	0	Gaussian	290.478925	44.990714
55	1	  0.001836	  0.003800	     -1.00	    414.70	    100.48	      2.93	      2.84	     51.22	     49.66	-19.99	 5.222e-05	      3.63	0	Gaussian	288.813905	46.242749
56	1	  0.001823	  0.003681	     -1.00	    188.08	     93.21	      2.96	      2.91	     51.86	     50.99	48.69	 7.260e-05	      3.63	0	Gaussian	290.204271	46.544032
57	1	  0.001827	  0.003776	     -1.00	    537.78	    113.88	      2.88	      2.88	     50.33	     50.33	29.33	 5.192e-05	      3.63	0	Gaussian	288.085948	46.032041
58	1	  0.001846	  0.003681	     -1.00	    600.29	     78.24	      2.92	      2.90	     51.11	     50.76	17.15	 6.973e-05	      3.64	0	Gaussian	287.648049	46.108023
59	1	  0.001830	  0.003702	     -1.00	    305.16	    302.69	      2.95	      2.87	     51.59	     50.16	-12.76	 5.605e-05	      3.64	0	Gaussian	289.803123	45.484550
60	1	  0.001827	  0.003657	     -1.00	    545.14	    603.82	      2.97	      2.89	     52.00	     50.58	-24.08	 6.341e-05	      3.64	0	Gaussian	288.829849	43.878009
61	1	  0.001802	  0.000666	     -1.00	    510.89	      9.83	      9.11	      5.00	    159.54	     87.58	-38.46	 8.733e-05	      3.66	0	Gaussian	288.075793	46.518698
62	1	  0.001816	  0.003692	     -1.00	     36.71	    371.41	      2.86	      2.82	     50.03	     49.43	-19.35	 4.889e-05	      3.68	0	Gaussian	291.557659	45.478451
63	1	  0.001878	  0.003555	     -1.00	     19.22	    184.16	      2.89	      2.87	     50.56	     50.28	76.69	 2.241e-04	      3.71	0	Gaussian	291.398455	46.331030
64	1	  0.001826	  0.003587	     -1.00	    501.51	    341.57	      2.93	      2.77	     51.24	     48.44	-21.48	 5.399e-05	      3.71	0	Gaussian	288.675662	45.081628
