# 815 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.004131	  0.381902	     -1.00	    316.65	    271.42	      2.91	      2.66	     50.92	     46.60	-39.95	 5.702e-03	     -1.31	0	Gaussian	292.945061	34.451658
2	1	  0.002116	  0.065082	     -1.00	     24.53	    193.84	      2.85	      2.80	     49.94	     48.94	-49.13	 8.067e-04	      0.57	0	Gaussian	294.421539	35.021562
3	1	  0.002113	  0.063398	     -1.00	    418.36	    416.81	      2.97	      2.55	     51.99	     44.65	-45.70	 8.949e-04	      0.66	0	Gaussian	292.573955	33.726881
4	1	  0.002141	  0.058118	     -1.00	    296.78	    556.35	      3.03	      2.58	     52.96	     45.07	-48.07	 9.187e-04	      0.72	0	Gaussian	293.360699	33.202704
5	1	  0.002109	  0.055424	     -1.00	    384.97	    480.92	      2.91	      2.78	     50.99	     48.62	-56.23	 8.731e-04	      0.73	0	Gaussian	292.819381	33.469480
6	1	  0.002092	  0.052702	     -1.00	    201.37	    438.99	      2.97	      2.59	     52.03	     45.35	-44.82	 6.902e-04	      0.84	0	Gaussian	293.735542	33.794622
7	1	  0.002095	  0.046766	     -1.00	     86.33	    140.96	      2.89	      2.87	     50.50	     50.24	69.41	 6.159e-04	      0.89	0	Gaussian	294.032670	35.212582
8	1	  0.001995	  0.039947	     -1.00	    143.06	    248.72	      2.97	      2.75	     51.95	     48.15	-43.72	 5.657e-04	      1.08	0	Gaussian	293.842825	34.687042
9	1	  0.002009	  0.032862	     -1.00	    153.90	    521.84	      2.91	      2.75	     50.92	     48.16	-70.49	 5.208e-04	      1.31	0	Gaussian	294.072148	33.460790
10	1	  0.002183	  0.015951	     -1.00	     55.24	     42.17	      5.50	      2.97	     96.22	     51.95	42.75	 1.101e-03	      1.32	0	Gaussian	294.095829	35.679796
11	1	  0.002003	  0.034854	     -1.00	    616.15	    274.72	      2.90	      2.55	     50.68	     44.60	-42.87	 5.224e-04	      1.34	0	Gaussian	291.380014	34.192121
12	1	  0.001972	  0.030130	     -1.00	    546.80	    474.10	      3.01	      2.64	     52.75	     46.21	-50.47	 4.478e-04	      1.41	0	Gaussian	291.973238	33.371936
13	1	  0.001956	  0.029070	     -1.00	    175.14	    352.67	      2.98	      2.69	     52.12	     47.00	-43.49	 4.478e-04	      1.45	0	Gaussian	293.782667	34.198747
14	1	  0.001918	  0.027085	     -1.00	     57.64	    440.43	      2.94	      2.64	     51.38	     46.20	-41.86	 3.943e-04	      1.56	0	Gaussian	294.497375	33.892937
15	1	  0.001948	  0.027656	     -1.00	    150.49	    458.57	      2.90	      2.58	     50.74	     45.11	-41.10	 3.933e-04	      1.57	0	Gaussian	294.024458	33.744972
16	1	  0.001998	  0.019145	     -1.00	     36.02	    441.06	      3.20	      2.84	     56.02	     49.71	-28.08	 3.341e-04	      1.77	0	Gaussian	294.612867	33.905519
17	1	  0.001901	  0.020547	     -1.00	    501.38	     73.80	      2.89	      2.69	     50.65	     47.11	-60.00	 3.208e-04	      1.85	0	Gaussian	291.740449	35.176951
18	1	  0.001914	  0.019515	     -1.00	    273.78	    603.86	      2.84	      2.84	     49.67	     49.66	-17.47	 3.438e-04	      1.87	0	Gaussian	293.531035	33.009407
19	1	  0.001911	  0.020603	     -1.00	    512.11	    143.57	      2.91	      2.62	     50.98	     45.88	-42.12	 2.923e-04	      1.87	0	Gaussian	291.767098	34.858944
20	1	  0.001956	  0.020882	     -1.00	     41.24	    565.59	      2.87	      2.59	     50.23	     45.35	-39.93	 3.238e-04	      1.89	0	Gaussian	294.710083	33.345682
21	1	  0.001988	  0.019822	     -1.00	    336.83	    121.66	      2.84	      2.75	     49.66	     48.11	-8.61	 4.089e-04	      1.89	0	Gaussian	292.669165	35.101683
22	1	  0.001946	  0.018479	     -1.00	    257.78	    113.85	      2.87	      2.87	     50.18	     50.18	8.49	 3.129e-04	      1.91	0	Gaussian	293.082165	35.200233
