# 802 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002148	  0.061701	     -1.00	     45.66	    610.81	      2.90	      2.85	     50.70	     49.94	7.18	 7.405e-04	      0.59	0	Gaussian	293.402880	38.760792
2	1	  0.002095	  0.053541	     -1.00	    586.96	    138.58	      2.78	      2.77	     48.72	     48.54	2.78	 7.627e-04	      0.82	0	Gaussian	289.743418	40.357446
3	1	  0.002092	  0.050958	     -1.00	    547.49	    245.72	      2.78	      2.78	     48.65	     48.62	-7.36	 6.899e-04	      0.88	0	Gaussian	290.114320	39.923344
4	1	  0.002049	  0.045483	     -1.00	    202.01	    318.26	      2.84	      2.74	     49.76	     48.03	-0.13	 5.721e-04	      0.99	0	Gaussian	292.161382	39.938965
5	1	  0.002007	  0.040054	     -1.00	    423.14	    349.12	      2.87	      2.85	     50.17	     49.91	-3.24	 5.130e-04	      1.08	0	Gaussian	290.950726	39.588343
6	1	  0.001953	  0.030550	     -1.00	    280.88	    297.03	      2.87	      2.86	     50.31	     50.07	41.32	 3.945e-04	      1.36	0	Gaussian	291.685549	39.959521
7	1	  0.001944	  0.029443	     -1.00	    564.10	    165.03	      2.80	      2.80	     48.98	     48.94	46.45	 3.693e-04	      1.46	0	Gaussian	289.908930	40.264189
8	1	  0.001993	  0.027406	     -1.00	    426.63	    433.38	      2.76	      2.67	     48.25	     46.81	-9.25	 3.999e-04	      1.60	0	Gaussian	291.042296	39.209026
9	1	  0.002008	  0.023513	     -1.00	    161.48	    668.78	      2.88	      2.82	     50.37	     49.33	-6.93	 3.388e-04	      1.66	0	Gaussian	292.818975	38.399172
10	1	  0.002044	  0.022154	     -1.00	     34.75	    413.58	      2.87	      2.70	     50.19	     47.33	-0.56	 4.685e-04	      1.78	0	Gaussian	293.233847	39.661363
11	1	  0.001901	  0.018542	     -1.00	    365.23	     93.99	      2.90	      2.88	     50.80	     50.49	1.97	 2.591e-04	      1.89	0	Gaussian	290.937235	40.784924
12	1	  0.001909	  0.020387	     -1.00	    503.39	    354.45	      2.79	      2.70	     48.90	     47.28	-5.02	 2.881e-04	      1.90	0	Gaussian	290.509102	39.484904
13	1	  0.001905	  0.018924	     -1.00	    490.59	    665.74	      2.86	      2.83	     50.06	     49.52	-18.38	 2.710e-04	      1.90	0	Gaussian	290.991094	38.112033
14	1	  0.001914	  0.018604	     -1.00	    255.93	     26.58	      2.92	      2.79	     51.16	     48.84	8.84	 2.583e-04	      1.91	0	Gaussian	291.475142	41.195884
15	1	  0.001931	  0.019916	     -1.00	    645.67	    371.66	      2.76	      2.72	     48.33	     47.69	-5.62	 2.885e-04	      1.92	0	Gaussian	289.743703	39.263843
16	1	  0.001898	  0.018464	     -1.00	    271.24	    151.05	      2.82	      2.82	     49.34	     49.33	-23.02	 2.504e-04	      1.94	0	Gaussian	291.551041	40.623136
17	1	  0.001908	  0.017458	     -1.00	    412.88	    300.24	      2.93	      2.84	     51.25	     49.65	-9.38	 2.424e-04	      1.96	0	Gaussian	290.943497	39.816576
18	1	  0.001901	  0.016465	     -1.00	    548.38	     97.05	      2.88	      2.85	     50.46	     49.96	-11.20	 2.437e-04	      2.03	0	Gaussian	289.901757	40.582273
19	1	  0.001895	  0.015561	     -1.00	    363.59	    535.92	      2.91	      2.87	     50.91	     50.20	-14.22	 2.549e-04	      2.08	0	Gaussian	291.526375	38.811407
20	1	  0.001932	  0.015323	     -1.00	     82.05	    215.67	      2.83	      2.72	     49.49	     47.63	-1.58	 2.251e-04	      2.18	0	Gaussian	292.722349	40.512251
21	1	  0.001858	  0.013540	     -1.00	    426.72	    533.37	      2.89	      2.79	     50.50	     48.81	-10.08	 1.991e-04	      2.27	0	Gaussian	291.172111	38.762870
22	1	  0.001885	  0.012891	     -1.00	    186.66	    322.47	      2.91	      2.72	     50.99	     47.55	-0.40	 1.969e-04	      2.34	0	Gaussian	292.254263	39.934386
23	1	  0.001851	  0.012621	     -1.00	    356.69	    199.79	      2.84	      2.80	     49.79	     49.07	8.70	 1.685e-04	      2.37	0	Gaussian	291.127656	40.320811
24	1	  0.001877	  0.012461	     -1.00	    584.37	    493.27	      2.80	      2.76	     49.05	     48.33	-12.61	 1.973e-04	      2.41	0	Gaussian	290.248029	38.787142
25	1	  0.001866	  0.011973	     -1.00	    668.12	    533.00	      2.92	      2.77	     51.05	     48.45	-33.74	 1.820e-04	      2.41	0	Gaussian	289.843132	38.527012
26	1	  0.001862	  0.012268	     -1.00	     33.26	    244.38	      2.85	      2.70	     49.86	     47.30	-7.84	 1.574e-04	      2.44	0	Gaussian	293.039652	40.427181
27	1	  0.001882	  0.010692	     -1.00	    280.83	    258.15	      2.94	      2.89	     51.50	     50.57	-8.78	 1.755e-04	      2.47	0	Gaussian	291.635669	40.133826
28	1	  0.002128	  0.010827	     -1.00	    622.99	    566.92	      2.87	      2.87	     50.30	     50.26	-26.24	 8.501e-04	      2.48	0	Gaussian	290.135731	38.422086
29	1	  0.001868	  0.009578	     -1.00	    624.27	    306.33	      3.29	      2.82	     57.56	     49.28	-5.75	 1.680e-04	      2.49	0	Gaussian	289.771027	39.575235
30	1	  0.001854	  0.010774	     -1.00	    486.67	     34.09	      2.84	      2.83	     49.74	     49.51	-25.91	 1.381e-04	      2.52	0	Gaussian	290.162621	40.926701
31	1	  0.001890	  0.010264	     -1.00	     72.79	    484.45	      2.95	      2.85	     51.55	     49.83	9.67	 2.934e-04	      2.52	0	Gaussian	293.100687	39.307809
32	1	  0.001886	  0.010868	     -1.00	    506.32	    556.79	      2.85	      2.81	     49.92	     49.16	-24.83	 1.577e-04	      2.53	0	Gaussian	290.762489	38.581766
33	1	  0.001850	  0.009742	     -1.00	    120.29	    290.01	      2.92	      2.92	     51.06	     51.05	-69.96	 1.328e-04	      2.57	0	Gaussian	292.593746	40.141922
34	1	  0.001869	  0.009027	     -1.00	    280.66	    178.18	      3.22	      2.81	     56.38	     49.13	-16.61	 1.510e-04	      2.59	0	Gaussian	291.532607	40.492351
35	1	  0.001884	  0.010029	     -1.00	    161.53	    366.03	      2.89	      2.76	     50.53	     48.24	-74.01	 1.759e-04	      2.60	0	Gaussian	292.451730	39.761680
36	1	  0.001863	  0.009266	     -1.00	    212.45	     69.53	      2.82	      2.69	     49.29	     47.08	-2.93	 1.617e-04	      2.75	0	Gaussian	291.782963	41.046096
37	1	  0.001844	  0.007662	     -1.00	    143.23	     51.00	      2.96	      2.93	     51.75	     51.20	-0.85	 1.188e-04	      2.81	0	Gaussian	292.160387	41.196385
38	1	  0.001891	  0.007457	     -1.00	    460.92	    474.79	      2.96	      2.89	     51.82	     50.55	26.72	 2.037e-04	      2.85	0	Gaussian	290.905797	38.991054
