# 290 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	 -0.001677	  0.004003	     -1.00	    160.85	    321.16	     35.75	     35.74	    625.72	    625.57	79.46	 5.885e-04	     -0.46	0	Gaussian	333.276774	50.731329
2	1	  0.002227	  0.045510	     -1.00	    279.09	    576.15	      3.20	      2.88	     56.03	     50.33	30.11	 9.761e-04	      0.81	0	Gaussian	332.062641	49.796102
3	1	  0.002039	  0.027540	     -1.00	     66.81	    587.72	      3.20	      2.82	     55.96	     49.43	27.29	 5.232e-04	      1.37	0	Gaussian	333.403726	49.471133
4	1	  0.001957	  0.025757	     -1.00	    170.33	    450.21	      3.35	      2.79	     58.67	     48.85	24.80	 4.908e-04	      1.41	0	Gaussian	332.984493	50.194921
5	1	  0.002036	  0.021910	     -1.00	    440.32	    628.16	      3.16	      2.94	     55.31	     51.46	39.52	 4.524e-04	      1.59	0	Gaussian	330.926363	49.770851
6	1	  0.002105	  0.020411	     -1.00	    381.38	    492.60	      3.12	      2.86	     54.68	     49.97	44.12	 8.850e-04	      1.71	0	Gaussian	331.535820	50.284197
7	1	  0.002038	  0.019724	     -1.00	    443.95	    653.78	      3.02	      2.99	     52.82	     52.38	60.52	 4.238e-04	      1.73	0	Gaussian	330.861338	49.664136
8	1	  0.001989	  0.020263	     -1.00	     72.78	    612.38	      3.18	      2.76	     55.68	     48.32	21.14	 3.847e-04	      1.74	0	Gaussian	333.322165	49.373734
9	1	  0.001038	  0.019471	     -1.00	    229.58	    326.22	      3.81	      2.27	     66.75	     39.68	-3.86	 1.340e-03	      1.80	0	Gaussian	332.818951	50.801453
10	1	  0.001933	  0.018828	     -1.00	     20.43	    600.67	      3.15	      2.67	     55.19	     46.70	19.30	 3.447e-04	      1.86	0	Gaussian	333.674236	49.354082
11	1	  0.001918	  0.014256	     -1.00	    162.68	    508.53	      3.33	      2.85	     58.29	     49.84	36.01	 3.004e-04	      2.04	0	Gaussian	332.930932	49.935905
12	1	  0.001932	  0.015652	     -1.00	     87.12	    617.69	      3.14	      2.70	     54.96	     47.25	30.04	 2.896e-04	      2.06	0	Gaussian	333.221849	49.369989
13	1	  0.001128	  0.009293	     -1.00	    256.19	    334.47	      3.71	      3.58	     64.94	     62.60	74.14	 8.949e-04	      2.13	0	Gaussian	332.629866	50.801336
14	1	  0.001883	  0.009464	     -1.00	    109.03	    650.21	      3.16	      2.77	     55.26	     48.55	25.72	 2.109e-04	      2.57	0	Gaussian	333.025827	49.259536
15	1	  0.001873	  0.009057	     -1.00	    416.56	    547.32	      3.16	      2.79	     55.34	     48.76	24.70	 1.970e-04	      2.62	0	Gaussian	331.213902	50.091742
16	1	  0.001881	  0.008531	     -1.00	    501.72	    687.27	      3.21	      2.74	     56.25	     47.88	30.90	 1.653e-04	      2.68	0	Gaussian	330.429800	49.587321
17	1	  0.001803	  0.005758	     -1.00	     53.67	    528.29	      4.42	      2.91	     77.39	     50.96	-16.48	 1.844e-04	      2.69	0	Gaussian	333.593334	49.706964
18	1	  0.002172	  0.009267	     -1.00	    376.11	    502.69	      3.07	      2.56	     53.69	     44.83	32.12	 1.414e-03	      2.71	0	Gaussian	331.553581	50.234177
19	1	  0.001854	  0.006791	     -1.00	    686.98	    513.04	      3.39	      2.87	     59.30	     50.26	23.39	 1.336e-04	      2.81	0	Gaussian	329.468675	50.560728
20	1	  0.001816	  0.005534	     -1.00	    224.69	    362.54	      3.50	      3.35	     61.23	     58.59	24.16	 1.825e-04	      2.83	0	Gaussian	332.786487	50.640315
21	1	  0.001892	  0.009118	     -1.00	     62.09	    492.45	      2.74	      2.46	     47.90	     43.11	25.82	 3.140e-04	      2.91	0	Gaussian	333.604118	49.870792
22	1	  0.001960	  0.005683	     -1.00	    304.93	    355.82	      3.47	      3.03	     60.76	     53.02	38.90	 3.814e-04	      2.92	0	Gaussian	332.272017	50.773765
23	1	  0.001935	  0.005986	     -1.00	     36.42	    483.07	      3.15	      3.01	     55.21	     52.62	64.92	 4.378e-04	      2.98	0	Gaussian	333.784661	49.875985
24	1	  0.001835	  0.005991	     -1.00	    652.43	    441.26	      3.17	      3.02	     55.41	     52.84	24.92	 1.313e-04	      2.98	0	Gaussian	329.812823	50.832964
25	1	  0.001886	  0.006304	     -1.00	    688.19	    584.44	      3.23	      2.73	     56.47	     47.83	29.73	 1.435e-04	      2.99	0	Gaussian	329.351840	50.250803
26	1	  0.001839	  0.006084	     -1.00	    235.06	    599.53	      3.16	      2.79	     55.28	     48.89	30.66	 1.585e-04	      3.04	0	Gaussian	332.307270	49.639630
27	1	  0.001871	  0.006237	     -1.00	     51.90	    491.72	      2.78	      2.72	     48.62	     47.57	26.22	 3.563e-04	      3.18	0	Gaussian	333.670411	49.860153
28	1	  0.001840	  0.003641	     -1.00	    528.14	    393.65	      3.79	      3.30	     66.35	     57.83	46.14	 1.308e-04	      3.21	0	Gaussian	330.725167	50.891197
29	1	  0.001852	  0.003538	     -1.00	    122.77	    408.92	      3.76	      3.27	     65.86	     57.26	33.87	 1.553e-04	      3.28	0	Gaussian	333.365269	50.307468
30	1	  0.001875	  0.004371	     -1.00	    611.23	    499.77	      3.33	      3.00	     58.33	     52.52	-56.66	 1.905e-04	      3.28	0	Gaussian	329.998335	50.530927
31	1	  0.001930	  0.004703	     -1.00	    688.66	    569.55	      3.11	      2.90	     54.43	     50.75	16.47	 2.746e-04	      3.32	0	Gaussian	329.371247	50.316321
32	1	  0.001793	  0.003678	     -1.00	    125.31	    514.93	      3.44	      3.06	     60.17	     53.48	22.51	 1.124e-04	      3.38	0	Gaussian	333.159672	49.859354
33	1	  0.001890	  0.003203	     -1.00	    149.39	    392.12	      3.42	      3.32	     59.90	     58.13	74.51	 1.479e-04	      3.47	0	Gaussian	333.223436	50.414544
34	1	  0.001814	  0.004735	     -1.00	     40.26	    503.86	      2.81	      2.64	     49.18	     46.25	35.53	 1.344e-04	      3.51	0	Gaussian	333.722623	49.792830
35	1	  0.001786	  0.003619	     -1.00	    177.27	    684.04	      3.15	      3.08	     55.14	     53.84	4.86	 8.380e-05	      3.53	0	Gaussian	332.533329	49.202517
36	1	  0.001802	  0.003501	     -1.00	    535.16	    563.03	      3.15	      3.07	     55.18	     53.76	26.67	 8.602e-05	      3.53	0	Gaussian	330.405679	50.166777
37	1	  0.001796	  0.003302	     -1.00	    283.63	    434.01	      3.24	      3.21	     56.75	     56.11	-89.46	 1.267e-04	      3.53	0	Gaussian	332.276229	50.411883
38	1	  0.001840	  0.003568	     -1.00	    564.38	    656.28	      3.12	      3.03	     54.61	     53.05	22.83	 1.327e-04	      3.55	0	Gaussian	330.065799	49.795583
39	1	  0.001838	  0.002832	     -1.00	    525.97	    415.16	      3.59	      3.17	     62.89	     55.43	33.40	 8.628e-05	      3.60	0	Gaussian	330.704609	50.795731
40	1	  0.001871	  0.003138	     -1.00	    652.39	    502.51	      3.24	      3.16	     56.74	     55.38	13.14	 1.175e-04	      3.61	0	Gaussian	329.717789	50.566863
41	1	  0.001898	  0.003824	     -1.00	     11.80	    468.22	      3.31	      2.49	     57.88	     43.67	5.29	 3.890e-04	      3.61	0	Gaussian	333.968348	49.905586
42	1	  0.001828	  0.002972	     -1.00	    331.18	    465.54	      3.37	      3.03	     58.98	     52.98	43.51	 1.342e-04	      3.64	0	Gaussian	331.910931	50.337431
43	1	  0.001753	  0.002464	     -1.00	    376.29	    371.60	      3.77	      3.30	     66.05	     57.72	6.03	 1.195e-04	      3.64	0	Gaussian	331.773615	50.797598
44	1	  0.001840	  0.002888	     -1.00	    555.73	    445.56	      3.28	      3.22	     57.46	     56.31	33.63	 8.890e-05	      3.66	0	Gaussian	330.456258	50.700186
45	1	  0.001847	  0.002303	     -1.00	    101.09	    415.62	      3.77	      3.36	     66.04	     58.73	33.22	 1.897e-04	      3.71	0	Gaussian	333.492837	50.249879
46	1	  0.001908	  0.004194	     -1.00	     10.93	    458.47	      2.82	      2.46	     49.34	     43.14	25.41	 3.301e-04	      3.72	0	Gaussian	333.991726	49.945736
47	1	  0.001763	  0.003283	     -1.00	     43.15	    441.24	      3.17	      2.74	     55.46	     47.95	44.05	 1.199e-04	      3.73	0	Gaussian	333.817839	50.062707
48	1	  0.001806	  0.003300	     -1.00	     14.50	    660.38	      3.11	      2.79	     54.39	     48.83	22.21	 7.870e-05	      3.74	0	Gaussian	333.605096	49.091443
49	1	  0.001742	  0.001018	     -1.00	    191.81	    496.21	      6.68	      4.08	    116.98	     71.42	-66.13	 7.555e-05	      3.76	0	Gaussian	332.764791	50.026671
50	1	  0.001751	  0.000706	     -1.00	    196.33	    351.55	      8.61	      4.52	    150.67	     79.18	15.21	 1.303e-04	      3.77	0	Gaussian	332.991062	50.649630
51	1	  0.001731	  0.002328	     -1.00	    395.98	    373.84	      3.68	      3.18	     64.35	     55.69	15.37	 8.597e-05	      3.78	0	Gaussian	331.639329	50.812873
52	1	  0.001824	  0.002314	     -1.00	    579.70	    494.93	      3.55	      3.31	     62.10	     58.00	-33.94	 9.006e-05	      3.79	0	Gaussian	330.217076	50.514866
53	1	  0.001858	  0.001878	     -1.00	    680.46	    616.03	      3.75	      3.72	     65.66	     65.08	-86.36	 1.972e-04	      3.81	0	Gaussian	329.355819	50.104103
54	1	  0.001624	  0.002065	     -1.00	    397.62	    349.70	      3.77	      3.38	     65.94	     59.12	36.14	 4.134e-04	      3.82	0	Gaussian	331.669453	50.918456
55	1	  0.002037	  0.002964	     -1.00	    306.43	    364.77	      3.44	      2.53	     60.29	     44.26	33.97	 6.797e-04	      3.84	0	Gaussian	332.246588	50.737423
56	1	  0.001794	  0.002577	     -1.00	    279.19	    595.13	      3.21	      3.14	     56.24	     54.91	32.93	 7.989e-05	      3.84	0	Gaussian	332.029870	49.714550
57	1	  0.001765	  0.002363	     -1.00	    271.98	    507.83	      3.55	      2.97	     62.22	     51.99	20.45	 7.518e-05	      3.87	0	Gaussian	332.225156	50.080571
58	1	  0.001817	  0.002479	     -1.00	    632.66	    562.71	      3.12	      3.11	     54.63	     54.50	21.23	 6.849e-05	      3.89	0	Gaussian	329.756895	50.282168
59	1	  0.001858	  0.002551	     -1.00	    631.72	    486.78	      3.15	      3.04	     55.13	     53.22	25.02	 1.067e-04	      3.89	0	Gaussian	329.881198	50.611230
