# 541 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	 -0.000631	  0.003006	     -1.00	    548.92	    586.93	     48.39	     23.48	    847.04	    411.05	7.11	 4.306e-04	     -0.38	0	Gaussian	297.674367	27.972661
2	1	  0.002373	  0.063111	     -1.00	    570.45	    475.88	      3.10	      2.40	     54.30	     42.03	-38.56	 1.198e-03	      0.68	0	Gaussian	297.480738	28.445914
3	1	  0.002264	  0.058628	     -1.00	    262.65	    112.38	      2.98	      2.51	     52.18	     43.86	-35.93	 9.469e-04	      0.76	0	Gaussian	298.778937	30.198016
4	1	  0.002085	  0.042550	     -1.00	    198.26	    457.73	      3.03	      2.48	     52.98	     43.40	-40.33	 6.545e-04	      1.10	0	Gaussian	299.351389	28.699197
5	1	  0.002184	  0.040263	     -1.00	    461.84	    530.98	      3.01	      2.39	     52.63	     41.81	-44.22	 7.279e-04	      1.21	0	Gaussian	298.068702	28.258194
6	1	  0.002282	  0.037547	     -1.00	    595.77	    253.71	      2.96	      2.44	     51.78	     42.66	-32.89	 9.221e-04	      1.28	0	Gaussian	297.176540	29.405872
7	1	  0.001835	  0.032817	     -1.00	    417.72	    570.65	      2.83	      2.35	     49.46	     41.22	-42.93	 1.039e-03	      1.51	0	Gaussian	298.319800	28.105649
8	1	  0.002003	  0.028562	     -1.00	    168.13	    419.82	      2.75	      2.75	     48.15	     48.13	-14.75	 5.727e-04	      1.52	0	Gaussian	299.479723	28.879356
9	1	  0.002015	  0.027602	     -1.00	    409.50	    368.01	      3.05	      2.45	     53.47	     42.97	-37.02	 4.370e-04	      1.57	0	Gaussian	298.212062	28.997245
10	1	  0.001980	  0.026115	     -1.00	     26.16	    197.88	      2.77	      2.77	     48.47	     48.46	49.24	 4.879e-04	      1.61	0	Gaussian	300.066369	29.924262
11	1	  0.002476	  0.027239	     -1.00	    594.45	    441.33	      2.61	      2.35	     45.63	     41.12	1.86	 1.507e-03	      1.81	0	Gaussian	297.333003	28.584716
12	1	  0.001956	  0.019067	     -1.00	     25.95	    220.11	      3.20	      2.50	     56.08	     43.71	-33.87	 3.436e-04	      1.91	0	Gaussian	300.081777	29.825343
13	1	  0.001941	  0.018862	     -1.00	    141.65	    396.63	      3.17	      2.55	     55.50	     44.60	-36.53	 2.857e-04	      1.91	0	Gaussian	299.599837	28.993111
14	1	  0.001953	  0.016973	     -1.00	    103.90	    185.74	      3.11	      2.57	     54.42	     44.92	-36.56	 2.499e-04	      2.04	0	Gaussian	299.654138	29.944663
15	1	  0.001958	  0.017773	     -1.00	    261.14	    265.69	      2.88	      2.53	     50.47	     44.32	-48.30	 2.830e-04	      2.07	0	Gaussian	298.896433	29.518690
