# 906 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002733	  0.298873	     -1.00	    291.89	    681.93	      2.99	      2.73	     52.36	     47.83	30.00	 2.983e-03	     -1.11	1	Gaussian	302.355331	36.838665
2	1	  0.003357	  0.236373	     -1.00	    693.80	    598.04	      2.97	      2.73	     51.90	     47.87	26.67	 3.526e-03	     -0.84	0	Gaussian	299.978967	37.041923
3	1	  0.002017	  0.093919	     -1.00	    436.16	    316.03	      2.87	      2.71	     50.21	     47.48	23.45	 7.956e-04	      0.20	0	Gaussian	301.291755	38.478559
4	1	  0.002044	  0.082256	     -1.00	    635.19	    592.35	      2.90	      2.70	     50.74	     47.23	22.20	 8.488e-04	      0.34	0	Gaussian	300.312801	37.098290
5	1	  0.002015	  0.048319	     -1.00	    552.66	    447.30	      2.92	      2.69	     51.16	     47.11	20.61	 5.319e-04	      0.91	0	Gaussian	300.692987	37.811902
6	1	  0.002049	  0.044835	     -1.00	    391.55	    675.78	      2.96	      2.75	     51.84	     48.06	28.34	 6.935e-04	      0.96	0	Gaussian	301.774496	36.825599
7	1	  0.001947	  0.048308	     -1.00	    370.40	    189.65	      2.81	      2.61	     49.14	     45.65	13.11	 3.913e-04	      0.99	0	Gaussian	301.603018	39.098387
8	1	  0.001885	  0.045174	     -1.00	     59.14	    204.40	      2.78	      2.55	     48.74	     44.67	13.63	 3.868e-04	      1.10	0	Gaussian	303.480242	39.158650
9	1	  0.001998	  0.040606	     -1.00	    228.13	    194.98	      2.79	      2.79	     48.90	     48.89	67.50	 4.983e-04	      1.11	0	Gaussian	302.458712	39.136279
10	1	  0.002014	  0.039862	     -1.00	     66.17	    589.81	      2.86	      2.69	     50.05	     47.14	29.53	 4.372e-04	      1.15	0	Gaussian	303.625084	37.352773
11	1	  0.001974	  0.040213	     -1.00	    257.05	     50.82	      2.89	      2.63	     50.58	     46.06	13.02	 3.913e-04	      1.15	0	Gaussian	302.201023	39.798058
12	1	  0.002140	  0.042486	     -1.00	     88.89	    286.16	      2.79	      2.55	     48.76	     44.69	14.32	 1.007e-03	      1.16	0	Gaussian	303.342280	38.764673
13	1	  0.001942	  0.039319	     -1.00	    610.68	    140.55	      2.91	      2.64	     50.86	     46.25	12.05	 3.979e-04	      1.16	0	Gaussian	300.136281	39.206884
14	1	  0.001848	  0.023457	     -1.00	    310.85	    401.95	      4.62	      2.68	     80.79	     46.86	35.04	 3.110e-04	      1.21	0	Gaussian	302.085120	38.134626
15	1	  0.001951	  0.034220	     -1.00	    503.18	    341.66	      2.91	      2.86	     50.85	     50.07	73.49	 3.222e-04	      1.23	0	Gaussian	300.912668	38.327063
16	1	  0.001924	  0.037007	     -1.00	    142.78	    350.66	      2.86	      2.62	     50.02	     45.88	17.05	 2.800e-04	      1.26	0	Gaussian	303.053468	38.442520
17	1	  0.001914	  0.031378	     -1.00	    149.04	    369.04	      2.90	      2.67	     50.75	     46.66	21.68	 2.803e-04	      1.40	0	Gaussian	303.025829	38.354134
18	1	  0.001932	  0.030433	     -1.00	    232.08	    643.45	      2.91	      2.67	     50.88	     46.80	19.95	 3.049e-04	      1.43	0	Gaussian	302.682007	37.041493
19	1	  0.001919	  0.029835	     -1.00	     36.09	    518.76	      2.87	      2.66	     50.28	     46.50	22.06	 2.933e-04	      1.47	0	Gaussian	303.768733	37.695147
