# 756 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002230	  0.061469	     -1.00	    656.53	    574.69	      3.14	      2.65	     54.97	     46.42	18.29	 8.760e-04	      0.59	0	Gaussian	327.416483	41.148843
2	1	  0.001991	  0.033110	     -1.00	    176.99	    385.47	      3.07	      2.63	     53.80	     46.08	19.05	 4.838e-04	      1.29	0	Gaussian	330.428041	41.540361
3	1	  0.001949	  0.029565	     -1.00	    201.06	    103.47	      3.10	      2.69	     54.34	     47.17	26.73	 4.338e-04	      1.38	0	Gaussian	330.683445	42.815812
4	1	  0.001935	  0.025009	     -1.00	    406.27	     56.14	      3.14	      2.75	     54.89	     48.19	27.83	 3.664e-04	      1.53	0	Gaussian	329.544979	43.239727
5	1	  0.001925	  0.023312	     -1.00	    536.62	    449.79	      3.23	      2.73	     56.45	     47.81	20.09	 3.419e-04	      1.58	0	Gaussian	328.267352	41.603661
6	1	  0.001929	  0.021151	     -1.00	    109.01	    399.66	      3.16	      2.71	     55.32	     47.48	20.74	 3.098e-04	      1.72	0	Gaussian	330.795488	41.407400
7	1	  0.001947	  0.021115	     -1.00	    300.13	    378.16	      3.15	      2.71	     55.09	     47.36	21.35	 3.155e-04	      1.73	0	Gaussian	329.731424	41.697214
8	1	  0.002002	  0.021235	     -1.00	    293.00	    177.20	      3.06	      2.71	     53.61	     47.45	27.86	 3.674e-04	      1.75	0	Gaussian	330.045086	42.584708
9	1	  0.001925	  0.018698	     -1.00	    407.99	     76.51	      3.05	      2.61	     53.31	     45.67	20.84	 2.939e-04	      1.93	0	Gaussian	329.507147	43.150609
10	1	  0.001881	  0.017195	     -1.00	    618.57	    302.48	      3.15	      2.67	     55.22	     46.78	22.15	 2.556e-04	      1.96	0	Gaussian	327.968328	42.342095
11	1	  0.001882	  0.015559	     -1.00	    419.84	    198.68	      3.18	      2.73	     55.66	     47.81	23.93	 2.237e-04	      2.04	0	Gaussian	329.273636	42.617160
12	1	  0.001891	  0.015864	     -1.00	    426.77	     65.56	      3.12	      2.66	     54.69	     46.54	24.69	 2.324e-04	      2.06	0	Gaussian	329.410744	43.218482
13	1	  0.001863	  0.014259	     -1.00	    620.74	    586.76	      3.26	      2.76	     57.01	     48.23	18.68	 1.935e-04	      2.10	0	Gaussian	327.610713	41.062936
14	1	  0.001888	  0.014091	     -1.00	    393.55	    593.83	      3.18	      2.72	     55.73	     47.65	21.34	 2.016e-04	      2.15	0	Gaussian	328.913817	40.824071
15	1	  0.001890	  0.013885	     -1.00	    679.10	    562.30	      3.22	      2.72	     56.39	     47.68	18.58	 2.050e-04	      2.15	0	Gaussian	327.299177	41.224563
16	1	  0.001881	  0.012958	     -1.00	    518.92	     96.29	      3.14	      2.71	     54.88	     47.44	25.68	 1.748e-04	      2.26	0	Gaussian	328.822514	43.172947
