# 771 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002230	  0.061469	     -1.00	    663.53	    383.69	      3.14	      2.65	     54.97	     46.42	18.29	 8.760e-04	      0.59	0	Gaussian	327.416483	41.148843
2	1	  0.002029	  0.031923	     -1.00	     91.80	    690.62	      3.20	      2.80	     56.02	     48.97	24.14	 5.705e-04	      1.22	0	Gaussian	330.277651	39.247425
3	1	  0.001991	  0.033110	     -1.00	    183.99	    194.47	      3.07	      2.63	     53.80	     46.08	19.05	 4.838e-04	      1.29	0	Gaussian	330.428041	41.540361
4	1	  0.001925	  0.023312	     -1.00	    543.62	    258.79	      3.23	      2.73	     56.45	     47.81	20.09	 3.419e-04	      1.58	0	Gaussian	328.267352	41.603661
5	1	  0.001929	  0.021151	     -1.00	    116.01	    208.66	      3.16	      2.71	     55.32	     47.48	20.74	 3.098e-04	      1.72	0	Gaussian	330.795488	41.407400
6	1	  0.001947	  0.021115	     -1.00	    307.13	    187.16	      3.15	      2.71	     55.09	     47.36	21.35	 3.155e-04	      1.73	0	Gaussian	329.731424	41.697214
7	1	  0.002031	  0.018088	     -1.00	      7.48	    194.89	      3.21	      2.83	     56.14	     49.59	27.63	 4.186e-04	      1.82	0	Gaussian	331.428915	41.354162
8	1	  0.001894	  0.017145	     -1.00	    116.17	    632.89	      3.22	      2.75	     56.37	     48.16	20.31	 2.751e-04	      1.91	0	Gaussian	330.218954	39.526999
9	1	  0.001881	  0.017195	     -1.00	    625.57	    111.48	      3.15	      2.67	     55.22	     46.78	22.15	 2.556e-04	      1.96	0	Gaussian	327.968328	42.342095
10	1	  0.001938	  0.015580	     -1.00	    426.84	      7.68	      3.16	      2.71	     55.23	     47.37	23.68	 2.717e-04	      2.05	0	Gaussian	329.273636	42.617160
11	1	  0.001863	  0.014259	     -1.00	    627.74	    395.76	      3.26	      2.76	     57.01	     48.23	18.68	 1.935e-04	      2.10	0	Gaussian	327.610713	41.062936
12	1	  0.001888	  0.014091	     -1.00	    400.55	    402.83	      3.18	      2.72	     55.73	     47.65	21.34	 2.016e-04	      2.15	0	Gaussian	328.913817	40.824071
13	1	  0.001890	  0.013885	     -1.00	    686.10	    371.30	      3.22	      2.72	     56.39	     47.68	18.58	 2.050e-04	      2.15	0	Gaussian	327.299177	41.224563
14	1	  0.001862	  0.012008	     -1.00	     30.86	    605.62	      3.28	      2.78	     57.39	     48.68	16.46	 1.880e-04	      2.26	0	Gaussian	330.727276	39.564150
15	1	  0.001880	  0.012545	     -1.00	    414.13	     59.15	      3.17	      2.70	     55.49	     47.31	24.29	 1.781e-04	      2.29	0	Gaussian	329.280016	42.374571
16	1	  0.001846	  0.011757	     -1.00	    678.15	    292.03	      3.27	      2.79	     57.31	     48.81	19.52	 1.572e-04	      2.29	0	Gaussian	327.439375	41.575620
17	1	  0.001896	  0.011639	     -1.00	    667.09	    224.63	      3.21	      2.75	     56.25	     48.21	13.38	 2.183e-04	      2.33	0	Gaussian	327.585036	41.869990
18	1	  0.001859	  0.010506	     -1.00	    673.86	    411.94	      3.05	      2.95	     53.36	     51.64	28.31	 1.622e-04	      2.42	0	Gaussian	327.323045	41.030302
19	1	  0.001884	  0.010781	     -1.00	    352.41	    252.47	      3.17	      2.67	     55.52	     46.65	18.61	 1.635e-04	      2.46	0	Gaussian	329.384094	41.450405
20	1	  0.002072	  0.011262	     -1.00	    492.51	    649.37	      3.10	      2.58	     54.28	     45.20	13.92	 6.766e-04	      2.48	0	Gaussian	328.085638	39.801721
21	1	  0.001893	  0.009920	     -1.00	    595.66	    259.22	      3.24	      2.73	     56.76	     47.84	18.72	 1.521e-04	      2.50	0	Gaussian	327.962666	41.649466
22	1	  0.001851	  0.010159	     -1.00	    397.22	    600.48	      3.22	      2.68	     56.34	     46.94	15.39	 1.516e-04	      2.51	0	Gaussian	328.685519	39.935789
23	1	  0.001903	  0.008817	     -1.00	    307.78	    128.14	      3.16	      3.07	     55.34	     53.70	62.57	 2.282e-04	      2.53	0	Gaussian	329.806769	41.960811
24	1	  0.001963	  0.010154	     -1.00	     35.35	     63.08	      3.08	      2.73	     53.83	     47.79	33.16	 4.426e-04	      2.54	0	Gaussian	331.460922	41.965156
25	1	  0.001926	  0.010092	     -1.00	     60.94	    693.33	      3.17	      2.66	     55.40	     46.49	14.30	 2.116e-04	      2.54	0	Gaussian	330.444075	39.205522
26	1	  0.001857	  0.008879	     -1.00	     26.55	    635.22	      3.32	      2.80	     58.12	     48.94	18.49	 1.439e-04	      2.57	0	Gaussian	330.711114	39.428944
