# 928 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.001531	  0.171135	     -1.00	    545.14	    617.10	      2.65	      2.52	     46.30	     44.06	-0.81	 8.828e-04	     -0.28	0	Gaussian	305.520461	45.794858
2	1	  0.001744	  0.173072	     -1.00	    103.33	    444.49	      2.52	      2.43	     44.15	     42.58	-1.49	 1.353e-03	     -0.20	0	Gaussian	308.476635	46.693425
3	1	  0.001601	  0.084304	     -1.00	    658.48	    496.99	      2.65	      2.56	     46.39	     44.82	-9.48	 6.703e-04	      0.47	0	Gaussian	304.704579	46.321645
4	1	  0.001455	  0.082780	     -1.00	    610.90	    390.06	      2.62	      2.62	     45.87	     45.87	39.44	 5.391e-04	      0.48	0	Gaussian	304.980968	46.836906
5	1	  0.001486	  0.078470	     -1.00	    251.39	    602.82	      2.57	      2.48	     45.01	     43.38	2.48	 4.717e-04	      0.62	0	Gaussian	307.498698	45.929301
6	1	  0.001555	  0.054724	     -1.00	    148.71	    117.54	      2.56	      2.50	     44.80	     43.73	4.19	 5.363e-04	      1.00	0	Gaussian	308.103995	48.216368
7	1	  0.001351	  0.035748	     -1.00	    297.00	    646.03	      2.58	      2.58	     45.16	     45.16	-54.20	 1.984e-04	      1.42	0	Gaussian	307.201211	45.718170
8	1	  0.001458	  0.028909	     -1.00	    228.72	     23.58	      2.60	      2.53	     45.53	     44.30	11.49	 2.874e-04	      1.67	0	Gaussian	307.518215	48.641338
9	1	  0.001493	  0.030843	     -1.00	    284.40	    242.43	      2.53	      2.44	     44.30	     42.70	0.06	 6.222e-04	      1.67	0	Gaussian	307.182652	47.611011
10	1	  0.001376	  0.028847	     -1.00	    658.28	    449.61	      2.61	      2.48	     45.60	     43.48	-3.54	 2.377e-04	      1.69	0	Gaussian	304.684373	46.543113
11	1	  0.001393	  0.029032	     -1.00	    102.60	    503.70	      2.55	      2.49	     44.67	     43.52	-3.22	 3.044e-04	      1.70	0	Gaussian	308.490895	46.415814
12	1	  0.001549	  0.024949	     -1.00	    380.40	    161.47	      2.54	      2.52	     44.48	     44.04	17.72	 6.776e-04	      1.86	0	Gaussian	306.488926	47.968002
13	1	  0.001497	  0.019500	     -1.00	    605.09	    161.31	      3.15	      2.58	     55.10	     45.09	30.84	 7.345e-04	      1.86	0	Gaussian	304.919881	47.904904
14	1	  0.001624	  0.024502	     -1.00	     68.47	    412.42	      2.53	      2.40	     44.37	     42.02	13.94	 1.206e-03	      1.93	0	Gaussian	308.711355	46.847476
15	1	  0.001355	  0.021709	     -1.00	    341.34	    173.08	      2.59	      2.56	     45.33	     44.74	22.74	 1.655e-04	      1.97	0	Gaussian	306.765727	47.922831
16	1	  0.001349	  0.022018	     -1.00	    125.47	    343.16	      2.58	      2.51	     45.19	     43.87	12.21	 1.515e-04	      1.98	0	Gaussian	308.307340	47.165446
