# 892 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.001581	  0.097221	     -1.00	    205.88	     26.29	      2.99	      2.72	     52.29	     47.52	-10.40	 1.200e-03	      0.12	0	Gaussian	318.359259	36.631211
2	1	  0.001545	  0.067151	     -1.00	    302.05	    105.70	      2.92	      2.84	     51.11	     49.65	-19.69	 8.091e-04	      0.50	0	Gaussian	317.764662	36.297599
3	1	  0.001523	  0.050696	     -1.00	    213.41	    207.21	      3.04	      2.79	     53.17	     48.79	-14.46	 7.168e-04	      0.78	0	Gaussian	318.221024	35.795339
4	1	  0.001426	  0.030481	     -1.00	    155.97	    659.28	      3.10	      2.88	     54.21	     50.48	-24.84	 4.692e-04	      1.28	0	Gaussian	318.311541	33.691059
5	1	  0.001374	  0.029746	     -1.00	    552.55	    309.69	      3.01	      2.83	     52.69	     49.48	-39.69	 4.021e-04	      1.36	0	Gaussian	316.239436	35.427635
6	1	  0.001424	  0.028352	     -1.00	     60.34	     81.20	      3.08	      2.77	     53.96	     48.43	-10.76	 4.179e-04	      1.41	0	Gaussian	319.164524	36.318857
7	1	  0.001971	  0.027818	     -1.00	    120.03	    525.60	      3.00	      2.79	     52.51	     48.78	-13.75	 1.766e-03	      1.45	0	Gaussian	318.580376	34.292129
8	1	  0.001396	  0.025253	     -1.00	    453.03	    584.08	      3.15	      2.91	     55.15	     50.94	-41.53	 3.480e-04	      1.45	0	Gaussian	316.693277	34.130158
9	1	  0.001363	  0.020566	     -1.00	    192.30	    272.11	      3.13	      2.85	     54.81	     49.89	-18.15	 2.950e-04	      1.70	0	Gaussian	318.307349	35.487364
10	1	  0.001358	  0.019997	     -1.00	    126.82	    422.14	      3.13	      2.87	     54.77	     50.16	-22.66	 3.048e-04	      1.73	0	Gaussian	318.597479	34.770757
11	1	  0.001402	  0.020462	     -1.00	    249.15	    242.95	      3.00	      2.91	     52.44	     50.85	-35.33	 3.002e-04	      1.73	0	Gaussian	317.999185	35.642696
12	1	  0.001459	  0.017467	     -1.00	    647.67	    679.94	      3.14	      2.96	     55.01	     51.85	-71.99	 4.383e-04	      1.83	0	Gaussian	315.569439	33.736922
