# 804 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.001618	  0.060232	     -1.00	     45.27	    610.87	      2.90	      2.86	     50.81	     50.05	3.69	 7.329e-04	      0.62	0	Gaussian	293.401902	38.762061
2	1	  0.001572	  0.052689	     -1.00	    587.08	    139.25	      2.79	      2.73	     48.91	     47.85	5.43	 7.329e-04	      0.85	0	Gaussian	289.742512	40.360224
3	1	  0.001569	  0.050649	     -1.00	    547.51	    246.35	      2.77	      2.75	     48.45	     48.14	-10.87	 7.014e-04	      0.90	0	Gaussian	290.113247	39.925898
4	1	  0.001525	  0.045486	     -1.00	    201.94	    318.48	      2.83	      2.71	     49.53	     47.40	-1.63	 5.927e-04	      1.01	0	Gaussian	292.160542	39.940632
5	1	  0.001496	  0.040670	     -1.00	    423.03	    349.59	      2.84	      2.76	     49.77	     48.39	-5.68	 5.444e-04	      1.10	0	Gaussian	290.949713	39.590590
6	1	  0.001442	  0.031083	     -1.00	    280.84	    297.36	      2.86	      2.74	     50.08	     48.02	-4.08	 4.290e-04	      1.39	0	Gaussian	291.684671	39.961326
7	1	  0.001443	  0.029100	     -1.00	    564.20	    165.66	      2.78	      2.73	     48.60	     47.78	-23.33	 3.850e-04	      1.51	0	Gaussian	289.907946	40.266952
8	1	  0.001443	  0.026232	     -1.00	    426.43	    433.85	      2.80	      2.78	     48.98	     48.63	-54.69	 3.582e-04	      1.59	0	Gaussian	291.041159	39.211284
9	1	  0.001478	  0.022562	     -1.00	    161.02	    668.97	      2.93	      2.83	     51.36	     49.61	1.40	 3.181e-04	      1.68	0	Gaussian	292.817877	38.400614
10	1	  0.001518	  0.021663	     -1.00	     34.58	    413.62	      2.86	      2.71	     50.14	     47.51	-1.18	 4.600e-04	      1.80	0	Gaussian	293.233048	39.662616
11	1	  0.001362	  0.019036	     -1.00	    503.27	    355.00	      2.87	      2.87	     50.25	     50.19	19.80	 2.475e-04	      1.88	0	Gaussian	290.508041	39.487399
12	1	  0.001379	  0.018155	     -1.00	    490.13	    666.30	      2.93	      2.83	     51.36	     49.62	-5.26	 2.613e-04	      1.91	0	Gaussian	290.989725	38.114264
13	1	  0.001387	  0.017954	     -1.00	    256.19	     26.87	      2.90	      2.86	     50.78	     50.13	42.62	 2.392e-04	      1.93	0	Gaussian	291.474465	41.197754
14	1	  0.001412	  0.020042	     -1.00	    645.55	    372.41	      2.75	      2.66	     48.13	     46.53	-12.96	 2.975e-04	      1.95	0	Gaussian	289.742398	39.266590
15	1	  0.001405	  0.018967	     -1.00	    365.41	     94.42	      2.83	      2.71	     49.59	     47.37	-3.21	 2.900e-04	      1.96	0	Gaussian	290.936433	40.786996
16	1	  0.001389	  0.017567	     -1.00	    412.83	    300.69	      2.90	      2.78	     50.79	     48.62	1.03	 2.488e-04	      1.99	0	Gaussian	290.942460	39.818853
