# 480 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002801	  0.362273	     -1.00	    462.84	    328.42	      2.67	      2.62	     46.78	     45.80	-10.21	 3.851e-03	     -1.15	0	Gaussian	298.905011	52.437698
2	1	  0.001776	  0.121319	     -1.00	    353.59	    430.69	      2.63	      2.55	     45.98	     44.69	30.87	 1.361e-03	      0.09	0	Gaussian	299.812003	52.054882
3	1	  0.001588	  0.108787	     -1.00	    164.20	    504.54	      2.65	      2.51	     46.34	     43.92	27.40	 1.032e-03	      0.22	0	Gaussian	301.275959	51.839177
4	1	  0.001618	  0.091683	     -1.00	    470.13	    668.73	      2.67	      2.63	     46.70	     46.11	69.74	 9.641e-04	      0.34	0	Gaussian	299.185700	50.902035
5	1	  0.001476	  0.049074	     -1.00	    206.41	    620.94	      2.65	      2.56	     46.38	     44.86	54.91	 4.418e-04	      1.05	0	Gaussian	301.058634	51.287418
6	1	  0.000684	  0.000958	     -1.00	    625.07	    225.41	     22.69	     17.29	    397.21	    302.62	-5.48	 3.528e-04	      1.29	0	Gaussian	297.593354	52.772645
7	1	  0.001474	  0.038566	     -1.00	    329.75	    413.27	      2.63	      2.57	     46.08	     45.02	30.79	 4.491e-04	      1.32	0	Gaussian	299.972290	52.149008
8	1	  0.001480	  0.037012	     -1.00	    583.25	    343.38	      2.64	      2.64	     46.29	     46.20	36.68	 4.526e-04	      1.33	0	Gaussian	298.031943	52.280441
9	1	  0.001352	  0.026156	     -1.00	    534.37	    676.92	      2.66	      2.66	     46.63	     46.57	27.41	 2.718e-04	      1.69	0	Gaussian	298.731724	50.819422
10	1	  0.001374	  0.024058	     -1.00	    209.04	    335.60	      2.69	      2.53	     47.06	     44.27	29.94	 2.529e-04	      1.83	0	Gaussian	300.803092	52.574588
11	1	  0.001380	  0.023136	     -1.00	    180.75	    560.13	      2.69	      2.61	     47.06	     45.60	53.91	 3.057e-04	      1.84	0	Gaussian	301.198160	51.577977
12	1	  0.001506	  0.024208	     -1.00	    655.16	    693.54	      2.61	      2.56	     45.66	     44.87	2.58	 3.764e-04	      1.84	0	Gaussian	297.885153	50.654140
13	1	  0.001376	  0.022892	     -1.00	    223.11	    519.30	      2.72	      2.58	     47.60	     45.24	25.03	 2.217e-04	      1.85	0	Gaussian	300.852769	51.737852
14	1	  0.001364	  0.021899	     -1.00	     22.34	    557.89	      2.64	      2.62	     46.29	     45.89	-59.47	 2.320e-04	      1.91	0	Gaussian	302.366420	51.673920
15	1	  0.001356	  0.020383	     -1.00	    426.67	    587.68	      2.68	      2.63	     46.93	     46.05	19.75	 2.136e-04	      1.97	0	Gaussian	299.423171	51.298142
16	1	  0.001416	  0.019923	     -1.00	    651.03	    667.92	      2.67	      2.65	     46.79	     46.44	61.32	 3.065e-04	      1.99	0	Gaussian	297.887565	50.772731
17	1	  0.001359	  0.019937	     -1.00	    593.56	    405.63	      2.62	      2.58	     45.90	     45.20	9.83	 2.224e-04	      2.04	0	Gaussian	298.023262	51.994303
18	1	  0.001339	  0.017887	     -1.00	    564.72	    597.78	      2.68	      2.59	     46.91	     45.40	46.44	 1.706e-04	      2.13	0	Gaussian	298.433814	51.153979
19	1	  0.001366	  0.017547	     -1.00	      9.74	    426.38	      2.61	      2.51	     45.77	     43.91	13.41	 1.916e-04	      2.21	0	Gaussian	302.367454	52.276364
20	1	  0.001562	  0.015386	     -1.00	      8.38	    628.87	      2.55	      2.51	     44.66	     43.87	67.41	 5.236e-04	      2.38	0	Gaussian	302.518757	51.358204
21	1	  0.001328	  0.012290	     -1.00	     65.64	    540.28	      2.61	      2.61	     45.73	     45.71	7.93	 1.349e-04	      2.55	0	Gaussian	302.033035	51.731524
22	1	  0.001346	  0.011844	     -1.00	    194.92	    516.85	      2.71	      2.62	     47.49	     45.94	28.01	 1.250e-04	      2.55	0	Gaussian	301.058816	51.765636
23	1	  0.001353	  0.013212	     -1.00	    329.27	    384.52	      2.57	      2.49	     44.98	     43.51	14.39	 1.785e-04	      2.55	0	Gaussian	299.949615	52.278540
24	1	  0.001354	  0.010929	     -1.00	    605.41	    618.46	      2.63	      2.61	     45.96	     45.68	-3.56	 1.482e-04	      2.67	0	Gaussian	298.162317	51.030340
25	1	  0.001287	  0.003623	     -1.00	    624.31	    408.58	      6.90	      2.97	    120.79	     52.05	-2.60	 2.915e-04	      2.68	0	Gaussian	297.801893	51.957106
26	1	  0.001309	  0.010577	     -1.00	    584.70	    615.06	      2.65	      2.64	     46.33	     46.22	-45.69	 9.977e-05	      2.68	0	Gaussian	298.307612	51.061264
27	1	  0.001343	  0.009745	     -1.00	    162.89	    683.12	      2.73	      2.71	     47.85	     47.48	-28.13	 1.581e-04	      2.71	0	Gaussian	301.425588	51.029879
28	1	  0.001353	  0.010394	     -1.00	    156.07	    406.14	      2.67	      2.55	     46.67	     44.61	37.57	 1.607e-04	      2.75	0	Gaussian	301.257618	52.288349
29	1	  0.001311	  0.010927	     -1.00	    661.32	    216.37	      2.53	      2.44	     44.23	     42.67	29.96	 2.593e-04	      2.80	0	Gaussian	297.314815	52.783230
30	1	  0.001448	  0.009535	     -1.00	    359.91	    442.12	      2.68	      2.58	     46.97	     45.24	42.38	 6.546e-04	      2.81	0	Gaussian	299.775918	51.999237
31	1	  0.001570	  0.009579	     -1.00	     18.29	    634.48	      2.64	      2.59	     46.21	     45.28	88.23	 8.311e-04	      2.82	0	Gaussian	302.449571	51.327751
32	1	  0.001327	  0.009065	     -1.00	    248.97	    410.90	      2.68	      2.64	     46.95	     46.23	-3.25	 1.084e-04	      2.84	0	Gaussian	300.569539	52.211245
33	1	  0.001316	  0.010474	     -1.00	    291.79	    284.48	      2.54	      2.34	     44.48	     41.04	30.20	 1.235e-04	      2.88	0	Gaussian	300.137863	52.752028
34	1	  0.001361	  0.005935	     -1.00	    364.09	    551.34	      3.38	      2.85	     59.22	     49.90	39.70	 2.168e-04	      2.96	0	Gaussian	299.845574	51.504244
35	1	  0.001331	  0.008287	     -1.00	    517.51	    644.23	      2.60	      2.60	     45.52	     45.50	15.52	 1.051e-04	      2.99	0	Gaussian	298.820663	50.979144
36	1	  0.001361	  0.007763	     -1.00	    158.92	    367.15	      2.69	      2.66	     47.09	     46.63	21.95	 2.213e-04	      3.00	0	Gaussian	301.204765	52.462422
37	1	  0.001328	  0.007401	     -1.00	     59.72	    647.04	      2.75	      2.72	     48.18	     47.62	61.27	 1.085e-04	      3.01	0	Gaussian	302.153787	51.249560
38	1	  0.001334	  0.008366	     -1.00	    109.53	    621.50	      2.55	      2.54	     44.65	     44.44	46.26	 1.470e-04	      3.02	0	Gaussian	301.769321	51.339362
39	1	  0.001352	  0.007102	     -1.00	    569.58	    341.67	      2.69	      2.63	     47.14	     46.05	16.90	 1.254e-04	      3.11	0	Gaussian	298.130651	52.298686
40	1	  0.001307	  0.007218	     -1.00	    520.36	    451.38	      2.66	      2.59	     46.53	     45.37	24.85	 8.862e-05	      3.13	0	Gaussian	298.606443	51.844813
41	1	  0.000789	  0.003427	     -1.00	    577.49	    223.45	      4.07	      3.48	     71.26	     60.92	-17.55	 6.019e-04	      3.14	0	Gaussian	297.944041	52.819280
42	1	  0.001378	  0.007104	     -1.00	    215.56	    530.98	      2.63	      2.63	     46.02	     46.01	48.03	 2.896e-04	      3.15	0	Gaussian	300.918056	51.689540
43	1	  0.001299	  0.006079	     -1.00	    185.94	    301.55	      2.82	      2.80	     49.35	     49.08	-29.56	 1.437e-04	      3.15	0	Gaussian	300.947704	52.741564
44	1	  0.000757	  0.004513	     -1.00	    386.43	    252.56	      3.53	      2.98	     61.77	     52.20	1.22	 6.222e-04	      3.16	0	Gaussian	299.398792	52.831149
45	1	  0.001402	  0.006907	     -1.00	    209.84	    572.69	      2.64	      2.58	     46.29	     45.09	22.68	 3.314e-04	      3.18	0	Gaussian	300.994372	51.504114
46	1	  0.001329	  0.006884	     -1.00	    417.41	    650.37	      2.58	      2.58	     45.15	     45.09	4.93	 1.103e-04	      3.20	0	Gaussian	299.548962	51.021193
47	1	  0.001329	  0.001387	     -1.00	    310.08	    512.80	      5.74	      5.74	    100.48	    100.48	20.12	 3.109e-04	      3.21	0	Gaussian	300.206876	51.713298
48	1	  0.001139	  0.006664	     -1.00	    467.46	    244.21	      2.67	      2.57	     46.73	     44.98	42.70	 4.594e-04	      3.22	0	Gaussian	298.785072	52.810441
49	1	  0.001323	  0.006419	     -1.00	    280.08	    433.97	      2.64	      2.63	     46.19	     46.02	80.28	 1.091e-04	      3.22	0	Gaussian	300.358749	52.087837
50	1	  0.001311	  0.005917	     -1.00	    481.73	    690.68	      2.78	      2.71	     48.70	     47.49	3.70	 1.104e-04	      3.25	0	Gaussian	299.123186	50.794660
51	1	  0.001336	  0.005897	     -1.00	    667.49	    438.02	      2.72	      2.72	     47.56	     47.56	4.34	 1.330e-04	      3.29	0	Gaussian	297.519923	51.791158
52	1	  0.001396	  0.005881	     -1.00	    305.54	    479.83	      2.71	      2.64	     47.37	     46.29	-29.80	 3.127e-04	      3.31	0	Gaussian	300.211056	51.864937
53	1	  0.001308	  0.004982	     -1.00	    378.11	    416.00	      3.14	      2.62	     54.93	     45.87	1.63	 9.761e-05	      3.31	0	Gaussian	299.617202	52.104423
54	1	  0.001298	  0.006040	     -1.00	    311.64	    460.25	      2.64	      2.62	     46.16	     45.84	13.23	 7.554e-05	      3.32	0	Gaussian	300.148661	51.949282
55	1	  0.001317	  0.005436	     -1.00	    452.57	    255.97	      2.80	      2.73	     49.02	     47.77	38.56	 1.079e-04	      3.32	0	Gaussian	298.908075	52.768878
56	1	  0.001314	  0.005694	     -1.00	      6.15	    546.92	      2.71	      2.60	     47.50	     45.49	-80.55	 9.085e-05	      3.35	0	Gaussian	302.478772	51.731870
57	1	  0.001293	  0.001516	     -1.00	    138.60	    380.88	     10.04	      2.69	    175.71	     47.15	38.15	 1.632e-04	      3.35	0	Gaussian	301.367960	52.412281
58	1	  0.001290	  0.005493	     -1.00	    344.69	    518.17	      2.67	      2.66	     46.67	     46.61	11.13	 6.251e-05	      3.38	0	Gaussian	299.957502	51.666663
59	1	  0.001307	  0.004971	     -1.00	    500.68	    339.03	      2.84	      2.72	     49.68	     47.68	56.69	 1.401e-04	      3.38	0	Gaussian	298.635904	52.362522
60	1	  0.001324	  0.005650	     -1.00	    355.17	    376.21	      2.67	      2.60	     46.75	     45.44	28.64	 1.107e-04	      3.39	0	Gaussian	299.749692	52.298625
61	1	  0.001322	  0.005435	     -1.00	    152.18	    581.41	      2.74	      2.62	     47.96	     45.85	25.18	 9.533e-05	      3.40	0	Gaussian	301.425228	51.497847
62	1	  0.001303	  0.004917	     -1.00	    689.05	    318.16	      2.85	      2.74	     49.80	     48.02	-52.29	 8.519e-05	      3.40	0	Gaussian	297.227553	52.308120
63	1	  0.001301	  0.002277	     -1.00	    351.73	    357.09	      5.63	      3.01	     98.51	     52.62	75.55	 1.356e-04	      3.40	0	Gaussian	299.757375	52.386782
64	1	  0.000914	  0.001358	     -1.00	    176.60	    288.22	      5.29	      5.22	     92.59	     91.39	-21.75	 7.693e-04	      3.41	0	Gaussian	301.006857	52.807022
65	1	  0.001300	  0.005215	     -1.00	    416.24	    635.77	      2.68	      2.66	     46.82	     46.61	-0.56	 6.300e-05	      3.44	0	Gaussian	299.543903	51.087985
66	1	  0.001319	  0.005066	     -1.00	    401.75	    561.47	      2.67	      2.65	     46.78	     46.44	-6.10	 8.331e-05	      3.47	0	Gaussian	299.579981	51.433385
67	1	  0.001313	  0.004753	     -1.00	    129.21	    471.95	      2.74	      2.74	     47.91	     47.91	27.18	 8.529e-05	      3.50	0	Gaussian	301.509821	52.006392
68	1	  0.001279	  0.004772	     -1.00	    167.05	    464.10	      2.75	      2.66	     48.20	     46.54	33.71	 6.060e-05	      3.52	0	Gaussian	301.222460	52.020341
69	1	  0.001371	  0.004743	     -1.00	    553.32	    586.94	      2.75	      2.58	     48.11	     45.21	-47.53	 2.122e-04	      3.52	0	Gaussian	298.505015	51.211238
70	1	  0.001329	  0.004095	     -1.00	    365.46	    270.48	      3.15	      2.63	     55.13	     46.03	-18.68	 1.424e-04	      3.53	0	Gaussian	299.573046	52.765508
71	1	  0.001376	  0.004980	     -1.00	     18.01	    614.90	      2.59	      2.57	     45.37	     45.04	56.99	 3.253e-04	      3.56	0	Gaussian	302.438126	51.416990
72	1	  0.001297	  0.004360	     -1.00	    614.57	    269.41	      2.80	      2.70	     49.10	     47.18	-14.73	 6.940e-05	      3.57	0	Gaussian	297.720213	52.585453
73	1	  0.000997	  0.003714	     -1.00	      6.14	    311.45	      3.10	      2.77	     54.25	     48.55	23.60	 5.250e-04	      3.61	0	Gaussian	302.312259	52.797138
74	1	  0.001313	  0.004280	     -1.00	    138.80	    509.57	      2.76	      2.68	     48.28	     46.93	23.11	 1.036e-04	      3.62	0	Gaussian	301.467956	51.830854
75	1	  0.001316	  0.004145	     -1.00	    492.07	    534.24	      2.74	      2.70	     47.93	     47.19	22.40	 9.809e-05	      3.66	0	Gaussian	298.896057	51.493109
76	1	  0.001294	  0.004087	     -1.00	    676.94	    550.07	      2.73	      2.70	     47.82	     47.21	-62.33	 5.533e-05	      3.66	0	Gaussian	297.575064	51.281964
77	1	  0.001350	  0.004231	     -1.00	    378.55	    280.28	      2.80	      2.52	     49.02	     44.13	8.67	 1.243e-04	      3.67	0	Gaussian	299.484630	52.712650
78	1	  0.001327	  0.004040	     -1.00	    117.34	    564.32	      2.75	      2.71	     48.08	     47.44	-31.73	 1.269e-04	      3.68	0	Gaussian	301.668765	51.594709
79	1	  0.001322	  0.002898	     -1.00	    331.26	    669.48	      3.50	      2.97	     61.29	     51.92	80.71	 1.412e-04	      3.68	0	Gaussian	300.190022	50.991132
80	1	  0.001306	  0.003810	     -1.00	    420.93	    327.13	      2.71	      2.69	     47.50	     47.10	79.47	 8.814e-05	      3.72	0	Gaussian	299.214583	52.473430
81	1	  0.001312	  0.003524	     -1.00	    668.36	    382.80	      2.88	      2.83	     50.37	     49.54	27.39	 1.842e-04	      3.73	0	Gaussian	297.451961	52.037013
82	1	  0.001303	  0.003465	     -1.00	    529.28	    303.24	      2.83	      2.82	     49.48	     49.39	-39.09	 1.434e-04	      3.76	0	Gaussian	298.387191	52.501007
83	1	  0.001291	  0.003768	     -1.00	    270.66	    513.19	      2.72	      2.70	     47.68	     47.22	-31.29	 4.982e-05	      3.77	0	Gaussian	300.497241	51.736389
84	1	  0.001293	  0.003042	     -1.00	    377.67	    503.27	      3.26	      2.73	     57.06	     47.70	28.49	 6.835e-05	      3.79	0	Gaussian	299.701949	51.712032
85	1	  0.001297	  0.003798	     -1.00	    257.87	    316.91	      2.70	      2.62	     47.34	     45.80	29.31	 7.947e-05	      3.80	0	Gaussian	300.421071	52.628318
86	1	  0.001324	  0.002867	     -1.00	    535.12	    383.34	      3.32	      2.77	     58.05	     48.50	21.86	 1.440e-04	      3.81	0	Gaussian	298.428059	52.138620
87	1	  0.001291	  0.003292	     -1.00	    139.66	    571.48	      2.77	      2.76	     48.42	     48.38	3.75	 6.461e-05	      3.83	0	Gaussian	301.509696	51.549871
88	1	  0.001354	  0.003299	     -1.00	    417.21	    516.35	      2.89	      2.65	     50.65	     46.31	22.02	 1.754e-04	      3.83	0	Gaussian	299.424680	51.626265
