# 555 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	 -0.000418	  0.002099	     -1.00	    618.19	    597.20	     59.40	     29.80	   1039.62	    521.67	7.72	 3.260e-04	     -0.54	0	Gaussian	297.335160	27.892525
2	1	 -0.001009	  0.002636	     -1.00	    555.23	    588.74	    103.19	     26.44	   1806.06	    462.73	5.37	 3.054e-04	     -0.22	0	Gaussian	297.642938	27.959812
3	1	 -0.000230	  0.002010	     -1.00	    608.67	    600.51	     33.21	     17.30	    581.25	    302.84	10.24	 3.560e-04	      0.54	0	Gaussian	297.385149	27.882801
4	1	  0.001850	  0.061943	     -1.00	    571.40	    476.55	      3.11	      2.39	     54.45	     41.76	-38.29	 1.198e-03	      0.71	0	Gaussian	297.476228	28.441565
5	1	  0.001721	  0.055691	     -1.00	    264.03	    112.69	      2.93	      2.64	     51.27	     46.22	-52.73	 9.400e-04	      0.78	0	Gaussian	298.776068	30.195706
6	1	  0.001546	  0.042137	     -1.00	    199.24	    457.88	      3.01	      2.55	     52.75	     44.60	-35.59	 6.631e-04	      1.09	0	Gaussian	299.347490	28.695320
7	1	  0.001692	  0.045633	     -1.00	    462.76	    531.49	      2.75	      2.21	     48.05	     38.64	-37.16	 8.010e-04	      1.26	0	Gaussian	298.063981	28.253554
8	1	  0.001740	  0.036190	     -1.00	    596.97	    254.43	      3.01	      2.44	     52.62	     42.78	-34.67	 8.956e-04	      1.30	0	Gaussian	297.172767	29.402746
9	1	  0.001339	  0.032107	     -1.00	    418.57	    571.13	      2.65	      2.65	     46.39	     46.37	84.63	 1.082e-03	      1.48	0	Gaussian	298.315160	28.100640
10	1	  0.001477	  0.028592	     -1.00	    169.16	    419.97	      2.96	      2.57	     51.82	     44.94	-35.20	 5.055e-04	      1.52	0	Gaussian	299.476020	28.875516
11	1	  0.001488	  0.026731	     -1.00	    410.58	    368.51	      3.05	      2.50	     53.32	     43.80	-35.01	 4.252e-04	      1.59	0	Gaussian	298.208166	28.993484
12	1	  0.001448	  0.024514	     -1.00	     27.44	    197.94	      2.99	      2.53	     52.27	     44.24	-33.09	 3.619e-04	      1.70	0	Gaussian	300.063620	29.921413
13	1	  0.001924	  0.023866	     -1.00	    595.45	    442.05	      2.62	      2.61	     45.84	     45.62	-29.53	 1.498e-03	      1.83	0	Gaussian	297.328497	28.580485
14	1	  0.001420	  0.019229	     -1.00	    142.69	    396.76	      3.01	      2.59	     52.77	     45.34	-37.12	 3.085e-04	      1.92	0	Gaussian	299.596344	28.989428
15	1	  0.001419	  0.017728	     -1.00	     27.22	    220.16	      3.19	      2.48	     55.79	     43.47	-35.73	 3.225e-04	      2.00	0	Gaussian	300.078880	29.822408
16	1	  0.001434	  0.016888	     -1.00	    262.34	    266.02	      2.87	      2.65	     50.18	     46.34	-80.45	 3.184e-04	      2.09	0	Gaussian	298.893177	29.515473
17	1	  0.001395	  0.017831	     -1.00	    155.14	    480.84	      2.64	      2.64	     46.29	     46.29	19.03	 3.631e-04	      2.12	0	Gaussian	299.587581	28.612780
18	1	  0.001445	  0.015845	     -1.00	    105.21	    185.87	      2.77	      2.77	     48.50	     48.50	74.22	 3.079e-04	      2.15	0	Gaussian	299.651243	29.941945
19	1	  0.001388	  0.015329	     -1.00	    174.25	    204.94	      2.75	      2.74	     48.12	     47.92	-63.69	 2.837e-04	      2.21	0	Gaussian	299.305782	29.826551
20	1	  0.001674	  0.015946	     -1.00	      5.78	    222.25	      2.77	      2.51	     48.48	     43.97	-52.91	 4.350e-04	      2.25	0	Gaussian	300.191743	29.822003
21	1	  0.001402	  0.015650	     -1.00	    259.58	    159.48	      2.91	      2.43	     50.95	     42.53	-34.54	 2.251e-04	      2.25	0	Gaussian	298.832358	29.989638
22	1	  0.001377	  0.013811	     -1.00	    203.10	    268.78	      3.04	      2.48	     53.28	     43.40	-35.02	 1.987e-04	      2.32	0	Gaussian	299.200158	29.530071
23	1	  0.001401	  0.013952	     -1.00	    538.65	    156.90	      2.85	      2.53	     49.82	     44.25	-8.23	 2.434e-04	      2.36	0	Gaussian	297.392944	29.863110
24	1	  0.001348	  0.012649	     -1.00	    557.79	    265.22	      2.97	      2.56	     52.01	     44.79	-27.12	 1.743e-04	      2.41	0	Gaussian	297.380585	29.375488
25	1	  0.001418	  0.013287	     -1.00	    563.22	    149.42	      2.96	      2.43	     51.82	     42.49	-23.57	 2.745e-04	      2.41	0	Gaussian	297.261186	29.883343
26	1	  0.001494	  0.012177	     -1.00	    659.90	    492.77	      3.12	      2.49	     54.67	     43.50	-33.58	 2.438e-04	      2.42	0	Gaussian	297.045062	28.326544
