# 746 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.001721	  0.061443	     -1.00	    656.69	    575.52	      3.12	      2.60	     54.65	     45.53	16.86	 9.010e-04	      0.62	0	Gaussian	327.416701	41.148568
2	1	  0.001455	  0.031847	     -1.00	    177.35	    385.77	      3.11	      2.67	     54.47	     46.81	23.95	 4.500e-04	      1.31	0	Gaussian	330.427763	41.539069
3	1	  0.001421	  0.028528	     -1.00	    201.71	    103.78	      3.11	      2.72	     54.42	     47.60	31.20	 4.060e-04	      1.41	0	Gaussian	330.683684	42.814479
4	1	  0.001441	  0.023980	     -1.00	    406.99	     56.67	      3.10	      2.71	     54.26	     47.35	26.61	 3.556e-04	      1.61	0	Gaussian	329.545440	43.238812
5	1	  0.001416	  0.023668	     -1.00	    536.95	    450.50	      3.17	      2.64	     55.43	     46.17	16.27	 3.555e-04	      1.62	0	Gaussian	328.267303	41.603054
6	1	  0.001404	  0.020588	     -1.00	    109.38	    399.91	      3.16	      2.74	     55.32	     47.95	24.67	 2.906e-04	      1.73	0	Gaussian	330.794878	41.405886
7	1	  0.001422	  0.020086	     -1.00	    300.54	    378.62	      3.20	      2.74	     56.06	     47.89	28.58	 3.032e-04	      1.75	0	Gaussian	329.731060	41.696106
8	1	  0.001505	  0.020006	     -1.00	    293.59	    177.61	      3.06	      2.67	     53.64	     46.74	27.53	 3.479e-04	      1.83	0	Gaussian	330.045220	42.583654
9	1	  0.001361	  0.016527	     -1.00	    619.08	    303.29	      3.18	      2.70	     55.58	     47.18	24.46	 2.403e-04	      1.99	0	Gaussian	327.968384	42.341517
10	1	  0.001409	  0.016518	     -1.00	    408.71	     77.07	      3.17	      2.68	     55.51	     46.90	41.35	 2.569e-04	      1.99	0	Gaussian	329.507454	43.149643
11	1	  0.001378	  0.014785	     -1.00	    420.44	    199.26	      3.15	      2.69	     55.20	     47.13	26.15	 2.121e-04	      2.11	0	Gaussian	329.273670	42.616207
12	1	  0.001345	  0.014350	     -1.00	    620.88	    587.54	      3.22	      2.69	     56.38	     47.07	14.84	 2.058e-04	      2.12	0	Gaussian	327.610896	41.062602
13	1	  0.001392	  0.014604	     -1.00	    427.51	     66.14	      3.11	      2.68	     54.48	     46.90	17.73	 2.108e-04	      2.15	0	Gaussian	329.411037	43.217539
14	1	  0.001363	  0.014100	     -1.00	    393.70	    594.37	      3.17	      2.68	     55.49	     46.87	18.98	 2.023e-04	      2.17	0	Gaussian	328.913563	40.823317
15	1	  0.001366	  0.013448	     -1.00	    679.26	    563.14	      3.23	      2.75	     56.47	     48.10	20.67	 1.914e-04	      2.17	0	Gaussian	327.299504	41.224340
16	1	  0.001326	  0.011567	     -1.00	    671.40	    483.86	      3.27	      2.78	     57.24	     48.65	18.70	 1.563e-04	      2.31	0	Gaussian	327.439702	41.575324
17	1	  0.001370	  0.012296	     -1.00	    519.60	     96.96	      3.04	      2.77	     53.23	     48.51	40.91	 1.653e-04	      2.32	0	Gaussian	328.823014	43.172210
18	1	  0.001358	  0.011842	     -1.00	    407.64	    250.71	      3.21	      2.70	     56.22	     47.30	25.64	 1.767e-04	      2.33	0	Gaussian	329.280172	42.373666
19	1	  0.001370	  0.011482	     -1.00	    660.45	    416.47	      3.20	      2.78	     56.07	     48.61	15.95	 2.159e-04	      2.34	0	Gaussian	327.585188	41.869569
20	1	  0.001337	  0.010452	     -1.00	    666.98	    603.75	      3.27	      2.74	     57.17	     47.92	16.19	 1.391e-04	      2.44	0	Gaussian	327.323303	41.030129
21	1	  0.001357	  0.009891	     -1.00	    345.73	    443.99	      3.07	      2.97	     53.65	     51.96	16.28	 1.604e-04	      2.48	0	Gaussian	329.383789	41.449366
22	1	  0.001370	  0.009521	     -1.00	    588.96	    450.98	      3.25	      2.80	     56.83	     49.06	23.52	 1.447e-04	      2.52	0	Gaussian	327.962847	41.648978
23	1	  0.001376	  0.008256	     -1.00	    301.25	    319.59	      3.26	      3.08	     57.14	     53.84	58.08	 2.111e-04	      2.57	0	Gaussian	329.806543	41.959729
24	1	  0.001461	  0.010245	     -1.00	     28.86	    254.22	      3.08	      2.63	     53.85	     45.99	23.21	 4.669e-04	      2.57	0	Gaussian	331.460483	41.963463
25	1	  0.001562	  0.010009	     -1.00	    660.51	    587.55	      3.12	      2.60	     54.53	     45.43	16.54	 7.071e-04	      2.59	0	Gaussian	327.380152	41.097626
26	1	  0.001436	  0.009117	     -1.00	    666.70	    694.44	      3.18	      2.62	     55.69	     45.89	14.51	 2.026e-04	      2.66	0	Gaussian	327.218777	40.620266
27	1	  0.001320	  0.008377	     -1.00	    194.23	    189.81	      3.21	      2.77	     56.22	     48.48	25.55	 1.172e-04	      2.68	0	Gaussian	330.604851	42.425514
28	1	  0.001337	  0.008442	     -1.00	    595.70	    284.27	      3.23	      2.73	     56.45	     47.74	23.33	 1.346e-04	      2.69	0	Gaussian	328.130498	42.405230
29	1	  0.001350	  0.008620	     -1.00	     84.62	    477.36	      3.20	      2.68	     56.02	     46.96	19.62	 1.498e-04	      2.69	0	Gaussian	330.826562	41.037371
30	1	  0.001322	  0.007922	     -1.00	    543.12	     67.32	      3.15	      2.69	     55.12	     47.16	22.71	 1.103e-04	      2.79	0	Gaussian	328.721746	43.328145
31	1	  0.001338	  0.007554	     -1.00	    177.35	    489.54	      3.20	      2.70	     56.01	     47.27	15.43	 1.296e-04	      2.83	0	Gaussian	330.285212	41.078563
32	1	  0.001302	  0.007278	     -1.00	    578.48	    402.71	      3.27	      2.74	     57.18	     47.96	19.93	 9.883e-05	      2.83	0	Gaussian	328.083909	41.856506
33	1	  0.001624	  0.007492	     -1.00	    623.85	    235.32	      3.25	      2.57	     56.97	     44.98	13.83	 8.202e-04	      2.87	0	Gaussian	328.024995	42.651830
34	1	  0.001299	  0.006887	     -1.00	    517.58	    207.35	      3.21	      2.76	     56.15	     48.28	25.06	 9.865e-05	      2.90	0	Gaussian	328.690630	42.675773
35	1	  0.001296	  0.006120	     -1.00	    671.86	    203.19	      3.27	      2.78	     57.30	     48.66	24.12	 8.260e-05	      3.00	0	Gaussian	327.779019	42.841331
36	1	  0.001315	  0.006140	     -1.00	    516.26	    156.66	      3.24	      2.76	     56.73	     48.33	23.46	 9.237e-05	      3.01	0	Gaussian	328.764505	42.901585
37	1	  0.001320	  0.005533	     -1.00	    385.29	    522.63	      3.45	      2.86	     60.37	     50.05	5.07	 8.219e-05	      3.02	0	Gaussian	329.053774	41.136304
38	1	  0.001322	  0.006111	     -1.00	     94.50	    186.83	      3.20	      2.79	     56.03	     48.87	26.02	 9.094e-05	      3.02	0	Gaussian	331.183388	42.331950
39	1	  0.001319	  0.005602	     -1.00	    269.73	    448.44	      3.30	      2.82	     57.71	     49.44	20.22	 8.818e-05	      3.07	0	Gaussian	329.814241	41.354276
40	1	  0.001356	  0.005477	     -1.00	    165.96	    568.18	      3.32	      2.75	     58.04	     48.09	22.00	 1.237e-04	      3.12	0	Gaussian	330.242775	40.717931
41	1	  0.001308	  0.005393	     -1.00	    316.80	    138.76	      3.20	      2.82	     56.04	     49.28	26.16	 8.276e-05	      3.13	0	Gaussian	329.963431	42.780416
42	1	  0.001321	  0.005728	     -1.00	    304.06	     70.65	      3.17	      2.71	     55.44	     47.39	24.65	 8.217e-05	      3.14	0	Gaussian	330.132766	43.069879
43	1	  0.001318	  0.005343	     -1.00	    531.36	     86.22	      3.25	      2.74	     56.80	     47.88	24.93	 8.665e-05	      3.16	0	Gaussian	328.767103	43.231905
44	1	  0.001307	  0.005241	     -1.00	    327.43	    556.22	      3.27	      2.80	     57.26	     48.96	18.18	 8.467e-05	      3.16	0	Gaussian	329.341770	40.930426
45	1	  0.001360	  0.005327	     -1.00	    404.99	    584.25	      3.31	      2.71	     57.86	     47.44	16.08	 2.427e-04	      3.17	0	Gaussian	328.861747	40.879327
46	1	  0.001382	  0.005220	     -1.00	    496.28	     58.09	      3.08	      2.97	     53.96	     51.95	17.54	 1.432e-04	      3.19	0	Gaussian	329.013367	43.322890
47	1	  0.001321	  0.005634	     -1.00	    345.56	     51.50	      3.09	      2.70	     54.16	     47.34	21.91	 1.029e-04	      3.20	0	Gaussian	329.915365	43.198395
48	1	  0.001313	  0.005103	     -1.00	    551.49	     90.33	      3.15	      2.78	     55.13	     48.64	22.73	 7.699e-05	      3.26	0	Gaussian	328.641648	43.233292
49	1	  0.001299	  0.004567	     -1.00	    451.11	    355.81	      3.38	      2.78	     59.09	     48.73	22.19	 6.546e-05	      3.28	0	Gaussian	328.888371	41.946282
50	1	  0.001347	  0.004410	     -1.00	    463.23	    641.47	      3.39	      2.78	     59.38	     48.69	11.82	 9.815e-05	      3.32	0	Gaussian	328.455725	40.677174
51	1	  0.001296	  0.004001	     -1.00	    631.57	    264.76	      3.39	      2.97	     59.38	     51.98	21.75	 6.449e-05	      3.35	0	Gaussian	327.942310	42.526570
