# 886 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.002150	  0.292094	     -1.00	    340.26	     64.96	      2.85	      2.85	     49.91	     49.91	-83.63	 3.074e-03	     -1.08	1	Gaussian	298.964516	38.486294
2	1	  0.001961	  0.228699	     -1.00	    207.79	    392.90	      3.01	      2.77	     52.68	     48.52	28.53	 2.337e-03	     -0.84	0	Gaussian	299.978897	37.042434
3	1	  0.001796	  0.119509	     -1.00	    428.58	    377.05	      2.95	      2.82	     51.67	     49.39	29.08	 1.259e-03	     -0.13	0	Gaussian	298.700035	36.995248
4	1	  0.001686	  0.104397	     -1.00	    366.67	    546.48	      3.00	      2.80	     52.58	     49.03	24.56	 1.280e-03	      0.00	0	Gaussian	299.182923	36.250130
5	1	  0.001679	  0.083323	     -1.00	    555.02	    483.58	      2.91	      2.78	     51.01	     48.69	16.85	 9.641e-04	      0.29	0	Gaussian	298.067436	36.431864
6	1	  0.001501	  0.080219	     -1.00	    236.79	    159.85	      2.99	      2.77	     52.31	     48.40	20.81	 7.248e-04	      0.31	0	Gaussian	299.642113	38.105423
7	1	  0.001506	  0.079318	     -1.00	    149.20	    387.15	      2.92	      2.73	     51.19	     47.74	25.64	 7.831e-04	      0.36	0	Gaussian	300.312761	37.098742
8	1	  0.001546	  0.071196	     -1.00	    575.16	    177.27	      2.89	      2.72	     50.64	     47.66	15.79	 7.637e-04	      0.49	0	Gaussian	297.694078	37.825788
9	1	  0.001523	  0.058646	     -1.00	     79.51	    626.64	      3.02	      2.99	     52.93	     52.33	65.27	 7.627e-04	      0.55	0	Gaussian	300.870972	36.024539
10	1	  0.001786	  0.054439	     -1.00	    184.06	    493.60	      3.15	      2.80	     55.10	     49.06	40.21	 1.141e-03	      0.66	0	Gaussian	300.185435	36.589059
11	1	  0.001664	  0.060468	     -1.00	    273.01	     79.43	      2.92	      2.63	     51.11	     46.05	12.66	 7.350e-04	      0.69	0	Gaussian	299.369741	38.457807
12	1	  0.001483	  0.045942	     -1.00	     66.84	    242.00	      2.97	      2.74	     52.06	     47.91	23.32	 4.369e-04	      0.93	0	Gaussian	300.693006	37.812302
13	1	  0.001468	  0.038142	     -1.00	    650.31	    543.96	      2.94	      2.94	     51.44	     51.44	-84.95	 4.724e-04	      1.07	0	Gaussian	297.581752	36.097791
14	1	  0.001473	  0.039129	     -1.00	    212.62	    528.49	      2.94	      2.77	     51.39	     48.44	24.97	 4.527e-04	      1.11	0	Gaussian	300.046334	36.413600
15	1	  0.001441	  0.033789	     -1.00	     17.48	    136.34	      2.86	      2.85	     50.05	     49.91	55.34	 3.500e-04	      1.26	0	Gaussian	300.912722	38.327264
16	1	  0.001405	  0.030275	     -1.00	    266.44	    153.07	      2.95	      2.75	     51.72	     48.08	22.57	 2.946e-04	      1.39	0	Gaussian	299.463930	38.120549
17	1	  0.001405	  0.027776	     -1.00	    310.20	    536.27	      3.02	      2.79	     52.78	     48.86	27.80	 3.520e-04	      1.44	0	Gaussian	299.495981	36.327376
18	1	  0.001387	  0.022122	     -1.00	    393.94	    643.50	      2.99	      2.87	     52.38	     50.29	21.25	 2.575e-04	      1.66	0	Gaussian	299.101616	35.789491
19	1	  0.001349	  0.023111	     -1.00	    688.43	    183.26	      2.91	      2.77	     50.86	     48.44	15.13	 2.799e-04	      1.69	0	Gaussian	297.049395	37.724897
20	1	  0.001370	  0.023551	     -1.00	    267.39	     92.52	      2.90	      2.68	     50.84	     46.94	16.71	 2.544e-04	      1.71	0	Gaussian	299.412593	38.400319
21	1	  0.001364	  0.020969	     -1.00	    123.61	    198.88	      3.08	      2.84	     53.89	     49.66	23.62	 1.923e-04	      1.71	0	Gaussian	300.331712	37.984097
22	1	  0.001392	  0.020701	     -1.00	    539.36	    280.09	      3.03	      2.84	     53.09	     49.66	21.48	 2.424e-04	      1.74	0	Gaussian	297.987247	37.375473
23	1	  0.001350	  0.010645	     -1.00	    568.76	    436.06	      5.30	      2.93	     92.84	     51.23	39.50	 3.332e-04	      1.81	0	Gaussian	297.950314	36.641493
24	1	  0.001344	  0.018440	     -1.00	    144.94	    258.17	      3.17	      2.77	     55.50	     48.49	9.78	 2.252e-04	      1.84	0	Gaussian	300.248376	37.698302
25	1	  0.001403	  0.020360	     -1.00	     86.93	     41.24	      2.93	      2.68	     51.26	     46.92	23.71	 2.526e-04	      1.85	0	Gaussian	300.438207	38.734802
26	1	  0.001369	  0.017518	     -1.00	    371.04	    530.89	      3.04	      2.88	     53.23	     50.43	27.21	 2.193e-04	      1.90	0	Gaussian	299.146384	36.319496
27	1	  0.001407	  0.018059	     -1.00	    513.83	    540.00	      2.97	      2.84	     51.93	     49.75	22.54	 2.637e-04	      1.91	0	Gaussian	298.345753	36.197355
28	1	  0.001532	  0.016713	     -1.00	    492.20	    284.26	      2.92	      2.75	     51.19	     48.22	15.14	 5.471e-04	      2.04	0	Gaussian	298.260964	37.384941
29	1	  0.001360	  0.014402	     -1.00	     61.10	    541.78	      3.00	      3.00	     52.58	     52.56	-6.69	 2.589e-04	      2.08	0	Gaussian	300.921994	36.425479
30	1	  0.001337	  0.013883	     -1.00	    602.44	    656.69	      3.00	      2.90	     52.58	     50.78	29.97	 1.753e-04	      2.16	0	Gaussian	297.943630	35.611337
31	1	  0.001356	  0.015007	     -1.00	     25.33	    382.20	      2.98	      2.69	     52.19	     47.03	24.77	 2.032e-04	      2.17	0	Gaussian	301.026223	37.181508
32	1	  0.001348	  0.015582	     -1.00	    459.51	      9.37	      2.89	      2.68	     50.58	     46.84	14.14	 1.894e-04	      2.17	0	Gaussian	298.221615	38.671456
33	1	  0.001477	  0.014479	     -1.00	    258.61	    635.55	      2.95	      2.79	     51.66	     48.89	31.45	 4.309e-04	      2.17	0	Gaussian	299.859817	35.896810
34	1	  0.001402	  0.014484	     -1.00	    330.99	    264.91	      2.96	      2.78	     51.73	     48.75	18.00	 2.023e-04	      2.18	0	Gaussian	299.173826	37.567640
35	1	  0.001314	  0.014209	     -1.00	     18.96	    461.64	      2.93	      2.75	     51.31	     48.16	35.92	 1.586e-04	      2.22	0	Gaussian	301.113481	36.816031
36	1	  0.001373	  0.012684	     -1.00	    479.50	    489.05	      2.98	      2.91	     52.09	     50.98	12.00	 2.144e-04	      2.25	0	Gaussian	298.499061	36.451000
37	1	  0.001334	  0.013078	     -1.00	    693.03	     57.75	      3.00	      2.80	     52.53	     48.93	11.18	 1.851e-04	      2.26	0	Gaussian	296.908358	38.297329
38	1	  0.001334	  0.012537	     -1.00	    598.80	    490.84	      3.02	      2.90	     52.91	     50.71	18.42	 1.559e-04	      2.26	0	Gaussian	297.826403	36.372279
39	1	  0.001305	  0.012953	     -1.00	    403.67	     59.10	      3.00	      2.78	     52.44	     48.67	16.70	 1.330e-04	      2.28	0	Gaussian	298.589051	38.475929
40	1	  0.001336	  0.012776	     -1.00	    162.56	    383.35	      2.92	      2.74	     51.15	     47.95	20.77	 1.451e-04	      2.34	0	Gaussian	300.233004	37.109616
41	1	  0.001420	  0.011206	     -1.00	    516.22	    615.82	      3.03	      2.90	     52.97	     50.85	23.71	 1.990e-04	      2.38	0	Gaussian	298.392938	35.848406
42	1	  0.001350	  0.011023	     -1.00	    234.52	    239.81	      3.11	      2.80	     54.41	     48.94	10.81	 1.530e-04	      2.41	0	Gaussian	299.714161	37.736514
43	1	  0.001387	  0.009527	     -1.00	     38.91	    184.62	      3.28	      3.07	     57.49	     53.65	83.04	 4.194e-04	      2.41	0	Gaussian	300.818492	38.092429
44	1	  0.001360	  0.009050	     -1.00	     31.97	    151.82	      3.26	      3.20	     57.12	     56.00	-37.85	 2.600e-04	      2.42	0	Gaussian	300.837546	38.248283
45	1	  0.001370	  0.010937	     -1.00	    439.58	    552.28	      2.99	      2.88	     52.41	     50.37	33.94	 1.686e-04	      2.43	0	Gaussian	298.774622	36.183300
46	1	  0.001336	  0.001474	     -1.00	    246.60	     36.70	     27.46	      5.27	    480.72	     92.25	39.91	 6.399e-04	      2.45	0	Gaussian	299.492442	38.670485
47	1	  0.001573	  0.011271	     -1.00	    564.70	    541.86	      2.94	      2.79	     51.49	     48.82	27.26	 5.144e-04	      2.45	0	Gaussian	298.060739	36.159022
48	1	  0.001365	  0.011118	     -1.00	    246.21	     36.26	      2.95	      2.77	     51.56	     48.42	16.90	 1.495e-04	      2.47	0	Gaussian	299.494377	38.672724
49	1	  0.001314	  0.010868	     -1.00	     79.12	     57.15	      3.00	      2.73	     52.47	     47.73	18.83	 1.482e-04	      2.49	0	Gaussian	300.495423	38.664844
50	1	  0.001336	  0.009712	     -1.00	    418.64	    193.06	      2.98	      2.81	     52.17	     49.23	13.03	 1.029e-04	      2.58	0	Gaussian	298.610483	37.848851
51	1	  0.001317	  0.008805	     -1.00	    644.76	    600.99	      3.06	      2.96	     53.54	     51.74	60.57	 1.648e-04	      2.60	0	Gaussian	297.661028	35.840551
52	1	  0.001318	  0.009283	     -1.00	    339.96	     39.55	      3.01	      2.77	     52.61	     48.48	2.22	 1.145e-04	      2.64	0	Gaussian	298.946173	38.603983
53	1	  0.001324	  0.008883	     -1.00	    679.04	    633.71	      3.00	      2.86	     52.53	     49.98	8.93	 1.284e-04	      2.65	0	Gaussian	297.497570	35.670307
54	1	  0.001349	  0.009124	     -1.00	    366.42	    620.41	      2.99	      2.78	     52.33	     48.74	21.25	 1.546e-04	      2.67	0	Gaussian	299.239529	35.910352
55	1	  0.001318	  0.008086	     -1.00	    684.26	    327.86	      3.06	      2.91	     53.51	     50.90	24.15	 1.451e-04	      2.72	0	Gaussian	297.202669	37.065152
56	1	  0.001350	  0.008720	     -1.00	    392.62	    518.45	      2.96	      2.77	     51.77	     48.48	18.70	 1.234e-04	      2.74	0	Gaussian	299.014515	36.364880
57	1	  0.001438	  0.009110	     -1.00	     38.19	      8.75	      2.90	      2.66	     50.69	     46.52	18.27	 2.282e-04	      2.75	0	Gaussian	300.704952	38.910562
58	1	  0.001298	  0.008184	     -1.00	     45.43	    330.93	      3.06	      2.78	     53.48	     48.60	29.97	 9.943e-05	      2.75	0	Gaussian	300.876433	37.409908
59	1	  0.001360	  0.007740	     -1.00	    417.81	    556.80	      3.06	      2.94	     53.52	     51.42	-2.96	 1.136e-04	      2.76	0	Gaussian	298.901188	36.174643
60	1	  0.001370	  0.008752	     -1.00	    151.92	     24.82	      2.85	      2.78	     49.83	     48.61	28.72	 1.846e-04	      2.76	0	Gaussian	300.042147	38.777168
61	1	  0.001406	  0.009011	     -1.00	    116.56	     41.24	      2.92	      2.66	     51.10	     46.51	17.41	 2.544e-04	      2.76	0	Gaussian	300.262916	38.719536
62	1	  0.001372	  0.007807	     -1.00	    411.92	    633.84	      2.95	      2.93	     51.71	     51.24	52.42	 1.892e-04	      2.78	0	Gaussian	298.993155	35.824084
63	1	  0.001401	  0.008054	     -1.00	    221.23	    105.72	      2.96	      2.82	     51.74	     49.28	43.13	 2.291e-04	      2.80	0	Gaussian	299.693141	38.364620
64	1	  0.001328	  0.007576	     -1.00	    563.54	    197.43	      3.11	      2.83	     54.39	     49.49	18.14	 1.073e-04	      2.82	0	Gaussian	297.778305	37.740420
65	1	  0.001480	  0.008277	     -1.00	    507.29	    136.33	      2.95	      2.69	     51.65	     47.15	10.32	 6.423e-04	      2.83	0	Gaussian	298.050706	38.056620
66	1	  0.001327	  0.007372	     -1.00	    267.70	    407.18	      3.08	      2.84	     53.90	     49.73	24.81	 9.982e-05	      2.84	0	Gaussian	299.644651	36.945143
67	1	  0.001346	  0.007169	     -1.00	     18.80	    321.49	      3.23	      2.76	     56.53	     48.34	21.67	 1.717e-04	      2.85	0	Gaussian	301.025301	37.466307
68	1	  0.001329	  0.007475	     -1.00	    609.13	    608.41	      3.01	      2.83	     52.68	     49.52	15.10	 2.302e-04	      2.85	0	Gaussian	297.866388	35.828048
69	1	  0.001345	  0.006852	     -1.00	    504.94	    351.39	      3.12	      2.82	     54.56	     49.28	18.78	 1.280e-04	      2.92	0	Gaussian	298.243207	37.068574
70	1	  0.001309	  0.007331	     -1.00	    599.47	    353.51	      2.96	      2.78	     51.88	     48.64	16.13	 9.526e-05	      2.92	0	Gaussian	297.706473	37.001309
71	1	  0.001305	  0.006358	     -1.00	    559.95	    293.89	      3.10	      3.07	     54.33	     53.72	62.20	 9.318e-05	      2.92	0	Gaussian	297.881071	37.299417
72	1	  0.001303	  0.006691	     -1.00	    390.60	    692.35	      3.07	      2.91	     53.76	     50.90	22.46	 1.093e-04	      2.92	0	Gaussian	299.156925	35.567031
73	1	  0.001318	  0.006694	     -1.00	    499.91	    600.33	      3.07	      2.89	     53.76	     50.54	8.21	 1.366e-04	      2.93	0	Gaussian	298.472240	35.928708
74	1	  0.001588	  0.007657	     -1.00	    450.92	    389.14	      2.89	      2.68	     50.53	     46.93	19.30	 7.420e-04	      2.93	0	Gaussian	298.581996	36.926743
75	1	  0.001393	  0.006648	     -1.00	    295.74	    691.40	      3.07	      2.90	     53.70	     50.70	9.59	 2.239e-04	      2.94	0	Gaussian	299.689623	35.620977
76	1	  0.001304	  0.006189	     -1.00	    146.77	    277.44	      3.50	      2.71	     61.18	     47.47	10.69	 9.449e-05	      2.94	0	Gaussian	300.251118	37.608063
77	1	  0.001542	  0.007606	     -1.00	    431.97	    389.56	      2.88	      2.68	     50.35	     46.85	10.56	 5.096e-04	      2.94	0	Gaussian	298.690546	36.935763
