# 756 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.001721	  0.061443	     -1.00	    662.69	    384.52	      3.12	      2.60	     54.65	     45.53	16.86	 9.010e-04	      0.62	0	Gaussian	327.416701	41.148568
2	1	  0.001498	  0.030670	     -1.00	     90.61	    690.83	      3.22	      2.84	     56.35	     49.69	25.74	 5.345e-04	      1.25	0	Gaussian	330.276428	39.245990
3	1	  0.001455	  0.031847	     -1.00	    183.35	    194.77	      3.11	      2.67	     54.47	     46.81	23.95	 4.500e-04	      1.31	0	Gaussian	330.427763	41.539069
4	1	  0.001416	  0.023668	     -1.00	    542.95	    259.50	      3.17	      2.64	     55.43	     46.17	16.27	 3.555e-04	      1.62	0	Gaussian	328.267303	41.603054
5	1	  0.001404	  0.020588	     -1.00	    115.38	    208.91	      3.16	      2.74	     55.32	     47.95	24.67	 2.906e-04	      1.73	0	Gaussian	330.794878	41.405886
6	1	  0.001422	  0.020086	     -1.00	    306.54	    187.62	      3.20	      2.74	     56.06	     47.89	28.58	 3.032e-04	      1.75	0	Gaussian	329.731060	41.696106
7	1	  0.001586	  0.017874	     -1.00	      6.85	    195.03	      3.16	      2.78	     55.39	     48.58	28.14	 4.563e-04	      1.87	0	Gaussian	331.428187	41.352322
8	1	  0.001373	  0.016662	     -1.00	    115.06	    633.15	      3.22	      2.77	     56.40	     48.45	19.29	 2.629e-04	      1.94	0	Gaussian	330.217792	39.525601
9	1	  0.001361	  0.016527	     -1.00	    625.08	    112.29	      3.18	      2.70	     55.58	     47.18	24.46	 2.403e-04	      1.99	0	Gaussian	327.968384	42.341517
10	1	  0.001404	  0.014792	     -1.00	    426.44	      8.26	      3.14	      2.68	     55.00	     46.93	26.15	 2.309e-04	      2.12	0	Gaussian	329.273670	42.616207
11	1	  0.001345	  0.014350	     -1.00	    626.88	    396.54	      3.22	      2.69	     56.38	     47.07	14.83	 2.058e-04	      2.12	0	Gaussian	327.610896	41.062602
12	1	  0.001363	  0.014100	     -1.00	    399.70	    403.37	      3.17	      2.68	     55.49	     46.87	18.98	 2.023e-04	      2.17	0	Gaussian	328.913563	40.823317
13	1	  0.001366	  0.013448	     -1.00	    685.26	    372.14	      3.23	      2.75	     56.47	     48.10	20.67	 1.914e-04	      2.17	0	Gaussian	327.299504	41.224340
14	1	  0.001340	  0.011573	     -1.00	     29.78	    605.78	      3.30	      2.82	     57.75	     49.31	18.94	 1.770e-04	      2.29	0	Gaussian	330.725924	39.562494
15	1	  0.001326	  0.011567	     -1.00	    677.40	    292.86	      3.27	      2.78	     57.24	     48.65	18.70	 1.563e-04	      2.31	0	Gaussian	327.439702	41.575324
16	1	  0.001358	  0.011842	     -1.00	    413.64	     59.71	      3.21	      2.70	     56.22	     47.30	25.64	 1.767e-04	      2.33	0	Gaussian	329.280172	42.373666
17	1	  0.001370	  0.011482	     -1.00	    666.45	    225.47	      3.20	      2.78	     56.07	     48.61	15.95	 2.159e-04	      2.34	0	Gaussian	327.585188	41.869569
18	1	  0.001337	  0.010452	     -1.00	    672.98	    412.75	      3.27	      2.74	     57.17	     47.92	16.19	 1.391e-04	      2.44	0	Gaussian	327.323303	41.030129
19	1	  0.001357	  0.009891	     -1.00	    351.73	    252.99	      3.07	      2.97	     53.65	     51.96	16.28	 1.604e-04	      2.48	0	Gaussian	329.383789	41.449366
20	1	  0.001542	  0.010300	     -1.00	    491.36	    649.98	      3.22	      2.66	     56.40	     46.48	22.56	 6.521e-04	      2.50	0	Gaussian	328.085502	39.801346
21	1	  0.001324	  0.009393	     -1.00	    396.12	    600.99	      3.29	      2.80	     57.55	     49.04	22.83	 1.323e-04	      2.52	0	Gaussian	328.685230	39.935181
