# 921 stars found using the following parameters:
# sigma=1.00 roundness=0.10 radius=5 relax=1 profile=0 minbeta=1.5 max_stars=0 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Sat	Profile	RA	Dec
1	1	  0.003030	  0.921150	     -1.00	    661.44	    551.85	      4.40	      4.09	     77.10	     71.58	10.50	 1.276e-02	     -3.19	1	Gaussian	310.358480	45.279053
2	1	  0.003013	  0.500765	     -1.00	      8.65	     38.71	      2.80	      2.56	     48.99	     44.86	45.38	 4.847e-03	     -1.52	0	Gaussian	314.955854	47.521167
3	1	  0.002454	  0.384964	     -1.00	    388.60	    364.71	      2.56	      2.47	     44.88	     43.22	51.23	 2.707e-03	     -1.10	0	Gaussian	312.233431	46.114048
4	1	  0.002313	  0.201913	     -1.00	    216.56	    554.86	      2.53	      2.53	     44.37	     44.33	78.82	 2.293e-03	     -0.42	0	Gaussian	313.326686	45.181718
5	1	  0.002245	  0.181202	     -1.00	     17.95	    693.27	      2.63	      2.59	     46.04	     45.40	-47.58	 1.359e-03	     -0.37	0	Gaussian	314.581759	44.472297
6	1	  0.002278	  0.166986	     -1.00	    151.43	     71.74	      2.67	      2.56	     46.73	     44.73	49.70	 1.449e-03	     -0.28	0	Gaussian	313.956578	47.417801
7	1	  0.001924	  0.142665	     -1.00	     90.50	    601.76	      2.63	      2.51	     46.00	     43.94	34.90	 9.794e-04	     -0.07	0	Gaussian	314.144209	44.924724
8	1	  0.001919	  0.101334	     -1.00	    476.37	    279.19	      2.58	      2.51	     45.15	     43.96	45.95	 6.887e-04	      0.32	0	Gaussian	311.659212	46.531416
9	1	  0.001863	  0.095294	     -1.00	    357.91	    246.23	      2.61	      2.61	     45.75	     45.75	-75.78	 5.752e-04	      0.33	0	Gaussian	312.476579	46.661287
10	1	  0.001760	  0.077974	     -1.00	    443.10	    481.12	      2.61	      2.52	     45.64	     44.11	44.97	 3.380e-04	      0.59	0	Gaussian	311.835380	45.579633
11	1	  0.001752	  0.068551	     -1.00	    178.72	    328.20	      2.63	      2.62	     46.11	     45.90	66.76	 4.433e-04	      0.68	0	Gaussian	313.665695	46.231195
12	1	  0.001878	  0.069116	     -1.00	    555.55	    118.17	      2.55	      2.55	     44.71	     44.65	-15.45	 5.510e-04	      0.73	0	Gaussian	311.150541	47.296884
13	1	  0.001976	  0.071768	     -1.00	    522.49	    318.68	      2.50	      2.47	     43.81	     43.30	44.11	 8.460e-04	      0.75	0	Gaussian	311.336126	46.354494
14	1	  0.001799	  0.048100	     -1.00	     22.54	    312.65	      2.68	      2.55	     46.91	     44.56	41.59	 4.301e-04	      1.07	0	Gaussian	314.727331	46.252443
15	1	  0.001688	  0.047757	     -1.00	    162.35	    301.69	      2.64	      2.52	     46.17	     44.06	29.90	 3.530e-04	      1.11	0	Gaussian	313.787047	46.350056
16	1	  0.001731	  0.047159	     -1.00	    581.52	    328.38	      2.48	      2.47	     43.49	     43.18	35.47	 3.519e-04	      1.21	0	Gaussian	310.932576	46.317883
17	1	  0.001688	  0.038824	     -1.00	    144.43	    139.61	      2.63	      2.56	     46.09	     44.85	74.79	 3.241e-04	      1.32	0	Gaussian	313.976015	47.099841
18	1	  0.001754	  0.038446	     -1.00	    186.17	    568.36	      2.67	      2.52	     46.73	     44.15	41.68	 2.721e-04	      1.33	0	Gaussian	313.523698	45.110016
19	1	  0.001734	  0.031943	     -1.00	     66.75	     22.51	      2.81	      2.56	     49.23	     44.89	43.65	 2.956e-04	      1.46	0	Gaussian	314.563001	47.617779
20	1	  0.001691	  0.033312	     -1.00	    310.36	     19.20	      2.61	      2.60	     45.73	     45.47	65.79	 2.766e-04	      1.48	0	Gaussian	312.876755	47.707965
21	1	  0.001663	  0.030562	     -1.00	     45.90	    238.84	      2.81	      2.61	     49.11	     45.60	38.90	 2.076e-04	      1.49	0	Gaussian	314.604038	46.604674
